dataset,retriever,representation,lambda,queries,SAR,ci_low,ci_high
esci,bge_base,C0_original,1.0,500,0.675900644786496,0.65235986116518,0.6979923850921534
esci,bge_base,M1_factual_field_sentence,0.0,500,0.7061174440746639,0.6861749904605671,0.7250549565811367
esci,bge_base,M1_factual_field_sentence,0.1,500,0.7030455940518098,0.683585639264299,0.7223642850562129
esci,bge_base,M1_factual_field_sentence,0.25,500,0.6984378190175285,0.6782755133868277,0.7176852942825656
esci,bge_base,M1_factual_field_sentence,0.5,500,0.6907581939603932,0.6704631619848959,0.71068355310056
esci,bge_base,M1_factual_field_sentence,1.0,500,0.6753989438461226,0.6533193056707002,0.6962783820990112
esci,bge_base,M2_normalized_attributes,0.0,500,0.7192272500402048,0.6995471984848954,0.7381047525419492
esci,bge_base,M2_normalized_attributes,0.1,500,0.7192272500402048,0.6996857045073956,0.7382287346053845
esci,bge_base,M2_normalized_attributes,0.25,500,0.7192272500402048,0.699402064170003,0.7383370360447896
esci,bge_base,M2_normalized_attributes,0.5,500,0.7192272500402048,0.6999080840562002,0.738158719200886
esci,bge_base,M2_normalized_attributes,1.0,500,0.7192272500402048,0.6994020949924874,0.7381846721116089
esci,gte_modernbert,C0_original,0.0,500,0.7167828384738955,0.6971935059163846,0.7358442259273689
esci,gte_modernbert,C0_original,0.1,500,0.7098871465096529,0.6903114023449078,0.728840100989129
esci,gte_modernbert,C0_original,0.25,500,0.6995436085632889,0.6790921451193177,0.7192572778689972
esci,gte_modernbert,C0_original,0.5,500,0.6823043786526821,0.6615945885244444,0.7030115583027022
esci,gte_modernbert,C0_original,1.0,500,0.6478259188314686,0.6231014026461864,0.671780372336632
esci,gte_modernbert,M1_factual_field_sentence,0.0,500,0.703950643640075,0.6837628748751136,0.7239287132468488
esci,gte_modernbert,M1_factual_field_sentence,0.1,500,0.7001031974623062,0.6801957964681242,0.7197101232088243
esci,gte_modernbert,M1_factual_field_sentence,0.25,500,0.694332028195653,0.6738546298665092,0.714131891386208
esci,gte_modernbert,M1_factual_field_sentence,0.5,500,0.6847134127512311,0.6639488413570025,0.7053338498282645
esci,gte_modernbert,M1_factual_field_sentence,1.0,500,0.6654761818623872,0.6424189650568081,0.6874675142477177
esci,gte_modernbert,M2_normalized_attributes,0.0,500,0.7180114176432214,0.6979816533787381,0.7374273740457873
esci,gte_modernbert,M2_normalized_attributes,0.1,500,0.7180114176432214,0.6981744642698443,0.7372440684085517
esci,gte_modernbert,M2_normalized_attributes,0.25,500,0.7180114176432214,0.6978215807894297,0.7378470555255368
esci,gte_modernbert,M2_normalized_attributes,0.5,500,0.7180114176432214,0.6982024837742191,0.7375483388095834
esci,gte_modernbert,M2_normalized_attributes,1.0,500,0.7180114176432214,0.6980067771108802,0.7376145718306777
