dataset,model,method,schedule,reference,query_id,n_highest,membership_cutoff,gained_count,lost_count,gained_ids,lost_ids,membership_changed,integer_recall_cancellation,delta_Recall20,delta_nDCG20,abs_delta_nDCG20,delta_nDCG10,abs_delta_nDCG10,numerical_zero_nDCG20,numerical_zero_nDCG10
wands,minilm,raw,C1,C0,415,75,20,3,3,"[""15605"",""19110"",""20420""]","[""18703"",""21520"",""8176""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C1,C0,420,766,20,6,6,"[""11097"",""12374"",""24217"",""33741"",""33745"",""34861""]","[""10661"",""13802"",""19995"",""27052"",""33838"",""40304""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,True,True
wands,minilm,raw,C1,C0,426,223,20,4,4,"[""21869"",""2285"",""31087"",""40889""]","[""1599"",""18189"",""33666"",""5844""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C1,C0,433,113,20,8,8,"[""16206"",""17730"",""18844"",""25514"",""25989"",""27410"",""32253"",""7904""]","[""13828"",""17401"",""17703"",""18848"",""23668"",""41731"",""7174"",""9326""]",True,True,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C1,C0,446,57,20,3,3,"[""13214"",""19740"",""31177""]","[""23064"",""23068"",""31178""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C1,C0,464,85,20,1,1,"[""20063""]","[""16217""]",True,True,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s1,C0,2,151,20,4,4,"[""10306"",""11878"",""32603"",""42557""]","[""29146"",""29152"",""3276"",""38593""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,28,175,20,6,6,"[""13011"",""17990"",""2212"",""32052"",""5095"",""801""]","[""11210"",""12403"",""2732"",""36705"",""6252"",""924""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,59,43,20,3,3,"[""41613"",""41616"",""41652""]","[""41609"",""41627"",""41647""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s1,C0,108,81,20,3,3,"[""3028"",""3048"",""3913""]","[""3037"",""3049"",""3890""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,112,266,20,9,9,"[""25786"",""25787"",""25977"",""28035"",""32719"",""32946"",""5349"",""5362"",""6250""]","[""10493"",""11313"",""12138"",""15381"",""21276"",""28093"",""34750"",""40866"",""40870""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,115,202,20,2,2,"[""21332"",""26872""]","[""38067"",""39608""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,138,142,20,6,6,"[""15725"",""15732"",""37544"",""37546"",""37547"",""37918""]","[""10048"",""15727"",""1670"",""35938"",""6750"",""6751""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,172,42,20,3,3,"[""19491"",""25685"",""40932""]","[""19483"",""19487"",""19490""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,227,176,20,5,5,"[""10614"",""16787"",""17682"",""17953"",""32627""]","[""11729"",""11730"",""24401"",""26428"",""35908""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,231,307,20,5,5,"[""10894"",""20203"",""3211"",""7791"",""7815""]","[""20174"",""20185"",""20209"",""5543"",""7793""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,235,133,20,2,2,"[""20434"",""7253""]","[""24728"",""34442""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,248,39,20,1,1,"[""25501""]","[""16398""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,368,81,20,1,1,"[""30198""]","[""343""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,415,75,20,2,2,"[""15605"",""19110""]","[""15958"",""34897""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,426,223,20,5,5,"[""1203"",""29698"",""33237"",""3826"",""40889""]","[""1599"",""25234"",""2979"",""33666"",""41243""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,433,113,20,5,5,"[""13831"",""18822"",""25514"",""25989"",""41202""]","[""13828"",""17401"",""17703"",""7174"",""9007""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,446,57,20,3,3,"[""13214"",""31177"",""31535""]","[""23059"",""23063"",""23068""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s1,C0,470,45,20,4,4,"[""12162"",""14073"",""16512"",""29149""]","[""13858"",""26869"",""27506"",""38596""]",True,True,0.0,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s2,C0,9,74,20,5,5,"[""13615"",""20909"",""24416"",""24418"",""40928""]","[""22769"",""29361"",""29691"",""30093"",""7971""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s2,C0,28,175,20,6,6,"[""13011"",""17990"",""32052"",""40839"",""767"",""801""]","[""11210"",""36703"",""36705"",""6252"",""846"",""9661""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,59,43,20,3,3,"[""41613"",""41616"",""41625""]","[""41627"",""41632"",""41634""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s2,C0,108,81,20,1,1,"[""3913""]","[""3037""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,109,39,20,7,7,"[""26122"",""26125"",""26128"",""26133"",""26136"",""26137"",""26938""]","[""26124"",""26129"",""26135"",""26914"",""26930"",""26931"",""26936""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,112,266,20,10,10,"[""25786"",""25787"",""28035"",""32946"",""37436"",""5349"",""5361"",""5362"",""5363"",""6304""]","[""11313"",""15381"",""21276"",""26671"",""28093"",""29048"",""34750"",""34751"",""40866"",""40867""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,115,202,20,4,4,"[""14016"",""21332"",""26872"",""36562""]","[""38067"",""39608"",""5231"",""6457""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,138,142,20,7,7,"[""10064"",""15726"",""37539"",""37543"",""37547"",""37822"",""599""]","[""10048"",""10061"",""15727"",""1670"",""22156"",""2498"",""35938""]",True,True,0.0,0.0,0.0,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s2,C0,144,116,20,7,7,"[""19652"",""19653"",""22659"",""28168"",""36802"",""575"",""9123""]","[""11632"",""15464"",""23111"",""36801"",""4440"",""4596"",""9125""]",True,True,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s2,C0,167,87,20,4,4,"[""30384"",""67"",""8027"",""9865""]","[""35004"",""38584"",""7104"",""8032""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,172,42,20,4,4,"[""12150"",""19491"",""25685"",""40933""]","[""12149"",""19477"",""19489"",""19490""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,182,58,20,4,4,"[""12863"",""21664"",""29771"",""36095""]","[""17198"",""29774"",""33853"",""36094""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,185,34,20,1,1,"[""11431""]","[""30022""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,227,176,20,4,4,"[""16781"",""2718"",""32627"",""9237""]","[""24996"",""35908"",""37259"",""800""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,-1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s2,C0,231,307,20,5,5,"[""20200"",""20202"",""20204"",""25796"",""7808""]","[""20174"",""20185"",""20193"",""5543"",""7793""]",True,True,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s2,C0,235,133,20,4,4,"[""19023"",""19229"",""23707"",""7253""]","[""24728"",""34441"",""34442"",""40099""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,248,39,20,1,1,"[""9525""]","[""16398""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s2,C0,255,107,20,7,7,"[""21386"",""2880"",""2885"",""35819"",""37759"",""37764"",""37769""]","[""20866"",""22569"",""2882"",""33300"",""37768"",""37780"",""5352""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,355,30,20,2,2,"[""35470"",""35700""]","[""24352"",""37975""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s2,C0,368,81,20,2,2,"[""30198"",""35821""]","[""35084"",""4071""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,415,75,20,3,3,"[""15605"",""19110"",""19663""]","[""18703"",""21520"",""8176""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,420,766,20,8,8,"[""12788"",""24217"",""27091"",""33741"",""33780"",""33788"",""33913"",""34622""]","[""10661"",""12816"",""13802"",""19995"",""27052"",""27090"",""33838"",""40304""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,426,223,20,5,5,"[""21869"",""29698"",""31089"",""34839"",""40889""]","[""1599"",""33666"",""41243"",""5844"",""8465""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,433,113,20,8,8,"[""13831"",""16206"",""17730"",""19826"",""25495"",""25989"",""41202"",""9441""]","[""13828"",""17401"",""17703"",""18848"",""24612"",""41731"",""7174"",""9007""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s2,C0,446,57,20,3,3,"[""13214"",""31177"",""9258""]","[""23062"",""23068"",""37151""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,2,151,20,6,6,"[""10306"",""11878"",""32873"",""36619"",""36631"",""3754""]","[""10561"",""29146"",""29151"",""29152"",""29886"",""3276""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,-1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s3,C0,28,175,20,5,5,"[""13011"",""40839"",""767"",""801"",""917""]","[""12403"",""36705"",""6252"",""846"",""9661""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,59,43,20,3,3,"[""41613"",""41616"",""41642""]","[""41636"",""41641"",""41647""]",True,True,0.0,0.0,0.0,-3.3306690738754696e-16,3.3306690738754696e-16,True,True
wands,minilm,raw,C2s3,C0,102,57,20,5,5,"[""13575"",""19444"",""20554"",""2777"",""6739""]","[""12139"",""12151"",""12158"",""12164"",""3246""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,108,81,20,3,3,"[""3028"",""3889"",""3913""]","[""3037"",""3049"",""3890""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,109,39,20,5,5,"[""26122"",""26133"",""26922"",""26933"",""26938""]","[""26119"",""26121"",""26913"",""26929"",""26935""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,112,266,20,11,11,"[""25786"",""25787"",""32719"",""32946"",""33169"",""37436"",""5361"",""5362"",""5363"",""6302"",""6304""]","[""10493"",""11313"",""12138"",""13574"",""15381"",""21276"",""28093"",""34750"",""34751"",""40866"",""40867""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,115,202,20,3,3,"[""13483"",""14197"",""36562""]","[""36531"",""38067"",""6457""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,138,142,20,6,6,"[""15724"",""37541"",""37543"",""37909"",""37918"",""599""]","[""10048"",""10061"",""15727"",""35938"",""6751"",""6753""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s3,C0,144,116,20,8,8,"[""19653"",""23114"",""30150"",""40121"",""5201"",""575"",""7870"",""9112""]","[""15464"",""23111"",""274"",""36799"",""36801"",""4440"",""4596"",""9125""]",True,True,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s3,C0,172,42,20,4,4,"[""19476"",""25672"",""31639"",""40932""]","[""19477"",""19482"",""19483"",""19487""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,227,176,20,2,2,"[""32627"",""9237""]","[""11729"",""37259""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,231,307,20,5,5,"[""20197"",""20203"",""20208"",""20210"",""7808""]","[""20174"",""20185"",""30989"",""5543"",""7793""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,235,133,20,4,4,"[""18104"",""19229"",""7253"",""994""]","[""24728"",""34439"",""34442"",""34444""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,255,107,20,6,6,"[""33298"",""35819"",""37756"",""37759"",""37769"",""38316""]","[""20866"",""22569"",""22579"",""33300"",""37780"",""37781""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,355,30,20,2,2,"[""24355"",""35470""]","[""24352"",""37975""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s3,C0,368,81,20,1,1,"[""30198""]","[""4071""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,410,58,20,4,4,"[""14029"",""14935"",""17494"",""33578""]","[""14936"",""14939"",""14941"",""14943""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,415,75,20,2,2,"[""15605"",""21654""]","[""18703"",""21520""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,418,608,20,6,6,"[""11104"",""16041"",""23638"",""28988"",""29348"",""30139""]","[""18043"",""22876"",""38858"",""5293"",""596"",""7744""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s3,C0,420,766,20,7,7,"[""11097"",""12374"",""27189"",""33745"",""33788"",""34861"",""40320""]","[""10661"",""13802"",""19995"",""27052"",""33791"",""33838"",""40304""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,426,223,20,5,5,"[""21869"",""33237"",""34839"",""3826"",""40889""]","[""1599"",""25234"",""2979"",""33666"",""41243""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,433,113,20,9,9,"[""10841"",""16206"",""24902"",""25514"",""25989"",""27410"",""4484"",""4569"",""7904""]","[""13828"",""17401"",""17703"",""18996"",""24612"",""30781"",""5454"",""7174"",""9007""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,446,57,20,3,3,"[""12379"",""13214"",""31177""]","[""14222"",""23064"",""23068""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s3,C0,464,85,20,1,1,"[""10987""]","[""16217""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s4,C0,2,151,20,5,5,"[""12179"",""27515"",""36533"",""36619"",""36631""]","[""10561"",""29146"",""29152"",""3276"",""36645""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,9,74,20,6,6,"[""13615"",""24416"",""24418"",""24421"",""38099"",""40928""]","[""15058"",""29361"",""29691"",""30835"",""7970"",""7971""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,28,175,20,4,4,"[""17990"",""2212"",""40839"",""801""]","[""36705"",""6252"",""846"",""924""]",True,True,0.0,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s4,C0,59,43,20,4,4,"[""41613"",""41616"",""41643"",""41652""]","[""41609"",""41636"",""41639"",""41648""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s4,C0,108,81,20,2,2,"[""3048"",""3913""]","[""3017"",""3037""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,109,39,20,4,4,"[""26126"",""26128"",""26133"",""26138""]","[""26119"",""26123"",""26916"",""26936""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,112,266,20,10,10,"[""28035"",""32534"",""32946"",""38289"",""5360"",""5361"",""5362"",""5363"",""6302"",""6304""]","[""10493"",""11313"",""12138"",""15381"",""28093"",""34750"",""34751"",""40867"",""40870"",""6320""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,115,202,20,5,5,"[""14016"",""26872"",""34812"",""36562"",""38452""]","[""21342"",""37486"",""38067"",""39608"",""42089""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,138,142,20,3,3,"[""37537"",""37541"",""37823""]","[""10061"",""15727"",""6750""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s4,C0,144,116,20,6,6,"[""1505"",""21839"",""22659"",""276"",""5201"",""575""]","[""20099"",""23111"",""273"",""36799"",""36801"",""4596""]",True,True,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s4,C0,172,42,20,4,4,"[""19491"",""25685"",""31639"",""40932""]","[""19475"",""19478"",""19483"",""19487""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,227,176,20,4,4,"[""17682"",""17953"",""32544"",""9237""]","[""11729"",""16784"",""35908"",""800""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,231,307,20,7,7,"[""20191"",""20204"",""20210"",""3211"",""40618"",""7808"",""7812""]","[""20174"",""20185"",""20209"",""5543"",""7793"",""7794"",""7798""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,235,133,20,3,3,"[""11364"",""14926"",""19023""]","[""24728"",""34439"",""34442""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,255,107,20,7,7,"[""20868"",""2880"",""33298"",""35819"",""37759"",""37769"",""38316""]","[""20866"",""22569"",""2882"",""33300"",""37754"",""37768"",""37777""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,355,30,20,3,3,"[""24355"",""35470"",""35700""]","[""1395"",""24352"",""37975""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,368,81,20,2,2,"[""30198"",""35821""]","[""343"",""4071""]",True,True,0.0,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,True,True
wands,minilm,raw,C2s4,C0,415,75,20,4,4,"[""15605"",""19110"",""21654"",""37612""]","[""15958"",""18703"",""21520"",""8176""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,420,766,20,6,6,"[""24217"",""29907"",""33741"",""33773"",""33788"",""34861""]","[""10661"",""13802"",""19995"",""27052"",""33838"",""40304""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,426,223,20,5,5,"[""21869"",""2285"",""29698"",""34839"",""3826""]","[""1599"",""33666"",""40906"",""5844"",""8465""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,433,113,20,6,6,"[""10841"",""16206"",""25514"",""25989"",""27410"",""7904""]","[""13828"",""17703"",""18848"",""41731"",""7174"",""9326""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s4,C0,446,57,20,5,5,"[""13214"",""14186"",""23058"",""23066"",""31177""]","[""23059"",""23063"",""23064"",""23068"",""37151""]",True,True,0.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s4,C0,464,85,20,2,2,"[""10987"",""36495""]","[""16217"",""21113""]",True,True,0.0,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,True,True
wands,minilm,raw,C2s5,C0,9,74,20,6,6,"[""13615"",""20909"",""24416"",""24418"",""24421"",""7507""]","[""15058"",""20647"",""22769"",""29361"",""29691"",""7970""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s5,C0,28,175,20,4,4,"[""17989"",""17990"",""5095"",""801""]","[""36705"",""6252"",""846"",""924""]",True,True,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,True,True
wands,minilm,raw,C2s5,C0,59,43,20,4,4,"[""41618"",""41631"",""41642"",""41652""]","[""41609"",""41636"",""41641"",""41647""]",True,True,0.0,0.0,0.0,-2.220446049250313e-16,2.220446049250313e-16,True,True
wands,minilm,raw,C2s5,C0,108,81,20,2,2,"[""3028"",""3913""]","[""3037"",""3890""]",True,True,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw,C2s5,C0,109,39,20,8,8,"[""26122"",""26128"",""26133"",""26137"",""26919"",""26922"",""26933"",""26938""]","[""26123"",""26124"",""26923"",""26930"",""26931"",""26934"",""26935"",""26936""]",True,True,0.0,-4.440892098500626e-16,4.440892098500626e-16,-1.1102230246251565e-16,1.1102230246251565e-16,True,True
