dataset,model,support,K,contrast,metric,estimate,ci_low,ci_high,queries,pairs,weighting,bootstrap_seed,bootstrap_resamples,interval
esci,minilm,common_all_fitting,100,harmonized7 minus historical7,persistent_omission,0,0,0,460,2578,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,full,20,harmonized7 minus historical7,persistent_inclusion,-7.949995123325798e-06,-0.00064587995524296679,0.00060450442151805425,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,full,20,harmonized7 minus historical7,VI,0.00018752156455496789,-0.00086657875045210845,0.0013701760235246179,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,full,20,harmonized7 minus historical7,persistent_omission,-0.00017957156943164019,-0.0011525906833232988,0.0004962723142260926,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,full,100,harmonized7 minus historical7,persistent_inclusion,0.00017012750105857739,-0.00024147318861414586,0.00069983960884004051,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,full,100,harmonized7 minus historical7,VI,-0.00028269762406165787,-0.00096577878223109048,0.00030448517214458316,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,full,100,harmonized7 minus historical7,persistent_omission,0.00011257012300308156,-0.00026217639117502621,0.00058360515258735221,128,7125,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,common_all_fitting,20,harmonized7 minus historical7,persistent_inclusion,-0.00021566597653554159,-0.0015527950310559005,0.00090579710144927581,92,2186,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,common_all_fitting,20,harmonized7 minus historical7,VI,0.00013146668913798851,-0.00098999638884682837,0.0015358288958939423,92,2186,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,common_all_fitting,20,harmonized7 minus historical7,persistent_omission,8.4199287397553602e-05,-0.00028496623198779979,0.00046309061674836065,92,2186,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,common_all_fitting,100,harmonized7 minus historical7,persistent_inclusion,-8.6266390614216391e-05,-0.0002587991718426492,0,92,2186,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,common_all_fitting,100,harmonized7 minus historical7,VI,0.00027808871228663615,-0.00010148187998239353,0.00078046851373671201,92,2186,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
wands,bge_base,common_all_fitting,100,harmonized7 minus historical7,persistent_omission,-0.00019182232167241906,-0.00065766083098918926,0.00017117425539198996,92,2186,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,full,20,harmonized7 minus historical7,persistent_inclusion,0.00018218254691200589,0,0.00054654764073601772,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,full,20,harmonized7 minus historical7,VI,-5.6932045910001884e-05,-0.00054654764073601772,0.00037575150300601202,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,full,20,harmonized7 minus historical7,persistent_omission,-0.000125250501002004,-0.00037575150300601202,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,full,100,harmonized7 minus historical7,persistent_inclusion,0,0,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,full,100,harmonized7 minus historical7,VI,0.000167000668002672,0,0.00050100200400801599,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,full,100,harmonized7 minus historical7,persistent_omission,-0.000167000668002672,-0.00050100200400801599,0,499,4434,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,common_all_fitting,20,harmonized7 minus historical7,persistent_inclusion,0.00018628912071535028,0,0.00055886736214605089,488,3587,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,common_all_fitting,20,harmonized7 minus historical7,VI,-5.8215350223547006e-05,-0.00055886736214605089,0.00038422131147540983,488,3587,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,common_all_fitting,20,harmonized7 minus historical7,persistent_omission,-0.00012807377049180329,-0.00038422131147540983,0,488,3587,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,common_all_fitting,100,harmonized7 minus historical7,persistent_inclusion,0,0,0,488,3587,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,common_all_fitting,100,harmonized7 minus historical7,VI,0.00017076502732240437,0,0.00051229508196721314,488,3587,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
esci,bge_base,common_all_fitting,100,harmonized7 minus historical7,persistent_omission,-0.00017076502732240437,-0.00051229508196721314,0,488,3587,query_macro,2026091701,10000,95% unadjusted paired query-cluster percentile
