dataset,model,method,schedule,reference,K,queries,pairs,changed_queries,equal_positive_queries,equal_positive_share_all,equal_positive_share_changed,bootstrap_seed,bootstrap_resamples,interval,gain_share,gain_share_ci_low,gain_share_ci_high,loss_share,loss_share_ci_low,loss_share_ci_high,turnover,turnover_ci_low,turnover_ci_high,delta_recall,delta_recall_ci_low,delta_recall_ci_high,delta_ndcg,delta_ndcg_ci_low,delta_ndcg_ci_high,changed_abs_ndcg_q0.0,changed_abs_ndcg_q0.25,changed_abs_ndcg_q0.5,changed_abs_ndcg_q0.75,changed_abs_ndcg_q0.9,changed_abs_ndcg_q0.95,changed_abs_ndcg_q1.0,changed_abs_ndcg_mean
wands,minilm,raw,C2s5,source C0,20,308,21299,202,67,0.21753246753246752,0.3316831683168317,2026091701,10000,95% unadjusted paired query-cluster percentile,0.038636943830600082,0.030242773017621783,0.048923536521798337,0.050528555547003473,0.038580349187351752,0.06423561092831849,0.089165499377603555,0.073738246961482373,0.10622114876496443,-0.011891611716403393,-0.027968768426393047,0.0034701704798316495,-0.0014959520917780904,-0.0080033895170405871,0.005058703985961927,0,0.0081271410318745629,0.033365082571462257,0.061355796598188649,0.097229091746411839,0.12075043185435462,0.30436912564661339,0.042789930978462509
wands,minilm,raw,C2s5,source C0,100,308,21299,192,22,0.071428571428571425,0.11458333333333333,2026091701,10000,95% unadjusted paired query-cluster percentile,0.037864032901207038,0.031523618758621565,0.04487215550783355,0.057122409621279693,0.045174567124999676,0.071045828271688344,0.094986442522486739,0.080716922803840338,0.11050486328577087,-0.019258376720072655,-0.034502480726392094,-0.0055517231348972988,-0.0066377476176389663,-0.01062432371071027,-0.0026195150726491391,1.1102230246251565e-16,0.0074437782983558937,0.021952681928725015,0.039299042067756744,0.061164832689388549,0.076324734412754239,0.15193609761376414,0.027446426326947649
wands,bge_base,raw,C1,source C0,20,308,21299,187,73,0.23701298701298701,0.39037433155080214,2026091701,10000,95% unadjusted paired query-cluster percentile,0.023573889869446245,0.019789522784009514,0.027738437508863938,0.022634610926216329,0.018320586599924561,0.027410917190507499,0.046208500795662577,0.039396381899074032,0.053413260573310986,0.00093927894322991528,-0.0040926193085786848,0.0056325118073664946,0.0015126100148957048,-0.0035305760028950203,0.0066058771274074028,0,0.0027708548029713558,0.023096066181305663,0.045576998642658628,0.07594488834906489,0.096269514726165822,0.17861061099753694,0.032255445070513117
wands,bge_base,raw,C1,source C0,100,308,21299,168,25,0.081168831168831168,0.14880952380952381,2026091701,10000,95% unadjusted paired query-cluster percentile,0.032665252981107014,0.023417260772454804,0.044288612635909663,0.034374143105359065,0.025101779359883853,0.045969126053906614,0.067039396086466072,0.053221197392885555,0.083208071238050671,-0.0017088901242520574,-0.016222137442662043,0.012985859771150438,-0.003217826291377061,-0.0064544692759198764,-2.3184998056402169e-05,2.2204460492503131e-16,0.0064201879548225899,0.015258002823549444,0.031055382016996133,0.054642721872022723,0.063679986328512295,0.13158536818765149,0.022486052652485249
wands,bge_base,raw,C2s1,source C0,20,308,21299,179,78,0.25324675324675322,0.43575418994413406,2026091701,10000,95% unadjusted paired query-cluster percentile,0.023404622669236291,0.018676185344532335,0.028906820524940615,0.02248884453761741,0.017691930389381525,0.028515150591504366,0.045893467206853694,0.03822673288375511,0.054427817717381768,0.00091577813161888247,-0.0060082322736752071,0.0075367876764607517,0.00027350249596043484,-0.0042822407710568951,0.0047802201869404266,0,0.0056194862490165365,0.022636025799391502,0.043402037964071577,0.06894044470157154,0.087622771913430667,0.17599801882857935,0.030412764576925211
wands,bge_base,raw,C2s1,source C0,100,308,21299,159,30,0.097402597402597407,0.18867924528301888,2026091701,10000,95% unadjusted paired query-cluster percentile,0.033073629701008238,0.022846558234372472,0.04585342855439762,0.023116372096566924,0.01844150947890922,0.028696570767809536,0.056190001797575162,0.044444310897949528,0.070196619609517327,0.0099572576044413136,-0.0016133804645765955,0.023463335607467807,-0.0017318605203115599,-0.0041370899408454172,0.00062623179192437459,0,0.006168151564316493,0.011980257305109321,0.022110215407615291,0.037948067065381196,0.046601135335072139,0.10124886813102241,0.016524242310934033
wands,bge_base,raw,C2s2,source C0,20,308,21299,184,78,0.25324675324675322,0.42391304347826086,2026091701,10000,95% unadjusted paired query-cluster percentile,0.023505261979551759,0.019358412113573868,0.028048708391559755,0.02331332375406249,0.017405220658253746,0.031638542105796134,0.046818585733614256,0.038575702939095353,0.056321787802335099,0.00019193822548926949,-0.0085487531032252106,0.0069869056730645094,0.0012494197223745403,-0.0036936218363864065,0.0061474130049417389,0,0.003323316031615009,0.023485779840303561,0.046966816867031108,0.080098324616212496,0.11493820475546944,0.2095443227273478,0.033087343449175952
wands,bge_base,raw,C2s2,source C0,100,308,21299,163,31,0.10064935064935066,0.19018404907975461,2026091701,10000,95% unadjusted paired query-cluster percentile,0.027366104502971292,0.01987868623817704,0.037050077620252024,0.02245046275597026,0.017322459138331772,0.028612450646800656,0.049816567258941548,0.040196558102739893,0.061094013184044581,0.0049156417470010367,-0.0044166190587345841,0.01566010504630852,-0.0010555641450506667,-0.0035596096503734075,0.0013808206954626981,1.1102230246251565e-16,0.0046417395902403902,0.010691370017418267,0.02141662009514278,0.039455728110951993,0.052926104957581994,0.076498714897372144,0.015889843725309431
wands,bge_base,raw,C2s3,source C0,20,308,21299,181,68,0.22077922077922077,0.37569060773480661,2026091701,10000,95% unadjusted paired query-cluster percentile,0.022279197790499704,0.018190223287796112,0.02684913270342636,0.020837481584079633,0.016805353857891187,0.025558639035149149,0.043116679374579338,0.03633783671698284,0.050586714742329904,0.0014417162064200759,-0.003518668650945792,0.0063808963339355455,0.0012234969837538047,-0.0035782522651517782,0.0060979096219384524,0,0.0043529050973686312,0.023166781799245917,0.048930777938568593,0.079370339668405898,0.10105263465115921,0.16009932725022896,0.032090717114113917
wands,bge_base,raw,C2s3,source C0,100,308,21299,155,40,0.12987012987012986,0.25806451612903225,2026091701,10000,95% unadjusted paired query-cluster percentile,0.027880619324645552,0.019916604773038478,0.038304978101296676,0.027031403730088353,0.019838865981919262,0.036161340025506104,0.054912023054733916,0.043176943058730856,0.068549743406085425,0.00084921559455719846,-0.010737896182552734,0.013127364790551562,-0.00081651321824954251,-0.0034182473511938901,0.0017694515882422665,0,0.0037036050857775504,0.012715835280584287,0.021319331554158133,0.037422572838153152,0.050877475526505719,0.084125969560212011,0.016860401311051598
wands,bge_base,raw,C2s4,source C0,20,308,21299,182,69,0.22402597402597402,0.37912087912087911,2026091701,10000,95% unadjusted paired query-cluster percentile,0.021529913120010097,0.017367633005433748,0.026030254951935432,0.026157856260559446,0.019609064648760388,0.035012241697547498,0.047687769380569539,0.038511340759203316,0.058607179604290405,-0.0046279431405493489,-0.013240534820698074,0.0015935452516068328,-0.0014021479198574472,-0.0059049910335011906,0.0031418083096442511,0,0.0049715914614797407,0.027789162446296256,0.047067914601613914,0.074927776445249186,0.088843097758054518,0.14885189547996297,0.032354660529713336
wands,bge_base,raw,C2s4,source C0,100,308,21299,148,32,0.1038961038961039,0.21621621621621623,2026091701,10000,95% unadjusted paired query-cluster percentile,0.030197916833910654,0.020462422937540664,0.042690695298230885,0.017379554631789609,0.0143844621632549,0.020626219875762436,0.047577471465700252,0.037005268810609587,0.060665558295638737,0.012818362202121045,0.0030505318677354139,0.025530504386074727,-0.0013558540810166297,-0.0038640278350919959,0.0011011102477335472,0,0.0050791679875417939,0.011860504284135764,0.021488192011767743,0.037703483957378631,0.053263866590444464,0.091001295844909014,0.016910768020240396
wands,bge_base,raw,C2s5,source C0,20,308,21299,182,67,0.21753246753246752,0.36813186813186816,2026091701,10000,95% unadjusted paired query-cluster percentile,0.020944106919480891,0.015465072520928862,0.029261387279629694,0.024467250930881791,0.018218811326438253,0.032902501117868542,0.045411357850362689,0.035880131138413769,0.057090408021141507,-0.0035231440114009008,-0.013581178103475222,0.0065977407319316806,-0.0026680055188407097,-0.0073381539824500649,0.0019526842691001481,0,0.0033087639611239228,0.02364385271452249,0.045437567511445037,0.076317624563136982,0.090161664898320823,0.21341359793716175,0.032090980736029666
wands,bge_base,raw,C2s5,source C0,100,308,21299,162,42,0.13636363636363635,0.25925925925925924,2026091701,10000,95% unadjusted paired query-cluster percentile,0.028449479415338628,0.020366082268700673,0.038986502249812184,0.023827529663396144,0.018562878156541264,0.03010151487834662,0.052277009078734775,0.04208818563362561,0.064441038773181497,0.0046219497519424816,-0.0051463959645609179,0.016148942907557803,-0.0017351024854107208,-0.0043093284628407721,0.00079673880170114857,0,0.0048975003648047966,0.012006883825127573,0.020148560915061176,0.037641169957070293,0.048344265273798939,0.1168767657883294,0.016363161762600009
wands,gte_modernbert,raw,C1,source C0,20,308,21299,191,61,0.19805194805194806,0.3193717277486911,2026091701,10000,95% unadjusted paired query-cluster percentile,0.02807102275092372,0.021221115085684316,0.036963225895378204,0.029464877539060574,0.023532201671022046,0.03609590455452092,0.057535900289984294,0.047673263090306471,0.068605346682746648,-0.0013938547881368606,-0.010690571464598545,0.0093709945010110006,-0.0083465200190253469,-0.014014516189397995,-0.002955388291298636,0,0.0085524655964607788,0.02832666797879857,0.055820010314217565,0.094050138295405539,0.11952355912352011,0.3316684806494874,0.03976644241230514
wands,gte_modernbert,raw,C1,source C0,100,308,21299,163,37,0.12012987012987013,0.22699386503067484,2026091701,10000,95% unadjusted paired query-cluster percentile,0.025547943231014489,0.020770676593365758,0.030842640394526364,0.027325421304693169,0.020367320724607181,0.036500976715718371,0.052873364535707658,0.043823818543686721,0.063471182764645556,-0.001777478073678675,-0.011812482420348771,0.0065065635421142059,-0.0020850880400522737,-0.0050354114446923212,0.00070638933800696647,4.4408920985006262e-16,0.0051505398861119156,0.013300249211421922,0.027034479753601459,0.03986650787974242,0.059204831854453424,0.20572072655705145,0.019233450128084546
wands,gte_modernbert,raw,C2s1,source C0,20,308,21299,195,67,0.21753246753246752,0.34358974358974359,2026091701,10000,95% unadjusted paired query-cluster percentile,0.027512404796409675,0.023005808214615561,0.032494151141521536,0.035464962430676053,0.028414610120281094,0.043405038213856002,0.062977367227085732,0.053831067635797862,0.072756316027659459,-0.0079525576342663763,-0.016539927261692192,-0.00021289822911230096,-0.0045641659369534153,-0.0099160212835615689,0.0007184889095307724,0,0.0079630381568049358,0.027149590893716602,0.056541326992449153,0.078957642979583242,0.095663808832956332,0.22485878821428873,0.036511846426453755
wands,gte_modernbert,raw,C2s1,source C0,100,308,21299,171,31,0.10064935064935066,0.18128654970760233,2026091701,10000,95% unadjusted paired query-cluster percentile,0.027677987497745433,0.02226989930296876,0.033812461641491751,0.03105180959428382,0.024478481969945686,0.039724472483496656,0.058729797092029253,0.049307591741633655,0.069630616313613489,-0.0033738220965383865,-0.013076175134461904,0.0052707541535799568,-0.0031356314293074536,-0.0061029830562727037,-0.00032451982736244201,0.0001342716017938006,0.0055052258362460749,0.013002623039704009,0.025863922648766302,0.044264150864345764,0.051243513098776783,0.13926775896392962,0.019331573480459968
wands,gte_modernbert,raw,C2s2,source C0,20,308,21299,198,81,0.26298701298701299,0.40909090909090912,2026091701,10000,95% unadjusted paired query-cluster percentile,0.02516115017951219,0.02117802669978212,0.029459492851788612,0.03441015100689819,0.027714802832716753,0.041998453391194103,0.059571301186410387,0.051005455998547972,0.068871234342896964,-0.0092490008273860037,-0.017160265210148747,-0.0020625126206429045,-0.0075189284699767808,-0.013117778953094012,-0.0018969320337585249,0,0.0042069504896298238,0.024963335880223148,0.054529757041091934,0.093224504078385423,0.11869327826436873,0.17920048397761945,0.035724125864710111
wands,gte_modernbert,raw,C2s2,source C0,100,308,21299,170,29,0.094155844155844159,0.17058823529411765,2026091701,10000,95% unadjusted paired query-cluster percentile,0.02856004841636758,0.022673959428490903,0.035353642265085181,0.033215924508295289,0.025825147701962387,0.042481444837207359,0.061775972924662872,0.051458985735585709,0.073513547417590919,-0.00465587609192771,-0.014973978195577038,0.0048559168604540015,-0.003650756300592774,-0.0066436105663171098,-0.00063475287061822512,0.00037298459624313107,0.0067727482267765093,0.015129027298473985,0.028406202599240184,0.042865161874990537,0.06083243761899923,0.12733275309008096,0.020933111168286993
wands,gte_modernbert,raw,C2s3,source C0,20,308,21299,193,76,0.24675324675324675,0.39378238341968913,2026091701,10000,95% unadjusted paired query-cluster percentile,0.030252083891693992,0.024931314544360234,0.036088934484655978,0.033367184035803001,0.026759452288374796,0.04096109215319009,0.063619267927496989,0.054378673115391699,0.073698997960616963,-0.0031151001441090051,-0.011867538898942473,0.0050107492046947127,-0.0029206629767291807,-0.0086949832796099184,0.0027171175011111715,0,0.0063682565323215368,0.028806302857567523,0.057862895312993518,0.094554654144682546,0.12475257222530418,0.23149856045397366,0.039757349300538286
wands,gte_modernbert,raw,C2s3,source C0,100,308,21299,171,32,0.1038961038961039,0.1871345029239766,2026091701,10000,95% unadjusted paired query-cluster percentile,0.028549548042402669,0.023455751067362824,0.034373446255507076,0.029343787723855184,0.022405666780164445,0.038304851004835855,0.057893335766257853,0.048415675145606546,0.068895569454305222,-0.00079423968145251385,-0.010288400301725984,0.0075222988613162789,-0.0014007836179353852,-0.0043184956066787145,0.00137977519860118,2.2204460492503131e-16,0.0068025480718524878,0.015672858430593073,0.029742149175196145,0.043013337202073954,0.050039032028141833,0.11140134386700606,0.020058344036461888
wands,gte_modernbert,raw,C2s4,source C0,20,308,21299,193,70,0.22727272727272727,0.36269430051813473,2026091701,10000,95% unadjusted paired query-cluster percentile,0.030161943357634138,0.02480578601587765,0.035998716999552892,0.030743608691768551,0.024515297859160252,0.037846361461389706,0.060905552049402692,0.05223070810173016,0.070350166265617187,-0.00058166533413441153,-0.0089316482891032712,0.0075051897960350155,-0.0038060633408024919,-0.0093391700632271413,0.0016724443474068888,0,0.0090141968391309613,0.028749945491425843,0.056674166052718133,0.086456086157247383,0.10895154330068071,0.22971266237606131,0.038701278145348995
wands,gte_modernbert,raw,C2s4,source C0,100,308,21299,165,33,0.10714285714285714,0.20000000000000001,2026091701,10000,95% unadjusted paired query-cluster percentile,0.02754790584352677,0.022047287884691617,0.03437588603801587,0.028899817066462677,0.0226576777469139,0.037515243846752096,0.056447722909989451,0.047086132392791587,0.067353210741277064,-0.0013519112229359071,-0.010922309482474593,0.0074250927176977705,-0.0038262638222705857,-0.0069662980140165693,-0.0008863259921886782,2.2204460492503131e-16,0.0064006169079697806,0.013766897898804809,0.026725539876100268,0.044295344296986755,0.054306968343886944,0.14400182216485088,0.019610211242618025
wands,gte_modernbert,raw,C2s5,source C0,20,308,21299,189,76,0.24675324675324675,0.40211640211640209,2026091701,10000,95% unadjusted paired query-cluster percentile,0.030630362559541338,0.022268723287008144,0.041625042043039351,0.029225361052550976,0.02385369563284041,0.035203125688554916,0.059855723612092321,0.048963664378980601,0.072661992824519267,0.0014050015069903533,-0.0083523284571092142,0.013164896597167719,-0.0066666921331210421,-0.011928781028304357,-0.0015665380255418665,0,0.0046494159819912007,0.025221038727925693,0.047972905469423566,0.081989533712361867,0.10642993938028984,0.2039976888901201,0.033602061932280658
wands,gte_modernbert,raw,C2s5,source C0,100,308,21299,169,43,0.1396103896103896,0.25443786982248523,2026091701,10000,95% unadjusted paired query-cluster percentile,0.024729036237751106,0.020737579778764195,0.029005370282517241,0.032525387797706216,0.025121113865137809,0.042152465953862892,0.057254424035457323,0.047906061985221765,0.068129536313905073,-0.0077963515599551109,-0.017593771392533476,-7.9406743666274643e-05,-0.0040071531296614485,-0.0069500629413841797,-0.0012433716697088501,2.2204460492503131e-16,0.0063828569694305282,0.011610759396042947,0.025472048685160398,0.042787982857912778,0.063201963135743972,0.12482687150168564,0.01923268381121062
wands,minilm,raw_hybrid,C1,source C0,20,308,21299,195,73,0.23701298701298701,0.37435897435897436,2026091701,10000,95% unadjusted paired query-cluster percentile,0.029595768991913612,0.02268851659055339,0.038821042843956099,0.035746280100929909,0.025934996040915866,0.047330298439097959,0.06534204909284351,0.053032232740911574,0.079608139407129561,-0.0061505111090162977,-0.019879960703689987,0.0073755815922311365,-0.007227783976079428,-0.013589332214329931,-0.00097780200848315586,0,0.0059619859317182056,0.022714696202006945,0.052943155527597999,0.10293055817798255,0.13557332174436243,0.23238483009125055,0.038754954513431521
wands,minilm,raw_hybrid,C1,source C0,100,308,21299,151,34,0.11038961038961038,0.2251655629139073,2026091701,10000,95% unadjusted paired query-cluster percentile,0.026455647031851711,0.020430155328205784,0.033582672285701193,0.025672993648010744,0.020722527074050166,0.0312775263720367,0.052128640679862448,0.043501406329728716,0.061659637121600011,0.00078265338384096662,-0.0067832296751047724,0.0088890862390343332,-0.0066432353303970283,-0.010490444284209003,-0.0028993922267791295,1.1102230246251565e-16,0.0061621185467199968,0.015826243539192708,0.034389955882510925,0.056047203497422426,0.0774120985667546,0.18219357942459613,0.024665735832685221
wands,minilm,raw_hybrid,C2s1,source C0,20,308,21299,200,76,0.24675324675324675,0.38,2026091701,10000,95% unadjusted paired query-cluster percentile,0.030681052834810801,0.023566238267665192,0.040018421430217999,0.029491557817055515,0.022437115212003245,0.038551892394611098,0.060172610651866312,0.049638722252939617,0.072762251412943957,0.0011894950177552815,-0.010351058843309804,0.012963775566348486,-0.0016531796291092517,-0.0068425373449726035,0.0033458308423679312,0,0.0041414252815508423,0.022463345396115275,0.046841585097385861,0.083037997633029853,0.10190833511225274,0.1601983738740056,0.032233225234533529
wands,minilm,raw_hybrid,C2s1,source C0,100,308,21299,150,31,0.10064935064935066,0.20666666666666667,2026091701,10000,95% unadjusted paired query-cluster percentile,0.026964491080037685,0.018825831108641129,0.037362429681278536,0.020293726022580106,0.016279738352183964,0.024963825401169978,0.047258217102617787,0.037563263420550462,0.058689173487230406,0.0066707650574575764,-0.0024727214645803618,0.017583134649206182,-0.0016901348858811651,-0.0043340037364482656,0.00097307372128945229,0,0.0053762649861817113,0.013142541848812306,0.025342382285013773,0.045089738693265789,0.05590509072208303,0.088022620703032572,0.018457534286772628
wands,minilm,raw_hybrid,C2s2,source C0,20,308,21299,197,74,0.24025974025974026,0.37563451776649748,2026091701,10000,95% unadjusted paired query-cluster percentile,0.032066565807646635,0.024709570429950034,0.041576079958120085,0.025499373798783531,0.021054606972749003,0.030379793995746106,0.057565939606430166,0.048609185978541532,0.068211628177597294,0.006567192008863112,-0.00196499797054804,0.016829530852390528,0.0008063441145387864,-0.0048151607368087214,0.0065130535613924815,0,0.0043585046831088325,0.022820542793632992,0.049995398062761098,0.08586156955116471,0.11712597988358531,0.28741527371887649,0.034872343909677812
wands,minilm,raw_hybrid,C2s2,source C0,100,308,21299,153,19,0.061688311688311688,0.12418300653594772,2026091701,10000,95% unadjusted paired query-cluster percentile,0.0263570851908425,0.019265845349804453,0.035425887794959865,0.021474972321642138,0.017726589162021768,0.025580258068701293,0.047832057512484642,0.039223751848492056,0.057954947210362727,0.0048821128692003637,-0.0028973880253659119,0.014596546174233163,-0.0018009067608504221,-0.0047875980922247189,0.0011187466955560267,0,0.0080507311772169965,0.016551180131609389,0.027458620399792855,0.04626532099772903,0.063616343359898506,0.13918153416554768,0.021561548447279359
wands,minilm,raw_hybrid,C2s3,source C0,20,308,21299,193,74,0.24025974025974026,0.38341968911917096,2026091701,10000,95% unadjusted paired query-cluster percentile,0.032070202854011368,0.024257970303473281,0.041729408826976642,0.027341626786434436,0.02064659536901791,0.036002903857476273,0.059411829640445793,0.048460381376278845,0.072279435377202605,0.0047285760675769345,-0.006607179943590117,0.016371475467237991,-0.00058201618755614908,-0.0060742115732627389,0.004637699612290329,0,0.0051875765458564427,0.023166781799246139,0.048060848026627245,0.070751193282761554,0.10243380465125049,0.20093359459190957,0.033463441551852609
wands,minilm,raw_hybrid,C2s3,source C0,100,308,21299,157,22,0.071428571428571425,0.14012738853503184,2026091701,10000,95% unadjusted paired query-cluster percentile,0.025537274814650398,0.018862716745380096,0.034612599352848043,0.023649712246232826,0.018991136886102187,0.028903617120608859,0.049186987060883224,0.040359221137535956,0.05950036268951378,0.0018875625684175669,-0.0064446685620118708,0.011649854005620457,-0.0027401898964283474,-0.0053945247911481916,-6.5856670352152302e-05,2.2204460492503131e-16,0.0056107722721704389,0.014543411792053318,0.023289409283244744,0.042886097479865048,0.053206109031308478,0.087667036473699944,0.01769428845959509
wands,minilm,raw_hybrid,C2s4,source C0,20,308,21299,197,74,0.24025974025974026,0.37563451776649748,2026091701,10000,95% unadjusted paired query-cluster percentile,0.034410862623312596,0.025073553718496087,0.046002055713113103,0.033800246293624076,0.024526770366034609,0.044907809117581084,0.068211108916936686,0.054443031223834752,0.083763179417575731,0.00061061632968852607,-0.014064469386926954,0.01520427726025932,0.00041186663337203547,-0.0043544441560055443,0.0053103374955632563,0,0.0064702148056271502,0.025615376911606869,0.047324890046015144,0.072520173448420058,0.083689540023945352,0.17004524104469293,0.032187033888443253
wands,minilm,raw_hybrid,C2s4,source C0,100,308,21299,151,27,0.087662337662337664,0.17880794701986755,2026091701,10000,95% unadjusted paired query-cluster percentile,0.023652533561809644,0.017352423458849096,0.032184744181227035,0.023583810295259265,0.019057098292014549,0.028404657594586224,0.047236343857068909,0.038372219524586741,0.057415515290739336,6.8723266550380766e-05,-0.0070570807160632212,0.0090379688402962757,-0.0024320661347084415,-0.0049897165497521751,0.00017132031938295734,1.1102230246251565e-16,0.0068091915968670064,0.015031865581619341,0.025487126234099378,0.041028616475112079,0.051948986700358551,0.091054462930968472,0.019042778584743118
