comparison,mode,metric,delta_pp,ci_low_pp,ci_high_pp
Adapted-PI-FT minus Labeled-ZeroShot,catalog,VI@100,1.1930760574950932,-0.5267232744076392,2.873453323822574
Adapted-PI-FT minus Labeled-ZeroShot,catalog_fully_fitting,VI@100,1.461972123629888,-1.2345736886876681,4.169254325062705
Adapted-PI-FT minus Labeled-ZeroShot,catalog,Robust@100,-2.1561226514709837,-4.086373372153802,-0.26345315416273296
Adapted-PI-FT minus Labeled-ZeroShot,catalog_fully_fitting,Robust@100,5.041522203259397,1.9179857150199733,8.262043525121621
Adapted-PI-FT minus Labeled-ZeroShot,catalog,Never@100,0.9630465939758904,-1.199362003607992,3.121931351226011
Adapted-PI-FT minus Labeled-ZeroShot,catalog_fully_fitting,Never@100,-6.503494326889285,-9.803165918493224,-3.3015211919473653
Adapted-PI-FT minus Standard-FT,target,Recall@20,-0.6282468976104332,-1.730932714668325,0.3705453764468758
Adapted-PI-FT minus Standard-FT,target_fully_fitting,Recall@20,0.4632804722955436,-0.8160758284720568,1.7669013104255344
Adapted-PI-FT minus Standard-FT,target,Recall@100,-0.39029592651844297,-1.3999353343893401,0.5873040690925423
Adapted-PI-FT minus Standard-FT,target_fully_fitting,Recall@100,2.4807824612286367,0.406364735241214,4.730865886670553
Adapted-PI-FT minus Standard-FT,target,VI@20,4.610426649064097,3.1755764466629177,6.20927119682765
Adapted-PI-FT minus Standard-FT,target_fully_fitting,VI@20,4.066913645757718,1.914929565078728,6.26863314408041
Adapted-PI-FT minus Standard-FT,target,VI@100,4.43367846642052,2.9442433306182068,6.052242123947696
Adapted-PI-FT minus Standard-FT,target_fully_fitting,VI@100,4.110817031571356,1.590165229842159,6.697281012603301
Adapted-PI-FT minus Standard-FT,target,Robust@100,-2.9230989357378,-4.401637585482537,-1.6272871337193882
Adapted-PI-FT minus Standard-FT,target_fully_fitting,Robust@100,-0.10092834000869398,-2.256570440493492,2.1611822427510363
Adapted-PI-FT minus Standard-FT,target,Never@100,-1.5105795306827208,-2.7298233777115435,-0.3039614667961438
Adapted-PI-FT minus Standard-FT,target_fully_fitting,Never@100,-4.0098886915626615,-6.720974733307679,-1.443020636358665
Standard-FT minus Labeled-ZeroShot,target,Recall@20,-2.3667684344784874,-4.063499229281027,-0.7168758779494239
Standard-FT minus Labeled-ZeroShot,target_fully_fitting,Recall@20,2.143826570001373,-0.06991344639383117,4.39604634012865
Standard-FT minus Labeled-ZeroShot,target,Recall@100,-1.538161643029076,-3.325637368990993,0.2233004955619281
Standard-FT minus Labeled-ZeroShot,target_fully_fitting,Recall@100,2.486469863585356,-0.28399508344423713,5.205040684903366
Standard-FT minus Labeled-ZeroShot,target,VI@20,-3.733224649186346,-5.129413814174738,-2.4543758429402707
Standard-FT minus Labeled-ZeroShot,target_fully_fitting,VI@20,-3.026765806406296,-5.5685193515789155,-0.5982614647036527
Standard-FT minus Labeled-ZeroShot,target,VI@100,-3.65363937740475,-5.279114716978219,-2.18185804822748
Standard-FT minus Labeled-ZeroShot,target_fully_fitting,VI@100,-4.030630097996519,-6.580928369864061,-1.529409318375678
Standard-FT minus Labeled-ZeroShot,target,Robust@100,0.1398880591722988,-1.7746833449477208,2.063329444297711
Standard-FT minus Labeled-ZeroShot,target_fully_fitting,Robust@100,4.897972506580943,1.7226399808821045,8.075827994217937
Standard-FT minus Labeled-ZeroShot,target,Never@100,3.513751318232452,1.7014313413458275,5.367205169171702
Standard-FT minus Labeled-ZeroShot,target_fully_fitting,Never@100,-0.867342408584424,-3.7728009179000788,2.0730153247927112
Adapted-PI-FT minus Labeled-ZeroShot,target,Recall@20,-2.9950153320889212,-4.636250573059131,-1.4586408381049363
Adapted-PI-FT minus Labeled-ZeroShot,target_fully_fitting,Recall@20,2.6071070422969167,0.2211719845694348,4.980455858524907
Adapted-PI-FT minus Labeled-ZeroShot,target,Recall@100,-1.928457569547519,-3.7098111132707743,-0.1726881402030714
Adapted-PI-FT minus Labeled-ZeroShot,target_fully_fitting,Recall@100,4.967252324813993,1.9911526256321164,7.992564814761084
Adapted-PI-FT minus Labeled-ZeroShot,target,VI@20,0.8772019998777512,-1.0109495467981096,2.8065729632513223
Adapted-PI-FT minus Labeled-ZeroShot,target_fully_fitting,VI@20,1.040147839351423,-1.4374572536041617,3.4054788663584974
Adapted-PI-FT minus Labeled-ZeroShot,target,VI@100,0.78003908901577,-0.8455246198448391,2.3497689329731033
Adapted-PI-FT minus Labeled-ZeroShot,target_fully_fitting,VI@100,0.08018693357483755,-2.614619815683435,2.7543412452275784
Adapted-PI-FT minus Labeled-ZeroShot,target,Robust@100,-2.783210876565501,-4.675336533728894,-0.9593798678278007
Adapted-PI-FT minus Labeled-ZeroShot,target_fully_fitting,Robust@100,4.797044166572249,1.9060015454317385,7.74849538240536
Adapted-PI-FT minus Labeled-ZeroShot,target,Never@100,2.0031717875497312,0.11076497718806194,3.9658005275141885
Adapted-PI-FT minus Labeled-ZeroShot,target_fully_fitting,Never@100,-4.877231100147086,-8.10319485448874,-1.7459806121285393
