dataset,model,query_id,product_id,schedule,historical_rank,harmonized_rank,decision20_changed,decision100_changed
wands,minilm,2,9547,C2s1,2272,2271,False,False
wands,minilm,2,9547,C2s2,1966,1964,False,False
wands,minilm,2,9547,C2s4,15326,15318,False,False
wands,minilm,2,9547,C2s5,3889,3888,False,False
wands,minilm,2,9571,C1,153,152,False,False
wands,minilm,6,10287,C0,38,40,False,False
wands,minilm,6,10287,C2s3,97,96,False,False
wands,minilm,6,14488,C0,1571,1572,False,False
wands,minilm,6,14488,C1,903,905,False,False
wands,minilm,6,14488,C2s1,491,493,False,False
wands,minilm,6,14488,C2s2,898,901,False,False
wands,minilm,6,14488,C2s3,1016,1022,False,False
wands,minilm,6,14488,C2s4,1364,1366,False,False
wands,minilm,6,14488,C2s5,877,878,False,False
wands,minilm,6,1452,C0,3713,3716,False,False
wands,minilm,6,1452,C1,6356,6355,False,False
wands,minilm,6,1452,C2s1,6954,6941,False,False
wands,minilm,6,1452,C2s2,6356,6355,False,False
wands,minilm,6,1452,C2s3,8438,8442,False,False
wands,minilm,6,1452,C2s5,4977,4969,False,False
wands,minilm,6,1454,C0,2633,2630,False,False
wands,minilm,6,1454,C1,6242,6240,False,False
wands,minilm,6,1454,C2s1,5706,5710,False,False
wands,minilm,6,1454,C2s2,4685,4683,False,False
wands,minilm,6,1454,C2s3,1930,1931,False,False
wands,minilm,6,1454,C2s4,3727,3725,False,False
wands,minilm,6,1454,C2s5,6063,6051,False,False
wands,minilm,6,14787,C0,1155,1158,False,False
wands,minilm,6,14787,C2s1,1668,1672,False,False
wands,minilm,6,14787,C2s2,1172,1166,False,False
wands,minilm,6,14787,C2s3,581,582,False,False
wands,minilm,6,14787,C2s4,1328,1330,False,False
wands,minilm,6,14787,C2s5,1130,1132,False,False
wands,minilm,6,14788,C0,1750,1751,False,False
wands,minilm,6,14788,C1,3095,3098,False,False
wands,minilm,6,14788,C2s2,992,994,False,False
wands,minilm,6,14788,C2s3,717,719,False,False
wands,minilm,6,14788,C2s5,1050,1051,False,False
wands,minilm,6,18387,C0,2896,2897,False,False
wands,minilm,6,18387,C1,5452,5453,False,False
wands,minilm,6,18387,C2s1,3062,3057,False,False
wands,minilm,6,18387,C2s2,1197,1196,False,False
wands,minilm,6,18387,C2s3,2083,2077,False,False
wands,minilm,6,18387,C2s4,4575,4572,False,False
wands,minilm,6,18387,C2s5,1343,1337,False,False
wands,minilm,6,18655,C0,960,959,False,False
wands,minilm,6,18655,C1,639,638,False,False
wands,minilm,6,18655,C2s1,1769,1774,False,False
wands,minilm,6,18655,C2s2,1554,1559,False,False
wands,minilm,6,18655,C2s4,1769,1775,False,False
wands,minilm,6,18655,C2s5,357,359,False,False
wands,minilm,6,18662,C0,1641,1634,False,False
wands,minilm,6,18662,C1,557,556,False,False
wands,minilm,6,18662,C2s1,1129,1136,False,False
wands,minilm,6,18662,C2s2,157,154,False,False
wands,minilm,6,18662,C2s3,382,381,False,False
wands,minilm,6,18662,C2s5,705,706,False,False
wands,minilm,6,19248,C1,1001,999,False,False
wands,minilm,6,19248,C2s1,1471,1472,False,False
wands,minilm,6,19812,C2s2,16,17,False,False
wands,minilm,6,19812,C2s3,214,216,False,False
wands,minilm,6,19812,C2s5,100,102,False,True
wands,minilm,6,21912,C0,1869,1861,False,False
wands,minilm,6,21912,C1,2319,2316,False,False
wands,minilm,6,21912,C2s1,1318,1317,False,False
wands,minilm,6,21912,C2s2,898,893,False,False
wands,minilm,6,21912,C2s3,900,902,False,False
wands,minilm,6,21912,C2s4,1122,1121,False,False
wands,minilm,6,21912,C2s5,1137,1138,False,False
wands,minilm,6,25143,C0,3753,3760,False,False
wands,minilm,6,25143,C1,5162,5161,False,False
wands,minilm,6,25143,C2s1,2218,2220,False,False
wands,minilm,6,25143,C2s3,3317,3318,False,False
wands,minilm,6,25143,C2s4,1330,1326,False,False
wands,minilm,6,25143,C2s5,921,918,False,False
wands,minilm,6,25147,C0,5204,5207,False,False
wands,minilm,6,25147,C1,1818,1815,False,False
wands,minilm,6,25147,C2s1,3819,3821,False,False
wands,minilm,6,25147,C2s2,3571,3580,False,False
wands,minilm,6,25147,C2s3,4267,4271,False,False
wands,minilm,6,25147,C2s4,3370,3369,False,False
wands,minilm,6,25147,C2s5,5166,5162,False,False
wands,minilm,6,25571,C0,811,815,False,False
wands,minilm,6,25571,C1,871,874,False,False
wands,minilm,6,25571,C2s1,619,623,False,False
wands,minilm,6,25571,C2s2,379,381,False,False
wands,minilm,6,25571,C2s4,491,493,False,False
wands,minilm,6,25711,C0,1562,1560,False,False
wands,minilm,6,25711,C1,643,641,False,False
wands,minilm,6,25711,C2s1,1027,1030,False,False
wands,minilm,6,25711,C2s2,1738,1740,False,False
wands,minilm,6,25711,C2s3,1805,1802,False,False
wands,minilm,6,25711,C2s4,1791,1790,False,False
wands,minilm,6,25875,C0,503,501,False,False
wands,minilm,6,25875,C1,985,983,False,False
wands,minilm,6,25875,C2s1,1648,1646,False,False
wands,minilm,6,25875,C2s2,1606,1602,False,False
wands,minilm,6,25875,C2s3,1230,1233,False,False
wands,minilm,6,26804,C0,4097,4098,False,False
wands,minilm,6,26804,C1,6224,6207,False,False
wands,minilm,6,26804,C2s2,5286,5291,False,False
wands,minilm,6,26804,C2s3,3991,4000,False,False
wands,minilm,6,26804,C2s4,3242,3244,False,False
wands,minilm,6,26804,C2s5,3370,3366,False,False
wands,minilm,6,27039,C0,250,251,False,False
wands,minilm,6,27039,C1,185,186,False,False
wands,minilm,6,27039,C2s1,1080,1082,False,False
wands,minilm,6,27039,C2s4,309,308,False,False
wands,minilm,6,28921,C0,2852,2847,False,False
wands,minilm,6,28921,C1,2085,2078,False,False
wands,minilm,6,28921,C2s1,6558,6556,False,False
wands,minilm,6,28921,C2s2,3220,3211,False,False
wands,minilm,6,28921,C2s3,1480,1476,False,False
wands,minilm,6,28921,C2s4,1764,1768,False,False
wands,minilm,6,28921,C2s5,3247,3243,False,False
wands,minilm,6,28922,C0,5402,5399,False,False
wands,minilm,6,28922,C1,5082,5084,False,False
wands,minilm,6,28922,C2s1,3857,3850,False,False
wands,minilm,6,28922,C2s2,2442,2438,False,False
wands,minilm,6,28922,C2s3,2319,2318,False,False
wands,minilm,6,28922,C2s4,3661,3653,False,False
wands,minilm,6,28922,C2s5,4748,4752,False,False
wands,minilm,6,29488,C0,3557,3563,False,False
wands,minilm,6,29488,C1,2307,2315,False,False
wands,minilm,6,29488,C2s2,2689,2706,False,False
wands,minilm,6,29488,C2s4,4022,4026,False,False
wands,minilm,6,29488,C2s5,2444,2448,False,False
wands,minilm,6,29496,C0,1758,1756,False,False
wands,minilm,6,29496,C1,4311,4304,False,False
wands,minilm,6,29496,C2s1,877,879,False,False
wands,minilm,6,29496,C2s2,1566,1560,False,False
wands,minilm,6,29496,C2s4,1638,1643,False,False
wands,minilm,6,29496,C2s5,912,921,False,False
wands,minilm,6,29497,C0,2636,2629,False,False
wands,minilm,6,29497,C1,4340,4343,False,False
wands,minilm,6,29497,C2s1,2068,2056,False,False
wands,minilm,6,29497,C2s2,2995,3001,False,False
wands,minilm,6,29497,C2s3,999,994,False,False
wands,minilm,6,29497,C2s4,1297,1311,False,False
wands,minilm,6,29497,C2s5,5511,5512,False,False
wands,minilm,6,29502,C2s3,459,455,False,False
wands,minilm,6,29502,C2s4,313,317,False,False
wands,minilm,6,29502,C2s5,36,35,False,False
wands,minilm,6,29503,C0,899,898,False,False
wands,minilm,6,29503,C1,2800,2791,False,False
wands,minilm,6,29503,C2s1,2060,2064,False,False
wands,minilm,6,29503,C2s2,2244,2246,False,False
wands,minilm,6,29503,C2s3,320,319,False,False
wands,minilm,6,29503,C2s4,952,953,False,False
wands,minilm,6,29503,C2s5,118,117,False,False
wands,minilm,6,30107,C0,2725,2726,False,False
wands,minilm,6,30107,C1,2163,2162,False,False
wands,minilm,6,30107,C2s2,1615,1608,False,False
wands,minilm,6,30107,C2s3,4162,4160,False,False
wands,minilm,6,30107,C2s4,2054,2056,False,False
wands,minilm,6,30107,C2s5,3553,3547,False,False
wands,minilm,6,30129,C0,509,512,False,False
wands,minilm,6,30129,C1,522,518,False,False
wands,minilm,6,30129,C2s3,938,950,False,False
wands,minilm,6,30129,C2s5,453,450,False,False
wands,minilm,6,30514,C1,98,97,False,False
wands,minilm,6,30514,C2s2,187,186,False,False
wands,minilm,6,30514,C2s3,397,398,False,False
wands,minilm,6,32573,C0,1317,1314,False,False
wands,minilm,6,32573,C1,3242,3243,False,False
wands,minilm,6,32573,C2s1,2414,2417,False,False
wands,minilm,6,32573,C2s3,919,918,False,False
wands,minilm,6,32573,C2s4,1465,1456,False,False
wands,minilm,6,32573,C2s5,1955,1957,False,False
wands,minilm,6,32575,C2s1,72,73,False,False
wands,minilm,6,32575,C2s2,30,31,False,False
wands,minilm,6,33512,C0,93,96,False,False
wands,minilm,6,33512,C1,97,96,False,False
wands,minilm,6,33512,C2s1,897,900,False,False
wands,minilm,6,33512,C2s2,678,674,False,False
wands,minilm,6,33512,C2s3,109,110,False,False
wands,minilm,6,33512,C2s4,87,86,False,False
wands,minilm,6,34105,C0,2029,2035,False,False
wands,minilm,6,34105,C1,4897,4903,False,False
wands,minilm,6,34105,C2s1,1884,1885,False,False
wands,minilm,6,34105,C2s2,1676,1677,False,False
wands,minilm,6,34105,C2s3,538,541,False,False
wands,minilm,6,34105,C2s4,2722,2720,False,False
wands,minilm,6,39367,C0,1820,1822,False,False
wands,minilm,6,39367,C1,2819,2824,False,False
wands,minilm,6,39367,C2s1,2736,2731,False,False
wands,minilm,6,39367,C2s2,3879,3880,False,False
wands,minilm,6,39367,C2s3,3138,3146,False,False
wands,minilm,6,39367,C2s4,2673,2667,False,False
wands,minilm,6,39367,C2s5,1057,1065,False,False
wands,minilm,6,39368,C1,220,218,False,False
wands,minilm,6,39368,C2s1,62,63,False,False
wands,minilm,6,39368,C2s4,425,426,False,False
wands,minilm,6,39369,C1,1475,1474,False,False
wands,minilm,6,39369,C2s3,2044,2046,False,False
wands,minilm,6,39369,C2s4,1184,1176,False,False
wands,minilm,6,39369,C2s5,1335,1333,False,False
wands,minilm,6,40460,C0,6232,6229,False,False
wands,minilm,6,40460,C1,7324,7328,False,False
wands,minilm,6,40460,C2s1,5163,5161,False,False
wands,minilm,6,40460,C2s2,6877,6880,False,False
wands,minilm,6,40460,C2s3,5533,5531,False,False
wands,minilm,6,40460,C2s4,6416,6412,False,False
wands,minilm,6,40460,C2s5,5703,5707,False,False
wands,minilm,6,41827,C0,145,144,False,False
wands,minilm,6,41827,C1,583,586,False,False
wands,minilm,6,41827,C2s1,207,206,False,False
wands,minilm,6,41827,C2s5,762,759,False,False
wands,minilm,6,41828,C0,513,514,False,False
wands,minilm,6,41828,C1,2032,2036,False,False
wands,minilm,6,41828,C2s2,1206,1211,False,False
wands,minilm,6,41828,C2s3,1444,1441,False,False
wands,minilm,6,41828,C2s5,2266,2269,False,False
wands,minilm,6,42350,C0,1379,1376,False,False
wands,minilm,6,42350,C1,259,258,False,False
wands,minilm,6,42350,C2s1,130,131,False,False
wands,minilm,6,42350,C2s2,493,494,False,False
wands,minilm,6,42350,C2s4,1261,1260,False,False
wands,minilm,6,42350,C2s5,464,465,False,False
wands,minilm,6,42527,C0,1949,1941,False,False
wands,minilm,6,42527,C1,1764,1759,False,False
wands,minilm,6,42527,C2s1,3328,3325,False,False
wands,minilm,6,42527,C2s2,2276,2274,False,False
wands,minilm,6,42527,C2s3,1258,1253,False,False
wands,minilm,6,42527,C2s4,1003,1005,False,False
wands,minilm,6,42527,C2s5,1089,1090,False,False
wands,minilm,6,752,C0,15,14,False,False
wands,minilm,6,752,C2s3,9,8,False,False
wands,minilm,7,11316,C2s2,42,44,False,False
wands,minilm,7,11316,C2s3,42,43,False,False
wands,minilm,7,14227,C2s4,208,207,False,False
wands,minilm,7,14227,C2s5,179,181,False,False
wands,minilm,7,17379,C2s1,41,42,False,False
wands,minilm,7,19580,C2s5,91,92,False,False
wands,minilm,7,19768,C1,73,72,False,False
wands,minilm,7,19768,C2s3,12,13,False,False
wands,minilm,7,24319,C0,276,275,False,False
wands,minilm,7,24319,C1,218,217,False,False
wands,minilm,7,24319,C2s4,151,150,False,False
wands,minilm,7,24319,C2s5,91,90,False,False
wands,minilm,7,24449,C1,363,362,False,False
wands,minilm,7,24449,C2s2,233,231,False,False
wands,minilm,7,24449,C2s5,311,310,False,False
wands,minilm,7,27648,C2s2,333,331,False,False
wands,minilm,7,27648,C2s3,133,131,False,False
wands,minilm,7,29096,C0,149,148,False,False
wands,minilm,7,29096,C2s1,489,490,False,False
wands,minilm,7,29096,C2s2,237,236,False,False
wands,minilm,7,29096,C2s4,228,229,False,False
wands,minilm,7,29096,C2s5,281,280,False,False
wands,minilm,7,33158,C1,226,225,False,False
wands,minilm,7,33158,C2s1,93,91,False,False
wands,minilm,7,34787,C1,458,457,False,False
wands,minilm,7,34787,C2s1,317,315,False,False
wands,minilm,7,34787,C2s2,380,379,False,False
wands,minilm,7,34787,C2s3,419,418,False,False
wands,minilm,7,34787,C2s4,308,306,False,False
wands,minilm,7,37645,C1,368,367,False,False
wands,minilm,7,37652,C2s1,100,99,False,False
wands,minilm,7,37655,C2s3,139,140,False,False
wands,minilm,7,40795,C2s2,296,298,False,False
wands,minilm,7,41904,C2s2,326,325,False,False
wands,minilm,7,41904,C2s3,386,385,False,False
wands,minilm,7,4310,C1,167,166,False,False
wands,minilm,7,4310,C2s3,148,149,False,False
wands,minilm,7,4310,C2s4,90,91,False,False
wands,minilm,11,10263,C1,694,695,False,False
wands,minilm,11,10263,C2s3,549,552,False,False
wands,minilm,11,10263,C2s5,228,229,False,False
wands,minilm,11,10264,C2s2,652,654,False,False
wands,minilm,11,10264,C2s3,463,464,False,False
wands,minilm,11,10265,C2s1,498,497,False,False
wands,minilm,11,10265,C2s2,199,198,False,False
wands,minilm,11,10265,C2s3,1026,1027,False,False
wands,minilm,11,10265,C2s5,362,365,False,False
wands,minilm,11,11922,C0,56,55,False,False
wands,minilm,11,11922,C2s1,35,34,False,False
wands,minilm,11,11922,C2s4,42,43,False,False
wands,minilm,11,11926,C2s4,36,35,False,False
wands,minilm,11,14382,C1,971,968,False,False
wands,minilm,11,14382,C2s1,398,399,False,False
wands,minilm,11,14382,C2s2,182,181,False,False
wands,minilm,11,14382,C2s4,368,370,False,False
wands,minilm,11,14400,C2s3,50,49,False,False
wands,minilm,11,14656,C0,55,56,False,False
wands,minilm,11,14656,C2s2,105,106,False,False
wands,minilm,11,14656,C2s4,41,42,False,False
wands,minilm,11,17136,C0,569,568,False,False
wands,minilm,11,17136,C1,1030,1031,False,False
wands,minilm,11,17136,C2s1,1091,1092,False,False
wands,minilm,11,17136,C2s3,895,896,False,False
wands,minilm,11,17136,C2s5,621,617,False,False
wands,minilm,11,18139,C0,196,195,False,False
wands,minilm,11,18139,C2s1,77,76,False,False
wands,minilm,11,18139,C2s2,97,98,False,False
wands,minilm,11,18139,C2s3,407,408,False,False
wands,minilm,11,18140,C1,180,179,False,False
wands,minilm,11,18140,C2s3,206,208,False,False
wands,minilm,11,18140,C2s4,262,261,False,False
wands,minilm,11,18140,C2s5,619,620,False,False
wands,minilm,11,18141,C0,383,385,False,False
wands,minilm,11,18141,C1,619,620,False,False
wands,minilm,11,18141,C2s1,457,456,False,False
wands,minilm,11,18141,C2s3,298,299,False,False
wands,minilm,11,18141,C2s4,485,486,False,False
wands,minilm,11,18141,C2s5,240,242,False,False
wands,minilm,11,25658,C0,1652,1650,False,False
wands,minilm,11,25658,C1,1498,1497,False,False
wands,minilm,11,25658,C2s2,1412,1411,False,False
wands,minilm,11,25658,C2s4,1470,1471,False,False
wands,minilm,11,25744,C0,259,258,False,False
wands,minilm,11,25744,C2s1,534,537,False,False
wands,minilm,11,25744,C2s2,600,602,False,False
wands,minilm,11,25744,C2s3,135,134,False,False
wands,minilm,11,25744,C2s5,303,304,False,False
wands,minilm,11,28172,C2s1,26,27,False,False
wands,minilm,11,28348,C1,111,110,False,False
wands,minilm,11,28779,C2s3,68,69,False,False
wands,minilm,11,28779,C2s5,97,96,False,False
wands,minilm,11,29810,C1,151,152,False,False
wands,minilm,11,29810,C2s4,76,75,False,False
wands,minilm,11,3857,C2s2,115,114,False,False
wands,minilm,11,3858,C0,107,106,False,False
wands,minilm,11,3858,C2s2,788,785,False,False
wands,minilm,11,3858,C2s4,440,436,False,False
wands,minilm,11,3858,C2s5,620,618,False,False
wands,minilm,11,3861,C1,1018,1014,False,False
wands,minilm,11,3861,C2s2,418,415,False,False
wands,minilm,11,3861,C2s3,467,465,False,False
wands,minilm,11,3861,C2s5,832,834,False,False
wands,minilm,11,38897,C1,161,162,False,False
wands,minilm,11,38897,C2s2,72,73,False,False
wands,minilm,11,4126,C0,263,264,False,False
wands,minilm,11,4126,C1,263,264,False,False
wands,minilm,11,4126,C2s1,494,491,False,False
wands,minilm,11,4126,C2s2,496,495,False,False
wands,minilm,11,4126,C2s5,270,269,False,False
wands,minilm,11,42195,C0,554,555,False,False
wands,minilm,11,42195,C1,766,761,False,False
wands,minilm,11,42195,C2s2,921,924,False,False
wands,minilm,11,42195,C2s4,994,996,False,False
wands,minilm,11,42195,C2s5,967,968,False,False
wands,minilm,11,42196,C2s5,65,66,False,False
wands,minilm,11,7742,C1,535,533,False,False
wands,minilm,11,7742,C2s1,123,121,False,False
wands,minilm,11,7742,C2s2,262,260,False,False
wands,minilm,11,7742,C2s4,335,334,False,False
wands,minilm,11,7742,C2s5,259,260,False,False
wands,minilm,11,82,C2s5,165,166,False,False
wands,minilm,11,84,C2s2,75,74,False,False
wands,minilm,11,8537,C2s4,125,124,False,False
wands,minilm,11,9143,C0,201,202,False,False
wands,minilm,11,9143,C1,774,776,False,False
wands,minilm,11,9143,C2s4,609,608,False,False
wands,minilm,11,9144,C1,874,872,False,False
wands,minilm,11,9144,C2s4,755,754,False,False
wands,minilm,11,9144,C2s5,58,57,False,False
wands,minilm,11,9145,C1,421,417,False,False
wands,minilm,11,9146,C1,1040,1037,False,False
wands,minilm,11,9146,C2s1,306,309,False,False
wands,minilm,11,9146,C2s3,309,306,False,False
wands,minilm,11,9147,C0,45,44,False,False
wands,minilm,11,9147,C2s2,673,674,False,False
wands,minilm,11,9147,C2s3,180,179,False,False
wands,minilm,11,9148,C1,963,964,False,False
wands,minilm,11,9148,C2s2,54,55,False,False
wands,minilm,11,9148,C2s3,97,96,False,False
wands,minilm,13,12504,C0,636,639,False,False
wands,minilm,13,12504,C2s2,697,698,False,False
wands,minilm,13,12504,C2s3,817,816,False,False
wands,minilm,13,12504,C2s4,610,609,False,False
wands,minilm,13,12509,C1,287,286,False,False
wands,minilm,13,12510,C0,132,134,False,False
wands,minilm,13,12510,C2s4,89,90,False,False
wands,minilm,13,12520,C2s5,14,13,False,False
wands,minilm,13,22849,C1,122,123,False,False
wands,minilm,13,22849,C2s4,339,335,False,False
wands,minilm,13,22850,C2s3,260,261,False,False
wands,minilm,13,22850,C2s4,326,327,False,False
wands,minilm,13,22851,C2s1,260,261,False,False
wands,minilm,13,22851,C2s3,192,191,False,False
wands,minilm,13,22852,C1,155,154,False,False
wands,minilm,13,22852,C2s2,591,594,False,False
wands,minilm,13,22852,C2s3,610,609,False,False
wands,minilm,13,22852,C2s4,1067,1064,False,False
wands,minilm,13,22853,C2s4,620,621,False,False
wands,minilm,13,22854,C0,126,127,False,False
wands,minilm,13,22854,C2s5,267,265,False,False
wands,minilm,13,22855,C1,124,123,False,False
wands,minilm,13,22855,C2s1,146,145,False,False
wands,minilm,13,22856,C0,267,266,False,False
wands,minilm,13,22856,C2s1,622,621,False,False
wands,minilm,13,22856,C2s3,544,547,False,False
