dataset,model,intervention,target_support,catalog_size,K,variable,rank,query_balanced_ecdf,pair_micro_ecdf,crossing_pairs,crossing_queries,weighting
wands,minilm,target_only,full,42994,20,worst_rank,53,0.4789767053106047,0.4738229755178907,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,54,0.4836610343231862,0.47984934086629,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,55,0.4940638591919515,0.4911487758945386,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,56,0.5042161138694174,0.4990583804143126,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,57,0.5093978429985713,0.5065913370998116,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,58,0.5150953936253252,0.5163841807909605,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,59,0.523279836228753,0.5265536723163842,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,60,0.5277703343150675,0.5314500941619585,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,61,0.5361079769677656,0.535969868173258,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,62,0.5396978259345048,0.5404896421845574,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,63,0.5426997806347119,0.5453860640301318,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,64,0.5517585177011912,0.5540489642184557,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,65,0.5564447350317133,0.5608286252354049,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,66,0.5608166792332171,0.5683615819209039,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,67,0.5674485260244128,0.5725047080979284,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,68,0.570929417620992,0.5789077212806026,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,69,0.5743760755681292,0.584180790960452,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,70,0.5783667580910908,0.5898305084745763,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,71,0.5809206236394863,0.5962335216572505,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,72,0.5831108302660701,0.6,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,73,0.5907216675117999,0.6067796610169491,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,74,0.5939260646053858,0.6112994350282486,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,75,0.5972503725439828,0.616195856873823,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,76,0.6008228419975747,0.6199623352165725,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,77,0.6032581294747033,0.6229755178907721,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,78,0.6078927130330936,0.6278719397363465,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,79,0.6127293037294571,0.6350282485875707,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,80,0.6174583874782922,0.6418079096045197,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,81,0.6217091520104711,0.6463276836158192,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,82,0.6267044804146957,0.6527306967984934,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,83,0.6312988686568088,0.6598870056497175,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,84,0.6330957215427585,0.6632768361581921,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,85,0.6353480459431294,0.6674199623352166,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,86,0.6437027777216002,0.671563088512241,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,87,0.6467166124115364,0.6768361581920904,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,88,0.6489755628037007,0.6809792843691149,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,89,0.6534142513428076,0.6821092278719397,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,90,0.6558791272386458,0.6851224105461393,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,91,0.6596738078454111,0.6903954802259887,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,92,0.6626240438554725,0.6952919020715631,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,93,0.6686101817070158,0.6986817325800376,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,94,0.6728035724552597,0.7024482109227872,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,95,0.6754908399295978,0.7069679849340866,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,96,0.6830464336816272,0.7133709981167609,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,97,0.6854103952915414,0.7171374764595103,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,98,0.6894941168612712,0.7212806026365348,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,99,0.6921330513954179,0.7261770244821092,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,100,0.6942304654045642,0.7299435028248588,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,101,0.6966974751660641,0.7337099811676083,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,102,0.6976629206921791,0.7352165725047081,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,103,0.6986190128097846,0.7378531073446327,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,104,0.7016685633599952,0.7423728813559322,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,105,0.7087261769891076,0.7450094161958569,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,106,0.7122221053415115,0.7468926553672316,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,107,0.7139387789128865,0.7499058380414313,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,108,0.7204873533786079,0.7536723163841808,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,109,0.7214026757761131,0.7563088512241055,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,110,0.724065964370364,0.7578154425612053,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,111,0.7263815296911589,0.7619585687382298,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,112,0.7294187451449107,0.7642184557438795,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,113,0.7315934789751006,0.767984934086629,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,114,0.7320154050677133,0.7687382297551789,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,115,0.7357130595710255,0.7721280602636534,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,116,0.7363790894515242,0.7736346516007533,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,117,0.7372016550045845,0.7751412429378531,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,118,0.7379268847463142,0.7770244821092279,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,119,0.7387445290396811,0.7785310734463277,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,120,0.7395439156131264,0.7800376647834275,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,121,0.745238907715945,0.783427495291902,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,122,0.7465264392136758,0.7853107344632768,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,123,0.7470714018484864,0.7868173258003767,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,124,0.748717754404426,0.7883239171374764,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,125,0.7511996001286417,0.7928436911487758,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,126,0.7529752818281564,0.7958568738229755,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,127,0.7545220527175877,0.7988700564971751,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,128,0.7556969079470044,0.8015065913370998,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,129,0.7602417587261647,0.8030131826741996,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,130,0.7645380415470974,0.8056497175141243,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,131,0.7663765099127624,0.8071563088512241,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,132,0.7682021810580625,0.8086629001883239,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,133,0.7700168213965444,0.8109227871939736,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,134,0.7704346720666717,0.8120527306967985,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,135,0.7713773350067878,0.8131826741996233,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,136,0.7720218803948776,0.8146892655367232,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,137,0.7777960991121899,0.8177024482109227,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,138,0.7783289854712566,0.8188323917137477,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,139,0.7792753891373255,0.8195856873822975,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,140,0.7804367602408576,0.8214689265536723,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,141,0.7811274921031376,0.8225988700564971,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,142,0.7824249064263171,0.824105461393597,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,143,0.784311817320953,0.8259887005649718,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,144,0.7845579408749771,0.8263653483992467,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,145,0.7895111773997124,0.8274952919020716,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,146,0.7896342391767245,0.8278719397363465,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,147,0.7943221108829699,0.8290018832391713,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,148,0.7991655240945839,0.8301318267419963,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,149,0.8001548760124044,0.831638418079096,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,150,0.8008006593588801,0.8335216572504708,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,151,0.806940287119392,0.8361581920903954,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,152,0.8074079243491268,0.8372881355932204,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,153,0.8105490026058182,0.8391713747645951,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,154,0.8114396022842594,0.8406779661016949,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,155,0.8127070586772388,0.8421845574387947,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,156,0.8131433686139179,0.8433145009416196,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,157,0.8135668229668689,0.8448210922787194,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,158,0.8159091720403895,0.8459510357815443,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,159,0.8186319025873878,0.848210922787194,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,160,0.8190130453380526,0.8489642184557439,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,161,0.8195521398271225,0.8504708097928437,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,162,0.8199884497638016,0.8512241054613936,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,163,0.8211295680597316,0.8519774011299435,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,164,0.821431031195468,0.8527306967984934,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,165,0.821621217578123,0.8531073446327684,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,166,0.8219077374980794,0.8538606403013183,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,167,0.8232433341674946,0.855743879472693,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,168,0.8258953776145171,0.8568738229755178,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,170,0.8266210213748643,0.8583804143126177,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,171,0.8277245236215456,0.8602636534839925,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,172,0.8325815912401194,0.8617702448210923,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,173,0.834459088393449,0.864406779661017,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,174,0.8364505398300524,0.8659133709981167,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,175,0.8406346402484624,0.8662900188323918,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,176,0.8413107036860321,0.8677966101694915,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,177,0.8458157436251724,0.8693032015065913,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,178,0.8467666755384474,0.8704331450094162,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,179,0.8476142452872361,0.871939736346516,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,180,0.8507115663761889,0.8738229755178908,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,181,0.8513915252270527,0.8749529190207156,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,182,0.8516123527491355,0.8757062146892656,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,183,0.8527198110741671,0.8768361581920904,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,184,0.8532429452290148,0.8783427495291902,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,185,0.8541682416287175,0.87984934086629,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,186,0.8549843582998059,0.8821092278719397,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,187,0.8556126777565772,0.8832391713747646,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,189,0.8569725103925605,0.8839924670433145,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,190,0.8573916689317931,0.8847457627118644,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,191,0.8583173181315009,0.8862523540489642,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,192,0.8590166807555497,0.887758945386064,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,193,0.8597837658322581,0.8888888888888888,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,194,0.8601908163254518,0.8896421845574388,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,195,0.8605571012105651,0.8907721280602636,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,196,0.861300941284949,0.8915254237288136,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,197,0.8615001841620162,0.8919020715630885,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,200,0.8616994270390834,0.8922787193973635,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,201,0.8618896134217384,0.8926553672316384,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,202,0.862240726743563,0.8934086629001883,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,204,0.866424827161973,0.8937853107344633,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,205,0.8677169758205996,0.8949152542372881,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,206,0.8679162186976668,0.8952919020715631,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,207,0.8688481319726763,0.896045197740113,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,208,0.8689643569842987,0.896421845574388,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,209,0.8692183916525594,0.8971751412429378,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,210,0.8693678238103598,0.8975517890772128,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,211,0.869549741219856,0.8979284369114877,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,212,0.8699823397696094,0.8990583804143126,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,213,0.8707892734217313,0.8998116760828625,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,214,0.8723086513009418,0.9009416195856874,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,216,0.8725547748549659,0.9013182674199623,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,217,0.8728536391705666,0.9016949152542372,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,220,0.873155102306303,0.9024482109227872,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,221,0.8740489783047815,0.903578154425612,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,223,0.8743070110630325,0.904331450094162,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,224,0.8744564432208329,0.9047080979284368,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,225,0.874921343267323,0.905084745762712,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,226,0.875111529649978,0.9054613935969869,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,227,0.8752088343108713,0.9058380414312618,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,229,0.8755076986264719,0.9062146892655368,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,230,0.876646726962153,0.9073446327683616,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,231,0.8769690316162322,0.9080979284369116,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,232,0.8774339316627222,0.9084745762711864,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,233,0.8778150261979853,0.9092278719397364,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,234,0.8781941081054945,0.9103578154425612,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,235,0.8786977498225252,0.9111111111111112,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,236,0.8798071703880127,0.912241054613936,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,237,0.8811750493709545,0.912994350282486,2655,239,"equal weight per crossing query, equal products within query"
