claim_id,manuscript_location,claim,dataset,encoder,intervention,cutoff,schedule_family,queries,pairs,query_support,relevance_definition,weighting,comparator,source_file,source_columns,source_selector,run_id,model_revision,serializer_revision,repository_revision,full_precision_recomputation,manuscript_value,formatted_recomputation,display_scale,display_decimals,status,discrepancy,bootstrap_population,bootstrap_pairing,bootstrap_resamples,bootstrap_seed,ci_low,ci_high,interval,notes,ci_units,resolution
S6-0011,p6 RQ1 paragraphs 1–2,target_only fully_fitting VI range min,wands,bge_base,target_only,20,original seven,239,6797,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,wands/target_only/fully_fitting/K20/bge_base,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.071604002889741003,7.16,7.16,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.057710088920954201,0.087316470921764894,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0012,p6 RQ1 paragraphs 1–2,target_only fully_fitting VI range max,wands,gte_modernbert,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,wands/target_only/fully_fitting/K20/gte_modernbert,revision_section6_20260924 (executed 2026-09-25),e7f32e3c00f91d699e8c43b53106206bcc72bb22,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.1455063312533377,14.55,14.55,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.1284425932083342,0.1631562354808283,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0013,p6 RQ1 paragraphs 1–2,target_only fully_fitting VI range min,esci,bge_base,target_only,20,original seven,488,3587,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,esci/target_only/fully_fitting/K20/bge_base,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.025527283248947201,2.55,2.55,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.018684840148412301,0.033155603461303397,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0014,p6 RQ1 paragraphs 1–2,target_only fully_fitting VI range max,esci,gte_modernbert,target_only,20,original seven,499,4434,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,range across separate query-macro estimates; no pooling,,tables/inclusion_complete.csv,VI,esci/target_only/fully_fitting/K20/gte_modernbert,revision_section6_20260924 (executed 2026-09-25),e7f32e3c00f91d699e8c43b53106206bcc72bb22,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.058833297431182,5.88,5.88,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.048260698162853499,0.070190907720132797,95% unadjusted paired query-cluster percentile,Range of encoder point estimates; not a confidence interval or matched causal contrast.,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0015,p7 Figure 3,full VI,wands,minilm,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,query_macro,,tables/inclusion_complete.csv,VI,wands/minilm/target_only/full/K20,revision_section6_20260924 (executed 2026-09-25),1110a243fdf4706b3f48f1d95db1a4f5529b4d41,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.19446508831837639,19.45,19.45,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.17117692686520231,0.21943483597560451,95% unadjusted paired query-cluster percentile,,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0016,p7 Figure 3,full queries,wands,minilm,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,queries,wands/minilm/target_only/full/K20,revision_section6_20260924 (executed 2026-09-25),1110a243fdf4706b3f48f1d95db1a4f5529b4d41,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,308,308,308,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0017,p7 Figure 3,full pairs,wands,minilm,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,pairs,wands/minilm/target_only/full/K20,revision_section6_20260924 (executed 2026-09-25),1110a243fdf4706b3f48f1d95db1a4f5529b4d41,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,21299,21299,21299,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0018,p7 Figure 3,fully_fitting VI,wands,minilm,target_only,20,original seven,118,925,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,query_macro,,tables/inclusion_complete.csv,VI,wands/minilm/target_only/fully_fitting/K20,revision_section6_20260924 (executed 2026-09-25),1110a243fdf4706b3f48f1d95db1a4f5529b4d41,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.1059200326030364,10.59,10.59,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.070149551821354905,0.1450896585650408,95% unadjusted paired query-cluster percentile,,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0019,p7 Figure 3,fully_fitting queries,wands,minilm,target_only,20,original seven,118,925,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,queries,wands/minilm/target_only/fully_fitting/K20,revision_section6_20260924 (executed 2026-09-25),1110a243fdf4706b3f48f1d95db1a4f5529b4d41,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,118,118,118,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0020,p7 Figure 3,fully_fitting pairs,wands,minilm,target_only,20,original seven,118,925,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,pairs,wands/minilm/target_only/fully_fitting/K20,revision_section6_20260924 (executed 2026-09-25),1110a243fdf4706b3f48f1d95db1a4f5529b4d41,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,925,925,925,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0021,p7 Figure 3,full VI,wands,bge_base,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,query_macro,,tables/inclusion_complete.csv,VI,wands/bge_base/target_only/full/K20,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.1083173463674557,10.83,10.83,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.0929123020246828,0.12547551318148389,95% unadjusted paired query-cluster percentile,,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0022,p7 Figure 3,full queries,wands,bge_base,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,queries,wands/bge_base/target_only/full/K20,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,308,308,308,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0023,p7 Figure 3,full pairs,wands,bge_base,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,pairs,wands/bge_base/target_only/full/K20,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,21299,21299,21299,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0024,p7 Figure 3,fully_fitting VI,wands,bge_base,target_only,20,original seven,239,6797,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,query_macro,,tables/inclusion_complete.csv,VI,wands/bge_base/target_only/fully_fitting/K20,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.071604002889741003,7.16,7.16,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.057710088920954201,0.087316470921764894,95% unadjusted paired query-cluster percentile,,"raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0025,p7 Figure 3,fully_fitting queries,wands,bge_base,target_only,20,original seven,239,6797,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,queries,wands/bge_base/target_only/fully_fitting/K20,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,239,239,239,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0026,p7 Figure 3,fully_fitting pairs,wands,bge_base,target_only,20,original seven,239,6797,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,pairs,wands/bge_base/target_only/fully_fitting/K20,revision_section6_20260924 (executed 2026-09-25),a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,6797,6797,6797,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,,not applicable,verified against saved evidence
S6-0027,p7 Figure 3,full VI,wands,gte_modernbert,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,query_macro,,tables/inclusion_complete.csv,VI,wands/gte_modernbert/target_only/full/K20,revision_section6_20260924 (executed 2026-09-25),e7f32e3c00f91d699e8c43b53106206bcc72bb22,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,0.1455063312533377,14.55,14.55,100,2,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,0.1284425932083342,0.1631562354808283,95% unadjusted paired query-cluster percentile,"GTE full and fitting are the same estimate, displayed once in revised asset.","raw metric units, before display_scale; a direction predicate retains its underlying delta interval",verified against saved evidence
S6-0028,p7 Figure 3,full queries,wands,gte_modernbert,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,queries,wands/gte_modernbert/target_only/full/K20,revision_section6_20260924 (executed 2026-09-25),e7f32e3c00f91d699e8c43b53106206bcc72bb22,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,308,308,308,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,"GTE full and fitting are the same estimate, displayed once in revised asset.",not applicable,verified against saved evidence
S6-0029,p7 Figure 3,full pairs,wands,gte_modernbert,target_only,20,original seven,308,21299,308 WANDS eligible heldout / 499 ESCI eligible sampled; fitting queries restricted to nonempty target support,WANDS Exact / ESCI E for inclusion; nDCG direct gains WANDS 3/1/0 and ESCI 1/.1/.01/0,integer count or structural audit predicate; no averaging unless explicitly stated,,tables/inclusion_complete.csv,pairs,wands/gte_modernbert/target_only/full/K20,revision_section6_20260924 (executed 2026-09-25),e7f32e3c00f91d699e8c43b53106206bcc72bb22,0751cdb3cabd54e3d7256b5dd0d6a3ebebaa2d826fda080b24ee31ed0a34e027,13531f653db51234d70c51ae4b107e73f92a912d,21299,21299,21299,1,0,PASS,,eligible queries within the named support,same query sampled jointly across compared conditions; all its products retained,10000,2026091701,,,not applicable to count or range; endpoint CIs in companion,"GTE full and fitting are the same estimate, displayed once in revised asset.",not applicable,verified against saved evidence
