dataset,model,method,catalog_size,dimension,dtype,requested_view_budget,index_vectors,vectors_per_product,dense_array_bytes,sparse_array_bytes,mean_distinct_text_views,mean_distinct_vectors,offline_cache_construction_seconds,encoded_items,offline_scope,query_encoding_cache_seconds,source_ids,unmeasured,single_query_encode_ms_median,single_query_encode_ms_p95,score_ms_median,score_ms_p95,sort_ms_median,sort_ms_p95,exact_retrieval_ms_median,exact_retrieval_ms_p95,timing_queries,timing_repeats,timing_scope
wands,bge_base,raw_C0,42994,768,float32,1,42994,1,132077568,0,1.0,1.0,244.06537103652957,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase2\results\embeddings\wands_bge_base_native_C0_3a16535a80738388b384.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,4.654749995097518,5.653519963379948,3.893249959219247,4.301114974077791,8.56144999852404,9.7438849741593,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
wands,bge_base,raw_seven,42994,768,float32,1,42994,1,132077568,0,1.0,1.0,244.06537103652957,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase2\results\embeddings\wands_bge_base_native_C0_3a16535a80738388b384.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,,,,,,,,,
wands,bge_base,lexical_ascending,42994,768,float32,1,42994,1,132077568,0,1.0,1.0,214.5103850364685,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase4\results\embeddings\wands_bge_base_canonical_raw_2b9aab5b9c4c396c8958.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,,,,,,,,,
wands,bge_base,lexical_descending,42994,768,float32,1,42994,1,132077568,0,1.0,1.0,856.1758875846863,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,revision_evidence_20260917\experiments\embeddings\wands_bge_base_lexical_descending_54af0b59e9821f1e61a6.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,,,,,,,,,
wands,bge_base,field_priority_type,42994,768,float32,1,42994,1,132077568,0,1.0,1.0,825.9753460884094,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,revision_evidence_20260917\experiments\embeddings\wands_bge_base_field_priority_type_255c1261999473a04508.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,,,,,,,,,
wands,bge_base,set_mean,42994,768,float32,1,42994,1,132077568,0,,1.0,73.27399802207947,172145.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase3\results\phase3_invariant_method\embeddings\wands_title_description_fe78b7811d90909e8d1b.npy;phase3\results\phase3_invariant_method\embeddings\wands_unique_attributes_954681113390ebb5224d.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,,,,,,,,,
wands,bge_base,centroid_2,42994,768,float32,2,42994,1,132077568,0,1.9993952644555053,1.99846490207936,457.0681571960449,85988.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase4\results\embeddings\wands_bge_base_view1_4701f4c51a662ce874be.npy;phase4\results\embeddings\wands_bge_base_view2_09e5e8d91d95321f933d.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,4.423099977429956,5.2696550148539245,3.876300062984228,4.162400029599667,8.310050005093217,9.29532993468456,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
wands,bge_base,max_2,42994,768,float32,2,85988,2,264155136,0,1.9993952644555053,1.99846490207936,457.0681571960449,85988.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase4\results\embeddings\wands_bge_base_view1_4701f4c51a662ce874be.npy;phase4\results\embeddings\wands_bge_base_view2_09e5e8d91d95321f933d.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,9.125550044700503,11.245989939197896,3.944550000596792,4.558520071441308,13.112650020048022,15.752410003915427,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
wands,bge_base,BM25,42994,768,float32,1,0,0,0,52659768,,,,,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",,,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
wands,bge_base,hybrid_seven,42994,768,float32,1,42994,1,132077568,52659768,1.0,1.0,244.06537103652957,42994.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase2\results\embeddings\wands_bge_base_native_C0_3a16535a80738388b384.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,11.54589996440336,14.197645062813535,3.669199999421835,3.981584985740483,15.175850014202297,18.036320008104667,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
wands,bge_base,centroid_4,42994,768,float32,4,42994,1,132077568,0,3.998022979950691,3.9952318928222543,913.0003716945648,171976.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase4\results\embeddings\wands_bge_base_view1_4701f4c51a662ce874be.npy;phase4\results\embeddings\wands_bge_base_view2_09e5e8d91d95321f933d.npy;phase4\results\embeddings\wands_bge_base_view3_c6e5c3a72b1fa0bcf62c.npy;phase4\results\embeddings\wands_bge_base_view4_1396b025a95bf6bc4abc.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,4.442100005690008,5.166364990873262,3.840650024358183,4.058859939686954,8.305299968924373,9.032750030746683,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
wands,bge_base,max_4,42994,768,float32,4,171976,4,528310272,0,3.998022979950691,3.9952318928222543,913.0003716945648,171976.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase4\results\embeddings\wands_bge_base_view1_4701f4c51a662ce874be.npy;phase4\results\embeddings\wands_bge_base_view2_09e5e8d91d95321f933d.npy;phase4\results\embeddings\wands_bge_base_view3_c6e5c3a72b1fa0bcf62c.npy;phase4\results\embeddings\wands_bge_base_view4_1396b025a95bf6bc4abc.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,17.06904999446124,19.11244501243345,3.795749973505736,4.007434949744492,20.88904997799545,22.911689995089542,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
wands,bge_base,centroid_7,42994,768,float32,7,42994,1,132077568,0,6.995487742475694,6.989859050100014,1555.9125182628632,300958.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase4\results\embeddings\wands_bge_base_view1_4701f4c51a662ce874be.npy;phase4\results\embeddings\wands_bge_base_view2_09e5e8d91d95321f933d.npy;phase4\results\embeddings\wands_bge_base_view3_c6e5c3a72b1fa0bcf62c.npy;phase4\results\embeddings\wands_bge_base_view4_1396b025a95bf6bc4abc.npy;phase4\results\embeddings\wands_bge_base_view5_081b4ff81b054403251c.npy;phase4\results\embeddings\wands_bge_base_view6_9a965f7cc62ecebe237b.npy;phase4\results\embeddings\wands_bge_base_view7_1957bc4b6e6d54120170.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,4.500950046349317,6.081255024764687,3.826900036074221,4.311095050070435,8.37035005679354,10.328115004813297,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
wands,bge_base,max_7,42994,768,float32,7,300958,7,924542976,0,6.995487742475694,6.989859050100014,1555.9125182628632,300958.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.3707048892974853,phase4\results\embeddings\wands_bge_base_view1_4701f4c51a662ce874be.npy;phase4\results\embeddings\wands_bge_base_view2_09e5e8d91d95321f933d.npy;phase4\results\embeddings\wands_bge_base_view3_c6e5c3a72b1fa0bcf62c.npy;phase4\results\embeddings\wands_bge_base_view4_1396b025a95bf6bc4abc.npy;phase4\results\embeddings\wands_bge_base_view5_081b4ff81b054403251c.npy;phase4\results\embeddings\wands_bge_base_view6_9a965f7cc62ecebe237b.npy;phase4\results\embeddings\wands_bge_base_view7_1957bc4b6e6d54120170.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,12.28914997773245,15.895250055473296,32.58780000032857,40.3752549784258,4.100600024685264,5.13929005828686,36.731749947648495,45.41156500345096,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
esci,minilm,raw_C0,10076,384,float32,1,10076,1,15476736,0,1.0,1.0,18.25530481338501,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.723548412322998,phase2\results\embeddings\esci_minilm_native_C0_688a66533b0c9836f4e7.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,minilm,raw_seven,10076,384,float32,1,10076,1,15476736,0,1.0,1.0,18.25530481338501,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.723548412322998,phase2\results\embeddings\esci_minilm_native_C0_688a66533b0c9836f4e7.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,minilm,lexical_ascending,10076,384,float32,1,10076,1,15476736,0,1.0,1.0,4.922369956970215,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.723548412322998,phase4\results\embeddings\esci_minilm_canonical_raw_2ed2685debe1121ea491.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,minilm,lexical_descending,10076,384,float32,1,10076,1,15476736,0,1.0,1.0,37.98568534851074,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.723548412322998,revision_evidence_20260917\experiments\embeddings\esci_minilm_lexical_descending_819abb9b8b05e5a6319b.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,minilm,field_priority_type,10076,384,float32,1,10076,1,15476736,0,1.0,1.0,38.39629769325256,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.723548412322998,revision_evidence_20260917\experiments\embeddings\esci_minilm_field_priority_type_6fb7acfae5d5b6da5416.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,minilm,set_mean,10076,384,float32,1,10076,1,15476736,0,,1.0,6.660904407501221,26370.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.723548412322998,phase4\results\embeddings\esci_minilm_nonattributes_601bde86caf59e0250d0.npy;phase4\results\embeddings\esci_minilm_atoms_afb0ad8951048aad61f9.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,minilm,centroid_2,10076,384,float32,2,10076,1,15476736,0,1.666732830488289,1.498610559745931,11.396148920059204,20152.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.723548412322998,phase4\results\embeddings\esci_minilm_view1_71dbf8885df202fd7a62.npy;phase4\results\embeddings\esci_minilm_view2_a8c73343b4e8701b23af.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,minilm,max_2,10076,384,float32,2,20152,2,30953472,0,1.666732830488289,1.498610559745931,11.396148920059204,20152.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.723548412322998,phase4\results\embeddings\esci_minilm_view1_71dbf8885df202fd7a62.npy;phase4\results\embeddings\esci_minilm_view2_a8c73343b4e8701b23af.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,minilm,BM25,10076,384,float32,1,0,0,0,8572308,,,,,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",,,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,minilm,hybrid_seven,10076,384,float32,1,10076,1,15476736,8572308,1.0,1.0,18.25530481338501,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.723548412322998,phase2\results\embeddings\esci_minilm_native_C0_688a66533b0c9836f4e7.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,bge_base,raw_C0,10076,768,float32,1,10076,1,30953472,0,1.0,1.0,52.71771001815796,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase2\results\embeddings\esci_bge_base_native_C0_1de2078d8697e6366c49.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,1.200250000692904,1.657005021115764,0.8947499445639551,0.9486350056249648,2.100500045344233,2.6070800377056,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
esci,bge_base,raw_seven,10076,768,float32,1,10076,1,30953472,0,1.0,1.0,52.71771001815796,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase2\results\embeddings\esci_bge_base_native_C0_1de2078d8697e6366c49.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,,,,,,,,,
esci,bge_base,lexical_ascending,10076,768,float32,1,10076,1,30953472,0,1.0,1.0,26.446452856063843,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase4\results\embeddings\esci_bge_base_canonical_raw_05cb6417bac7aa66b86e.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,,,,,,,,,
esci,bge_base,lexical_descending,10076,768,float32,1,10076,1,30953472,0,1.0,1.0,104.00932836532591,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,revision_evidence_20260917\experiments\embeddings\esci_bge_base_lexical_descending_9b839ae59fdd7ced8085.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,,,,,,,,,
esci,bge_base,field_priority_type,10076,768,float32,1,10076,1,30953472,0,1.0,1.0,105.48672032356262,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,revision_evidence_20260917\experiments\embeddings\esci_bge_base_field_priority_type_a52ee614849023cd28a5.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,,,,,,,,,
esci,bge_base,set_mean,10076,768,float32,1,10076,1,30953472,0,,1.0,30.381223678588867,26370.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase3\results\phase3_invariant_method\embeddings\esci_title_description_daaa4d539ffce579ad95.npy;phase3\results\phase3_invariant_method\embeddings\esci_unique_attributes_96cd42f4972bf4f214bc.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,,,,,,,,,
esci,bge_base,centroid_2,10076,768,float32,2,10076,1,30953472,0,1.666732830488289,1.620980547836443,53.531463384628296,20152.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase4\results\embeddings\esci_bge_base_view1_d132d089c6f6cb1fe48f.npy;phase4\results\embeddings\esci_bge_base_view2_8d4ea33a4f0ccb3553cf.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,1.1288000387139618,1.424180017784238,0.7981000235304236,0.9185949456878006,1.9426499493420124,2.312689967220649,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
esci,bge_base,max_2,10076,768,float32,2,20152,2,61906944,0,1.666732830488289,1.620980547836443,53.531463384628296,20152.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase4\results\embeddings\esci_bge_base_view1_d132d089c6f6cb1fe48f.npy;phase4\results\embeddings\esci_bge_base_view2_8d4ea33a4f0ccb3553cf.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,2.1811500773765147,2.6662350457627326,0.7736000115983188,0.8812750107608736,2.9629000346176326,3.518335014814511,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
esci,bge_base,BM25,10076,768,float32,1,0,0,0,8572308,,,,,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",,,matched cold build; ANN latency; sparse vocabulary/metadata overhead,,,,,,,,,,,
esci,bge_base,hybrid_seven,10076,768,float32,1,10076,1,30953472,8572308,1.0,1.0,52.71771001815796,10076.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase2\results\embeddings\esci_bge_base_native_C0_1de2078d8697e6366c49.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,3.344799974001944,4.256164969410746,0.7496000034734607,0.9287650114856651,4.104899941012263,5.093450058484449,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
esci,bge_base,centroid_4,10076,768,float32,4,10076,1,30953472,0,2.589519650655022,2.472012703453752,112.55648946762084,40304.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase4\results\embeddings\esci_bge_base_view1_d132d089c6f6cb1fe48f.npy;phase4\results\embeddings\esci_bge_base_view2_8d4ea33a4f0ccb3553cf.npy;phase4\results\embeddings\esci_bge_base_view3_d14252fecde38eb54d69.npy;phase4\results\embeddings\esci_bge_base_view4_b07c20fff496c32d5d35.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,1.0738999699242413,1.3572599738836286,0.7740999571979046,0.816224981099367,1.8506500055082145,2.1564250055234875,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
esci,bge_base,max_4,10076,768,float32,4,40304,4,123813888,0,2.589519650655022,2.472012703453752,112.55648946762084,40304.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase4\results\embeddings\esci_bge_base_view1_d132d089c6f6cb1fe48f.npy;phase4\results\embeddings\esci_bge_base_view2_8d4ea33a4f0ccb3553cf.npy;phase4\results\embeddings\esci_bge_base_view3_d14252fecde38eb54d69.npy;phase4\results\embeddings\esci_bge_base_view4_b07c20fff496c32d5d35.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,4.2707500397227705,4.953794990433379,0.7773000397719443,0.8360800158698108,5.053999950177968,5.763569986447692,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
esci,bge_base,centroid_7,10076,768,float32,7,10076,1,30953472,0,3.402242953552997,3.2077213179833266,198.9990670681,70532.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase4\results\embeddings\esci_bge_base_view1_d132d089c6f6cb1fe48f.npy;phase4\results\embeddings\esci_bge_base_view2_8d4ea33a4f0ccb3553cf.npy;phase4\results\embeddings\esci_bge_base_view3_d14252fecde38eb54d69.npy;phase4\results\embeddings\esci_bge_base_view4_b07c20fff496c32d5d35.npy;phase4\results\embeddings\esci_bge_base_view5_ba2bd698d9e797fca581.npy;phase4\results\embeddings\esci_bge_base_view6_5e17978dc596838bf19c.npy;phase4\results\embeddings\esci_bge_base_view7_ab8219724611557ed9e8.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,1.1250499519519508,1.599794998764991,0.80439995508641,0.8548699901439248,1.943750015925616,2.428364980733022,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
esci,bge_base,max_7,10076,768,float32,7,70532,7,216674304,0,3.402242953552997,3.2077213179833266,198.9990670681,70532.0,"historical cache construction sum, not matched cold end-to-end build; aggregation not included; raw/hybrid per schedule",0.4229938983917236,phase4\results\embeddings\esci_bge_base_view1_d132d089c6f6cb1fe48f.npy;phase4\results\embeddings\esci_bge_base_view2_8d4ea33a4f0ccb3553cf.npy;phase4\results\embeddings\esci_bge_base_view3_d14252fecde38eb54d69.npy;phase4\results\embeddings\esci_bge_base_view4_b07c20fff496c32d5d35.npy;phase4\results\embeddings\esci_bge_base_view5_ba2bd698d9e797fca581.npy;phase4\results\embeddings\esci_bge_base_view6_5e17978dc596838bf19c.npy;phase4\results\embeddings\esci_bge_base_view7_ab8219724611557ed9e8.npy,matched cold build; ANN latency; sparse vocabulary/metadata overhead,11.516699974890798,14.227265020599589,8.879899978637695,12.538234982639548,0.9043999598361552,1.1021000100299716,9.831950010266157,13.640439987648277,50.0,5.0,"historical BGE first 50 queries, four CPU threads, C0 index, five warm repeats; not held-out-only or ANN"
