dataset,model,method,reference,K,aggregation,metric,delta,ci_low,ci_high,eligible_queries,highest_pairs,interval,bootstrap_seed,bootstrap_draws
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,pair_micro,persistent_omission,0.05497910700032865,0.0477623786364267,0.0636991774362561,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,pair_micro,VI,-0.0977041175642049,-0.11339367671627772,-0.08469948408810832,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,pair_micro,mean_recall,-0.00018109502122835942,-0.00126582731630163,0.0009476015594767014,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,20,pair_micro,source_recall,0.00014085168317761382,-0.0015201798697520694,0.0018995852191241482,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,query_macro,persistent_inclusion,0.09560999783799416,0.07535927894899985,0.11753740145117082,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,query_macro,persistent_omission,-0.09560999783799416,-0.11753740145117082,-0.07535927894899988,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,query_macro,mean_recall,0.09560999783799416,0.07535927894899985,0.11753740145117082,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,query_macro,source_recall,0.09560999783799416,0.07535927894899985,0.11753740145117082,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,pair_micro,persistent_inclusion,0.04920418799004648,0.0361745444138808,0.06455476144831548,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,pair_micro,persistent_omission,-0.04920418799004648,-0.06455476144831548,-0.0361745444138808,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,pair_micro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,pair_micro,mean_recall,0.04920418799004648,0.0361745444138808,0.06455476144831548,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,lexical_ascending,100,pair_micro,source_recall,0.04920418799004648,0.0361745444138808,0.06455476144831548,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,query_macro,persistent_inclusion,0.02377543607689621,0.008988765637109269,0.03941213045643515,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,query_macro,persistent_omission,-0.02377543607689621,-0.03941213045643518,-0.008988765637109276,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,query_macro,mean_recall,0.02377543607689621,0.008988765637109269,0.03941213045643515,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,query_macro,source_recall,0.02377543607689621,0.008988765637109269,0.03941213045643515,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,pair_micro,persistent_inclusion,0.015024179538945491,0.005857922280646804,0.02472938845844387,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,pair_micro,persistent_omission,-0.015024179538945496,-0.02472938845844388,-0.005857922280646817,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,pair_micro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,pair_micro,mean_recall,0.015024179538945491,0.005857922280646804,0.02472938845844387,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,BM25,100,pair_micro,source_recall,0.015024179538945491,0.005857922280646804,0.02472938845844387,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,query_macro,persistent_inclusion,0.05451414994762904,0.044760982077345295,0.06543668264977533,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,query_macro,persistent_omission,0.05628191187746597,0.04731226372600361,0.06612999634226426,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,query_macro,VI,-0.11079606182509504,-0.1270400607319163,-0.0955866461294035,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,query_macro,mean_recall,0.0006244878289576554,-0.003681238383740703,0.005157324073343124,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,query_macro,source_recall,0.0028758650748629535,-0.00529967669848962,0.012761043213284674,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,pair_micro,persistent_inclusion,0.0665758955819522,0.059734074155346935,0.074236231896907,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,pair_micro,persistent_omission,0.08624818066575896,0.07747617881909095,0.09597030492982929,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,pair_micro,VI,-0.15282407624771116,-0.16880435907561792,-0.1381065760167377,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,pair_micro,mean_recall,-0.0022871630458841134,-0.004696405160924063,-0.00013999951389978137,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_ascending,raw_hybrid,100,pair_micro,source_recall,-0.00455420442274285,-0.007932016877170673,-0.0015893705995752142,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,query_macro,persistent_inclusion,0.06632286598371605,0.04587146040688888,0.08886846857313378,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,query_macro,persistent_omission,-0.06632286598371603,-0.08886846857313377,-0.0458714604068889,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,query_macro,mean_recall,0.06632286598371605,0.04587146040688888,0.08886846857313378,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,query_macro,source_recall,0.06632286598371605,0.04587146040688888,0.08886846857313378,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,pair_micro,persistent_inclusion,0.016150993004366402,0.011717234797099857,0.021671366200623064,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,pair_micro,persistent_omission,-0.016150993004366402,-0.021671366200623047,-0.011717234797099862,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,pair_micro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,pair_micro,mean_recall,0.016150993004366402,0.011717234797099857,0.021671366200623064,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,20,pair_micro,source_recall,0.016150993004366402,0.011717234797099857,0.021671366200623064,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,query_macro,persistent_inclusion,0.014684420427644854,-0.0011195365219107546,0.03164904009338783,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,query_macro,persistent_omission,-0.014684420427644848,-0.03164904009338782,0.0011195365219107511,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,query_macro,mean_recall,0.014684420427644854,-0.0011195365219107546,0.03164904009338783,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,query_macro,source_recall,0.014684420427644854,-0.0011195365219107546,0.03164904009338783,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,pair_micro,persistent_inclusion,0.007418188647354336,0.003881629395480953,0.011534754993972498,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,pair_micro,persistent_omission,-0.007418188647354336,-0.011534754993972501,-0.003881629395480952,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,pair_micro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,pair_micro,mean_recall,0.007418188647354336,0.003881629395480953,0.011534754993972498,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,20,pair_micro,source_recall,0.007418188647354336,0.003881629395480953,0.011534754993972498,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,query_macro,persistent_inclusion,0.06701273142033436,0.05450770316110931,0.08133830315108495,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,query_macro,persistent_omission,0.07000200121513547,0.05818411371226931,0.08331019662399312,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,query_macro,VI,-0.13701473263546982,-0.15616844626798757,-0.11907328644755615,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,query_macro,mean_recall,0.001704804241261293,-0.004995092067317042,0.00897045793274192,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,query_macro,source_recall,0.003295854236394846,-0.008794099587831915,0.015929282020159394,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,pair_micro,persistent_inclusion,0.04324146673552749,0.03718713037830677,0.050529321773723,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,pair_micro,persistent_omission,0.054462650828677406,0.047134336774635306,0.06328264637831275,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,pair_micro,VI,-0.0977041175642049,-0.11339367671627772,-0.08469948408810832,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,pair_micro,mean_recall,0.00033536115042289154,-0.0009622247172533541,0.0017103327661049884,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,20,pair_micro,source_recall,0.0006573078548288644,-0.0009281280866005222,0.0023140056112668323,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,query_macro,persistent_inclusion,0.09125530269743327,0.0719142491071668,0.11190365583264188,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,query_macro,persistent_omission,-0.09125530269743327,-0.11190365583264188,-0.0719142491071668,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,query_macro,mean_recall,0.09125530269743327,0.0719142491071668,0.11190365583264188,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,query_macro,source_recall,0.09125530269743327,0.0719142491071668,0.11190365583264188,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,pair_micro,persistent_inclusion,0.047326165547678295,0.03431856102376378,0.06253604628626472,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,pair_micro,persistent_omission,-0.047326165547678295,-0.06253604628626473,-0.034318561023763794,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,pair_micro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,pair_micro,mean_recall,0.047326165547678295,0.03431856102376378,0.06253604628626472,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,lexical_descending,100,pair_micro,source_recall,0.047326165547678295,0.03431856102376378,0.06253604628626472,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,query_macro,persistent_inclusion,0.02054572293892158,0.0051642440078033145,0.03660783952909375,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,query_macro,persistent_omission,-0.020545722938921585,-0.03660783952909376,-0.005164244007803351,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,query_macro,mean_recall,0.02054572293892158,0.0051642440078033145,0.03660783952909375,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,query_macro,source_recall,0.02054572293892158,0.0051642440078033145,0.03660783952909375,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,pair_micro,persistent_inclusion,0.0171369547866097,0.007063716206800277,0.02775127399808629,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,pair_micro,persistent_omission,-0.017136954786609704,-0.02775127399808629,-0.007063716206800276,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,pair_micro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,pair_micro,mean_recall,0.0171369547866097,0.007063716206800277,0.02775127399808629,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,BM25,100,pair_micro,source_recall,0.0171369547866097,0.007063716206800277,0.02775127399808629,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,query_macro,persistent_inclusion,0.05128443680965442,0.041965705736430776,0.06182928787514405,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,query_macro,persistent_omission,0.059511625015440606,0.049977781890527255,0.06972604589240862,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,query_macro,VI,-0.11079606182509504,-0.1270400607319163,-0.0955866461294035,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,query_macro,mean_recall,-0.002605225309016966,-0.007111777520170457,0.002056080630212995,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,query_macro,source_recall,-0.00035384806311166924,-0.008246647541989052,0.009364218919100319,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,pair_micro,persistent_inclusion,0.06868867082961641,0.0607845861715116,0.07763296400932032,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,pair_micro,persistent_omission,0.08413540541809475,0.07612254005226952,0.09293855726856881,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,pair_micro,VI,-0.15282407624771116,-0.16880435907561792,-0.1381065760167377,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,pair_micro,mean_recall,-0.00017438779821990377,-0.002850746917712479,0.0024574816395187475,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_lexical_descending,raw_hybrid,100,pair_micro,source_recall,-0.0024414291750786406,-0.005984992172822307,0.0008572470040503448,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,query_macro,persistent_inclusion,0.07374182541991064,0.053223838219719974,0.09676886403033953,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,query_macro,persistent_omission,-0.07374182541991064,-0.09676886403033952,-0.05322383821971998,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,query_macro,mean_recall,0.07374182541991064,0.053223838219719974,0.09676886403033953,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,query_macro,source_recall,0.07374182541991064,0.053223838219719974,0.09676886403033953,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,pair_micro,persistent_inclusion,0.015681487393774354,0.011357989694674683,0.02095538352398505,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,pair_micro,persistent_omission,-0.015681487393774354,-0.02095538352398505,-0.011357989694674686,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,pair_micro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,pair_micro,mean_recall,0.015681487393774354,0.011357989694674683,0.02095538352398505,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,pair_micro,source_recall,0.015681487393774354,0.011357989694674683,0.02095538352398505,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,BM25,20,query_macro,persistent_inclusion,0.01875273646691252,0.0018730013941966664,0.03689661671634205,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,BM25,20,query_macro,persistent_omission,-0.01875273646691252,-0.036896616716342055,-0.0018730013941966716,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,BM25,20,query_macro,VI,0.0,0.0,0.0,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,BM25,20,query_macro,mean_recall,0.01875273646691252,0.0018730013941966664,0.03689661671634205,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,BM25,20,query_macro,source_recall,0.01875273646691252,0.0018730013941966664,0.03689661671634205,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
wands,minilm,canonical_hybrid_field_priority_type,BM25,20,pair_micro,persistent_inclusion,0.007277336964176722,0.0036893914944865374,0.011549121573118158,308,21299,uncorrected 95% paired query-cluster percentile,2026091701,10000
