dataset,model,method,reference,K,eligible_queries,highest_pairs,retained,retained_ci_low,retained_ci_high,newly_included,newly_included_ci_low,newly_included_ci_high,newly_omitted,newly_omitted_ci_low,newly_omitted_ci_high,absent_in_both,absent_in_both_ci_low,absent_in_both_ci_high,delta_recall,delta_recall_ci_low,delta_recall_ci_high
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s2,20,499,4434,0.7445102955313426,0.7175078873916098,0.7706287656188812,0.005817854842827356,0.003421913504240883,0.008769952242050993,0.0038282322708074706,0.00225916073271485,0.005655242970198426,0.24584361735502264,0.22028289745031684,0.2723937320567466,0.0019896225720198854,-0.0007842635423377403,0.0051141731893754525
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s2,100,499,4434,0.9149653930524961,0.8954262056123511,0.93313138522255,0.0007329329696890907,8.713078330574191e-05,0.0016153050291980325,0.002923431089545928,0.0003412622346141558,0.0075137552773531235,0.08137824288826878,0.06394157188491206,0.10003175065476133,-0.002190498119856837,-0.006895351097818533,0.0006415292706625367
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s3,20,499,4434,0.7438215570437303,0.7167253581774491,0.7700707208597622,0.0065065933304394525,0.003847652962647657,0.00965181180946413,0.005078509027467839,0.0031576593277723992,0.007274637245956179,0.24459334059836227,0.21907327332831208,0.27097167394283317,0.0014280843029716144,-0.0011960730139299808,0.0043888586805011735
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s3,100,499,4434,0.9150525238358019,0.8955710026963228,0.9331746747952198,0.0006458021863833486,6.2625250501002e-05,0.0015036687130875507,0.0007965064327789779,0.000167000668002672,0.0016467052069506977,0.08350516754503572,0.06548014748019017,0.10283849142613428,-0.00015070424639562917,-0.0012048153847377297,0.0009056389896194497
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s4,20,499,4434,0.7449748488076553,0.7182091032492964,0.7708672211325884,0.005353301566514658,0.0033664807348019357,0.007555737656028133,0.0048040205095807595,0.002912753138021762,0.006864477603742023,0.24486782911624935,0.2195165727011284,0.2715691645923534,0.000549281056933899,-0.0019151821907110803,0.0029524961033354277
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s4,100,499,4434,0.9146942574454715,0.8952527016293035,0.9328175286094681,0.0010040685767138673,0.000229625918503674,0.0019664118377169474,0.001031825555873652,7.1571714858288e-05,0.002630260521042084,0.08326984842194106,0.06523625600806617,0.10274800892841872,-2.7756979159784727e-05,-0.001822022020230938,0.001398655445812259
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s5,20,499,4434,0.7439928943339048,0.7171774720501288,0.7701341557655679,0.006335256040265097,0.0037818339101102676,0.009511179593574353,0.0033148868284314675,0.0019367943885710956,0.00484025885660688,0.24635696279739866,0.22080848576376294,0.27294125454915985,0.003020369211833629,0.0004355888221643148,0.006164413509148838
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_C2s5,100,499,4434,0.9155869922435169,0.8962082735122026,0.933695404899684,0.000111333778668448,0.0,0.000334001336005344,0.0013094370559300417,0.000167000668002672,0.003006012024048096,0.08299223692188466,0.0649847497484521,0.1024526600978534,-0.001198103277261594,-0.0028959750308698204,-5.5666889334224e-05
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_seven_mean,20,499,4434,0.7443239106454108,0.7173744461086834,0.7703521153905106,0.006004239728759024,0.004104713659135475,0.008095262365334753,0.004058325799135664,0.002791924862862257,0.005487972005736362,0.24561352382669444,0.2201399721613591,0.27209929418237705,0.0019459139296233593,1.1407263388324136e-05,0.004018638272715542
esci,bge_base,canonical_hybrid_field_priority_type,raw_hybrid_seven_mean,100,499,4434,0.9148334310963424,0.895323362462181,0.9328968212774974,0.0008648949258429087,0.00040429738297912543,0.0014265024635027057,0.0012676242485239362,0.0004515808289699239,0.002289459585865285,0.08303404972929077,0.06519689567349991,0.10223863479300704,-0.0004027293226810274,-0.0014981746276711983,0.000554111800712144
esci,bge_base,canonical_hybrid_lexical_ascending,BM25,20,499,4434,0.6605028515306133,0.6295427918615825,0.6906170414044047,0.0895747978415527,0.07441732700322516,0.10603974667831992,0.016347731695227283,0.012228061278910053,0.020962905914250582,0.23357461893260684,0.20863089390080222,0.25983351082662576,0.07322706614632542,0.05730920872975719,0.09019795818870145
esci,bge_base,canonical_hybrid_lexical_ascending,BM25,100,499,4434,0.8273828741382911,0.8015000382784931,0.8523644126204662,0.08816129742112247,0.07165295141962742,0.10568331204145923,0.0009362742579175445,0.000167000668002672,0.001860344620865663,0.08351955418266885,0.06559750254531402,0.10285125150418,0.08722502316320492,0.0706335546184873,0.1046263084477145
esci,bge_base,canonical_hybrid_lexical_ascending,lexical_ascending,20,499,4434,0.6800141085073421,0.6511413672140405,0.7084796841436793,0.07006354086482369,0.05778136437595365,0.08327185947303083,0.05840166966114048,0.04654696806651701,0.0716110553272017,0.1915206809666936,0.16814540010588125,0.21569445943655702,0.011661871203683208,-0.006752740106079988,0.029794871648292358
esci,bge_base,canonical_hybrid_lexical_ascending,lexical_ascending,100,499,4434,0.8958362825708793,0.8751141792238304,0.9155988871640558,0.01970788898853419,0.013812096289109137,0.026612922778065932,0.014614629723214286,0.009485235455758625,0.02093889423032618,0.06984119871737211,0.05323835109607312,0.08773734560721362,0.0050932592653199025,-0.00324689424899343,0.01348021391490337
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C0,20,499,4434,0.7426589756537528,0.7155360622436918,0.7688327909066075,0.007418673718413157,0.004151725067606653,0.011239649752375637,0.0038766135334271606,0.0019224121945189078,0.006255946166392058,0.24604573709440694,0.22041111018855433,0.2726238287025959,0.003542060184985996,1.4501777513094188e-05,0.007492211669907195
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C0,100,499,4434,0.9144380470189203,0.8949643410504184,0.9325865302187608,0.001106124540493278,0.00031080679878275067,0.0020919127632554485,0.0006250596430957152,7.1571714858288e-05,0.0014171199541941023,0.08383076879749067,0.06581291602975273,0.1033217147930882,0.0004810648973975627,-0.0005451345813319761,0.0015929963559597822
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C1,20,499,4434,0.7454299434074032,0.7185200122435358,0.7713463098422493,0.004647705964762646,0.002876087751980649,0.006674777657659147,0.0038924531015613675,0.00231291243586676,0.0057198164425227545,0.24602989752627275,0.22061860244765927,0.2724927238712697,0.0007552528632012786,-0.001560710834383052,0.003094709220359754
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C1,100,499,4434,0.9142749002124869,0.8948056951581962,0.9323254318476211,0.0012692713469266573,0.000334001336005344,0.002484333746858797,0.0014552933488630971,0.00032115513077436925,0.003117589993651899,0.08300053509172331,0.0649345169704651,0.10248608858199854,-0.00018602200193643955,-0.002121752719755791,0.0015317630209914779
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s1,20,499,4434,0.7443361075690785,0.7175195180753182,0.7702681846812703,0.005741541803087462,0.0033684634433412673,0.008691348443416517,0.004156317493682273,0.0025830937381166874,0.005934394668442054,0.24576603313415185,0.22019189543401407,0.27248637372333623,0.0015852243094051895,-0.0009908541534564812,0.004627930877228941
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s1,100,499,4434,0.9145135949401596,0.8950923500347017,0.9325771884024057,0.0010305766192539737,0.000229625918503674,0.002038882022286331,0.0010401255391235351,0.00018218254691200583,0.0020735005642320255,0.08341570290146287,0.0653812307359569,0.10275900404942649,-9.548919869561233e-06,-0.0012641456670139037,0.0012357044953487837
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s2,20,499,4434,0.7444894204478423,0.7174796381726086,0.7706206052845991,0.0055882289243236825,0.0032462319228021455,0.00850935269020922,0.0038491073543078054,0.0022735003664461264,0.005687323494345204,0.24607324327352628,0.2206096293051546,0.2727241043836579,0.0017391215700158773,-0.0009997570106526409,0.004852322928417068
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s2,100,499,4434,0.9148112385897245,0.8951775944242621,0.9330151887929768,0.0007329329696890907,8.713078330574191e-05,0.0016153050291980325,0.003077585552317625,0.00046613554607803973,0.007706602269096821,0.08137824288826878,0.06394157188491206,0.10003175065476133,-0.0023446525826285344,-0.007130102464521302,0.000521612007082948
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s3,20,499,4434,0.7437171816262287,0.7165610706269402,0.7700089864108479,0.006360467745937115,0.0037312272316865963,0.00947698416098479,0.00518288444496951,0.003231665528249889,0.007436893285408527,0.24473946618286463,0.2192196514590374,0.2711809428721822,0.0011775833009676064,-0.0014723200636191645,0.00421330782387196
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s3,100,499,4434,0.9148983693730302,0.8954100447846552,0.9329536771447814,0.0006458021863833486,6.2625250501002e-05,0.0015036687130875507,0.0009506608955506752,0.0002537542617702939,0.001844941339555568,0.08350516754503572,0.06548014748019017,0.10283849142613428,-0.00030485870916732645,-0.0013882420602109977,0.0007721216404207383
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s4,20,499,4434,0.7448913484736539,0.7180860375231018,0.770751168822583,0.005186300898511986,0.003241691339329451,0.007339709530400386,0.004887520843582095,0.0029877814756646827,0.006972588797153658,0.245034829784252,0.21960763275374368,0.2716272476267611,0.0002987800549298911,-0.0021008684158811647,0.0026575066789029096
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s4,100,499,4434,0.9145401029826997,0.8951335224942495,0.9326361236940741,0.0010040685767138673,0.000229625918503674,0.0019664118377169474,0.001185980018645349,0.00015415446277169725,0.002802457020267639,0.08326984842194106,0.06523625600806617,0.10274800892841872,-0.00018191144193148193,-0.0019981660512722638,0.001279518362121067
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s5,20,499,4434,0.7438885189164032,0.7170628243480645,0.76999267628809,0.006189130455762759,0.0036581157051853875,0.00936776565877429,0.0034192622459331377,0.0019840348798420377,0.005024958811175,0.24650308838190096,0.22099241996188163,0.2730309997851161,0.002769868209829621,0.00012946023972712907,0.005968101579456631
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_C2s5,100,499,4434,0.9154328377807451,0.8959533840829096,0.9335136027265079,0.000111333778668448,0.0,0.000334001336005344,0.001463591518701739,0.0003083089255433945,0.0031601664868197935,0.08299223692188466,0.0649847497484521,0.1024526600978534,-0.0013522577400332913,-0.003064014587060679,-0.000167000668002672
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_seven_mean,20,499,4434,0.7442016422991947,0.7172892918314296,0.7701810322277458,0.005876007072971258,0.003980504046707544,0.007957759597111102,0.004180594145351907,0.002884751646521803,0.0056283355717531725,0.24574175648248223,0.22032820053581015,0.2722552274591576,0.0016954129276193512,-0.0002539186575204628,0.0037564831510573642
esci,bge_base,canonical_hybrid_lexical_ascending,raw_hybrid_seven_mean,100,499,4434,0.9147012986996809,0.895234051264271,0.932766560307704,0.0008428728597326662,0.00038408054401220857,0.0014037978849550752,0.001399756645185391,0.0005565359616629858,0.0024543478849451037,0.08305607179540102,0.06520896728748203,0.10228893729860804,-0.0005568837854527247,-0.0016932483444972708,0.00042025474086801695
esci,bge_base,canonical_hybrid_lexical_descending,BM25,20,499,4434,0.6602651858512883,0.6293086453233753,0.6904990915642606,0.08734856572508345,0.07234933930806449,0.10385383311783834,0.01658539737455214,0.01233444650027588,0.02137441439439846,0.23580085104907608,0.21034271152742678,0.2618063199832687,0.0707631683505313,0.054828669126899945,0.08769417632441369
esci,bge_base,canonical_hybrid_lexical_descending,BM25,100,499,4434,0.8275081246392931,0.8016699131660106,0.8524608036630996,0.08800861712064657,0.07145826759519214,0.10558327814883522,0.0008110237569155405,0.00015415446277169725,0.0017094873507699146,0.08367223448314474,0.06578170669098712,0.10296988004495122,0.08719759336373102,0.07055658790133658,0.10475668221626006
esci,bge_base,canonical_hybrid_lexical_descending,lexical_descending,20,499,4434,0.678043400835953,0.6490666860338201,0.7067702389779477,0.0695703507404188,0.057428295399117354,0.08242847538639489,0.0579186105616135,0.04608913605195395,0.07088705764543421,0.1944676378620147,0.17093626414793883,0.21848361333825952,0.011651740178805301,-0.006532476699201674,0.029648370610032868
esci,bge_base,canonical_hybrid_lexical_descending,lexical_descending,100,499,4434,0.8959512815961991,0.8752177973877574,0.9155961920429986,0.019565460163740635,0.013580217170413132,0.026574907054187982,0.014177946275858465,0.009318625381353272,0.02025020250414761,0.07030531196420181,0.053549335763138375,0.08820458530646856,0.005387513887882171,-0.0028483377146231105,0.01372639291506214
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C0,20,499,4434,0.7422277717538766,0.7153318077115609,0.7686838919888925,0.005385979822495236,0.003037417636226828,0.008386936612465912,0.004307817433303347,0.002447597324542518,0.0064605880124975305,0.24807843099032487,0.22220994365526134,0.2747429510239727,0.0010781623891918894,-0.0019502932756453183,0.0043869727468435725
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C0,100,499,4434,0.9138546856792638,0.894392412950203,0.9318607302949605,0.0016620560806759291,0.0004536665303851851,0.0033622931270127832,0.001208420982752254,0.0002672010688042752,0.0024311563084761655,0.08327483725730803,0.06527989486542675,0.10267372878257115,0.00045363509792367506,-0.001268458982011086,0.0024449373272018545
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C1,20,499,4434,0.7440400882437381,0.7172343621209414,0.7703340632077104,0.003573663332633606,0.0019705391119092005,0.005712240775424317,0.005282308265226434,0.0028715845992920426,0.008229913884112114,0.24710394015840179,0.22156536268127947,0.2734951022327287,-0.001708644932592828,-0.005068689312802539,0.001467117725572134
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C1,100,499,4434,0.9146658335944022,0.8951869923552956,0.9328230488982716,0.0008509081655374239,0.000111333778668448,0.00186881699907752,0.0010643599669477512,0.00024128524607743918,0.002160026574888907,0.08341889827311254,0.06537261960520285,0.10272026797408775,-0.00021345180141032718,-0.0015534639380156501,0.0011265975705724758
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s1,20,499,4434,0.7424709813166327,0.715421077241235,0.768819541930004,0.005142770259739139,0.0027144253622984407,0.008310282284793807,0.0060214437461280565,0.003354123230885282,0.009174117013911106,0.24636480467750016,0.2208869145372592,0.27285701699737797,-0.0008786734863889172,-0.0046053687461503085,0.002938834469082464
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s1,100,499,4434,0.9139444978933245,0.8945574779191197,0.931993909869705,0.001572243866615218,0.0003412622346141558,0.003327073401461307,0.001609222585958667,0.00048793238651215475,0.00301081458984221,0.08287403565410162,0.06482835843867185,0.10225110127692016,-3.697871934344884e-05,-0.0019182114228456916,0.002062458249832999
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s2,20,499,4434,0.7439916934961626,0.7171591103682343,0.7703835607033741,0.003622058080209324,0.0019444324245502687,0.0058094049841975436,0.004346834305987554,0.0024299101437017527,0.006685601725918683,0.24803941411764066,0.22219364309988024,0.27481944920565954,-0.0007247762257782298,-0.003296412102148574,0.0019245900711957807
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s2,100,499,4434,0.9141727840031563,0.8945949490790072,0.9323510274765032,0.001343957756783408,0.000167000668002672,0.003125298215478576,0.0037160401388858294,0.000751503006012024,0.008630773451665233,0.08076721810117447,0.06334199418037378,0.09937720565941788,-0.002372082382102422,-0.007552164769098637,0.0012375942360912293
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s3,20,499,4434,0.7437696904935983,0.716927865472758,0.7700180074704026,0.0038440610827734484,0.002213338500827161,0.005974887159063982,0.00513037557759995,0.0031452301208581674,0.00739896463387483,0.24725587284602826,0.22139815235071428,0.27401431139151133,-0.001286314494826501,-0.0037699598507947396,0.0012099449536308433
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s3,100,499,4434,0.9136171838135054,0.8941568409408661,0.9316742763347101,0.0018995579464343077,0.00047679900864530997,0.0037597003719466037,0.002231846455075522,0.0009101147429434438,0.003826741097478223,0.08225141178498477,0.06426806493955645,0.10158404945654012,-0.0003322885086412141,-0.0024852283932945258,0.0019570918393563685
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s4,20,499,4434,0.7432985254612114,0.7166042677157584,0.76955867126483,0.004315226115160316,0.0025021781607779694,0.006581204707606498,0.006480343856024532,0.003819045582195913,0.009571405108125982,0.2459059045676037,0.2204108424654829,0.2723656336766547,-0.0021651177408642153,-0.005586879914146925,0.0011006954109092602
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s4,100,499,4434,0.914006852038845,0.8944272317833134,0.9321237045869598,0.0015098897210947396,0.000501002004008016,0.0027085839286327216,0.0017192309625001095,0.0005752245231203147,0.0031760542018013475,0.08276402727756019,0.06472739958952514,0.10211238323234928,-0.00020934124140536959,-0.001992364358346322,0.0014791017822079944
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s5,20,499,4434,0.7420015943127215,0.7150302944382926,0.7684166154294996,0.0056121572636503,0.0031157528176648528,0.008840241308197938,0.005306186849614785,0.0029311076255546156,0.00826285626614076,0.24708006157401347,0.22162534078061835,0.2734663442883678,0.0003059704140355145,-0.0033380178657009493,0.004027187917732162
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_C2s5,100,499,4434,0.914960418623674,0.8955420345030388,0.9330666913466469,0.00055632313626563,7.1571714858288e-05,0.001303849935896638,0.0019360106757728087,0.000745507473025008,0.003402147025997988,0.08254724756428748,0.06451149522887571,0.10189916448859981,-0.0013796875395071788,-0.002940241110018164,-2.6508042540106668e-06
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_seven_mean,20,499,4434,0.7431143350111346,0.7162753247578432,0.7692898300017936,0.004499416565237339,0.002907059826524155,0.006546676525300297,0.005267901433412094,0.0034236318336784296,0.007397369331911433,0.24711834699021612,0.22149641328252082,0.2735967937307911,-0.0007684848681747554,-0.0032590832623736457,0.0017055873511874556
esci,bge_base,canonical_hybrid_lexical_descending,raw_hybrid_seven_mean,100,499,4434,0.914174607949453,0.8947217100958638,0.9322770038494456,0.001342133810486665,0.0005092063600384589,0.0024334122525069635,0.0019264473954132776,0.0007789160243797779,0.003292298720706,0.08255681084464701,0.06469111340465811,0.10174649363511179,-0.0005843135849266124,-0.002203496695024393,0.0010245813428070793
esci,minilm,canonical_hybrid_field_priority_type,BM25,20,499,4434,0.6422440971444223,0.6106275316785731,0.6727749413953378,0.07267684257341517,0.059280586585035926,0.08685000421130218,0.0346064860814183,0.026104252975040036,0.04424445166812567,0.2504725742007443,0.2243260207635834,0.2778630027660382,0.03807035649199689,0.021034139315499942,0.05506587089643206
esci,minilm,canonical_hybrid_field_priority_type,BM25,100,499,4434,0.8252523504646813,0.7990266792303825,0.8501957584313357,0.07016384801356233,0.055619034567534975,0.08610441700062109,0.0030667979315273904,0.0006851309456519878,0.006754292870901087,0.10151700359022899,0.08195972903226224,0.12225147832045838,0.06709705008203494,0.0519378991356484,0.08314723935529424
esci,minilm,canonical_hybrid_field_priority_type,field_priority_type,20,499,4434,0.625198799916255,0.593923671799541,0.6549157713358426,0.08972213980158233,0.07637763729534178,0.1041295803803735,0.049604732733625534,0.038421958754322354,0.06224832896569706,0.23547432754853712,0.2095427360657846,0.2619318483902054,0.04011740706795681,0.02094075954478032,0.05950519736143634
esci,minilm,canonical_hybrid_field_priority_type,field_priority_type,100,499,4434,0.8523224420810699,0.8277742001306887,0.8759445577223602,0.04309375639717371,0.03192531242913649,0.055557015966922974,0.011248015784720773,0.007168965117740959,0.01580849151078425,0.09333578573703562,0.07476820257572553,0.11337884975950581,0.03184574061245293,0.019836038924076437,0.04499716634729943
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C0,20,499,4434,0.7077396855988436,0.6787299254819691,0.735770376550966,0.007181254118993697,0.003129636942108488,0.012657135693710873,0.006660435499477682,0.0036396210050052974,0.010602444398385672,0.278418624782685,0.251298366824708,0.30683288477078513,0.0005208186195160145,-0.005099425098485719,0.006752310780680018
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C0,100,499,4434,0.8946832348820536,0.8736261148180711,0.914559836754308,0.000732963596190049,6.2625250501002e-05,0.001672342353705079,0.0009933286486392698,0.00018218254691200583,0.0020649524156538153,0.1035904728731171,0.08373246020838902,0.12451481890702434,-0.0002603650524492207,-0.0015336799765031228,0.0009262671822165811
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C1,20,499,4434,0.7090569496853383,0.6801063832752081,0.7366981588401645,0.005863990032499197,0.0033798771731195845,0.008828655221498456,0.005964220577498858,0.0034421118892324232,0.009068271179033652,0.27911483970466383,0.2523847545347026,0.3074201238161546,-0.00010023054499966016,-0.003992423338656372,0.0038468139150075777
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C1,100,499,4434,0.8939098224227694,0.8728016787568952,0.9138783860697425,0.001506376055474252,0.00045415506337350027,0.0029172672684696734,0.0025409404667921702,0.00042306835894010244,0.005374448391732959,0.10204286105496421,0.08233557797025191,0.12298249212304294,-0.0010345644113179183,-0.0040147515310340965,0.0014818060196316706
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C2s1,20,499,4434,0.7087426175404331,0.6799021998944558,0.7362708287402738,0.006178322177404253,0.003726860731862849,0.009124905687084671,0.00562469589100437,0.0032946446151304143,0.00845283242886639,0.2794543643911583,0.25219898651277955,0.3079132914791677,0.0005536262863998834,-0.003025797963106791,0.0041150441841452355
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C2s1,100,499,4434,0.8941780578613455,0.8730688591178154,0.9141035344242415,0.001238140616898132,0.0002004008016032064,0.002612918143980268,0.0016971171780791018,0.000167000668002672,0.004070912387545654,0.10288668434367729,0.08315458172422098,0.12383125691650633,-0.00045897656118096996,-0.003132560909364517,0.0017128996587914426
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C2s2,20,499,4434,0.7103747772235071,0.6814840458894313,0.7376716334400848,0.0045461624943303695,0.002872594714970382,0.006431611869165474,0.006816950421299078,0.003752330947518737,0.01077962642312056,0.2782621098608636,0.25129983015660046,0.3064493285529046,-0.0022707879269687095,-0.006569144956857883,0.0012373069873762035
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C2s2,100,499,4434,0.8939818320764423,0.8727797375795838,0.9140366884734733,0.0014343664018012716,0.00039662658650634606,0.002826691407290104,0.0015149346311670961,8.3500334001336e-05,0.0038648726023475517,0.10306886689058928,0.08329923000060974,0.12404900807282873,-8.056822936582445e-05,-0.002755576087239414,0.0020664640344625284
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C2s3,20,499,4434,0.7103653362060611,0.6814413854323752,0.7380469505335754,0.0045556035117762395,0.0025610180900976606,0.007243695415467056,0.0036552910113672615,0.0022151194369401063,0.00530868878493006,0.28142376927079543,0.2540743537092671,0.31036000408225,0.0009003125004089783,-0.0016027652824960675,0.0038217608892966957
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C2s3,100,499,4434,0.8944646158257592,0.8734817133862428,0.9143779548540386,0.0009515826524844561,0.0002004008016032064,0.0019579383125224786,0.000322072716862296,0.0,0.000751503006012024,0.1042617288048941,0.0843859268551416,0.12530857528344275,0.00062950993562216,-0.00024784000234902027,0.0017108014105133341
esci,minilm,canonical_hybrid_field_priority_type,raw_hybrid_C2s4,20,499,4434,0.7094186198517494,0.6805412876821935,0.7368923989309282,0.005502319866087971,0.0031894522569559263,0.008384912915062841,0.004567410988311259,0.0026949606994047448,0.006805149631578349,0.28051164929385136,0.2534832879972953,0.3090364699492261,0.0009349088777767105,-0.0021841674082921283,0.004261352009197444
