dataset,model,schedule,role,payload,payload_exists,payload_sha256,metadata,metadata_sha256,implementation,precision,profile,model_revision,transformers,prefix,catalog_ordering,query_ordering
wands,minilm,C2s4,product,phase2/results/embeddings/wands_minilm_native_C2s4_3edebedc49da2802393b.npy,True,c889e29a315ccaa6acc83bc2773333eec4f6e889259217203ce19958d9d759c3,phase2/results/embeddings/wands_minilm_native_C2s4_3edebedc49da2802393b.json,08247ef0e45755a8a98c381fe4d18d7bae5a2ebdb7890a9caa78fbabc9aa3193,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C2s4,query,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,True,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.json,a474e2cb8f6a2d347ef331611b3f7c38e530f32b96f8c1107efe31366e8f5a6a,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C2s5,product,phase2/results/embeddings/wands_minilm_native_C2s5_ad55c02317988c151d70.npy,True,9ea956ca92775c320fd51b5e3a429fc4b91eb7085db54c963cd24a3e86ed189e,phase2/results/embeddings/wands_minilm_native_C2s5_ad55c02317988c151d70.json,6b7b1b4286345d8322be3dc965a92f65f63b84daf7031c6e5e6b17180ec728c0,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,minilm,C2s5,query,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,True,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.json,a474e2cb8f6a2d347ef331611b3f7c38e530f32b96f8c1107efe31366e8f5a6a,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",1110a243fdf4706b3f48f1d95db1a4f5529b4d41,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C0,product,phase2/results/embeddings/wands_bge_base_native_C0_3a16535a80738388b384.npy,True,0b13f8ec61b41bbccaa99de64775a40753354ff165a433453803e38a36928f37,phase2/results/embeddings/wands_bge_base_native_C0_3a16535a80738388b384.json,ed3514d9ec829fdc029fa71d123f2f58632fc818d61a3b6a45faf7c3d9a21f45,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C0,query,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,True,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.json,6ca8f0e60ec48f5f685633096a3ff682a8e8decbb34187a80ef7dea7a9c1b693,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C1,product,phase2/results/embeddings/wands_bge_base_native_C1_b252c980dd5208f38418.npy,True,91826454aabc0c4c84bc4784e29920206400d4bd4a0173c117e94fa8dde5fa57,phase2/results/embeddings/wands_bge_base_native_C1_b252c980dd5208f38418.json,b436ce32b0099965f714fd0bd9a4f213fef11243eafc8ceb331f2912a15e7966,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C1,query,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,True,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.json,6ca8f0e60ec48f5f685633096a3ff682a8e8decbb34187a80ef7dea7a9c1b693,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s1,product,phase2/results/embeddings/wands_bge_base_native_C2s1_99243d606aecfe6e2e17.npy,True,b686def0f71eeb68cb92ad55cad99407f5d0a77fa9e776569cbdb0b1835bc06b,phase2/results/embeddings/wands_bge_base_native_C2s1_99243d606aecfe6e2e17.json,e72c4813e20596b1821545c48cea10a57461a733eaafa96a6ade56385587d0f0,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s1,query,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,True,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.json,6ca8f0e60ec48f5f685633096a3ff682a8e8decbb34187a80ef7dea7a9c1b693,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s2,product,phase2/results/embeddings/wands_bge_base_native_C2s2_d018d3290df3f3e4eb05.npy,True,6daba44dd0f0c3c4316314f3d8085dab299a6971a0d92c326c6b385b6eedc90d,phase2/results/embeddings/wands_bge_base_native_C2s2_d018d3290df3f3e4eb05.json,bbef8d7ce391cdaf3fb62c47cee9f33833c0c991e5b8fae1c70762cf30636681,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s2,query,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,True,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.json,6ca8f0e60ec48f5f685633096a3ff682a8e8decbb34187a80ef7dea7a9c1b693,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s3,product,phase2/results/embeddings/wands_bge_base_native_C2s3_5204e915443fc9e769b4.npy,True,fbcfd9612dc6fc445c7d68183810be3d3ddc2d5ea71a7d9503d6db42d2c9ce43,phase2/results/embeddings/wands_bge_base_native_C2s3_5204e915443fc9e769b4.json,2f74a8032d75d527fb3b7d0bfeef6fc7aa52d204875fca2d172f8819776401d6,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s3,query,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,True,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.json,6ca8f0e60ec48f5f685633096a3ff682a8e8decbb34187a80ef7dea7a9c1b693,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s4,product,phase2/results/embeddings/wands_bge_base_native_C2s4_b7437acffd0f07fb0059.npy,True,2f6cb44c8a71386d50dd843612b4282b6eb7bfb049f4c6d4c496c8f2419c271e,phase2/results/embeddings/wands_bge_base_native_C2s4_b7437acffd0f07fb0059.json,05dbb8d295f7dca4af7e7f0b1da0d28e2593169efa697c70b4bfe19a03ea718c,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s4,query,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,True,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.json,6ca8f0e60ec48f5f685633096a3ff682a8e8decbb34187a80ef7dea7a9c1b693,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s5,product,phase2/results/embeddings/wands_bge_base_native_C2s5_cf8b89c3bcbb7482a813.npy,True,d16350d1a3664b5327addac575b2e141b4f4187ceccb27123464c53cb108ca20,phase2/results/embeddings/wands_bge_base_native_C2s5_cf8b89c3bcbb7482a813.json,0921e4eb08743bb107e900aa8edb61a3c88d9651c3a0d29b00bfebec0e3d3da4,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,bge_base,C2s5,query,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,True,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.json,6ca8f0e60ec48f5f685633096a3ff682a8e8decbb34187a80ef7dea7a9c1b693,phase2-encoder-v1,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C0,product,phase2/results/embeddings/wands_gte_modernbert_native_C0_3e1a424d692784631506.npy,True,ecfa08d1f7001451a5b50bc5c6ccd3e32563dea5f5dd6903bac62722a7319813,phase2/results/embeddings/wands_gte_modernbert_native_C0_3e1a424d692784631506.json,f58b833193d6d7912fa8db17db7c59116ef4dbd6ca105e6243ae01e88e6e49a8,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C0,query,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,True,6590f3c403b7ebabf6394cf3b7fc7b24c0493d1b72255366ed5c6368ac974a29,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.json,090ad8d7c716e1553ffa36b4b7885cbfd1b1c3c65abeabc026b9958bc77660b7,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C1,product,phase2/results/embeddings/wands_gte_modernbert_native_C1_9e4bcee76f7f0652abda.npy,True,788bc008d18b94adf94c2c734556c59f2bb16db21f1aac39dcc90db13ffb4c32,phase2/results/embeddings/wands_gte_modernbert_native_C1_9e4bcee76f7f0652abda.json,0213bb5687a8978be4f57e0286ffca57d203155449978a96571be3b1e6cb48e4,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C1,query,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,True,6590f3c403b7ebabf6394cf3b7fc7b24c0493d1b72255366ed5c6368ac974a29,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.json,090ad8d7c716e1553ffa36b4b7885cbfd1b1c3c65abeabc026b9958bc77660b7,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C2s1,product,phase2/results/embeddings/wands_gte_modernbert_native_C2s1_46dd347d20788f3fc7be.npy,True,6c58ccd9b92b21600378c70ad8030bbfdca809320c950c33f3cc39675ebb7010,phase2/results/embeddings/wands_gte_modernbert_native_C2s1_46dd347d20788f3fc7be.json,a29ae0526752f2878d835f93eafaa7ff2777e4619ee7821ae3015b17e83d9cdd,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C2s1,query,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,True,6590f3c403b7ebabf6394cf3b7fc7b24c0493d1b72255366ed5c6368ac974a29,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.json,090ad8d7c716e1553ffa36b4b7885cbfd1b1c3c65abeabc026b9958bc77660b7,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C2s2,product,phase2/results/embeddings/wands_gte_modernbert_native_C2s2_833272a882f405e09b1e.npy,True,c90e18b43c1d051b444c200d0477062f7230b9a7cc7291b8f7165596167a779b,phase2/results/embeddings/wands_gte_modernbert_native_C2s2_833272a882f405e09b1e.json,a8aa077f49e8e855d1fc1b91a6545b6d01ca5be27ecbf551ae62b347fd4c5c78,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C2s2,query,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,True,6590f3c403b7ebabf6394cf3b7fc7b24c0493d1b72255366ed5c6368ac974a29,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.json,090ad8d7c716e1553ffa36b4b7885cbfd1b1c3c65abeabc026b9958bc77660b7,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C2s3,product,phase2/results/embeddings/wands_gte_modernbert_native_C2s3_e00af8dc161ee7e06753.npy,True,10c657354dcfd131d9856c58a68c2b5c103d71edebc0b0f25c8f9e2db53165fc,phase2/results/embeddings/wands_gte_modernbert_native_C2s3_e00af8dc161ee7e06753.json,90f32bf6cc43f9afb96cccb685972bd9437d55170dc4ae92649052c318688df3,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
wands,gte_modernbert,C2s3,query,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,True,6590f3c403b7ebabf6394cf3b7fc7b24c0493d1b72255366ed5c6368ac974a29,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.json,090ad8d7c716e1553ffa36b4b7885cbfd1b1c3c65abeabc026b9958bc77660b7,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,"{""key"": ""native"", ""chunk_tokens"": null, ""overlap"": 0, ""pooling"": ""model_native""}",e7f32e3c00f91d699e8c43b53106206bcc72bb22,unavailable in per-array sidecar,empty,revision_graded_20260922/data/wands_catalog_ordering.csv,revision_graded_20260922/data/wands_queries_ordering.csv
