query_id,persistent_inclusion,VI,persistent_omission,n_highest,dataset,model,support,K
26,0,0,0,6,wands,minilm,common_all_fitting,20
27,0,0,0,11,wands,minilm,common_all_fitting,20
36,0,0,0,1,wands,minilm,common_all_fitting,20
37,0,0,0,1,wands,minilm,common_all_fitting,20
65,0,0,0,6,wands,minilm,common_all_fitting,20
68,0,0,0,10,wands,minilm,common_all_fitting,20
86,0,0,0,2,wands,minilm,common_all_fitting,20
89,0,0,0,1,wands,minilm,common_all_fitting,20
102,0,0,0,5,wands,minilm,common_all_fitting,20
111,0,0,0,21,wands,minilm,common_all_fitting,20
122,0,0,0,2,wands,minilm,common_all_fitting,20
126,0,0,0,4,wands,minilm,common_all_fitting,20
129,0,0,0,3,wands,minilm,common_all_fitting,20
146,0,0,0,2,wands,minilm,common_all_fitting,20
147,0,0,0,1,wands,minilm,common_all_fitting,20
148,0,0,0,8,wands,minilm,common_all_fitting,20
150,0,0,0,2,wands,minilm,common_all_fitting,20
160,0,0,0,15,wands,minilm,common_all_fitting,20
165,0,0,0,1,wands,minilm,common_all_fitting,20
176,0,0,0,1,wands,minilm,common_all_fitting,20
180,0,0,0,8,wands,minilm,common_all_fitting,20
182,0,0,0,1,wands,minilm,common_all_fitting,20
184,0,0,0,9,wands,minilm,common_all_fitting,20
185,0,0,0,11,wands,minilm,common_all_fitting,20
235,0,0,0,23,wands,minilm,common_all_fitting,20
241,0,0,0,1,wands,minilm,common_all_fitting,20
251,0,0,0,9,wands,minilm,common_all_fitting,20
270,0,0,0,13,wands,minilm,common_all_fitting,20
273,0,0,0,3,wands,minilm,common_all_fitting,20
297,0,0,0,1,wands,minilm,common_all_fitting,20
327,0,0,0,3,wands,minilm,common_all_fitting,20
346,0,0,0,4,wands,minilm,common_all_fitting,20
352,0,0,0,5,wands,minilm,common_all_fitting,20
359,0,0,0,6,wands,minilm,common_all_fitting,20
368,0,0,0,19,wands,minilm,common_all_fitting,20
382,0,0,0,1,wands,minilm,common_all_fitting,20
415,0,0,0,26,wands,minilm,common_all_fitting,20
417,0,0,0,15,wands,minilm,common_all_fitting,20
438,0,0,0,4,wands,minilm,common_all_fitting,20
464,0,0,0,56,wands,minilm,common_all_fitting,20
466,0,0,0,1,wands,minilm,common_all_fitting,20
476,0,0,0,8,wands,minilm,common_all_fitting,20
2,0,0,0,18,wands,minilm,common_all_fitting,100
6,0,0,0,1,wands,minilm,common_all_fitting,100
7,0,0,0,2,wands,minilm,common_all_fitting,100
13,0,0,0,1,wands,minilm,common_all_fitting,100
14,0,0,0,1,wands,minilm,common_all_fitting,100
17,0,0,0,1,wands,minilm,common_all_fitting,100
26,0,0,0,6,wands,minilm,common_all_fitting,100
27,0,0,0,11,wands,minilm,common_all_fitting,100
36,0,0,0,1,wands,minilm,common_all_fitting,100
37,0,0,0,1,wands,minilm,common_all_fitting,100
65,0,0,0,6,wands,minilm,common_all_fitting,100
68,0,0,0,10,wands,minilm,common_all_fitting,100
86,0,0,0,2,wands,minilm,common_all_fitting,100
89,0,0,0,1,wands,minilm,common_all_fitting,100
102,0,0,0,5,wands,minilm,common_all_fitting,100
111,0,0,0,21,wands,minilm,common_all_fitting,100
122,0,0,0,2,wands,minilm,common_all_fitting,100
126,0,0,0,4,wands,minilm,common_all_fitting,100
129,0,0,0,3,wands,minilm,common_all_fitting,100
146,0,0,0,2,wands,minilm,common_all_fitting,100
147,0,0,0,1,wands,minilm,common_all_fitting,100
148,0,0,0,8,wands,minilm,common_all_fitting,100
150,0,0,0,2,wands,minilm,common_all_fitting,100
160,0,0,0,15,wands,minilm,common_all_fitting,100
165,0,0,0,1,wands,minilm,common_all_fitting,100
176,0,0,0,1,wands,minilm,common_all_fitting,100
180,0,0,0,8,wands,minilm,common_all_fitting,100
182,0,0,0,1,wands,minilm,common_all_fitting,100
184,0,0,0,9,wands,minilm,common_all_fitting,100
185,0,0,0,11,wands,minilm,common_all_fitting,100
235,0,0,0,23,wands,minilm,common_all_fitting,100
241,0,0,0,1,wands,minilm,common_all_fitting,100
251,0,0,0,9,wands,minilm,common_all_fitting,100
270,0,0,0,13,wands,minilm,common_all_fitting,100
273,0,0,0,3,wands,minilm,common_all_fitting,100
297,0,0,0,1,wands,minilm,common_all_fitting,100
327,0,0,0,3,wands,minilm,common_all_fitting,100
346,0,0,0,4,wands,minilm,common_all_fitting,100
352,0,0,0,5,wands,minilm,common_all_fitting,100
359,0,0,0,6,wands,minilm,common_all_fitting,100
368,0,0,0,19,wands,minilm,common_all_fitting,100
382,0,0,0,1,wands,minilm,common_all_fitting,100
415,0,0,0,26,wands,minilm,common_all_fitting,100
417,0,0,0,15,wands,minilm,common_all_fitting,100
438,0,0,0,4,wands,minilm,common_all_fitting,100
464,0,0,0,56,wands,minilm,common_all_fitting,100
466,0,0,0,1,wands,minilm,common_all_fitting,100
476,0,0,0,8,wands,minilm,common_all_fitting,100
165,0,0,0,6,esci,minilm,full,20
433,0,0,0,7,esci,minilm,full,20
500,0,0,0,22,esci,minilm,full,20
541,0,0,0,7,esci,minilm,full,20
598,0,0,0,14,esci,minilm,full,20
600,0,0,0,26,esci,minilm,full,20
602,0,0,0,3,esci,minilm,full,20
622,0,0,0,26,esci,minilm,full,20
637,0,0,0,13,esci,minilm,full,20
861,0,0,0,24,esci,minilm,full,20
933,0,0,0,4,esci,minilm,full,20
978,0,0,0,12,esci,minilm,full,20
1210,0,0,0,2,esci,minilm,full,20
1293,0,0,0,10,esci,minilm,full,20
1310,0,0,0,1,esci,minilm,full,20
1458,0,0,0,15,esci,minilm,full,20
1476,0,0,0,17,esci,minilm,full,20
1530,0,0,0,17,esci,minilm,full,20
1659,0,0,0,5,esci,minilm,full,20
1816,0,0,0,4,esci,minilm,full,20
2286,0,0,0,13,esci,minilm,full,20
2390,0,0,0,2,esci,minilm,full,20
2692,0,0,0,7,esci,minilm,full,20
2855,0,0,0,7,esci,minilm,full,20
3012,0,0,0,5,esci,minilm,full,20
3492,0,0,0,1,esci,minilm,full,20
3494,0,0,0,11,esci,minilm,full,20
3986,0,0,0,14,esci,minilm,full,20
4299,0,0,0,1,esci,minilm,full,20
4321,0,0,0,5,esci,minilm,full,20
4860,0,0,0,2,esci,minilm,full,20
4956,0,0,0,7,esci,minilm,full,20
5079,0,0,0,10,esci,minilm,full,20
5094,0,0,0,11,esci,minilm,full,20
5419,0,0,0,5,esci,minilm,full,20
5787,0,0,0,2,esci,minilm,full,20
5921,0,0,0,2,esci,minilm,full,20
6138,0,0,0,3,esci,minilm,full,20
6685,0,0,0,8,esci,minilm,full,20
7034,0,0,0,1,esci,minilm,full,20
7126,0,0,0,7,esci,minilm,full,20
7303,0,0,0,12,esci,minilm,full,20
7340,0,0,0,2,esci,minilm,full,20
7545,0,0,0,12,esci,minilm,full,20
7581,0,0,0,10,esci,minilm,full,20
8063,0,0,0,12,esci,minilm,full,20
8519,0,0,0,8,esci,minilm,full,20
8605,0,0,0,6,esci,minilm,full,20
8740,0,0,0,1,esci,minilm,full,20
9096,0,0,0,11,esci,minilm,full,20
9695,0,0,0,9,esci,minilm,full,20
9776,0,0,0,9,esci,minilm,full,20
9967,0,0,0,3,esci,minilm,full,20
10312,0,0,0,20,esci,minilm,full,20
10370,0,0,0,10,esci,minilm,full,20
11509,0,0,0,5,esci,minilm,full,20
11621,0,0,0,1,esci,minilm,full,20
11875,0,0,0,5,esci,minilm,full,20
11925,0,0,0,28,esci,minilm,full,20
12176,0,0,0,27,esci,minilm,full,20
12432,0,0,0,12,esci,minilm,full,20
12557,0,0,0,8,esci,minilm,full,20
12664,0,0,0,5,esci,minilm,full,20
12809,0,0,0,4,esci,minilm,full,20
13089,0,0,0,32,esci,minilm,full,20
13169,0,0,0,11,esci,minilm,full,20
13471,0,0,0,21,esci,minilm,full,20
13639,0,0,0,15,esci,minilm,full,20
13785,0,0,0,8,esci,minilm,full,20
13954,0,0,0,13,esci,minilm,full,20
14346,0,0,0,10,esci,minilm,full,20
14880,0,0,0,4,esci,minilm,full,20
14882,0,0,0,11,esci,minilm,full,20
15154,0,0,0,28,esci,minilm,full,20
15164,0,0,0,7,esci,minilm,full,20
15311,0,0,0,10,esci,minilm,full,20
15647,0,0,0,21,esci,minilm,full,20
15716,0,0,0,14,esci,minilm,full,20
15777,0,0,0,12,esci,minilm,full,20
15807,0,0,0,15,esci,minilm,full,20
16613,0,0,0,9,esci,minilm,full,20
16684,0,0,0,13,esci,minilm,full,20
17384,0,0,0,11,esci,minilm,full,20
17607,0,0,0,17,esci,minilm,full,20
17689,0,0,0,3,esci,minilm,full,20
17742,0,0,0,12,esci,minilm,full,20
18356,0,0,0,7,esci,minilm,full,20
18553,0,0,0,21,esci,minilm,full,20
18679,0,0,0,8,esci,minilm,full,20
18682,0,0,0,8,esci,minilm,full,20
18932,0,0,0,10,esci,minilm,full,20
19053,0,0,0,14,esci,minilm,full,20
19134,0,0,0,2,esci,minilm,full,20
19268,0,0,0,21,esci,minilm,full,20
19369,0,0,0,11,esci,minilm,full,20
19372,0,0,0,15,esci,minilm,full,20
19380,0,0,0,2,esci,minilm,full,20
19619,0,0,0,2,esci,minilm,full,20
19694,0,0,0,7,esci,minilm,full,20
19953,0,0,0,3,esci,minilm,full,20
20037,0,0,0,32,esci,minilm,full,20
20185,0,0,0,4,esci,minilm,full,20
20307,0,0,0,5,esci,minilm,full,20
20315,0,0,0,10,esci,minilm,full,20
20385,0,0,0,2,esci,minilm,full,20
20500,0,0,0,5,esci,minilm,full,20
20523,0,0,0,3,esci,minilm,full,20
20788,0,0,0,5,esci,minilm,full,20
21481,0,0,0,17,esci,minilm,full,20
21645,0,0,0,13,esci,minilm,full,20
22173,0,0,0,9,esci,minilm,full,20
22211,0,0,0,3,esci,minilm,full,20
22441,0,0,0,7,esci,minilm,full,20
22639,0,0,0,9,esci,minilm,full,20
23148,0,0,0,4,esci,minilm,full,20
23260,0,0,0,15,esci,minilm,full,20
23744,0,0,0,1,esci,minilm,full,20
24082,0,0,0,5,esci,minilm,full,20
24402,0,0,0,6,esci,minilm,full,20
24504,0,0,0,4,esci,minilm,full,20
24668,0,0,0,8,esci,minilm,full,20
24697,0,0,0,2,esci,minilm,full,20
24831,0,0,0,19,esci,minilm,full,20
25132,0,0,0,12,esci,minilm,full,20
25426,0,0,0,5,esci,minilm,full,20
25497,0,0,0,1,esci,minilm,full,20
25516,0,0,0,5,esci,minilm,full,20
25591,0,0,0,3,esci,minilm,full,20
26321,0,0,0,9,esci,minilm,full,20
26642,0,0,0,10,esci,minilm,full,20
26872,0,0,0,5,esci,minilm,full,20
27927,0,0,0,8,esci,minilm,full,20
28198,0,0,0,15,esci,minilm,full,20
28637,0,0,0,4,esci,minilm,full,20
29049,0,0,0,4,esci,minilm,full,20
29123,0,0,0,11,esci,minilm,full,20
29488,0,0,0,7,esci,minilm,full,20
29596,0,0,0,12,esci,minilm,full,20
29729,0,0,0,9,esci,minilm,full,20
29868,0,0,0,10,esci,minilm,full,20
29928,0,0,0,5,esci,minilm,full,20
29941,0,0,0,2,esci,minilm,full,20
29945,0,0,0,5,esci,minilm,full,20
29952,0,0,0,4,esci,minilm,full,20
30020,0,0,0,1,esci,minilm,full,20
30318,0,0,0,12,esci,minilm,full,20
31573,0,0,0,2,esci,minilm,full,20
31659,0,0,0,7,esci,minilm,full,20
31724,0,0,0,6,esci,minilm,full,20
31889,0,0,0,2,esci,minilm,full,20
32142,0,0,0,10,esci,minilm,full,20
32164,0,0,0,13,esci,minilm,full,20
32311,0,0,0,11,esci,minilm,full,20
32350,0,0,0,9,esci,minilm,full,20
32351,0,0,0,4,esci,minilm,full,20
32430,0,0,0,19,esci,minilm,full,20
32612,0,0,0,2,esci,minilm,full,20
32812,0,0,0,4,esci,minilm,full,20
32917,0,0,0,7,esci,minilm,full,20
33004,0,0,0,10,esci,minilm,full,20
33735,0,0,0,20,esci,minilm,full,20
34128,0,0,0,26,esci,minilm,full,20
34229,0,0,0,6,esci,minilm,full,20
34443,0,0,0,7,esci,minilm,full,20
34775,0,0,0,3,esci,minilm,full,20
34817,0,0,0,10,esci,minilm,full,20
35117,0,0,0,8,esci,minilm,full,20
35242,0,0,0,2,esci,minilm,full,20
35755,0,0,0,15,esci,minilm,full,20
36669,0,0,0,2,esci,minilm,full,20
36678,0,0,0,2,esci,minilm,full,20
36753,0,0,0,12,esci,minilm,full,20
36912,0,0,0,1,esci,minilm,full,20
36960,0,0,0,2,esci,minilm,full,20
37451,0,0,0,1,esci,minilm,full,20
37466,0,0,0,24,esci,minilm,full,20
37498,0,0,0,2,esci,minilm,full,20
37670,0,0,0,13,esci,minilm,full,20
37789,0,0,0,1,esci,minilm,full,20
38679,0,0,0,2,esci,minilm,full,20
39022,0,0,0,3,esci,minilm,full,20
39107,0,0,0,12,esci,minilm,full,20
39157,0,0,0,2,esci,minilm,full,20
39263,0,0,0,2,esci,minilm,full,20
40165,0,0,0,1,esci,minilm,full,20
40292,0,0,0,7,esci,minilm,full,20
40356,0,0,0,1,esci,minilm,full,20
40483,0,0,0,29,esci,minilm,full,20
40528,0,0,0,3,esci,minilm,full,20
40573,0,0,0,23,esci,minilm,full,20
40615,0,0,0,1,esci,minilm,full,20
40834,0,0,0,7,esci,minilm,full,20
41423,0,0,0,24,esci,minilm,full,20
41492,0,0,0,13,esci,minilm,full,20
41502,0,0,0,11,esci,minilm,full,20
41795,0,0,0,11,esci,minilm,full,20
42118,0,0,0,3,esci,minilm,full,20
42332,0,0,0,13,esci,minilm,full,20
42405,0,0,0,1,esci,minilm,full,20
42445,0,0,0,6,esci,minilm,full,20
42964,0,0,0,12,esci,minilm,full,20
42968,0,0,0,4,esci,minilm,full,20
43579,0,0,0,11,esci,minilm,full,20
43948,0,0,0,2,esci,minilm,full,20
43961,0,0,0,1,esci,minilm,full,20
43983,0,0,0,4,esci,minilm,full,20
44424,0,0,0,4,esci,minilm,full,20
44706,0,0,0,3,esci,minilm,full,20
44816,0,0,0,12,esci,minilm,full,20
44845,0,0,0,7,esci,minilm,full,20
44960,0,0,0,12,esci,minilm,full,20
45294,0,0,0,1,esci,minilm,full,20
45464,0,0,0,16,esci,minilm,full,20
45588,0,0,0,4,esci,minilm,full,20
45713,0,0,0,12,esci,minilm,full,20
45745,0,0,0,10,esci,minilm,full,20
45843,0,0,0,3,esci,minilm,full,20
45990,0,0,0,9,esci,minilm,full,20
46008,0,0,0,8,esci,minilm,full,20
46089,0,0,0,7,esci,minilm,full,20
46097,0,0,0,6,esci,minilm,full,20
46149,0,0,0,15,esci,minilm,full,20
46177,0,0,0,9,esci,minilm,full,20
46471,0,0,0,10,esci,minilm,full,20
46910,0,0,0,7,esci,minilm,full,20
47106,0,0,0,9,esci,minilm,full,20
47213,0,0,0,8,esci,minilm,full,20
47217,0,0,0,15,esci,minilm,full,20
47526,0,0,0,24,esci,minilm,full,20
47631,0,0,0,28,esci,minilm,full,20
47857,0,0,0,26,esci,minilm,full,20
47892,0,0,0,9,esci,minilm,full,20
48397,0,0,0,12,esci,minilm,full,20
48914,0,0,0,22,esci,minilm,full,20
48929,0,0,0,19,esci,minilm,full,20
49077,0,0,0,11,esci,minilm,full,20
49201,0,0,0,10,esci,minilm,full,20
49481,0,0,0,1,esci,minilm,full,20
49972,0,0,0,6,esci,minilm,full,20
50118,0,0,0,13,esci,minilm,full,20
50311,0,0,0,18,esci,minilm,full,20
50356,0,0,0,5,esci,minilm,full,20
50494,0,0,0,7,esci,minilm,full,20
51056,0,0,0,1,esci,minilm,full,20
51227,0,0,0,13,esci,minilm,full,20
51454,0,0,0,11,esci,minilm,full,20
52230,0,0,0,13,esci,minilm,full,20
52255,0,0,0,9,esci,minilm,full,20
52348,0,0,0,1,esci,minilm,full,20
52482,0,0,0,1,esci,minilm,full,20
52830,0,0,0,3,esci,minilm,full,20
53042,0,0,0,8,esci,minilm,full,20
53114,0,0,0,2,esci,minilm,full,20
53284,0,0,0,6,esci,minilm,full,20
53328,0,0,0,13,esci,minilm,full,20
53451,0,0,0,3,esci,minilm,full,20
54039,0,0,0,13,esci,minilm,full,20
54044,0,0,0,2,esci,minilm,full,20
54558,0,0,0,7,esci,minilm,full,20
54634,0,0,0,5,esci,minilm,full,20
54889,0,0,0,1,esci,minilm,full,20
55280,0,0,0,5,esci,minilm,full,20
55365,0,0,0,3,esci,minilm,full,20
55531,0,0,0,5,esci,minilm,full,20
55677,0,0,0,12,esci,minilm,full,20
