query_id,persistent_inclusion,VI,persistent_omission,source_order_inclusion,seven_schedule_mean_inclusion,n_highest,dataset,model,intervention,target_support,K,status,schedule_family,catalog_size
177,0.125,0.25,0.625,0.3125,0.24107142857142855,16,wands,minilm,target_only,full,20,available,original seven,42994
178,0.041666666666666664,0.16666666666666666,0.79166666666666663,0.16666666666666666,0.13095238095238096,24,wands,minilm,target_only,full,20,available,original seven,42994
180,0.125,0.18055555555555555,0.69444444444444442,0.22222222222222221,0.2123015873015873,72,wands,minilm,target_only,full,20,available,original seven,42994
182,0.15517241379310345,0.2413793103448276,0.60344827586206895,0.32758620689655171,0.24630541871921183,58,wands,minilm,target_only,full,20,available,original seven,42994
183,0.16666666666666666,0.5,0.33333333333333331,0.66666666666666663,0.40476190476190471,6,wands,minilm,target_only,full,20,available,original seven,42994
184,0.050847457627118647,0.16949152542372881,0.77966101694915257,0.16949152542372881,0.12106537530266342,59,wands,minilm,target_only,full,20,available,original seven,42994
185,0.47058823529411764,0.11764705882352941,0.41176470588235292,0.58823529411764708,0.55042016806722693,34,wands,minilm,target_only,full,20,available,original seven,42994
186,0,0,1,0,0,4,wands,minilm,target_only,full,20,available,original seven,42994
189,0.032258064516129031,0,0.967741935483871,0.032258064516129031,0.032258064516129031,31,wands,minilm,target_only,full,20,available,original seven,42994
190,0,0,1,0,0,5,wands,minilm,target_only,full,20,available,original seven,42994
195,0,0.66666666666666663,0.33333333333333331,0.33333333333333331,0.33333333333333331,3,wands,minilm,target_only,full,20,available,original seven,42994
197,0.13043478260869565,0.47826086956521741,0.39130434782608697,0.43478260869565216,0.24223602484472048,23,wands,minilm,target_only,full,20,available,original seven,42994
198,0.29999999999999999,0,0.69999999999999996,0.29999999999999999,0.29999999999999999,10,wands,minilm,target_only,full,20,available,original seven,42994
200,1,0,0,1,1,3,wands,minilm,target_only,full,20,available,original seven,42994
202,0.1111111111111111,0.28888888888888886,0.59999999999999998,0.31111111111111112,0.22539682539682537,45,wands,minilm,target_only,full,20,available,original seven,42994
203,0,1,0,0.20000000000000001,0.39999999999999997,5,wands,minilm,target_only,full,20,available,original seven,42994
204,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.40816326530612246,7,wands,minilm,target_only,full,20,available,original seven,42994
206,0.5,0.5,0,1,0.85714285714285721,2,wands,minilm,target_only,full,20,available,original seven,42994
210,0.1111111111111111,0.66666666666666663,0.22222222222222221,0.55555555555555558,0.36507936507936506,9,wands,minilm,target_only,full,20,available,original seven,42994
212,0.5,0.5,0,1,0.85714285714285721,2,wands,minilm,target_only,full,20,available,original seven,42994
213,0,0,1,0,0,1,wands,minilm,target_only,full,20,available,original seven,42994
215,0,0.066666666666666666,0.93333333333333335,0.033333333333333333,0.028571428571428574,30,wands,minilm,target_only,full,20,available,original seven,42994
216,0.25,0.5,0.25,0.75,0.625,8,wands,minilm,target_only,full,20,available,original seven,42994
220,0.13461538461538461,0.17307692307692307,0.69230769230769229,0.21153846153846154,0.18681318681318679,52,wands,minilm,target_only,full,20,available,original seven,42994
221,0.068493150684931503,0.13698630136986301,0.79452054794520544,0.12328767123287671,0.12915851272015655,73,wands,minilm,target_only,full,20,available,original seven,42994
222,0.032258064516129031,0,0.967741935483871,0.032258064516129031,0.032258064516129031,31,wands,minilm,target_only,full,20,available,original seven,42994
223,0,1,0,1,0.8571428571428571,1,wands,minilm,target_only,full,20,available,original seven,42994
226,0.025380710659898477,0.086294416243654817,0.8883248730964467,0.065989847715736044,0.065989847715736044,197,wands,minilm,target_only,full,20,available,original seven,42994
227,0.039772727272727272,0.11363636363636363,0.84659090909090906,0.11363636363636363,0.087662337662337664,176,wands,minilm,target_only,full,20,available,original seven,42994
229,0.015037593984962405,0.20300751879699247,0.78195488721804507,0.14285714285714285,0.077336197636949502,133,wands,minilm,target_only,full,20,available,original seven,42994
230,0.039473684210526314,0.092105263157894732,0.86842105263157898,0.074561403508771926,0.082706766917293228,228,wands,minilm,target_only,full,20,available,original seven,42994
231,0.045602605863192182,0.11074918566775244,0.84364820846905542,0.065146579804560262,0.080037226617031165,307,wands,minilm,target_only,full,20,available,original seven,42994
232,0.0047281323877068557,0.052009456264775412,0.94326241134751776,0.028368794326241134,0.02195204322863897,423,wands,minilm,target_only,full,20,available,original seven,42994
233,0,0.098765432098765427,0.90123456790123457,0.012345679012345678,0.021164021164021163,81,wands,minilm,target_only,full,20,available,original seven,42994
234,0.056074766355140186,0.27102803738317754,0.67289719626168221,0.17757009345794392,0.19092122830440586,107,wands,minilm,target_only,full,20,available,original seven,42994
235,0.060150375939849621,0.12030075187969924,0.81954887218045114,0.15037593984962405,0.12030075187969924,133,wands,minilm,target_only,full,20,available,original seven,42994
236,0,0.17241379310344829,0.82758620689655171,0.13793103448275862,0.068965517241379309,29,wands,minilm,target_only,full,20,available,original seven,42994
238,0.16666666666666666,0.24074074074074073,0.59259259259259256,0.25925925925925924,0.29365079365079361,54,wands,minilm,target_only,full,20,available,original seven,42994
239,0.061643835616438353,0.10273972602739725,0.83561643835616439,0.13013698630136986,0.10567514677103719,146,wands,minilm,target_only,full,20,available,original seven,42994
241,0.020270270270270271,0.1554054054054054,0.82432432432432434,0.081081081081081086,0.081081081081081086,148,wands,minilm,target_only,full,20,available,original seven,42994
242,0.017142857142857144,0.16,0.82285714285714284,0.051428571428571428,0.078367346938775506,175,wands,minilm,target_only,full,20,available,original seven,42994
243,0.029629629629629631,0.088888888888888892,0.88148148148148153,0.081481481481481488,0.064550264550264538,135,wands,minilm,target_only,full,20,available,original seven,42994
244,0,0.44444444444444442,0.55555555555555558,0,0.12698412698412698,9,wands,minilm,target_only,full,20,available,original seven,42994
245,0.22807017543859648,0.24561403508771928,0.52631578947368418,0.33333333333333331,0.34335839598997497,57,wands,minilm,target_only,full,20,available,original seven,42994
246,0.083333333333333329,0.25,0.66666666666666663,0.16666666666666666,0.14285714285714285,12,wands,minilm,target_only,full,20,available,original seven,42994
247,0.22500000000000001,0.29999999999999999,0.47499999999999998,0.32500000000000001,0.34285714285714286,40,wands,minilm,target_only,full,20,available,original seven,42994
248,0.46153846153846156,0.05128205128205128,0.48717948717948717,0.51282051282051277,0.47985347985347987,39,wands,minilm,target_only,full,20,available,original seven,42994
249,0.024193548387096774,0.20967741935483872,0.7661290322580645,0.13709677419354838,0.10023041474654378,124,wands,minilm,target_only,full,20,available,original seven,42994
250,0.041666666666666664,0.11458333333333333,0.84375,0.09375,0.083333333333333329,96,wands,minilm,target_only,full,20,available,original seven,42994
251,0.10000000000000001,0.18888888888888888,0.71111111111111114,0.16666666666666666,0.17777777777777778,90,wands,minilm,target_only,full,20,available,original seven,42994
252,0.029999999999999999,0.17000000000000001,0.80000000000000004,0.080000000000000002,0.10714285714285714,100,wands,minilm,target_only,full,20,available,original seven,42994
253,0.20000000000000001,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.22857142857142856,5,wands,minilm,target_only,full,20,available,original seven,42994
254,0.0076335877862595417,0.083969465648854963,0.90839694656488545,0.022900763358778626,0.041439476553980371,131,wands,minilm,target_only,full,20,available,original seven,42994
255,0.028037383177570093,0.17757009345794392,0.79439252336448596,0.18691588785046728,0.082777036048064079,107,wands,minilm,target_only,full,20,available,original seven,42994
257,0.030303030303030304,0.25757575757575757,0.71212121212121215,0.083333333333333329,0.12987012987012986,132,wands,minilm,target_only,full,20,available,original seven,42994
260,0.61538461538461542,0.15384615384615385,0.23076923076923078,0.73076923076923073,0.70329670329670324,26,wands,minilm,target_only,full,20,available,original seven,42994
263,0.026666666666666668,0.14666666666666667,0.82666666666666666,0.10666666666666667,0.091428571428571428,75,wands,minilm,target_only,full,20,available,original seven,42994
264,0.93333333333333335,0.066666666666666666,0,1,0.99047619047619051,15,wands,minilm,target_only,full,20,available,original seven,42994
266,0,1,0,1,0.2857142857142857,1,wands,minilm,target_only,full,20,available,original seven,42994
267,0.5,0.5,0,0.5,0.85714285714285721,2,wands,minilm,target_only,full,20,available,original seven,42994
268,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
270,0.047619047619047616,0.071428571428571425,0.88095238095238093,0.095238095238095233,0.088435374149659865,42,wands,minilm,target_only,full,20,available,original seven,42994
271,0,0,1,0,0,1,wands,minilm,target_only,full,20,available,original seven,42994
273,0.75,0,0.25,0.75,0.75,4,wands,minilm,target_only,full,20,available,original seven,42994
274,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
275,0.076923076923076927,0.53846153846153844,0.38461538461538464,0.46153846153846156,0.37362637362637358,13,wands,minilm,target_only,full,20,available,original seven,42994
277,0.045454545454545456,0.15909090909090909,0.79545454545454541,0.068181818181818177,0.10064935064935066,44,wands,minilm,target_only,full,20,available,original seven,42994
278,0.14285714285714285,0,0.8571428571428571,0.14285714285714285,0.14285714285714285,7,wands,minilm,target_only,full,20,available,original seven,42994
279,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
281,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
282,0,1,0,1,0.8571428571428571,1,wands,minilm,target_only,full,20,available,original seven,42994
285,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,7,wands,minilm,target_only,full,20,available,original seven,42994
289,0.44444444444444442,0.25925925925925924,0.29629629629629628,0.59259259259259256,0.59788359788359791,27,wands,minilm,target_only,full,20,available,original seven,42994
291,0,0.066666666666666666,0.93333333333333335,0.066666666666666666,0.057142857142857141,15,wands,minilm,target_only,full,20,available,original seven,42994
292,0,0.083333333333333329,0.91666666666666663,0,0.011904761904761904,12,wands,minilm,target_only,full,20,available,original seven,42994
295,0,0.33333333333333331,0.66666666666666663,0.16666666666666666,0.16666666666666666,6,wands,minilm,target_only,full,20,available,original seven,42994
296,0,1,0,1,0.2857142857142857,1,wands,minilm,target_only,full,20,available,original seven,42994
297,0,0.125,0.875,0,0.017857142857142856,8,wands,minilm,target_only,full,20,available,original seven,42994
298,0,0.22222222222222221,0.77777777777777779,0.1111111111111111,0.079365079365079361,9,wands,minilm,target_only,full,20,available,original seven,42994
300,0,0,1,0,0,2,wands,minilm,target_only,full,20,available,original seven,42994
301,0,0,1,0,0,2,wands,minilm,target_only,full,20,available,original seven,42994
302,0.033898305084745763,0.23728813559322035,0.72881355932203384,0.2711864406779661,0.11380145278450364,59,wands,minilm,target_only,full,20,available,original seven,42994
303,0.75,0.25,0,1,0.9464285714285714,8,wands,minilm,target_only,full,20,available,original seven,42994
305,0.031088082901554404,0.11398963730569948,0.85492227979274615,0.077720207253886009,0.074019245003700954,193,wands,minilm,target_only,full,20,available,original seven,42994
306,1,0,0,1,1,2,wands,minilm,target_only,full,20,available,original seven,42994
307,0.66666666666666663,0.16666666666666666,0.16666666666666666,0.66666666666666663,0.69047619047619035,6,wands,minilm,target_only,full,20,available,original seven,42994
308,0,0.5,0.5,0,0.2857142857142857,2,wands,minilm,target_only,full,20,available,original seven,42994
310,1,0,0,1,1,4,wands,minilm,target_only,full,20,available,original seven,42994
311,0.5,0.5,0,0.5,0.7142857142857143,4,wands,minilm,target_only,full,20,available,original seven,42994
313,0.66666666666666663,0.33333333333333331,0,1,0.76190476190476186,3,wands,minilm,target_only,full,20,available,original seven,42994
315,1,0,0,1,1,4,wands,minilm,target_only,full,20,available,original seven,42994
316,0,1,0,1,0.5714285714285714,1,wands,minilm,target_only,full,20,available,original seven,42994
317,1,0,0,1,1,2,wands,minilm,target_only,full,20,available,original seven,42994
319,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
320,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
323,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
325,0.021739130434782608,0,0.97826086956521741,0.021739130434782608,0.021739130434782608,46,wands,minilm,target_only,full,20,available,original seven,42994
326,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
327,0,0.125,0.875,0.125,0.089285714285714288,8,wands,minilm,target_only,full,20,available,original seven,42994
328,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
329,1,0,0,1,1,2,wands,minilm,target_only,full,20,available,original seven,42994
330,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
331,0,0.096153846153846159,0.90384615384615385,0.038461538461538464,0.019230769230769232,52,wands,minilm,target_only,full,20,available,original seven,42994
332,1,0,0,1,1,1,wands,minilm,target_only,full,20,available,original seven,42994
