query_id,persistent_inclusion,VI,persistent_omission,n_highest,dataset,model,support,family,K,profile
37,0.0090909090909090905,0.0090909090909090905,0.98181818181818181,110,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
39,0,0.064516129032258063,0.93548387096774188,31,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
40,0.17499999999999999,0.29999999999999999,0.52500000000000002,40,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
42,0.66666666666666663,0,0.33333333333333331,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
48,0,0,1,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
54,0.20000000000000001,0.40000000000000002,0.40000000000000002,5,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
55,0,1,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
59,0,0.55813953488372092,0.44186046511627908,43,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
60,0,0.66666666666666663,0.33333333333333331,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
65,0.10526315789473684,0.078947368421052627,0.81578947368421051,38,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
66,1,0,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
68,0.02247191011235955,0.14606741573033707,0.8314606741573034,89,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
74,0.66666666666666663,0.33333333333333331,0,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
76,0,0,1,2,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
77,0,0,1,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
78,0,0,1,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
82,0.018867924528301886,0.11320754716981132,0.86792452830188682,53,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
86,0.20000000000000001,0.46666666666666667,0.33333333333333331,15,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
88,0,1,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
89,0.029411764705882353,0.17647058823529413,0.79411764705882348,68,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
91,0,0.25,0.75,8,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
93,0,0.017241379310344827,0.98275862068965514,58,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
94,0,0.25,0.75,4,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
102,0.070175438596491224,0.45614035087719296,0.47368421052631576,57,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
107,0,0.11627906976744186,0.88372093023255816,43,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
111,0.15942028985507245,0.2608695652173913,0.57971014492753625,69,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
122,0.0026666666666666666,0.040000000000000001,0.95733333333333337,375,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
123,0,0.080213903743315509,0.9197860962566845,187,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
125,1,0,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
126,0.0082987551867219917,0.12863070539419086,0.86307053941908718,241,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
129,0.071428571428571425,0.035714285714285712,0.8928571428571429,28,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
130,0.0106951871657754,0.037433155080213901,0.95187165775401072,187,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
132,0,0.19047619047619047,0.80952380952380953,42,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
137,0.025000000000000001,0.13750000000000001,0.83750000000000002,80,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
140,0.33333333333333331,0,0.66666666666666663,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
141,0.33333333333333331,0,0.66666666666666663,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
142,0,0.20000000000000001,0.80000000000000004,5,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
146,0,0.25,0.75,4,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
147,0.83333333333333337,0,0.16666666666666666,12,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
148,0.020618556701030927,0.067010309278350513,0.91237113402061853,194,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
150,0.61904761904761907,0.2857142857142857,0.095238095238095233,21,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
155,0.125,0.25,0.625,8,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
160,0.039823008849557522,0.10176991150442478,0.8584070796460177,226,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
164,0.0078125,0.0546875,0.9375,128,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
165,0.15942028985507245,0.14492753623188406,0.69565217391304346,69,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
176,0.43478260869565216,0.17391304347826086,0.39130434782608697,23,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
177,0.125,0.25,0.625,16,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
180,0.1388888888888889,0.16666666666666666,0.69444444444444442,72,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
182,0.15517241379310345,0.2413793103448276,0.60344827586206895,58,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
184,0.050847457627118647,0.16949152542372881,0.77966101694915257,59,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
185,0.47058823529411764,0.11764705882352941,0.41176470588235292,34,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
195,0,0.66666666666666663,0.33333333333333331,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
200,1,0,0,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
202,0.1111111111111111,0.28888888888888886,0.59999999999999998,45,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
203,0,1,0,5,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
210,0.1111111111111111,0.66666666666666663,0.22222222222222221,9,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
213,0,0,1,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
226,0.025380710659898477,0.086294416243654817,0.8883248730964467,197,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
235,0.060150375939849621,0.12030075187969924,0.81954887218045114,133,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
241,0.020270270270270271,0.1554054054054054,0.82432432432432434,148,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
242,0.017142857142857144,0.16,0.82285714285714284,175,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
244,0,0.44444444444444442,0.55555555555555558,9,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
246,0.083333333333333329,0.25,0.66666666666666663,12,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
251,0.10000000000000001,0.18888888888888888,0.71111111111111114,90,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
260,0.61538461538461542,0.15384615384615385,0.23076923076923078,26,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
266,0,1,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
267,0.5,0.5,0,2,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
270,0.047619047619047616,0.071428571428571425,0.88095238095238093,42,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
271,0,0,1,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
273,0.75,0,0.25,4,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
275,0.076923076923076927,0.53846153846153844,0.38461538461538464,13,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
279,1,0,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
281,1,0,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
295,0,0.33333333333333331,0.66666666666666663,6,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
297,0,0.125,0.875,8,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
302,0.033898305084745763,0.23728813559322035,0.72881355932203384,59,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
308,0,0.5,0.5,2,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
310,1,0,0,4,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
313,0.66666666666666663,0.33333333333333331,0,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
316,0,1,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
317,1,0,0,2,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
323,1,0,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
326,1,0,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
327,0,0.125,0.875,8,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
330,1,0,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
346,0.42105263157894735,0.10526315789473684,0.47368421052631576,19,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
352,0.34482758620689657,0.41379310344827586,0.2413793103448276,29,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
359,0.375,0.375,0.25,8,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
367,0.023809523809523808,0.19047619047619047,0.7857142857142857,42,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
368,0.18518518518518517,0.07407407407407407,0.7407407407407407,81,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
370,0,0,1,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
372,1,0,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
376,0.33333333333333331,0.66666666666666663,0,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
382,0.25,0,0.75,4,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
396,0,1,0,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
402,0,0.2857142857142857,0.7142857142857143,7,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
407,0,0,1,11,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
415,0.18666666666666668,0.13333333333333333,0.68000000000000005,75,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
417,0.010638297872340425,0.069148936170212769,0.92021276595744683,188,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
425,0,0.16071428571428573,0.8392857142857143,56,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
429,0.010638297872340425,0.085106382978723402,0.9042553191489362,94,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
433,0.044247787610619468,0.22123893805309736,0.73451327433628322,113,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
435,0.1276595744680851,0.23404255319148937,0.63829787234042556,47,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
438,0.059405940594059403,0.20792079207920791,0.73267326732673266,101,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
441,0.038461538461538464,0.25641025641025639,0.70512820512820518,78,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
445,0.017647058823529412,0.13529411764705881,0.84705882352941175,170,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
447,0,0,1,3,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
455,0,0.5,0.5,2,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
459,0.10526315789473684,0.42105263157894735,0.47368421052631576,19,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
460,0,0.2857142857142857,0.7142857142857143,7,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
461,1,0,0,4,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
464,0.17647058823529413,0.070588235294117646,0.75294117647058822,85,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
465,0,0,1,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
466,0,0,1,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
476,0.0031298904538341159,0.070422535211267609,0.92644757433489833,639,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
481,0,0,1,1,wands,minilm,full,7,20,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
1,0,0.125,0.875,8,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
2,0.45033112582781459,0.27152317880794702,0.27814569536423839,151,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
6,0.069767441860465115,0.18604651162790697,0.7441860465116279,43,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
7,0.34782608695652173,0.39130434782608697,0.2608695652173913,23,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
11,0.55384615384615388,0.27692307692307694,0.16923076923076924,65,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
13,0.54347826086956519,0.36956521739130432,0.086956521739130432,46,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
14,0.55000000000000004,0.10000000000000001,0.34999999999999998,20,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
17,0.5714285714285714,0.2857142857142857,0.14285714285714285,21,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
26,0.029680365296803651,0.15182648401826485,0.81849315068493156,876,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
27,0.02,0.10000000000000001,0.88,100,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
31,0,0,1,1,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
36,0.59459459459459463,0.32432432432432434,0.081081081081081086,37,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
37,0.0090909090909090905,0.13636363636363635,0.8545454545454545,110,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
39,0.45161290322580644,0.35483870967741937,0.19354838709677419,31,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
40,0.57499999999999996,0.25,0.17499999999999999,40,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
42,0.66666666666666663,0.33333333333333331,0,3,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
48,0,1,0,1,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
54,0.59999999999999998,0.40000000000000002,0,5,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
55,1,0,0,1,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
59,0.97674418604651159,0.023255813953488372,0,43,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
60,0,1,0,3,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
65,0.5,0.23684210526315788,0.26315789473684209,38,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
66,1,0,0,1,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
68,0.3258426966292135,0.39325842696629215,0.2808988764044944,89,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
74,1,0,0,3,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
76,0,0,1,2,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
77,0,0,1,1,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
78,0,0,1,3,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
82,0.094339622641509441,0.32075471698113206,0.58490566037735847,53,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
86,1,0,0,15,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
88,0,1,0,1,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
89,0.39705882352941174,0.35294117647058826,0.25,68,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
91,0.125,0.375,0.5,8,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
93,0.017241379310344827,0.17241379310344829,0.81034482758620685,58,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
94,0.75,0.25,0,4,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
102,0.92982456140350878,0.052631578947368418,0.017543859649122806,57,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
107,0.023255813953488372,0.13953488372093023,0.83720930232558144,43,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
111,0.62318840579710144,0.27536231884057971,0.10144927536231885,69,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
122,0.021333333333333333,0.15466666666666667,0.82399999999999995,375,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
123,0.026737967914438502,0.16042780748663102,0.81283422459893051,187,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
125,1,0,0,1,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
126,0.074688796680497924,0.34854771784232363,0.57676348547717837,241,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
129,0.071428571428571425,0.42857142857142855,0.5,28,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
130,0.016042780748663103,0.13368983957219252,0.85026737967914434,187,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
132,0.14285714285714285,0.33333333333333331,0.52380952380952384,42,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
137,0.050000000000000003,0.28749999999999998,0.66249999999999998,80,wands,minilm,full,7,100,855096a198cfffae5286ea8c1b48b4a2e68a32741168e43c7abdf2c084f6a3ed
