dataset,model,support,queries,support_pairs,state,state_pairs,state_mass,state_mass_ci_low,state_mass_ci_high,conditional_mean,median,p95
wands,bge_base,full,308,21299,crossing,1815,0.1083173463674557,0.0929123020246828,0.1254755131814839,0.0197825425958953,0.0178496837615966,0.0381353497505188
wands,bge_base,full,308,21299,persistent_omission,17735,0.5899180219931813,0.5502014625275824,0.6284419717957455,0.0170082074526526,0.0141359567642211,0.0392789840698242
wands,bge_base,all_seven_fitting,239,6797,persistent_inclusion,824,0.2133258899763936,0.1771755027423452,0.2525965957012612,0.0108027045761745,0.0096921324729919,0.0211951732635498
wands,bge_base,all_seven_fitting,239,6797,crossing,569,0.071604002889741,0.0577100889209542,0.0873164709217649,0.0162418240587887,0.013906717300415,0.0327327251434326
wands,bge_base,all_seven_fitting,239,6797,persistent_omission,5404,0.7150701071338653,0.673784118643457,0.7534903588487681,0.014919504052534,0.0124878883361816,0.034377098083496
wands,gte_modernbert,full,308,21299,persistent_inclusion,1612,0.2938139523582521,0.2546087674202679,0.3346529314902888,0.0203879526613812,0.0184627771377563,0.0372196435928344
wands,gte_modernbert,full,308,21299,crossing,2345,0.1455063312533377,0.1284425932083341,0.1631562354808284,0.0256986716431753,0.0234637856483459,0.0446505546569824
wands,gte_modernbert,full,308,21299,persistent_omission,17342,0.5606797163884103,0.5218018721362192,0.5986088389907201,0.0225023534985187,0.0209846496582031,0.0401352047920227
wands,gte_modernbert,all_seven_fitting,308,21299,persistent_inclusion,1612,0.2938139523582521,0.2546087674202679,0.3346529314902888,0.0203879526613812,0.0184627771377563,0.0372196435928344
wands,gte_modernbert,all_seven_fitting,308,21299,crossing,2345,0.1455063312533377,0.1284425932083341,0.1631562354808284,0.0256986716431753,0.0234637856483459,0.0446505546569824
wands,gte_modernbert,all_seven_fitting,308,21299,persistent_omission,17342,0.5606797163884103,0.5218018721362192,0.5986088389907201,0.0225023534985187,0.0209846496582031,0.0401352047920227
wands,minilm,full,308,21299,persistent_inclusion,1107,0.2018756929310532,0.1683474812050897,0.2371912679549437,0.0501170474512705,0.0463827848434448,0.090519905090332
wands,minilm,full,308,21299,crossing,2655,0.1944650883183764,0.1711769268652023,0.2194348359756046,0.0747222739814238,0.0662495493888855,0.1442640721797943
wands,minilm,full,308,21299,persistent_omission,17537,0.6036592187505704,0.565316557013757,0.6414059535596099,0.0542014709937322,0.0506864190101623,0.1101549565792083
wands,minilm,all_seven_fitting,118,925,persistent_inclusion,142,0.1850016616317871,0.1322660417942782,0.241784070159568,0.0275046245149506,0.0265951752662658,0.0493128895759582
wands,minilm,all_seven_fitting,118,925,crossing,96,0.1059200326030364,0.0701495518213549,0.1450896585650408,0.042990910579786,0.0417211055755615,0.0743868350982666
wands,minilm,all_seven_fitting,118,925,persistent_omission,687,0.7090783057651764,0.6450686064544042,0.7692252543428115,0.0360381002608881,0.0341638922691345,0.0698742866516113
