query_id,product_id,models_crossing,largest_range,best_rank,worst_rank,query,query_words,product_title,bge_base_C0,gte_modernbert_C0,minilm_C0,bge_base_C1,gte_modernbert_C1,minilm_C1,bge_base_C2s1,gte_modernbert_C2s1,minilm_C2s1,bge_base_C2s2,gte_modernbert_C2s2,minilm_C2s2,bge_base_C2s3,gte_modernbert_C2s3,minilm_C2s3,bge_base_C2s4,gte_modernbert_C2s4,minilm_C2s4,bge_base_C2s5,gte_modernbert_C2s5,minilm_C2s5,specified_case
18,9287,3,317,5,334,chrome bathroom 4 light vanity light,6,gildersleeve 4-light dimmable polished chrome vanity light,5.0,32.0,213.0,9.0,38.0,100.0,8.0,14.0,30.0,25.0,23.0,334.0,12.0,17.0,17.0,37.0,30.0,94.0,9.0,31.0,127.0,False
18,27301,3,241,6,253,chrome bathroom 4 light vanity light,6,swale 4 - light dimmable polished chrome vanity light,17.0,9.0,143.0,6.0,15.0,56.0,27.0,56.0,14.0,16.0,30.0,253.0,13.0,43.0,21.0,31.0,17.0,12.0,14.0,24.0,12.0,False
18,15071,3,177,5,182,chrome bathroom 4 light vanity light,6,evgeniy 4-light dimmable polished chrome vanity light,21.0,43.0,5.0,12.0,78.0,106.0,20.0,27.0,47.0,27.0,17.0,94.0,11.0,42.0,76.0,12.0,47.0,182.0,12.0,17.0,33.0,False
236,1876,3,135,10,145,3 piece rug set with runners,6,naschmarkt 3 piece paisley ivory area rug set,30.0,23.0,48.0,24.0,15.0,17.0,30.0,19.0,56.0,27.0,19.0,89.0,22.0,26.0,145.0,24.0,10.0,10.0,17.0,18.0,81.0,False
24,26350,3,63,4,67,wood coffee table set by storage,6,fertile solid wood coffee table with storage,22.0,13.0,11.0,11.0,40.0,7.0,14.0,17.0,25.0,7.0,36.0,21.0,8.0,4.0,16.0,26.0,25.0,21.0,17.0,67.0,64.0,False
18,19659,3,61,2,63,chrome bathroom 4 light vanity light,6,alies 4-light dimmable polished chrome vanity light,16.0,7.0,63.0,5.0,11.0,3.0,41.0,13.0,2.0,7.0,15.0,12.0,43.0,36.0,6.0,25.0,7.0,22.0,31.0,7.0,9.0,False
402,24557,3,42,6,55,modern farmhouse lighting semi flush mount,6,saladino 1 - light 6.7 '' simple schoolhouse semi flush mount,29.0,27.0,47.0,24.0,39.0,40.0,35.0,7.0,48.0,14.0,6.0,44.0,20.0,24.0,24.0,35.0,14.0,55.0,33.0,6.0,13.0,False
18,15892,3,38,5,46,chrome bathroom 4 light vanity light,6,burtt 4 - light dimmable chrome vanity light,12.0,5.0,10.0,20.0,35.0,46.0,10.0,10.0,19.0,19.0,7.0,21.0,10.0,9.0,23.0,40.0,5.0,8.0,22.0,10.0,10.0,False
18,21625,3,34,11,46,chrome bathroom 4 light vanity light,6,drinkard 4-light vanity light,37.0,31.0,13.0,26.0,19.0,37.0,34.0,16.0,41.0,26.0,46.0,29.0,15.0,12.0,38.0,11.0,26.0,38.0,20.0,13.0,29.0,False
402,24559,3,29,5,46,modern farmhouse lighting semi flush mount,6,saladino 1 - light 14.25 '' simple dome semi flush mount,33.0,6.0,38.0,37.0,11.0,35.0,27.0,22.0,17.0,33.0,7.0,29.0,16.0,5.0,46.0,29.0,16.0,45.0,37.0,8.0,21.0,False
