dataset,model,intervention,target_support,catalog_size,K,eligible_queries,highest_label_pairs,support_ids_sha256
wands,bge_base,target_only,full,42994,200,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,target_only,full,42994,500,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,target_only,full,42994,1000,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,bge_base,target_only,fully_fitting,42994,20,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,target_only,fully_fitting,42994,50,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,target_only,fully_fitting,42994,100,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,target_only,fully_fitting,42994,200,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,target_only,fully_fitting,42994,500,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,bge_base,target_only,fully_fitting,42994,1000,239,6797,695a0998319be3eca4742ba576719ad3bd6db265633add783e72ab36a97d2ed2
wands,gte_modernbert,catalog_wide,full,42994,20,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,full,42994,50,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,full,42994,100,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,full,42994,200,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,full,42994,500,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,full,42994,1000,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,fully_fitting,42994,20,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,fully_fitting,42994,50,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,fully_fitting,42994,100,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,fully_fitting,42994,200,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,fully_fitting,42994,500,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,catalog_wide,fully_fitting,42994,1000,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,full,42994,20,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,full,42994,50,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,full,42994,100,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,full,42994,200,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,full,42994,500,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,full,42994,1000,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,fully_fitting,42994,20,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,fully_fitting,42994,50,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,fully_fitting,42994,100,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,fully_fitting,42994,200,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,fully_fitting,42994,500,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
wands,gte_modernbert,target_only,fully_fitting,42994,1000,308,21299,7c305695c21d1cad60d05d238958646490a834c2025750e79085868229978da3
esci,minilm,catalog_wide,full,10076,20,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,catalog_wide,full,10076,50,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,catalog_wide,full,10076,100,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,catalog_wide,full,10076,200,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,catalog_wide,full,10076,500,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,catalog_wide,full,10076,1000,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,catalog_wide,fully_fitting,10076,20,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,catalog_wide,fully_fitting,10076,50,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,catalog_wide,fully_fitting,10076,100,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,catalog_wide,fully_fitting,10076,200,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,catalog_wide,fully_fitting,10076,500,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,catalog_wide,fully_fitting,10076,1000,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,target_only,full,10076,20,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,target_only,full,10076,50,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,target_only,full,10076,100,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,target_only,full,10076,200,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,target_only,full,10076,500,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,target_only,full,10076,1000,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,minilm,target_only,fully_fitting,10076,20,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,target_only,fully_fitting,10076,50,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,target_only,fully_fitting,10076,100,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,target_only,fully_fitting,10076,200,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,target_only,fully_fitting,10076,500,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,minilm,target_only,fully_fitting,10076,1000,460,2578,3574e7b379c00ea9b194657f54d689d3c9cdf3922938588ede9f72054c9974f4
esci,bge_base,catalog_wide,full,10076,20,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,catalog_wide,full,10076,50,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,catalog_wide,full,10076,100,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,catalog_wide,full,10076,200,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,catalog_wide,full,10076,500,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,catalog_wide,full,10076,1000,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,catalog_wide,fully_fitting,10076,20,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,catalog_wide,fully_fitting,10076,50,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,catalog_wide,fully_fitting,10076,100,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,catalog_wide,fully_fitting,10076,200,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,catalog_wide,fully_fitting,10076,500,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,catalog_wide,fully_fitting,10076,1000,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,target_only,full,10076,20,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,target_only,full,10076,50,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,target_only,full,10076,100,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,target_only,full,10076,200,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,target_only,full,10076,500,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,target_only,full,10076,1000,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,bge_base,target_only,fully_fitting,10076,20,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,target_only,fully_fitting,10076,50,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,target_only,fully_fitting,10076,100,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,target_only,fully_fitting,10076,200,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,target_only,fully_fitting,10076,500,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,bge_base,target_only,fully_fitting,10076,1000,488,3587,ea4507fecc05a172cc6653640416a4a3ca174724b3fb7edfce948bcabf271849
esci,gte_modernbert,catalog_wide,full,10076,20,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,full,10076,50,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,full,10076,100,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,full,10076,200,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,full,10076,500,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,full,10076,1000,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,fully_fitting,10076,20,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,fully_fitting,10076,50,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,fully_fitting,10076,100,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,fully_fitting,10076,200,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,fully_fitting,10076,500,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,catalog_wide,fully_fitting,10076,1000,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,full,10076,20,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,full,10076,50,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,full,10076,100,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,full,10076,200,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,full,10076,500,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,full,10076,1000,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,fully_fitting,10076,20,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,fully_fitting,10076,50,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,fully_fitting,10076,100,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,fully_fitting,10076,200,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,fully_fitting,10076,500,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
esci,gte_modernbert,target_only,fully_fitting,10076,1000,499,4434,cb8ed1b2dd00c03d6fecd4937dacf840021a71c687f3fc7dca49a00279f17f13
