query_id,base,severe,n_highest,base_share,severe_share,dataset,model,intervention,target_support,catalog_size,K,event,threshold_multiple
44,7,5,33,0.21212121212121213,0.15151515151515152,wands,minilm,target_only,full,42994,20,crossing,2
45,1,0,20,0.05,0.0,wands,minilm,target_only,full,42994,20,crossing,2
46,1,1,5,0.2,0.2,wands,minilm,target_only,full,42994,20,crossing,2
48,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
50,7,7,28,0.25,0.25,wands,minilm,target_only,full,42994,20,crossing,2
51,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
54,2,2,5,0.4,0.4,wands,minilm,target_only,full,42994,20,crossing,2
55,1,1,1,1.0,1.0,wands,minilm,target_only,full,42994,20,crossing,2
59,24,0,43,0.5581395348837209,0.0,wands,minilm,target_only,full,42994,20,crossing,2
60,2,2,3,0.6666666666666666,0.6666666666666666,wands,minilm,target_only,full,42994,20,crossing,2
62,2,1,9,0.2222222222222222,0.1111111111111111,wands,minilm,target_only,full,42994,20,crossing,2
63,13,2,72,0.18055555555555555,0.027777777777777776,wands,minilm,target_only,full,42994,20,crossing,2
64,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
65,3,1,38,0.07894736842105263,0.02631578947368421,wands,minilm,target_only,full,42994,20,crossing,2
66,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
68,13,6,89,0.14606741573033707,0.06741573033707865,wands,minilm,target_only,full,42994,20,crossing,2
69,1,1,13,0.07692307692307693,0.07692307692307693,wands,minilm,target_only,full,42994,20,crossing,2
70,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
71,14,8,47,0.2978723404255319,0.1702127659574468,wands,minilm,target_only,full,42994,20,crossing,2
72,21,6,85,0.24705882352941178,0.07058823529411765,wands,minilm,target_only,full,42994,20,crossing,2
74,1,1,3,0.3333333333333333,0.3333333333333333,wands,minilm,target_only,full,42994,20,crossing,2
75,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
76,0,0,2,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
77,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
78,0,0,3,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
81,8,7,75,0.10666666666666667,0.09333333333333334,wands,minilm,target_only,full,42994,20,crossing,2
82,6,6,53,0.11320754716981132,0.11320754716981132,wands,minilm,target_only,full,42994,20,crossing,2
84,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
86,7,2,15,0.4666666666666667,0.13333333333333333,wands,minilm,target_only,full,42994,20,crossing,2
88,1,1,1,1.0,1.0,wands,minilm,target_only,full,42994,20,crossing,2
89,12,8,68,0.17647058823529413,0.11764705882352941,wands,minilm,target_only,full,42994,20,crossing,2
91,2,2,8,0.25,0.25,wands,minilm,target_only,full,42994,20,crossing,2
93,1,1,58,0.017241379310344827,0.017241379310344827,wands,minilm,target_only,full,42994,20,crossing,2
94,1,1,4,0.25,0.25,wands,minilm,target_only,full,42994,20,crossing,2
95,1,1,49,0.02040816326530612,0.02040816326530612,wands,minilm,target_only,full,42994,20,crossing,2
97,1,1,1,1.0,1.0,wands,minilm,target_only,full,42994,20,crossing,2
101,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
102,26,12,57,0.45614035087719296,0.21052631578947367,wands,minilm,target_only,full,42994,20,crossing,2
104,1,0,12,0.08333333333333333,0.0,wands,minilm,target_only,full,42994,20,crossing,2
107,5,5,43,0.11627906976744186,0.11627906976744186,wands,minilm,target_only,full,42994,20,crossing,2
108,6,1,81,0.07407407407407407,0.012345679012345678,wands,minilm,target_only,full,42994,20,crossing,2
109,28,5,39,0.717948717948718,0.1282051282051282,wands,minilm,target_only,full,42994,20,crossing,2
111,18,8,69,0.2608695652173913,0.11594202898550725,wands,minilm,target_only,full,42994,20,crossing,2
112,42,32,266,0.15789473684210525,0.12030075187969924,wands,minilm,target_only,full,42994,20,crossing,2
114,1,1,3,0.3333333333333333,0.3333333333333333,wands,minilm,target_only,full,42994,20,crossing,2
115,20,7,202,0.09900990099009901,0.034653465346534656,wands,minilm,target_only,full,42994,20,crossing,2
119,7,6,158,0.04430379746835443,0.0379746835443038,wands,minilm,target_only,full,42994,20,crossing,2
120,2,0,33,0.06060606060606061,0.0,wands,minilm,target_only,full,42994,20,crossing,2
121,44,39,726,0.06060606060606061,0.05371900826446281,wands,minilm,target_only,full,42994,20,crossing,2
122,15,13,375,0.04,0.034666666666666665,wands,minilm,target_only,full,42994,20,crossing,2
123,15,15,187,0.08021390374331551,0.08021390374331551,wands,minilm,target_only,full,42994,20,crossing,2
124,9,9,324,0.027777777777777776,0.027777777777777776,wands,minilm,target_only,full,42994,20,crossing,2
125,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
126,32,28,241,0.13278008298755187,0.11618257261410789,wands,minilm,target_only,full,42994,20,crossing,2
127,33,28,159,0.20754716981132076,0.1761006289308176,wands,minilm,target_only,full,42994,20,crossing,2
128,27,21,113,0.23893805309734514,0.18584070796460178,wands,minilm,target_only,full,42994,20,crossing,2
129,1,1,28,0.03571428571428571,0.03571428571428571,wands,minilm,target_only,full,42994,20,crossing,2
130,7,7,187,0.0374331550802139,0.0374331550802139,wands,minilm,target_only,full,42994,20,crossing,2
131,35,28,173,0.2023121387283237,0.16184971098265896,wands,minilm,target_only,full,42994,20,crossing,2
132,8,8,42,0.19047619047619047,0.19047619047619047,wands,minilm,target_only,full,42994,20,crossing,2
137,11,9,80,0.1375,0.1125,wands,minilm,target_only,full,42994,20,crossing,2
138,28,21,142,0.19718309859154928,0.14788732394366197,wands,minilm,target_only,full,42994,20,crossing,2
140,0,0,3,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
141,0,0,3,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
142,1,1,5,0.2,0.2,wands,minilm,target_only,full,42994,20,crossing,2
143,0,0,3,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
144,40,35,116,0.3448275862068966,0.3017241379310345,wands,minilm,target_only,full,42994,20,crossing,2
145,4,3,32,0.125,0.09375,wands,minilm,target_only,full,42994,20,crossing,2
146,1,1,4,0.25,0.25,wands,minilm,target_only,full,42994,20,crossing,2
147,0,0,12,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
148,13,10,194,0.06701030927835051,0.05154639175257732,wands,minilm,target_only,full,42994,20,crossing,2
150,6,1,21,0.2857142857142857,0.047619047619047616,wands,minilm,target_only,full,42994,20,crossing,2
151,20,16,630,0.031746031746031744,0.025396825396825397,wands,minilm,target_only,full,42994,20,crossing,2
153,17,13,145,0.11724137931034483,0.0896551724137931,wands,minilm,target_only,full,42994,20,crossing,2
155,2,2,8,0.25,0.25,wands,minilm,target_only,full,42994,20,crossing,2
158,22,12,44,0.5,0.2727272727272727,wands,minilm,target_only,full,42994,20,crossing,2
159,15,5,93,0.16129032258064516,0.053763440860215055,wands,minilm,target_only,full,42994,20,crossing,2
160,23,19,226,0.10176991150442478,0.084070796460177,wands,minilm,target_only,full,42994,20,crossing,2
161,13,13,38,0.34210526315789475,0.34210526315789475,wands,minilm,target_only,full,42994,20,crossing,2
163,6,0,47,0.1276595744680851,0.0,wands,minilm,target_only,full,42994,20,crossing,2
164,7,6,128,0.0546875,0.046875,wands,minilm,target_only,full,42994,20,crossing,2
165,10,7,69,0.14492753623188406,0.10144927536231885,wands,minilm,target_only,full,42994,20,crossing,2
166,8,4,26,0.3076923076923077,0.15384615384615385,wands,minilm,target_only,full,42994,20,crossing,2
167,14,5,87,0.16091954022988506,0.05747126436781609,wands,minilm,target_only,full,42994,20,crossing,2
169,5,4,27,0.18518518518518517,0.14814814814814814,wands,minilm,target_only,full,42994,20,crossing,2
170,15,6,99,0.15151515151515152,0.06060606060606061,wands,minilm,target_only,full,42994,20,crossing,2
172,16,1,42,0.38095238095238093,0.023809523809523808,wands,minilm,target_only,full,42994,20,crossing,2
173,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
175,11,2,70,0.15714285714285714,0.02857142857142857,wands,minilm,target_only,full,42994,20,crossing,2
176,4,2,23,0.17391304347826086,0.08695652173913043,wands,minilm,target_only,full,42994,20,crossing,2
177,4,3,16,0.25,0.1875,wands,minilm,target_only,full,42994,20,crossing,2
178,4,0,24,0.16666666666666666,0.0,wands,minilm,target_only,full,42994,20,crossing,2
180,13,5,72,0.18055555555555555,0.06944444444444445,wands,minilm,target_only,full,42994,20,crossing,2
182,14,2,58,0.2413793103448276,0.034482758620689655,wands,minilm,target_only,full,42994,20,crossing,2
183,3,1,6,0.5,0.16666666666666666,wands,minilm,target_only,full,42994,20,crossing,2
184,10,6,59,0.1694915254237288,0.1016949152542373,wands,minilm,target_only,full,42994,20,crossing,2
185,4,0,34,0.11764705882352941,0.0,wands,minilm,target_only,full,42994,20,crossing,2
186,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
189,0,0,31,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
190,0,0,5,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
195,2,2,3,0.6666666666666666,0.6666666666666666,wands,minilm,target_only,full,42994,20,crossing,2
197,11,11,23,0.4782608695652174,0.4782608695652174,wands,minilm,target_only,full,42994,20,crossing,2
198,0,0,10,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
200,0,0,3,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
202,13,9,45,0.28888888888888886,0.2,wands,minilm,target_only,full,42994,20,crossing,2
203,5,2,5,1.0,0.4,wands,minilm,target_only,full,42994,20,crossing,2
204,1,0,7,0.14285714285714285,0.0,wands,minilm,target_only,full,42994,20,crossing,2
206,1,0,2,0.5,0.0,wands,minilm,target_only,full,42994,20,crossing,2
210,6,5,9,0.6666666666666666,0.5555555555555556,wands,minilm,target_only,full,42994,20,crossing,2
212,1,0,2,0.5,0.0,wands,minilm,target_only,full,42994,20,crossing,2
213,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
215,2,1,30,0.06666666666666667,0.03333333333333333,wands,minilm,target_only,full,42994,20,crossing,2
216,4,1,8,0.5,0.125,wands,minilm,target_only,full,42994,20,crossing,2
220,9,8,52,0.17307692307692307,0.15384615384615385,wands,minilm,target_only,full,42994,20,crossing,2
221,10,6,73,0.136986301369863,0.0821917808219178,wands,minilm,target_only,full,42994,20,crossing,2
222,0,0,31,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
223,1,0,1,1.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
226,17,10,197,0.08629441624365482,0.050761421319796954,wands,minilm,target_only,full,42994,20,crossing,2
227,20,6,176,0.11363636363636363,0.03409090909090909,wands,minilm,target_only,full,42994,20,crossing,2
229,27,22,133,0.20300751879699247,0.16541353383458646,wands,minilm,target_only,full,42994,20,crossing,2
230,21,14,228,0.09210526315789473,0.06140350877192982,wands,minilm,target_only,full,42994,20,crossing,2
231,34,27,307,0.11074918566775244,0.08794788273615635,wands,minilm,target_only,full,42994,20,crossing,2
232,22,20,423,0.05200945626477541,0.04728132387706856,wands,minilm,target_only,full,42994,20,crossing,2
233,8,8,81,0.09876543209876543,0.09876543209876543,wands,minilm,target_only,full,42994,20,crossing,2
234,29,16,107,0.27102803738317754,0.14953271028037382,wands,minilm,target_only,full,42994,20,crossing,2
235,16,3,133,0.12030075187969924,0.022556390977443608,wands,minilm,target_only,full,42994,20,crossing,2
236,5,4,29,0.1724137931034483,0.13793103448275862,wands,minilm,target_only,full,42994,20,crossing,2
238,13,6,54,0.24074074074074073,0.1111111111111111,wands,minilm,target_only,full,42994,20,crossing,2
239,15,9,146,0.10273972602739725,0.06164383561643835,wands,minilm,target_only,full,42994,20,crossing,2
241,23,19,148,0.1554054054054054,0.12837837837837837,wands,minilm,target_only,full,42994,20,crossing,2
242,28,24,175,0.16,0.13714285714285715,wands,minilm,target_only,full,42994,20,crossing,2
243,12,8,135,0.08888888888888889,0.05925925925925926,wands,minilm,target_only,full,42994,20,crossing,2
244,4,4,9,0.4444444444444444,0.4444444444444444,wands,minilm,target_only,full,42994,20,crossing,2
245,14,1,57,0.24561403508771928,0.017543859649122806,wands,minilm,target_only,full,42994,20,crossing,2
246,3,3,12,0.25,0.25,wands,minilm,target_only,full,42994,20,crossing,2
247,12,5,40,0.3,0.125,wands,minilm,target_only,full,42994,20,crossing,2
248,2,0,39,0.05128205128205128,0.0,wands,minilm,target_only,full,42994,20,crossing,2
249,26,22,124,0.20967741935483872,0.1774193548387097,wands,minilm,target_only,full,42994,20,crossing,2
250,11,10,96,0.11458333333333333,0.10416666666666667,wands,minilm,target_only,full,42994,20,crossing,2
251,17,10,90,0.18888888888888888,0.1111111111111111,wands,minilm,target_only,full,42994,20,crossing,2
252,17,14,100,0.17,0.14,wands,minilm,target_only,full,42994,20,crossing,2
253,1,1,5,0.2,0.2,wands,minilm,target_only,full,42994,20,crossing,2
254,11,10,131,0.08396946564885496,0.07633587786259542,wands,minilm,target_only,full,42994,20,crossing,2
255,19,19,107,0.17757009345794392,0.17757009345794392,wands,minilm,target_only,full,42994,20,crossing,2
257,34,28,132,0.25757575757575757,0.21212121212121213,wands,minilm,target_only,full,42994,20,crossing,2
260,4,0,26,0.15384615384615385,0.0,wands,minilm,target_only,full,42994,20,crossing,2
263,11,6,75,0.14666666666666667,0.08,wands,minilm,target_only,full,42994,20,crossing,2
264,1,0,15,0.06666666666666667,0.0,wands,minilm,target_only,full,42994,20,crossing,2
266,1,1,1,1.0,1.0,wands,minilm,target_only,full,42994,20,crossing,2
267,1,0,2,0.5,0.0,wands,minilm,target_only,full,42994,20,crossing,2
268,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
270,3,1,42,0.07142857142857142,0.023809523809523808,wands,minilm,target_only,full,42994,20,crossing,2
271,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
273,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
274,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
275,7,3,13,0.5384615384615384,0.23076923076923078,wands,minilm,target_only,full,42994,20,crossing,2
277,7,5,44,0.1590909090909091,0.11363636363636363,wands,minilm,target_only,full,42994,20,crossing,2
278,0,0,7,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
279,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
281,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
282,1,1,1,1.0,1.0,wands,minilm,target_only,full,42994,20,crossing,2
285,4,2,7,0.5714285714285714,0.2857142857142857,wands,minilm,target_only,full,42994,20,crossing,2
289,7,3,27,0.25925925925925924,0.1111111111111111,wands,minilm,target_only,full,42994,20,crossing,2
291,1,0,15,0.06666666666666667,0.0,wands,minilm,target_only,full,42994,20,crossing,2
292,1,1,12,0.08333333333333333,0.08333333333333333,wands,minilm,target_only,full,42994,20,crossing,2
295,2,2,6,0.3333333333333333,0.3333333333333333,wands,minilm,target_only,full,42994,20,crossing,2
296,1,1,1,1.0,1.0,wands,minilm,target_only,full,42994,20,crossing,2
297,1,1,8,0.125,0.125,wands,minilm,target_only,full,42994,20,crossing,2
298,2,2,9,0.2222222222222222,0.2222222222222222,wands,minilm,target_only,full,42994,20,crossing,2
300,0,0,2,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
301,0,0,2,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
302,14,8,59,0.23728813559322035,0.13559322033898305,wands,minilm,target_only,full,42994,20,crossing,2
303,2,0,8,0.25,0.0,wands,minilm,target_only,full,42994,20,crossing,2
305,22,20,193,0.11398963730569948,0.10362694300518134,wands,minilm,target_only,full,42994,20,crossing,2
306,0,0,2,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
307,1,0,6,0.16666666666666666,0.0,wands,minilm,target_only,full,42994,20,crossing,2
308,1,1,2,0.5,0.5,wands,minilm,target_only,full,42994,20,crossing,2
310,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
311,2,2,4,0.5,0.5,wands,minilm,target_only,full,42994,20,crossing,2
313,1,1,3,0.3333333333333333,0.3333333333333333,wands,minilm,target_only,full,42994,20,crossing,2
315,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
316,1,1,1,1.0,1.0,wands,minilm,target_only,full,42994,20,crossing,2
317,0,0,2,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
319,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
320,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
323,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
325,0,0,46,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
326,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
327,1,1,8,0.125,0.125,wands,minilm,target_only,full,42994,20,crossing,2
328,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
329,0,0,2,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
330,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
331,5,5,52,0.09615384615384616,0.09615384615384616,wands,minilm,target_only,full,42994,20,crossing,2
332,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
333,6,2,21,0.2857142857142857,0.09523809523809523,wands,minilm,target_only,full,42994,20,crossing,2
334,1,1,6,0.16666666666666666,0.16666666666666666,wands,minilm,target_only,full,42994,20,crossing,2
335,14,11,42,0.3333333333333333,0.2619047619047619,wands,minilm,target_only,full,42994,20,crossing,2
337,15,11,39,0.38461538461538464,0.28205128205128205,wands,minilm,target_only,full,42994,20,crossing,2
339,1,0,6,0.16666666666666666,0.0,wands,minilm,target_only,full,42994,20,crossing,2
341,6,3,22,0.2727272727272727,0.13636363636363635,wands,minilm,target_only,full,42994,20,crossing,2
342,0,0,2,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
346,2,1,19,0.10526315789473684,0.05263157894736842,wands,minilm,target_only,full,42994,20,crossing,2
349,0,0,5,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
352,12,9,29,0.41379310344827586,0.3103448275862069,wands,minilm,target_only,full,42994,20,crossing,2
353,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
355,11,1,30,0.36666666666666664,0.03333333333333333,wands,minilm,target_only,full,42994,20,crossing,2
357,13,1,34,0.38235294117647056,0.029411764705882353,wands,minilm,target_only,full,42994,20,crossing,2
358,1,1,4,0.25,0.25,wands,minilm,target_only,full,42994,20,crossing,2
359,3,3,8,0.375,0.375,wands,minilm,target_only,full,42994,20,crossing,2
367,8,8,42,0.19047619047619047,0.19047619047619047,wands,minilm,target_only,full,42994,20,crossing,2
368,6,0,81,0.07407407407407407,0.0,wands,minilm,target_only,full,42994,20,crossing,2
369,0,0,2,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
370,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
371,2,2,8,0.25,0.25,wands,minilm,target_only,full,42994,20,crossing,2
372,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
376,2,2,3,0.6666666666666666,0.6666666666666666,wands,minilm,target_only,full,42994,20,crossing,2
380,0,0,6,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
382,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
389,9,9,157,0.05732484076433121,0.05732484076433121,wands,minilm,target_only,full,42994,20,crossing,2
396,1,1,1,1.0,1.0,wands,minilm,target_only,full,42994,20,crossing,2
398,7,4,19,0.3684210526315789,0.21052631578947367,wands,minilm,target_only,full,42994,20,crossing,2
402,2,2,7,0.2857142857142857,0.2857142857142857,wands,minilm,target_only,full,42994,20,crossing,2
403,1,1,31,0.03225806451612903,0.03225806451612903,wands,minilm,target_only,full,42994,20,crossing,2
404,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
406,15,13,22,0.6818181818181818,0.5909090909090909,wands,minilm,target_only,full,42994,20,crossing,2
407,0,0,11,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
408,10,0,31,0.3225806451612903,0.0,wands,minilm,target_only,full,42994,20,crossing,2
409,1,1,40,0.025,0.025,wands,minilm,target_only,full,42994,20,crossing,2
410,16,4,58,0.27586206896551724,0.06896551724137931,wands,minilm,target_only,full,42994,20,crossing,2
412,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
415,10,2,75,0.13333333333333333,0.02666666666666667,wands,minilm,target_only,full,42994,20,crossing,2
417,13,11,188,0.06914893617021277,0.05851063829787234,wands,minilm,target_only,full,42994,20,crossing,2
418,31,24,608,0.05098684210526316,0.039473684210526314,wands,minilm,target_only,full,42994,20,crossing,2
419,0,0,16,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
420,34,31,766,0.044386422976501305,0.04046997389033943,wands,minilm,target_only,full,42994,20,crossing,2
421,36,32,649,0.05546995377503852,0.04930662557781202,wands,minilm,target_only,full,42994,20,crossing,2
422,38,28,428,0.08878504672897196,0.06542056074766354,wands,minilm,target_only,full,42994,20,crossing,2
423,43,36,285,0.15087719298245614,0.12631578947368421,wands,minilm,target_only,full,42994,20,crossing,2
425,9,7,56,0.16071428571428573,0.125,wands,minilm,target_only,full,42994,20,crossing,2
426,28,11,223,0.12556053811659193,0.04932735426008968,wands,minilm,target_only,full,42994,20,crossing,2
428,9,6,66,0.13636363636363635,0.09090909090909091,wands,minilm,target_only,full,42994,20,crossing,2
429,8,6,94,0.0851063829787234,0.06382978723404255,wands,minilm,target_only,full,42994,20,crossing,2
431,17,7,75,0.22666666666666666,0.09333333333333334,wands,minilm,target_only,full,42994,20,crossing,2
432,12,4,42,0.2857142857142857,0.09523809523809523,wands,minilm,target_only,full,42994,20,crossing,2
433,25,19,113,0.22123893805309736,0.168141592920354,wands,minilm,target_only,full,42994,20,crossing,2
434,34,29,226,0.1504424778761062,0.12831858407079647,wands,minilm,target_only,full,42994,20,crossing,2
435,11,9,47,0.23404255319148937,0.19148936170212766,wands,minilm,target_only,full,42994,20,crossing,2
436,11,10,46,0.2391304347826087,0.21739130434782608,wands,minilm,target_only,full,42994,20,crossing,2
437,13,3,47,0.2765957446808511,0.06382978723404255,wands,minilm,target_only,full,42994,20,crossing,2
438,21,15,101,0.2079207920792079,0.1485148514851485,wands,minilm,target_only,full,42994,20,crossing,2
439,19,15,216,0.08796296296296297,0.06944444444444445,wands,minilm,target_only,full,42994,20,crossing,2
440,26,25,255,0.10196078431372549,0.09803921568627451,wands,minilm,target_only,full,42994,20,crossing,2
441,20,18,78,0.2564102564102564,0.23076923076923078,wands,minilm,target_only,full,42994,20,crossing,2
442,31,24,70,0.44285714285714284,0.34285714285714286,wands,minilm,target_only,full,42994,20,crossing,2
443,8,8,352,0.022727272727272728,0.022727272727272728,wands,minilm,target_only,full,42994,20,crossing,2
444,19,14,114,0.16666666666666666,0.12280701754385964,wands,minilm,target_only,full,42994,20,crossing,2
445,23,20,170,0.13529411764705881,0.11764705882352941,wands,minilm,target_only,full,42994,20,crossing,2
446,17,8,57,0.2982456140350877,0.14035087719298245,wands,minilm,target_only,full,42994,20,crossing,2
447,0,0,3,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
448,3,2,81,0.037037037037037035,0.024691358024691357,wands,minilm,target_only,full,42994,20,crossing,2
453,1,1,25,0.04,0.04,wands,minilm,target_only,full,42994,20,crossing,2
455,1,1,2,0.5,0.5,wands,minilm,target_only,full,42994,20,crossing,2
456,11,8,76,0.14473684210526316,0.10526315789473684,wands,minilm,target_only,full,42994,20,crossing,2
459,8,8,19,0.42105263157894735,0.42105263157894735,wands,minilm,target_only,full,42994,20,crossing,2
460,2,2,7,0.2857142857142857,0.2857142857142857,wands,minilm,target_only,full,42994,20,crossing,2
461,0,0,4,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
464,6,0,85,0.07058823529411765,0.0,wands,minilm,target_only,full,42994,20,crossing,2
465,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
466,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
468,1,1,4,0.25,0.25,wands,minilm,target_only,full,42994,20,crossing,2
469,8,3,64,0.125,0.046875,wands,minilm,target_only,full,42994,20,crossing,2
470,19,6,45,0.4222222222222222,0.13333333333333333,wands,minilm,target_only,full,42994,20,crossing,2
471,1,0,1,1.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
472,22,10,47,0.46808510638297873,0.2127659574468085,wands,minilm,target_only,full,42994,20,crossing,2
