dataset,model,method,K,aggregation,metric,estimate,ci_low,ci_high,bootstrap_seed,bootstrap_draws
wands,minilm,raw_seven,20,query_macro,delta_mean_recall_vs_raw_C0,-0.0133851216692906,-0.0253127921242542,-0.0022328377228463,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,source_order_recall,0.1067186252875721,0.0899683222990864,0.1274235511870164,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,seven_schedule_mean_recall,0.1061082679938025,0.0896207069119365,0.1267133792189302,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,persistent_inclusion,0.0538992440959669,0.0434356582197764,0.0669641360670222,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,VI,0.1297244002065824,0.1138190856827534,0.1488065710233592,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,persistent_omission,0.8163763556974506,0.7864503928139356,0.8409659899849796,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,recall_C0,0.1067186252875721,0.0899683222990864,0.1274235511870164,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,recall_C1,0.1046528006009671,0.0882261726845955,0.1249132075398509,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,recall_C2s1,0.1058265646274473,0.0890568857383762,0.1265172142805684,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,recall_C2s2,0.1065308230433353,0.0898992299644514,0.1274252780729799,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,recall_C2s3,0.1060143668716841,0.0894600084736983,0.1264290572824556,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,recall_C2s4,0.1064369219212169,0.0900025379110197,0.1268268314988811,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,recall_C2s5,0.1065777736043945,0.0898622097234388,0.1271376685710987,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,delta_seven_schedule_mean_recall_vs_raw_seven,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,delta_persistent_inclusion_vs_raw_seven,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,delta_VI_vs_raw_seven,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,delta_persistent_omission_vs_raw_seven,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,delta_source_recall_vs_raw_C0,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_seven,20,pair_micro,delta_mean_recall_vs_raw_C0,-0.0006103572937696,-0.0020322894351679,0.000698342195846,2026091701,10000
wands,minilm,raw_C0,20,query_macro,source_order_recall,0.3080850567626536,0.2710145128159665,0.3467140690584058,2026091701,10000
wands,minilm,raw_C0,20,query_macro,recall_C0,0.3080850567626536,0.2710145128159665,0.3467140690584058,2026091701,10000
wands,minilm,raw_C0,20,query_macro,delta_source_recall_vs_raw_C0,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_C0,20,pair_micro,source_order_recall,0.1067186252875721,0.0899683222990864,0.1274235511870164,2026091701,10000
wands,minilm,raw_C0,20,pair_micro,recall_C0,0.1067186252875721,0.0899683222990864,0.1274235511870164,2026091701,10000
wands,minilm,raw_C0,20,pair_micro,delta_source_recall_vs_raw_C0,0.0,0.0,0.0,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,source_order_recall,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,seven_schedule_mean_recall,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,persistent_inclusion,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,persistent_omission,0.7127731154062981,0.6751520689537112,0.747711663063111,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,recall_C0,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,recall_C1,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,recall_C2s1,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,recall_C2s2,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,recall_C2s3,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,recall_C2s4,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,recall_C2s5,0.2872268845937019,0.2522883369368891,0.3248479310462889,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,delta_seven_schedule_mean_recall_vs_raw_seven,-0.007473050499661,-0.0204633129955797,0.0047647877255322,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,delta_persistent_inclusion_vs_raw_seven,0.0777242938037876,0.0639006556261126,0.0936175392280009,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,delta_VI_vs_raw_seven,-0.1957938178951838,-0.2199917864847936,-0.1731655743917374,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,delta_persistent_omission_vs_raw_seven,0.1180695240913962,0.100755189568458,0.1373449669189401,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,delta_source_recall_vs_raw_C0,-0.0208581721689517,-0.0402657587296317,-0.0022138166425972,2026091701,10000
wands,minilm,lexical_ascending,20,query_macro,delta_mean_recall_vs_raw_C0,-0.0208581721689517,-0.0402657587296317,-0.0022138166425972,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,source_order_recall,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,seven_schedule_mean_recall,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,persistent_inclusion,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,persistent_omission,0.8943142870557304,0.8733665323309296,0.91094543516479,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,recall_C0,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,recall_C1,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,recall_C2s1,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,recall_C2s2,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,recall_C2s3,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,recall_C2s4,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,recall_C2s5,0.1056857129442696,0.0890545648352099,0.1266334676690703,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,delta_seven_schedule_mean_recall_vs_raw_seven,-0.0004225550495328,-0.0020188591320128,0.0012072235879823,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,delta_persistent_inclusion_vs_raw_seven,0.0517864688483027,0.0443504625045011,0.0609146058247052,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,delta_VI_vs_raw_seven,-0.1297244002065824,-0.1488065710233592,-0.1138190856827534,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,delta_persistent_omission_vs_raw_seven,0.0779379313582797,0.0689455142912246,0.088557397472107,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,delta_source_recall_vs_raw_C0,-0.0010329123433025,-0.0033113182833438,0.0011866781956819,2026091701,10000
wands,minilm,lexical_ascending,20,pair_micro,delta_mean_recall_vs_raw_C0,-0.0010329123433025,-0.0033113182833438,0.0011866781956819,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,source_order_recall,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,seven_schedule_mean_recall,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,persistent_inclusion,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,persistent_omission,0.7044398967308355,0.6666499631639979,0.7403262769625161,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,recall_C0,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,recall_C1,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,recall_C2s1,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,recall_C2s2,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,recall_C2s3,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,recall_C2s4,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,recall_C2s5,0.2955601032691645,0.2596737230374838,0.3333500368360021,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,delta_seven_schedule_mean_recall_vs_raw_seven,0.0008601681758015,-0.0112482718039484,0.0130080647563201,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,delta_persistent_inclusion_vs_raw_seven,0.0860575124792502,0.070276149789961,0.1041520485494577,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,delta_VI_vs_raw_seven,-0.1957938178951838,-0.2199917864847936,-0.1731655743917374,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,delta_persistent_omission_vs_raw_seven,0.1097363054159336,0.0941168613898679,0.1273252538058122,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,delta_source_recall_vs_raw_C0,-0.0125249534934891,-0.0269214989984189,0.0005992211095816,2026091701,10000
wands,minilm,lexical_descending,20,query_macro,delta_mean_recall_vs_raw_C0,-0.0125249534934891,-0.0269214989984189,0.0005992211095816,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,source_order_recall,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,seven_schedule_mean_recall,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,persistent_inclusion,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,persistent_omission,0.8938447814451382,0.8732426175134639,0.9106214746100496,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,recall_C0,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,recall_C1,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,recall_C2s1,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,recall_C2s2,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,recall_C2s3,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,recall_C2s4,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,recall_C2s5,0.1061552185548617,0.0893785253899503,0.126757382486536,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,delta_seven_schedule_mean_recall_vs_raw_seven,4.695056105920507e-05,-0.0015051871170433,0.0016594405048931,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,delta_persistent_inclusion_vs_raw_seven,0.0522559744588947,0.0449923858050442,0.0610351979239634,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,delta_VI_vs_raw_seven,-0.1297244002065824,-0.1488065710233592,-0.1138190856827534,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,delta_persistent_omission_vs_raw_seven,0.0774684257476876,0.0684498624499165,0.0881082275500807,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,delta_source_recall_vs_raw_C0,-0.0005634067327104,-0.0025042564990522,0.0013348724540937,2026091701,10000
wands,minilm,lexical_descending,20,pair_micro,delta_mean_recall_vs_raw_C0,-0.0005634067327104,-0.0025042564990522,0.0013348724540937,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,source_order_recall,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,seven_schedule_mean_recall,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,persistent_inclusion,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,persistent_omission,0.7077905401277624,0.670865379211906,0.7434340418706952,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,recall_C0,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,recall_C1,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,recall_C2s1,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,recall_C2s2,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,recall_C2s3,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,recall_C2s4,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,recall_C2s5,0.2922094598722375,0.2565659581293048,0.329134620788094,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,delta_seven_schedule_mean_recall_vs_raw_seven,-0.0024904752211253,-0.0167942185343245,0.0108926381769134,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,delta_persistent_inclusion_vs_raw_seven,0.0827068690823233,0.0656126965462896,0.1008622445530254,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,delta_VI_vs_raw_seven,-0.1957938178951838,-0.2199917864847936,-0.1731655743917374,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,delta_persistent_omission_vs_raw_seven,0.1130869488128605,0.0950272279120001,0.1325986975262096,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,delta_source_recall_vs_raw_C0,-0.015875596890416,-0.0349198650144976,0.0022138878424229,2026091701,10000
wands,minilm,field_priority_type,20,query_macro,delta_mean_recall_vs_raw_C0,-0.015875596890416,-0.0349198650144976,0.0022138878424229,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,source_order_recall,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,seven_schedule_mean_recall,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,persistent_inclusion,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,persistent_omission,0.8935161275177238,0.8729127215817112,0.9101391420748408,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,recall_C0,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,recall_C1,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,recall_C2s1,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,recall_C2s2,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,recall_C2s3,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,recall_C2s4,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,recall_C2s5,0.1064838724822761,0.0898608579251591,0.1270872784182888,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,delta_seven_schedule_mean_recall_vs_raw_seven,0.0003756044884736,-0.0013382889730468,0.0021078099946858,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,delta_persistent_inclusion_vs_raw_seven,0.0525846283863092,0.0451731561630207,0.0616086677112592,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,delta_VI_vs_raw_seven,-0.1297244002065824,-0.1488065710233592,-0.1138190856827534,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,delta_persistent_omission_vs_raw_seven,0.0771397718202732,0.068136059252548,0.0877878248735005,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,delta_source_recall_vs_raw_C0,-0.000234752805296,-0.0023551427240091,0.001828732937549,2026091701,10000
wands,minilm,field_priority_type,20,pair_micro,delta_mean_recall_vs_raw_C0,-0.000234752805296,-0.0023551427240091,0.001828732937549,2026091701,10000
wands,minilm,set_mean,20,query_macro,source_order_recall,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,seven_schedule_mean_recall,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,persistent_inclusion,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,set_mean,20,query_macro,persistent_omission,0.6840914021245841,0.6448010874444784,0.720741694874394,2026091701,10000
wands,minilm,set_mean,20,query_macro,recall_C0,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,recall_C1,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,recall_C2s1,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,recall_C2s2,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,recall_C2s3,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,recall_C2s4,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,recall_C2s5,0.315908597875416,0.2792583051256058,0.3551989125555215,2026091701,10000
wands,minilm,set_mean,20,query_macro,delta_seven_schedule_mean_recall_vs_raw_seven,0.021208662782053,0.004591183202097,0.0383430251792725,2026091701,10000
wands,minilm,set_mean,20,query_macro,delta_persistent_inclusion_vs_raw_seven,0.1064060070855017,0.0841769260401665,0.1298953913772936,2026091701,10000
wands,minilm,set_mean,20,query_macro,delta_VI_vs_raw_seven,-0.1957938178951838,-0.2199917864847936,-0.1731655743917374,2026091701,10000
wands,minilm,set_mean,20,query_macro,delta_persistent_omission_vs_raw_seven,0.0893878108096821,0.0715146397004219,0.107993253361987,2026091701,10000
wands,minilm,set_mean,20,query_macro,delta_source_recall_vs_raw_C0,0.0078235411127623,-0.0124430805871987,0.0280272635897388,2026091701,10000
wands,minilm,set_mean,20,query_macro,delta_mean_recall_vs_raw_C0,0.0078235411127623,-0.0124430805871987,0.0280272635897388,2026091701,10000
wands,minilm,set_mean,20,pair_micro,source_order_recall,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,seven_schedule_mean_recall,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,persistent_inclusion,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,set_mean,20,pair_micro,persistent_omission,0.8923893140523029,0.8713167613336014,0.9092817872185835,2026091701,10000
wands,minilm,set_mean,20,pair_micro,recall_C0,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,recall_C1,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,recall_C2s1,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,recall_C2s2,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,recall_C2s3,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,recall_C2s4,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,recall_C2s5,0.107610685947697,0.0907182127814164,0.1286832386663986,2026091701,10000
wands,minilm,set_mean,20,pair_micro,delta_seven_schedule_mean_recall_vs_raw_seven,0.0015024179538945,-0.001458578359491,0.004618825441215,2026091701,10000
wands,minilm,set_mean,20,pair_micro,delta_persistent_inclusion_vs_raw_seven,0.0537114418517301,0.0459644279608219,0.0630229828278973,2026091701,10000
wands,minilm,set_mean,20,pair_micro,delta_VI_vs_raw_seven,-0.1297244002065824,-0.1488065710233592,-0.1138190856827534,2026091701,10000
wands,minilm,set_mean,20,pair_micro,delta_persistent_omission_vs_raw_seven,0.0760129583548523,0.066924121310277,0.0868453040475956,2026091701,10000
wands,minilm,set_mean,20,pair_micro,delta_source_recall_vs_raw_C0,0.0008920606601248,-0.0022690506125414,0.0041010353480538,2026091701,10000
wands,minilm,set_mean,20,pair_micro,delta_mean_recall_vs_raw_C0,0.0008920606601248,-0.0022690506125414,0.0041010353480538,2026091701,10000
wands,minilm,centroid_2,20,query_macro,source_order_recall,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,seven_schedule_mean_recall,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,persistent_inclusion,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,centroid_2,20,query_macro,persistent_omission,0.7043240424276196,0.6660366582597438,0.7397633910593437,2026091701,10000
wands,minilm,centroid_2,20,query_macro,recall_C0,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,recall_C1,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,recall_C2s1,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,recall_C2s2,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,recall_C2s3,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,recall_C2s4,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,recall_C2s5,0.2956759575723805,0.2602366089406562,0.3339633417402561,2026091701,10000
wands,minilm,centroid_2,20,query_macro,delta_seven_schedule_mean_recall_vs_raw_seven,0.0009760224790175,-0.0082131790789342,0.0104201932941026,2026091701,10000
wands,minilm,centroid_2,20,query_macro,delta_persistent_inclusion_vs_raw_seven,0.0861733667824662,0.0707765156226449,0.1038930201481349,2026091701,10000
wands,minilm,centroid_2,20,query_macro,delta_VI_vs_raw_seven,-0.1957938178951838,-0.2199917864847936,-0.1731655743917374,2026091701,10000
wands,minilm,centroid_2,20,query_macro,delta_persistent_omission_vs_raw_seven,0.1096204511127176,0.0936998048553166,0.1270528729524918,2026091701,10000
wands,minilm,centroid_2,20,query_macro,delta_source_recall_vs_raw_C0,-0.0124090991902731,-0.0284174981730425,0.0030868039740151,2026091701,10000
wands,minilm,centroid_2,20,query_macro,delta_mean_recall_vs_raw_C0,-0.0124090991902731,-0.0284174981730425,0.0030868039740151,2026091701,10000
wands,minilm,centroid_2,20,pair_micro,source_order_recall,0.1077515376308747,0.0908084292258527,0.1286816676640267,2026091701,10000
wands,minilm,centroid_2,20,pair_micro,seven_schedule_mean_recall,0.1077515376308747,0.0908084292258527,0.1286816676640267,2026091701,10000
wands,minilm,centroid_2,20,pair_micro,persistent_inclusion,0.1077515376308747,0.0908084292258527,0.1286816676640267,2026091701,10000
wands,minilm,centroid_2,20,pair_micro,VI,0.0,0.0,0.0,2026091701,10000
wands,minilm,centroid_2,20,pair_micro,persistent_omission,0.8922484623691254,0.8713183323359732,0.9091915707741473,2026091701,10000
wands,minilm,centroid_2,20,pair_micro,recall_C0,0.1077515376308747,0.0908084292258527,0.1286816676640267,2026091701,10000
wands,minilm,centroid_2,20,pair_micro,recall_C1,0.1077515376308747,0.0908084292258527,0.1286816676640267,2026091701,10000
