dataset,model,schedule,highest_label_pairs,saved_rank_mismatches,max_rank_difference,max_highest_score_difference,C0_saved_fullscore_reconstruction_max_error,C0_hybrid_rank_exact,C0_hybrid_fullscore_exact,score_source,query_embedding,product_embedding,catalog_size,dtype,ties,raw_membership_mismatches_K20,raw_membership_mismatches_K100
wands,bge_base,C2s5,21299,0,0,1.7881393432617188e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,phase2/results/embeddings/wands_bge_base_native_C2s5_cf8b89c3bcbb7482a813.npy,42994,float32,fixed catalog index,0,0
esci,minilm,C0,4434,0,0,2.384185791015625e-07,0.0,True,True,Phase IV saved Original full scores,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,phase2/results/embeddings/esci_minilm_native_C0_688a66533b0c9836f4e7.npy,10076,float32,fixed catalog index,0,0
esci,minilm,C1,4434,0,0,2.384185791015625e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,phase2/results/embeddings/esci_minilm_native_C1_b84f48fd7a562d54ed79.npy,10076,float32,fixed catalog index,0,0
esci,minilm,C2s1,4434,0,0,1.7881393432617188e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,phase2/results/embeddings/esci_minilm_native_C2s1_49a440bc656807a498f0.npy,10076,float32,fixed catalog index,0,0
esci,minilm,C2s2,4434,0,0,1.7881393432617188e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,phase2/results/embeddings/esci_minilm_native_C2s2_2b7dd973ed7d17e57e7c.npy,10076,float32,fixed catalog index,0,0
esci,minilm,C2s3,4434,0,0,2.384185791015625e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,phase2/results/embeddings/esci_minilm_native_C2s3_79377c280927056b638a.npy,10076,float32,fixed catalog index,0,0
esci,minilm,C2s4,4434,0,0,2.384185791015625e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,phase2/results/embeddings/esci_minilm_native_C2s4_21dea871647cc987cdd9.npy,10076,float32,fixed catalog index,0,0
esci,minilm,C2s5,4434,0,0,2.384185791015625e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,phase2/results/embeddings/esci_minilm_native_C2s5_97adcabcbb727421c4a9.npy,10076,float32,fixed catalog index,0,0
esci,bge_base,C0,4434,0,0,2.384185791015625e-07,0.0,True,True,Phase IV saved Original full scores,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,phase2/results/embeddings/esci_bge_base_native_C0_1de2078d8697e6366c49.npy,10076,float32,fixed catalog index,0,0
esci,bge_base,C1,4434,0,0,2.384185791015625e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,phase2/results/embeddings/esci_bge_base_native_C1_ebc1e066e9c6eb39f138.npy,10076,float32,fixed catalog index,0,0
esci,bge_base,C2s1,4434,0,0,2.384185791015625e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,phase2/results/embeddings/esci_bge_base_native_C2s1_ae2e6044ab1267c5f79d.npy,10076,float32,fixed catalog index,0,0
esci,bge_base,C2s2,4434,0,0,2.384185791015625e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,phase2/results/embeddings/esci_bge_base_native_C2s2_a5032421a479d541bedc.npy,10076,float32,fixed catalog index,0,0
esci,bge_base,C2s3,4434,0,0,2.384185791015625e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,phase2/results/embeddings/esci_bge_base_native_C2s3_410baf36a82d574a31b2.npy,10076,float32,fixed catalog index,0,0
esci,bge_base,C2s4,4434,0,0,1.7881393432617188e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,phase2/results/embeddings/esci_bge_base_native_C2s4_992462b4ad09c7d8e737.npy,10076,float32,fixed catalog index,0,0
esci,bge_base,C2s5,4434,0,0,2.384185791015625e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,phase2/results/embeddings/esci_bge_base_native_C2s5_afcebc56a0d83d2afb1e.npy,10076,float32,fixed catalog index,0,0
