dataset,model,K,method,all_pairs_retained,states_sum_one,membership_partition,gain_minus_loss_exact,query_count,pair_count
wands,gte_modernbert,20,raw_C0,True,True,True,True,308,21299
wands,gte_modernbert,20,lexical_ascending,True,True,True,True,308,21299
wands,gte_modernbert,20,lexical_descending,True,True,True,True,308,21299
wands,gte_modernbert,20,field_priority_type,True,True,True,True,308,21299
wands,gte_modernbert,100,raw_seven,True,True,True,True,308,21299
wands,gte_modernbert,100,raw_C0,True,True,True,True,308,21299
wands,gte_modernbert,100,lexical_ascending,True,True,True,True,308,21299
wands,gte_modernbert,100,lexical_descending,True,True,True,True,308,21299
wands,gte_modernbert,100,field_priority_type,True,True,True,True,308,21299
esci,minilm,20,raw_seven,True,True,True,True,499,4434
esci,minilm,20,raw_C0,True,True,True,True,499,4434
esci,minilm,20,lexical_ascending,True,True,True,True,499,4434
esci,minilm,20,lexical_descending,True,True,True,True,499,4434
esci,minilm,20,field_priority_type,True,True,True,True,499,4434
esci,minilm,20,set_mean,True,True,True,True,499,4434
esci,minilm,20,centroid_2,True,True,True,True,499,4434
esci,minilm,20,max_2,True,True,True,True,499,4434
esci,minilm,20,BM25,True,True,True,True,499,4434
esci,minilm,20,hybrid_seven,True,True,True,True,499,4434
esci,minilm,20,reconstructed_raw_seven,True,True,True,True,499,4434
esci,minilm,100,raw_seven,True,True,True,True,499,4434
esci,minilm,100,raw_C0,True,True,True,True,499,4434
esci,minilm,100,lexical_ascending,True,True,True,True,499,4434
esci,minilm,100,lexical_descending,True,True,True,True,499,4434
esci,minilm,100,field_priority_type,True,True,True,True,499,4434
esci,minilm,100,set_mean,True,True,True,True,499,4434
esci,minilm,100,centroid_2,True,True,True,True,499,4434
esci,minilm,100,max_2,True,True,True,True,499,4434
esci,minilm,100,BM25,True,True,True,True,499,4434
esci,minilm,100,hybrid_seven,True,True,True,True,499,4434
esci,minilm,100,reconstructed_raw_seven,True,True,True,True,499,4434
esci,bge_base,20,raw_seven,True,True,True,True,499,4434
esci,bge_base,20,raw_C0,True,True,True,True,499,4434
esci,bge_base,20,lexical_ascending,True,True,True,True,499,4434
esci,bge_base,20,lexical_descending,True,True,True,True,499,4434
esci,bge_base,20,field_priority_type,True,True,True,True,499,4434
esci,bge_base,20,set_mean,True,True,True,True,499,4434
esci,bge_base,20,centroid_2,True,True,True,True,499,4434
esci,bge_base,20,max_2,True,True,True,True,499,4434
esci,bge_base,20,BM25,True,True,True,True,499,4434
esci,bge_base,20,centroid_4,True,True,True,True,499,4434
esci,bge_base,20,max_4,True,True,True,True,499,4434
esci,bge_base,20,centroid_7,True,True,True,True,499,4434
esci,bge_base,20,max_7,True,True,True,True,499,4434
esci,bge_base,20,hybrid_seven,True,True,True,True,499,4434
esci,bge_base,20,reconstructed_raw_seven,True,True,True,True,499,4434
esci,bge_base,100,raw_seven,True,True,True,True,499,4434
esci,bge_base,100,raw_C0,True,True,True,True,499,4434
esci,bge_base,100,lexical_ascending,True,True,True,True,499,4434
esci,bge_base,100,lexical_descending,True,True,True,True,499,4434
esci,bge_base,100,field_priority_type,True,True,True,True,499,4434
esci,bge_base,100,set_mean,True,True,True,True,499,4434
esci,bge_base,100,centroid_2,True,True,True,True,499,4434
esci,bge_base,100,max_2,True,True,True,True,499,4434
esci,bge_base,100,BM25,True,True,True,True,499,4434
esci,bge_base,100,centroid_4,True,True,True,True,499,4434
esci,bge_base,100,max_4,True,True,True,True,499,4434
esci,bge_base,100,centroid_7,True,True,True,True,499,4434
esci,bge_base,100,max_7,True,True,True,True,499,4434
esci,bge_base,100,hybrid_seven,True,True,True,True,499,4434
esci,bge_base,100,reconstructed_raw_seven,True,True,True,True,499,4434
esci,gte_modernbert,20,raw_seven,True,True,True,True,499,4434
esci,gte_modernbert,20,raw_C0,True,True,True,True,499,4434
esci,gte_modernbert,20,lexical_ascending,True,True,True,True,499,4434
esci,gte_modernbert,20,lexical_descending,True,True,True,True,499,4434
esci,gte_modernbert,20,field_priority_type,True,True,True,True,499,4434
esci,gte_modernbert,100,raw_seven,True,True,True,True,499,4434
esci,gte_modernbert,100,raw_C0,True,True,True,True,499,4434
esci,gte_modernbert,100,lexical_ascending,True,True,True,True,499,4434
esci,gte_modernbert,100,lexical_descending,True,True,True,True,499,4434
esci,gte_modernbert,100,field_priority_type,True,True,True,True,499,4434
