dataset,model,method,K,eligible_queries,highest_label_pairs,catalog_size
esci,bge_base,BM25,100,499,4434,10076
esci,bge_base,centroid_4,100,499,4434,10076
esci,bge_base,max_4,100,499,4434,10076
esci,bge_base,centroid_7,100,499,4434,10076
esci,bge_base,max_7,100,499,4434,10076
esci,bge_base,hybrid_seven,100,499,4434,10076
esci,bge_base,reconstructed_raw_seven,100,499,4434,10076
esci,gte_modernbert,raw_seven,20,499,4434,10076
esci,gte_modernbert,raw_C0,20,499,4434,10076
esci,gte_modernbert,lexical_ascending,20,499,4434,10076
esci,gte_modernbert,lexical_descending,20,499,4434,10076
esci,gte_modernbert,field_priority_type,20,499,4434,10076
esci,gte_modernbert,raw_seven,100,499,4434,10076
esci,gte_modernbert,raw_C0,100,499,4434,10076
esci,gte_modernbert,lexical_ascending,100,499,4434,10076
esci,gte_modernbert,lexical_descending,100,499,4434,10076
esci,gte_modernbert,field_priority_type,100,499,4434,10076
