product_id,C0,C1,C2s1,C2s2,C2s3,C2s4,C2s5,fully_fits
299,592,592,592,592,592,592,592,False
300,714,714,714,714,714,714,714,False
301,650,650,650,650,650,650,650,False
302,498,498,498,498,498,498,498,True
303,743,743,743,743,743,743,743,False
304,749,749,749,749,749,749,749,False
305,709,709,709,709,709,709,709,False
306,678,678,678,678,678,678,678,False
307,580,580,580,580,580,580,580,False
308,1049,1049,1049,1049,1049,1049,1049,False
309,824,824,824,824,824,824,824,False
310,695,695,695,695,695,695,695,False
311,887,887,887,887,887,887,887,False
312,273,273,273,273,273,273,273,True
313,274,274,274,274,274,274,274,True
314,259,259,259,259,259,259,259,True
315,274,274,274,274,274,274,274,True
316,315,315,315,315,315,315,315,True
317,287,287,287,287,287,287,287,True
318,748,748,748,748,748,748,748,False
319,378,378,378,378,378,378,378,True
320,448,448,448,448,448,448,448,True
321,1103,1103,1103,1103,1103,1103,1103,False
322,308,308,308,308,308,308,308,True
323,736,736,736,736,736,736,736,False
324,660,660,660,660,660,660,660,False
325,801,801,801,801,801,801,801,False
326,749,749,749,749,749,749,749,False
327,147,147,147,147,147,147,147,True
328,292,292,292,292,292,292,292,True
329,793,793,793,793,793,793,793,False
330,737,737,737,737,737,737,737,False
331,695,695,695,695,695,695,695,False
332,560,560,560,560,560,560,560,False
333,333,333,333,333,333,333,333,True
334,409,409,409,409,409,409,409,True
335,535,535,535,535,535,535,535,False
336,240,240,240,240,240,240,240,True
337,679,679,679,679,679,679,679,False
338,691,691,691,691,691,691,691,False
339,762,762,762,762,762,762,762,False
340,572,572,572,572,572,572,572,False
341,755,755,755,755,755,755,755,False
342,525,525,525,525,525,525,525,False
343,294,294,294,294,294,294,294,True
344,539,539,539,539,539,539,539,False
345,291,291,291,291,291,291,291,True
346,195,195,195,195,195,195,195,True
347,448,448,448,448,448,448,448,True
348,677,677,677,677,677,677,677,False
349,378,378,378,378,378,378,378,True
350,634,634,634,634,634,634,634,False
351,1077,1077,1077,1077,1077,1077,1077,False
352,1049,1049,1049,1049,1049,1049,1049,False
353,1254,1254,1254,1254,1254,1254,1254,False
354,1004,1004,1004,1004,1004,1004,1004,False
355,934,934,934,934,934,934,934,False
356,967,967,967,967,967,967,967,False
357,819,819,819,819,819,819,819,False
358,598,598,598,598,598,598,598,False
359,1068,1068,1068,1068,1068,1068,1068,False
360,1057,1057,1057,1057,1057,1057,1057,False
361,962,962,962,962,962,962,962,False
362,1073,1073,1073,1073,1073,1073,1073,False
363,978,978,978,978,978,978,978,False
364,1005,1005,1005,1005,1005,1005,1005,False
365,998,998,998,998,998,998,998,False
366,1011,1011,1011,1011,1011,1011,1011,False
367,1042,1042,1042,1042,1042,1042,1042,False
368,1002,1002,1002,1002,1002,1002,1002,False
369,574,574,574,574,574,574,574,False
370,721,721,721,721,721,721,721,False
371,965,965,965,965,965,965,965,False
372,1250,1250,1250,1250,1250,1250,1250,False
373,973,973,973,973,973,973,973,False
374,693,693,693,693,693,693,693,False
375,1156,1156,1156,1156,1156,1156,1156,False
376,819,819,819,819,819,819,819,False
377,904,904,904,904,904,904,904,False
378,997,997,997,997,997,997,997,False
379,1020,1020,1020,1020,1020,1020,1020,False
380,1125,1125,1125,1125,1125,1125,1125,False
381,1261,1261,1261,1261,1261,1261,1261,False
382,1029,1029,1029,1029,1029,1029,1029,False
383,1005,1005,1005,1005,1005,1005,1005,False
384,336,336,336,336,336,336,336,True
385,758,758,758,758,758,758,758,False
386,631,631,631,631,631,631,631,False
387,771,771,771,771,771,771,771,False
388,506,506,506,506,506,506,506,True
389,700,700,700,700,700,700,700,False
390,868,868,868,868,868,868,868,False
391,847,847,847,847,847,847,847,False
392,869,869,869,869,869,869,869,False
393,577,577,577,577,577,577,577,False
394,532,532,532,532,532,532,532,False
395,808,808,808,808,808,808,808,False
396,545,545,545,545,545,545,545,False
397,925,925,925,925,925,925,925,False
398,524,524,524,524,524,524,524,False
399,653,653,653,653,653,653,653,False
400,710,710,710,710,710,710,710,False
401,858,858,858,858,858,858,858,False
402,847,847,847,847,847,847,847,False
403,725,725,725,725,725,725,725,False
404,259,259,259,259,259,259,259,True
405,244,244,244,244,244,244,244,True
406,274,274,274,274,274,274,274,True
407,334,334,334,334,334,334,334,True
408,628,628,628,628,628,628,628,False
409,301,301,301,301,301,301,301,True
410,389,389,389,389,389,389,389,True
411,643,643,643,643,643,643,643,False
412,389,389,389,389,389,389,389,True
413,545,545,545,545,545,545,545,False
414,488,488,488,488,488,488,488,True
415,821,821,821,821,821,821,821,False
416,303,303,303,303,303,303,303,True
417,794,794,794,794,794,794,794,False
418,635,635,635,635,635,635,635,False
419,240,240,240,240,240,240,240,True
420,224,224,224,224,224,224,224,True
421,392,392,392,392,392,392,392,True
422,453,453,453,453,453,453,453,True
423,295,295,295,295,295,295,295,True
424,516,516,516,516,516,516,516,False
425,511,511,511,511,511,511,511,True
426,318,318,318,318,318,318,318,True
427,260,260,260,260,260,260,260,True
428,239,239,239,239,239,239,239,True
429,237,237,237,237,237,237,237,True
430,229,229,229,229,229,229,229,True
431,453,453,453,453,453,453,453,True
432,489,489,489,489,489,489,489,True
433,374,374,374,374,374,374,374,True
434,315,315,315,315,315,315,315,True
435,458,458,458,458,458,458,458,True
436,291,291,291,291,291,291,291,True
437,439,439,439,439,439,439,439,True
438,623,623,623,623,623,623,623,False
439,604,604,604,604,604,604,604,False
440,469,469,469,469,469,469,469,True
441,619,619,619,619,619,619,619,False
442,742,742,742,742,742,742,742,False
443,412,412,412,412,412,412,412,True
444,760,760,760,760,760,760,760,False
445,1035,1035,1035,1035,1035,1035,1035,False
446,382,382,382,382,382,382,382,True
447,846,846,846,846,846,846,846,False
448,559,559,559,559,559,559,559,False
449,406,406,406,406,406,406,406,True
450,839,839,839,839,839,839,839,False
451,854,854,854,854,854,854,854,False
452,555,555,555,555,555,555,555,False
453,910,910,910,910,910,910,910,False
454,730,730,730,730,730,730,730,False
455,729,729,729,729,729,729,729,False
456,709,709,709,709,709,709,709,False
457,532,532,532,532,532,532,532,False
458,556,556,556,556,556,556,556,False
459,468,468,468,468,468,468,468,True
460,442,442,442,442,442,442,442,True
461,487,487,487,487,487,487,487,True
462,395,395,395,395,395,395,395,True
463,411,411,411,411,411,411,411,True
464,407,407,407,407,407,407,407,True
465,544,544,544,544,544,544,544,False
466,1055,1055,1055,1055,1055,1055,1055,False
467,750,750,750,750,750,750,750,False
468,941,941,941,941,941,941,941,False
469,807,807,807,807,807,807,807,False
470,803,803,803,803,803,803,803,False
471,658,658,658,658,658,658,658,False
472,568,568,568,568,568,568,568,False
473,263,263,263,263,263,263,263,True
474,1093,1093,1093,1093,1093,1093,1093,False
475,697,697,697,697,697,697,697,False
476,895,895,895,895,895,895,895,False
477,397,397,397,397,397,397,397,True
478,887,887,887,887,887,887,887,False
479,379,379,379,379,379,379,379,True
480,743,743,743,743,743,743,743,False
481,681,681,681,681,681,681,681,False
482,827,827,827,827,827,827,827,False
483,1227,1227,1227,1227,1227,1227,1227,False
484,1308,1308,1308,1308,1308,1308,1308,False
485,1113,1113,1113,1113,1113,1113,1113,False
486,914,914,914,914,914,914,914,False
487,921,921,921,921,921,921,921,False
488,519,519,519,519,519,519,519,False
489,1420,1420,1420,1420,1420,1420,1420,False
490,141,141,141,141,141,141,141,True
491,1055,1055,1055,1055,1055,1055,1055,False
492,1100,1100,1100,1100,1100,1100,1100,False
493,475,475,475,475,475,475,475,True
494,762,762,762,762,762,762,762,False
495,450,450,450,450,450,450,450,True
496,569,569,569,569,569,569,569,False
497,508,508,508,508,508,508,508,True
498,746,746,746,746,746,746,746,False
499,663,663,663,663,663,663,663,False
500,709,709,709,709,709,709,709,False
501,807,807,807,807,807,807,807,False
502,680,680,680,680,680,680,680,False
503,446,446,446,446,446,446,446,True
504,1047,1047,1047,1047,1047,1047,1047,False
505,800,800,800,800,800,800,800,False
506,703,703,703,703,703,703,703,False
507,815,815,815,815,815,815,815,False
508,480,480,480,480,480,480,480,True
509,480,480,480,480,480,480,480,True
510,597,597,597,597,597,597,597,False
511,871,871,871,871,871,871,871,False
512,567,567,567,567,567,567,567,False
513,460,460,460,460,460,460,460,True
514,473,473,473,473,473,473,473,True
515,468,468,468,468,468,468,468,True
516,895,895,895,895,895,895,895,False
517,1030,1030,1030,1030,1030,1030,1030,False
518,330,330,330,330,330,330,330,True
519,265,265,265,265,265,265,265,True
520,260,260,260,260,260,260,260,True
521,284,284,284,284,284,284,284,True
522,438,438,438,438,438,438,438,True
523,335,335,335,335,335,335,335,True
524,261,261,261,261,261,261,261,True
525,267,267,267,267,267,267,267,True
526,419,419,419,419,419,419,419,True
527,269,269,269,269,269,269,269,True
528,497,497,497,497,497,497,497,True
529,432,432,432,432,432,432,432,True
530,455,455,455,455,455,455,455,True
531,430,430,430,430,430,430,430,True
532,436,436,436,436,436,436,436,True
533,469,469,469,469,469,469,469,True
534,485,485,485,485,485,485,485,True
535,518,518,518,518,518,518,518,False
536,538,538,538,538,538,538,538,False
537,781,781,781,781,781,781,781,False
538,192,192,192,192,192,192,192,True
539,600,600,600,600,600,600,600,False
540,622,622,622,622,622,622,622,False
541,593,593,593,593,593,593,593,False
542,488,488,488,488,488,488,488,True
543,901,901,901,901,901,901,901,False
544,237,237,237,237,237,237,237,True
545,440,440,440,440,440,440,440,True
546,356,356,356,356,356,356,356,True
547,581,581,581,581,581,581,581,False
548,620,620,620,620,620,620,620,False
549,502,502,502,502,502,502,502,True
550,776,776,776,776,776,776,776,False
551,439,439,439,439,439,439,439,True
552,635,635,635,635,635,635,635,False
553,804,804,804,804,804,804,804,False
554,343,343,343,343,343,343,343,True
555,630,630,630,630,630,630,630,False
556,368,368,368,368,368,368,368,True
557,1106,1106,1106,1106,1106,1106,1106,False
558,656,656,656,656,656,656,656,False
559,941,941,941,941,941,941,941,False
560,615,615,615,615,615,615,615,False
561,614,614,614,614,614,614,614,False
562,1060,1060,1060,1060,1060,1060,1060,False
563,502,502,502,502,502,502,502,True
564,737,737,737,737,737,737,737,False
565,538,538,538,538,538,538,538,False
566,458,458,458,458,458,458,458,True
567,697,697,697,697,697,697,697,False
568,775,775,775,775,775,775,775,False
569,686,686,686,686,686,686,686,False
570,523,523,523,523,523,523,523,False
571,465,465,465,465,465,465,465,True
572,241,241,241,241,241,241,241,True
573,430,430,430,430,430,430,430,True
574,350,350,350,350,350,350,350,True
575,651,651,651,651,651,651,651,False
576,242,242,242,242,242,242,242,True
577,430,430,430,430,430,430,430,True
578,639,639,639,639,639,639,639,False
579,964,964,964,964,964,964,964,False
580,1122,1122,1122,1122,1122,1122,1122,False
581,625,625,625,625,625,625,625,False
582,894,894,894,894,894,894,894,False
583,1065,1065,1065,1065,1065,1065,1065,False
584,589,589,589,589,589,589,589,False
585,852,852,852,852,852,852,852,False
586,842,842,842,842,842,842,842,False
587,342,342,342,342,342,342,342,True
588,394,394,394,394,394,394,394,True
589,398,398,398,398,398,398,398,True
590,441,441,441,441,441,441,441,True
591,456,456,456,456,456,456,456,True
592,381,381,381,381,381,381,381,True
593,320,320,320,320,320,320,320,True
594,340,340,340,340,340,340,340,True
595,647,647,647,647,647,647,647,False
596,686,686,686,686,686,686,686,False
597,725,725,725,725,725,725,725,False
598,580,580,580,580,580,580,580,False
599,626,626,626,626,626,626,626,False
600,615,615,615,615,615,615,615,False
601,752,752,752,752,752,752,752,False
602,702,702,702,702,702,702,702,False
603,550,550,550,550,550,550,550,False
604,698,698,698,698,698,698,698,False
605,538,538,538,538,538,538,538,False
606,687,687,687,687,687,687,687,False
607,653,653,653,653,653,653,653,False
608,677,677,677,677,677,677,677,False
609,1031,1031,1031,1031,1031,1031,1031,False
610,681,681,681,681,681,681,681,False
611,352,352,352,352,352,352,352,True
612,940,940,940,940,940,940,940,False
613,589,589,589,589,589,589,589,False
614,278,278,278,278,278,278,278,True
615,270,270,270,270,270,270,270,True
616,268,268,268,268,268,268,268,True
617,270,270,270,270,270,270,270,True
618,280,280,280,280,280,280,280,True
619,322,322,322,322,322,322,322,True
620,325,325,325,325,325,325,325,True
621,325,325,325,325,325,325,325,True
622,268,268,268,268,268,268,268,True
623,268,268,268,268,268,268,268,True
624,264,264,264,264,264,264,264,True
625,266,266,266,266,266,266,266,True
626,287,287,287,287,287,287,287,True
627,290,290,290,290,290,290,290,True
628,352,352,352,352,352,352,352,True
629,205,205,205,205,205,205,205,True
630,246,246,246,246,246,246,246,True
631,514,514,514,514,514,514,514,False
632,414,414,414,414,414,414,414,True
633,370,370,370,370,370,370,370,True
634,143,143,143,143,143,143,143,True
635,646,646,646,646,646,646,646,False
636,450,450,450,450,450,450,450,True
637,949,949,949,949,949,949,949,False
638,713,713,713,713,713,713,713,False
639,712,712,712,712,712,712,712,False
640,806,806,806,806,806,806,806,False
641,935,935,935,935,935,935,935,False
642,899,899,899,899,899,899,899,False
643,559,559,559,559,559,559,559,False
644,529,529,529,529,529,529,529,False
645,396,396,396,396,396,396,396,True
646,565,565,565,565,565,565,565,False
647,654,654,654,654,654,654,654,False
648,278,278,278,278,278,278,278,True
649,509,509,509,509,509,509,509,True
650,504,504,504,504,504,504,504,True
651,470,470,470,470,470,470,470,True
652,426,426,426,426,426,426,426,True
653,309,309,309,309,309,309,309,True
654,363,363,363,363,363,363,363,True
655,682,682,682,682,682,682,682,False
656,663,663,663,663,663,663,663,False
657,666,666,666,666,666,666,666,False
658,589,589,589,589,589,589,589,False
659,826,826,826,826,826,826,826,False
660,706,706,706,706,706,706,706,False
661,628,628,628,628,628,628,628,False
662,621,621,621,621,621,621,621,False
663,620,620,620,620,620,620,620,False
664,1223,1223,1223,1223,1223,1223,1223,False
665,1206,1206,1206,1206,1206,1206,1206,False
666,279,279,279,279,279,279,279,True
667,899,899,899,899,899,899,899,False
668,676,676,676,676,676,676,676,False
669,362,362,362,362,362,362,362,True
670,345,345,345,345,345,345,345,True
671,222,222,222,222,222,222,222,True
672,229,229,229,229,229,229,229,True
673,587,587,587,587,587,587,587,False
674,582,582,582,582,582,582,582,False
675,622,622,622,622,622,622,622,False
676,588,588,588,588,588,588,588,False
677,577,577,577,577,577,577,577,False
678,163,163,163,163,163,163,163,True
679,627,627,627,627,627,627,627,False
680,620,620,620,620,620,620,620,False
681,251,251,251,251,251,251,251,True
682,447,447,447,447,447,447,447,True
683,592,592,592,592,592,592,592,False
684,526,526,526,526,526,526,526,False
685,599,599,599,599,599,599,599,False
686,508,508,508,508,508,508,508,True
687,533,533,533,533,533,533,533,False
688,551,551,551,551,551,551,551,False
689,588,588,588,588,588,588,588,False
690,703,703,703,703,703,703,703,False
691,189,189,189,189,189,189,189,True
692,228,228,228,228,228,228,228,True
693,225,225,225,225,225,225,225,True
694,243,243,243,243,243,243,243,True
695,349,349,349,349,349,349,349,True
696,390,390,390,390,390,390,390,True
697,408,408,408,408,408,408,408,True
698,596,596,596,596,596,596,596,False
699,753,753,753,753,753,753,753,False
700,677,677,677,677,677,677,677,False
701,504,504,504,504,504,504,504,True
702,596,596,596,596,596,596,596,False
703,601,601,601,601,601,601,601,False
704,484,484,484,484,484,484,484,True
705,579,579,579,579,579,579,579,False
706,609,609,609,609,609,609,609,False
707,582,582,582,582,582,582,582,False
708,626,626,626,626,626,626,626,False
709,667,667,667,667,667,667,667,False
710,760,760,760,760,760,760,760,False
711,782,782,782,782,782,782,782,False
712,764,764,764,764,764,764,764,False
713,770,770,770,770,770,770,770,False
714,786,786,786,786,786,786,786,False
715,751,751,751,751,751,751,751,False
716,1047,1047,1047,1047,1047,1047,1047,False
717,557,557,557,557,557,557,557,False
718,867,867,867,867,867,867,867,False
719,570,570,570,570,570,570,570,False
720,573,573,573,573,573,573,573,False
721,712,712,712,712,712,712,712,False
722,695,695,695,695,695,695,695,False
723,761,761,761,761,761,761,761,False
724,521,521,521,521,521,521,521,False
725,772,772,772,772,772,772,772,False
726,514,514,514,514,514,514,514,False
727,773,773,773,773,773,773,773,False
728,759,759,759,759,759,759,759,False
729,969,969,969,969,969,969,969,False
730,1009,1009,1009,1009,1009,1009,1009,False
731,941,941,941,941,941,941,941,False
732,982,982,982,982,982,982,982,False
733,989,989,989,989,989,989,989,False
734,983,983,983,983,983,983,983,False
735,770,770,770,770,770,770,770,False
736,1129,1129,1129,1129,1129,1129,1129,False
737,831,831,831,831,831,831,831,False
738,1214,1214,1214,1214,1214,1214,1214,False
739,1209,1209,1209,1209,1209,1209,1209,False
740,460,460,460,460,460,460,460,True
741,833,833,833,833,833,833,833,False
742,508,508,508,508,508,508,508,True
743,365,365,365,365,365,365,365,True
744,318,318,318,318,318,318,318,True
745,860,860,860,860,860,860,860,False
746,766,766,766,766,766,766,766,False
747,477,477,477,477,477,477,477,True
748,537,537,537,537,537,537,537,False
749,412,412,412,412,412,412,412,True
750,574,574,574,574,574,574,574,False
751,603,603,603,603,603,603,603,False
