Method,Label,Split,Mode,Seed,Epoch,LR,Params,Exact_pairs,Exact_queries,cNDCG_queries,Recall@20,Recall@100,VI@20,VI@100,Robust@100,Never@100,worst_schedule@100,cNDCG@10,minimum_macro_schedule_R100,Inclusion@20,Inclusion@100
C2,Set Transformer,test,catalog,42.0,1.0,3e-05,231041,21299,308,383,34.96317688576126,62.02908418929839,0.0,0.0,62.02908418929839,37.970915810701605,62.02908418929839,81.44409215795494,62.02908418929839,,
C2,Set Transformer,test,catalog,43.0,1.0,3e-05,231041,21299,308,383,34.88080206834453,62.32048109371278,0.0,0.0,62.32048109371278,37.67951890628722,62.32048109371278,81.41582748178918,62.32048109371278,,
C2,Set Transformer,test,catalog,44.0,1.0,3e-05,231041,21299,308,383,34.78010678600135,62.50344793763721,0.0,0.0,62.50344793763721,37.49655206236279,62.50344793763721,81.42830140671768,62.50344793763721,,
C3,Set Transformer + Field-ID,test,catalog,42.0,1.0,3e-05,1004545,21299,308,383,35.152968788512,62.39213354608375,0.0,0.0,62.39213354608375,37.60786645391626,62.39213354608375,81.46404846380646,62.39213354608375,,
C3,Set Transformer + Field-ID,test,catalog,43.0,1.0,3e-05,1004545,21299,308,383,35.135075784236385,62.319972756417684,0.0,0.0,62.319972756417684,37.680027243582316,62.319972756417684,81.47482841609326,62.319972756417684,,
C3,Set Transformer + Field-ID,test,catalog,44.0,1.0,3e-05,1004545,21299,308,383,35.20075874775012,62.450658510156096,0.0,0.0,62.450658510156096,37.5493414898439,62.450658510156096,81.5161495066316,62.450658510156096,,
C4,Circular Attention,test,catalog,42.0,1.0,3e-05,170780,21299,308,383,35.21980299903763,61.823473729574616,0.0,0.0,61.823473729574616,38.176526270425384,61.823473729574616,81.49794523418952,61.823473729574616,,
C4,Circular Attention,test,catalog,43.0,1.0,3e-05,170780,21299,308,383,35.30097183020647,61.82003875366853,0.0,0.0,61.82003875366853,38.17996124633148,61.82003875366853,81.49706893360128,61.82003875366853,,
C4,Circular Attention,test,catalog,44.0,1.0,3e-05,170780,21299,308,383,35.22304975228439,61.823473729574616,0.0,0.0,61.823473729574616,38.176526270425384,61.823473729574616,81.49794523418952,61.823473729574616,,
Original,Original,test,catalog_fully_fitting,,,,0,6797,239,378,24.65511962557684,56.51602987194306,8.38461901045228,11.21575065915725,50.510954770473546,38.273294570369195,52.33832415117742,84.62428951326034,54.49472001781215,,
Canonical,Canonical,test,catalog_fully_fitting,,,,0,6797,239,378,24.833297749811575,56.394531943582315,0.0,0.0,56.394531943582315,43.60546805641769,56.394531943582315,84.19821708397637,56.394531943582315,,
Set-Mean,Set-Mean,test,catalog_fully_fitting,,,,0,6797,239,378,30.05747696779471,59.75709096627618,0.0,0.0,59.75709096627618,40.24290903372381,59.75709096627618,84.45891707413186,59.75709096627618,,
Set-Attention,Set-Attention,test,catalog_fully_fitting,42.0,1.0,,98561,6797,239,378,29.78285499020509,60.342449803197596,0.0,0.0,60.342449803197596,39.657550196802404,60.342449803197596,84.37532127833086,60.342449803197596,,
C1,Contextual DeepSets,test,catalog_fully_fitting,42.0,1.0,3e-05,229889,6797,239,378,30.05747696779471,60.168641827103386,0.0,0.0,60.168641827103386,39.8313581728966,60.168641827103386,84.44078583815322,60.168641827103386,,
C1,Contextual DeepSets,test,catalog_fully_fitting,43.0,1.0,3e-05,229889,6797,239,378,30.05747696779471,60.175501008117195,0.0,0.0,60.175501008117195,39.82449899188281,60.175501008117195,84.44136942751526,60.175501008117195,,
C1,Contextual DeepSets,test,catalog_fully_fitting,44.0,1.0,3e-05,229889,6797,239,378,30.05747696779471,60.168641827103386,0.0,0.0,60.168641827103386,39.8313581728966,60.168641827103386,84.45307004323823,60.168641827103386,,
C2,Set Transformer,test,catalog_fully_fitting,42.0,1.0,3e-05,231041,6797,239,378,29.982064990352907,60.16562735305787,0.0,0.0,60.16562735305787,39.83437264694212,60.16562735305787,84.34216542528947,60.16562735305787,,
C2,Set Transformer,test,catalog_fully_fitting,43.0,1.0,3e-05,231041,6797,239,378,29.595975566623817,60.259526137508814,0.0,0.0,60.259526137508814,39.74047386249119,60.259526137508814,84.35330056570831,60.259526137508814,,
C2,Set Transformer,test,catalog_fully_fitting,44.0,1.0,3e-05,231041,6797,239,378,29.54910158732207,61.13670951063992,0.0,0.0,61.13670951063992,38.86329048936007,61.13670951063992,84.31535756337479,61.13670951063992,,
C3,Set Transformer + Field-ID,test,catalog_fully_fitting,42.0,1.0,3e-05,1004545,6797,239,378,30.07574166150037,60.584037708021924,0.0,0.0,60.584037708021924,39.41596229197809,60.584037708021924,84.35557222511719,60.584037708021924,,
C3,Set Transformer + Field-ID,test,catalog_fully_fitting,43.0,1.0,3e-05,1004545,6797,239,378,29.854880401475747,60.38291421701671,0.0,0.0,60.38291421701671,39.61708578298329,60.38291421701671,84.41099613293346,60.38291421701671,,
C3,Set Transformer + Field-ID,test,catalog_fully_fitting,44.0,1.0,3e-05,1004545,6797,239,378,30.07799055899944,60.78120924888548,0.0,0.0,60.78120924888548,39.218790751114526,60.78120924888548,84.42168077998382,60.78120924888548,,
C4,Circular Attention,test,catalog_fully_fitting,42.0,1.0,3e-05,170780,6797,239,378,29.639066925953706,59.7490446193177,0.0,0.0,59.7490446193177,40.2509553806823,59.7490446193177,84.45768042307851,59.7490446193177,,
C4,Circular Attention,test,catalog_fully_fitting,43.0,1.0,3e-05,170780,6797,239,378,30.05747696779471,59.75709096627618,0.0,0.0,59.75709096627618,40.24290903372381,59.75709096627618,84.45721597241618,59.75709096627618,,
C4,Circular Attention,test,catalog_fully_fitting,44.0,1.0,3e-05,170780,6797,239,378,29.639066925953706,59.7490446193177,0.0,0.0,59.7490446193177,40.2509553806823,59.7490446193177,84.45768042307851,59.7490446193177,,
Original,Original,test,regenerated_catalog,,,,0,21299,308,383,36.037983988205795,63.62025687113682,11.931807342696619,12.30487480542735,57.18027461163258,30.514850582940067,60.274236266756986,82.48268495454354,63.00003161905716,,
Canonical,Canonical,test,regenerated_catalog,,,,0,21299,308,383,36.072423810213536,63.236881413573656,0.0,0.0,63.236881413573656,36.763118586426344,63.236881413573656,82.30788308805283,63.236881413573656,,
Set-Mean,Set-Mean,test,regenerated_catalog,,,,0,21299,308,383,35.30097183020647,61.82003875366853,0.0,0.0,61.82003875366853,38.17996124633148,61.82003875366853,81.4984982365363,61.82003875366853,,
Set-Attention,Set-Attention,test,regenerated_catalog,42.0,1.0,,98561,21299,308,383,35.24271488324723,62.17291536896218,0.0,0.0,62.17291536896218,37.82708463103782,62.17291536896218,81.43789806427417,62.17291536896218,,
C1,Contextual DeepSets,test,regenerated_catalog,42.0,1.0,3e-05,229889,21299,308,383,35.31277466717941,61.98237641600618,0.008658008658008658,0.0,61.98237641600618,38.01762358399382,61.98237641600618,81.48761625002443,61.98237641600618,,
C1,Contextual DeepSets,test,regenerated_catalog,43.0,1.0,3e-05,229889,21299,308,383,35.31277466717941,61.98237641600618,0.0,0.0,61.98237641600618,38.01762358399382,61.98237641600618,81.48761625002443,61.98237641600618,,
C1,Contextual DeepSets,test,regenerated_catalog,44.0,1.0,3e-05,229889,21299,308,383,35.31277466717941,61.98237641600618,0.0,0.0,61.98237641600618,38.01762358399382,61.98237641600618,81.49974008689684,61.98237641600618,,
C2,Set Transformer,test,regenerated_catalog,42.0,1.0,3e-05,231041,21299,308,383,34.96317688576126,62.02908418929839,0.0,0.0,62.02908418929839,37.970915810701605,62.02908418929839,81.44409215795494,62.02908418929839,,
C2,Set Transformer,test,regenerated_catalog,43.0,1.0,3e-05,231041,21299,308,383,34.88080206834453,62.32048109371278,0.0,0.0,62.32048109371278,37.67951890628722,62.32048109371278,81.41582748178918,62.32048109371278,,
C2,Set Transformer,test,regenerated_catalog,44.0,1.0,3e-05,231041,21299,308,383,34.78010678600135,62.50344793763721,0.0,0.0,62.50344793763721,37.49655206236279,62.50344793763721,81.42830140671768,62.50344793763721,,
C3,Set Transformer + Field-ID,test,regenerated_catalog,42.0,1.0,3e-05,1004545,21299,308,383,35.152968788512,62.39213354608375,0.0,0.0,62.39213354608375,37.60786645391626,62.39213354608375,81.46404846380646,62.39213354608375,,
C3,Set Transformer + Field-ID,test,regenerated_catalog,43.0,1.0,3e-05,1004545,21299,308,383,35.135075784236385,62.319972756417684,0.0,0.0,62.319972756417684,37.680027243582316,62.319972756417684,81.47482841609326,62.319972756417684,,
C3,Set Transformer + Field-ID,test,regenerated_catalog,44.0,1.0,3e-05,1004545,21299,308,383,35.20075874775012,62.450658510156096,0.0,0.0,62.450658510156096,37.5493414898439,62.450658510156096,81.5161495066316,62.450658510156096,,
C4,Circular Attention,test,regenerated_catalog,42.0,1.0,3e-05,170780,21299,308,383,35.21980299903763,61.823473729574616,0.0,0.0,61.823473729574616,38.176526270425384,61.823473729574616,81.49794523418952,61.823473729574616,,
C4,Circular Attention,test,regenerated_catalog,43.0,1.0,3e-05,170780,21299,308,383,35.30097183020647,61.82003875366853,0.0,0.0,61.82003875366853,38.17996124633148,61.82003875366853,81.49706893360128,61.82003875366853,,
C4,Circular Attention,test,regenerated_catalog,44.0,1.0,3e-05,170780,21299,308,383,35.22304975228439,61.823473729574616,0.0,0.0,61.823473729574616,38.176526270425384,61.823473729574616,81.49794523418952,61.823473729574616,,
Original,Original,test,regenerated_catalog_fully_fitting,,,,0,6797,239,378,24.65511962557684,56.51602987194306,8.38461901045228,11.21575065915725,50.510954770473546,38.273294570369195,52.33832415117742,84.62428951326034,54.49472001781215,,
Canonical,Canonical,test,regenerated_catalog_fully_fitting,,,,0,6797,239,378,24.833297749811575,56.394531943582315,0.0,0.0,56.394531943582315,43.60546805641769,56.394531943582315,84.19821708397637,56.394531943582315,,
Set-Mean,Set-Mean,test,regenerated_catalog_fully_fitting,,,,0,6797,239,378,30.05747696779471,59.75709096627618,0.0,0.0,59.75709096627618,40.24290903372381,59.75709096627618,84.45891707413186,59.75709096627618,,
Set-Attention,Set-Attention,test,regenerated_catalog_fully_fitting,42.0,1.0,,98561,6797,239,378,29.78285499020509,60.342449803197596,0.0,0.0,60.342449803197596,39.657550196802404,60.342449803197596,84.37532127833086,60.342449803197596,,
C1,Contextual DeepSets,test,regenerated_catalog_fully_fitting,42.0,1.0,3e-05,229889,6797,239,378,30.05747696779471,60.168641827103386,0.012306177701206004,0.0,60.168641827103386,39.8313581728966,60.168641827103386,84.44078583815322,60.168641827103386,,
C1,Contextual DeepSets,test,regenerated_catalog_fully_fitting,43.0,1.0,3e-05,229889,6797,239,378,30.05747696779471,60.175501008117195,0.0,0.0,60.175501008117195,39.82449899188281,60.175501008117195,84.44136942751526,60.175501008117195,,
C1,Contextual DeepSets,test,regenerated_catalog_fully_fitting,44.0,1.0,3e-05,229889,6797,239,378,30.05747696779471,60.168641827103386,0.0,0.0,60.168641827103386,39.8313581728966,60.168641827103386,84.45307004323823,60.168641827103386,,
C2,Set Transformer,test,regenerated_catalog_fully_fitting,42.0,1.0,3e-05,231041,6797,239,378,29.982064990352907,60.16562735305787,0.0,0.0,60.16562735305787,39.83437264694212,60.16562735305787,84.34216542528947,60.16562735305787,,
C2,Set Transformer,test,regenerated_catalog_fully_fitting,43.0,1.0,3e-05,231041,6797,239,378,29.595975566623817,60.259526137508814,0.0,0.0,60.259526137508814,39.74047386249119,60.259526137508814,84.35330056570831,60.259526137508814,,
C2,Set Transformer,test,regenerated_catalog_fully_fitting,44.0,1.0,3e-05,231041,6797,239,378,29.54910158732207,61.13670951063992,0.0,0.0,61.13670951063992,38.86329048936007,61.13670951063992,84.31535756337479,61.13670951063992,,
C3,Set Transformer + Field-ID,test,regenerated_catalog_fully_fitting,42.0,1.0,3e-05,1004545,6797,239,378,30.07574166150037,60.584037708021924,0.0,0.0,60.584037708021924,39.41596229197809,60.584037708021924,84.35557222511719,60.584037708021924,,
C3,Set Transformer + Field-ID,test,regenerated_catalog_fully_fitting,43.0,1.0,3e-05,1004545,6797,239,378,29.854880401475747,60.38291421701671,0.0,0.0,60.38291421701671,39.61708578298329,60.38291421701671,84.41099613293346,60.38291421701671,,
C3,Set Transformer + Field-ID,test,regenerated_catalog_fully_fitting,44.0,1.0,3e-05,1004545,6797,239,378,30.07799055899944,60.78120924888548,0.0,0.0,60.78120924888548,39.218790751114526,60.78120924888548,84.42168077998382,60.78120924888548,,
C4,Circular Attention,test,regenerated_catalog_fully_fitting,42.0,1.0,3e-05,170780,6797,239,378,29.639066925953706,59.7490446193177,0.0,0.0,59.7490446193177,40.2509553806823,59.7490446193177,84.45768042307851,59.7490446193177,,
C4,Circular Attention,test,regenerated_catalog_fully_fitting,43.0,1.0,3e-05,170780,6797,239,378,30.05747696779471,59.75709096627618,0.0,0.0,59.75709096627618,40.24290903372381,59.75709096627618,84.45721597241618,59.75709096627618,,
C4,Circular Attention,test,regenerated_catalog_fully_fitting,44.0,1.0,3e-05,170780,6797,239,378,29.639066925953706,59.7490446193177,0.0,0.0,59.7490446193177,40.2509553806823,59.7490446193177,84.45768042307851,59.7490446193177,,
Original,Original,test,target,,,,0,21299,308,0,,,10.831734636745576,12.11189684063842,56.953345211020604,30.934757948340984,59.38997382544068,,,35.63693096715543,63.20576790684961
Canonical,Canonical,test,target,,,,0,21299,308,0,,,0.0,0.0,63.236881413573656,36.763118586426344,63.236881413573656,,,36.072423810213536,63.236881413573656
Set-Attention,Set-Attention,test,target,42.0,1.0,,98561,21299,308,0,,,0.0,0.0,62.17291536896218,37.82708463103782,62.17291536896218,,,35.24271488324723,62.17291536896218
C4,Circular Attention,test,target,42.0,1.0,3e-05,170780,21299,308,0,,,0.0,0.0,61.823473729574616,38.176526270425384,61.823473729574616,,,35.21980299903763,61.823473729574616
C4,Circular Attention,test,target,43.0,1.0,3e-05,170780,21299,308,0,,,0.0,0.0,61.82003875366853,38.17996124633148,61.82003875366853,,,35.30097183020647,61.82003875366853
C4,Circular Attention,test,target,44.0,1.0,3e-05,170780,21299,308,0,,,0.0,0.0,61.823473729574616,38.176526270425384,61.823473729574616,,,35.22304975228439,61.823473729574616
Original,Original,test,target_fully_fitting,,,,0,6797,239,0,,,7.160400288974102,10.882648151908228,50.176695326735,38.940656521356765,51.75734820153338,,,24.352090868248318,55.74451331849614
Canonical,Canonical,test,target_fully_fitting,,,,0,6797,239,0,,,0.0,0.0,56.394531943582315,43.60546805641769,56.394531943582315,,,24.833297749811575,56.394531943582315
Set-Attention,Set-Attention,test,target_fully_fitting,42.0,1.0,,98561,6797,239,0,,,0.0,0.0,60.342449803197596,39.657550196802404,60.342449803197596,,,29.78285499020509,60.342449803197596
C4,Circular Attention,test,target_fully_fitting,42.0,1.0,3e-05,170780,6797,239,0,,,0.0,0.0,59.7490446193177,40.2509553806823,59.7490446193177,,,29.639066925953706,59.7490446193177
C4,Circular Attention,test,target_fully_fitting,43.0,1.0,3e-05,170780,6797,239,0,,,0.0,0.0,59.75709096627618,40.24290903372381,59.75709096627618,,,30.05747696779471,59.75709096627618
C4,Circular Attention,test,target_fully_fitting,44.0,1.0,3e-05,170780,6797,239,0,,,0.0,0.0,59.7490446193177,40.2509553806823,59.7490446193177,,,29.639066925953706,59.7490446193177
Original,Original,test,regenerated_target,,,,0,21299,308,0,,,10.831734636745576,12.11189684063842,56.953345211020604,30.934757948340984,59.38997382544068,,,35.63693096715543,63.20576790684961
Canonical,Canonical,test,regenerated_target,,,,0,21299,308,0,,,0.0,0.0,63.236881413573656,36.763118586426344,63.236881413573656,,,36.072423810213536,63.236881413573656
Set-Attention,Set-Attention,test,regenerated_target,42.0,1.0,,98561,21299,308,0,,,0.0,0.0,62.17291536896218,37.82708463103782,62.17291536896218,,,35.24271488324723,62.17291536896218
C4,Circular Attention,test,regenerated_target,42.0,1.0,3e-05,170780,21299,308,0,,,0.0,0.0,61.823473729574616,38.176526270425384,61.823473729574616,,,35.21980299903763,61.823473729574616
C4,Circular Attention,test,regenerated_target,43.0,1.0,3e-05,170780,21299,308,0,,,0.0,0.0,61.82003875366853,38.17996124633148,61.82003875366853,,,35.30097183020647,61.82003875366853
C4,Circular Attention,test,regenerated_target,44.0,1.0,3e-05,170780,21299,308,0,,,0.0,0.0,61.823473729574616,38.176526270425384,61.823473729574616,,,35.22304975228439,61.823473729574616
Original,Original,test,regenerated_target_fully_fitting,,,,0,6797,239,0,,,7.160400288974102,10.882648151908228,50.176695326735,38.940656521356765,51.75734820153338,,,24.352090868248318,55.74451331849614
Canonical,Canonical,test,regenerated_target_fully_fitting,,,,0,6797,239,0,,,0.0,0.0,56.394531943582315,43.60546805641769,56.394531943582315,,,24.833297749811575,56.394531943582315
Set-Attention,Set-Attention,test,regenerated_target_fully_fitting,42.0,1.0,,98561,6797,239,0,,,0.0,0.0,60.342449803197596,39.657550196802404,60.342449803197596,,,29.78285499020509,60.342449803197596
C4,Circular Attention,test,regenerated_target_fully_fitting,42.0,1.0,3e-05,170780,6797,239,0,,,0.0,0.0,59.7490446193177,40.2509553806823,59.7490446193177,,,29.639066925953706,59.7490446193177
C4,Circular Attention,test,regenerated_target_fully_fitting,43.0,1.0,3e-05,170780,6797,239,0,,,0.0,0.0,59.75709096627618,40.24290903372381,59.75709096627618,,,30.05747696779471,59.75709096627618
C4,Circular Attention,test,regenerated_target_fully_fitting,44.0,1.0,3e-05,170780,6797,239,0,,,0.0,0.0,59.7490446193177,40.2509553806823,59.7490446193177,,,29.639066925953706,59.7490446193177
