Method,Label,Split,Mode,Epoch,LR,Params,Exact_pairs,Exact_queries,cNDCG_queries,Seeds,Recall@20,Recall@20_seed_sd,Recall@100,Recall@100_seed_sd,VI@20,VI@20_seed_sd,VI@100,VI@100_seed_sd,Robust@100,Robust@100_seed_sd,Never@100,Never@100_seed_sd,worst_schedule@100,worst_schedule@100_seed_sd,cNDCG@10,cNDCG@10_seed_sd,minimum_macro_schedule_R100,minimum_macro_schedule_R100_seed_sd,units,Inclusion@20,Inclusion@20_seed_sd,Inclusion@100,Inclusion@100_seed_sd,Delta_R100_vs_Set-Attention,Delta_R100_vs_Canonical
C1,Contextual DeepSets,test,regenerated_catalog,1.0,3e-05,229889,21299,308,383,3,35.31277466717941,0.0,61.98237641600618,0.0,0.002886002886002886,0.004998703629347409,0.0,0.0,61.98237641600618,0.0,38.01762358399382,0.0,61.98237641600618,0.0,81.49165752898189,0.0069997004818941585,61.98237641600618,0.0,percent; seed SD and deltas in percentage points,,,,,-0.19053895295599688,-1.254504997567473
C2,Set Transformer,test,regenerated_catalog,1.0,3e-05,231041,21299,308,383,3,34.87469524670237,0.0916877053342082,62.28433774021613,0.23923837053450017,0.0,0.0,0.0,0.0,62.28433774021613,0.23923837053450017,37.71566225978387,0.2392383705344964,62.28433774021613,0.23923837053450017,81.42940701548727,0.014164736416622272,62.28433774021613,0.23923837053450017,percent; seed SD and deltas in percentage points,,,,,0.11142237125395127,-0.9525436733575248
C3,Set Transformer + Field-ID,test,regenerated_catalog,1.0,3e-05,1004545,21299,308,383,3,35.16293444016617,0.03395656907957462,62.38758827088585,0.06546133364447083,0.0,0.0,0.0,0.0,62.38758827088585,0.06546133364447083,37.61241172911416,0.065461333644474,62.38758827088585,0.06546133364447083,81.48500879551045,0.027501995558053653,62.38758827088585,0.06546133364447083,percent; seed SD and deltas in percentage points,,,,,0.21467290192367017,-0.8492931426878059
C4,Circular Attention,test,regenerated_catalog,1.0,3e-05,170780,21299,308,383,3,35.24794152717616,0.04595427217654485,61.822328737605915,0.001983184264040228,0.0,0.0,0.0,0.0,61.822328737605915,0.001983184264040228,38.17767126239408,0.00198318426404433,61.822328737605915,0.001983184264040228,81.49765313399344,0.0005059323805064929,61.822328737605915,0.001983184264040228,percent; seed SD and deltas in percentage points,,,,,-0.3505866313562649,-1.414552675967741
Original,Original,test,regenerated_catalog_fully_fitting,,,0,6797,239,378,1,24.65511962557684,,56.51602987194306,,8.38461901045228,,11.21575065915725,,50.510954770473546,,38.273294570369195,,52.33832415117742,,84.62428951326034,,54.49472001781215,,percent; seed SD and deltas in percentage points,,,,,-3.8264199312545344,0.12149792836074624
Canonical,Canonical,test,regenerated_catalog_fully_fitting,,,0,6797,239,378,1,24.833297749811575,,56.394531943582315,,0.0,,0.0,,56.394531943582315,,43.60546805641769,,56.394531943582315,,84.19821708397637,,56.394531943582315,,percent; seed SD and deltas in percentage points,,,,,-3.9479178596152806,0.0
Set-Mean,Set-Mean,test,regenerated_catalog_fully_fitting,,,0,6797,239,378,1,30.05747696779471,,59.75709096627618,,0.0,,0.0,,59.75709096627618,,40.24290903372381,,59.75709096627618,,84.45891707413186,,59.75709096627618,,percent; seed SD and deltas in percentage points,,,,,-0.5853588369214151,3.3625590226938655
Set-Attention,Set-Attention,test,regenerated_catalog_fully_fitting,1.0,,98561,6797,239,378,1,29.78285499020509,,60.342449803197596,,0.0,,0.0,,60.342449803197596,,39.657550196802404,,60.342449803197596,,84.37532127833086,,60.342449803197596,,percent; seed SD and deltas in percentage points,,,,,0.0,3.9479178596152806
C1,Contextual DeepSets,test,regenerated_catalog_fully_fitting,1.0,3e-05,229889,6797,239,378,3,30.05747696779471,0.0,60.17092822077465,0.003960150004742869,0.004102059233735335,0.007104975008486656,0.0,0.0,60.17092822077465,0.003960150004742869,39.82907177922534,0.003960150004730561,60.17092822077465,0.003960150004742869,84.4450751029689,0.006929967284804072,60.17092822077465,0.003960150004742869,percent; seed SD and deltas in percentage points,,,,,-0.17152158242294746,3.776396277192333
C2,Set Transformer,test,regenerated_catalog_fully_fitting,1.0,3e-05,231041,6797,239,378,3,29.709047381432935,0.23759893427618847,60.5206210004022,0.5356099651477162,0.0,0.0,0.0,0.0,60.5206210004022,0.5356099651477162,39.47937899959779,0.5356099651477239,60.5206210004022,0.5356099651477162,84.33694118479086,0.01950352206938213,60.5206210004022,0.5356099651477162,percent; seed SD and deltas in percentage points,,,,,0.1781711972046054,4.126089056819886
C3,Set Transformer + Field-ID,test,regenerated_catalog_fully_fitting,1.0,3e-05,1004545,6797,239,378,3,30.00287087399185,0.12816844132486507,60.582720391308044,0.19915078356694862,0.0,0.0,0.0,0.0,60.582720391308044,0.19915078356694862,39.41727960869197,0.19915078356694504,60.582720391308044,0.19915078356694862,84.39608304601148,0.03548782013304491,60.582720391308044,0.19915078356694862,percent; seed SD and deltas in percentage points,,,,,0.2402705881104481,4.188188447725729
C4,Circular Attention,test,regenerated_catalog_fully_fitting,1.0,3e-05,170780,6797,239,378,3,29.778536939900704,0.2415691502885458,59.75172673497053,0.004645560582471522,0.0,0.0,0.0,0.0,59.75172673497053,0.004645560582471522,40.248273265029475,0.004645560582475625,59.75172673497053,0.004645560582471522,84.45752560619106,0.00026815071492442683,59.75172673497053,0.004645560582471522,percent; seed SD and deltas in percentage points,,,,,-0.5907230682270637,3.357194791388217
Original,Original,test,target,,,0,21299,308,0,1,,,,,10.831734636745576,,12.11189684063842,,56.953345211020604,,30.934757948340984,,59.38997382544068,,,,,,percent; seed SD and deltas in percentage points,35.63693096715543,,63.20576790684961,,,
Canonical,Canonical,test,target,,,0,21299,308,0,1,,,,,0.0,,0.0,,63.236881413573656,,36.763118586426344,,63.236881413573656,,,,,,percent; seed SD and deltas in percentage points,36.072423810213536,,63.236881413573656,,,
Set-Attention,Set-Attention,test,target,1.0,,98561,21299,308,0,1,,,,,0.0,,0.0,,62.17291536896218,,37.82708463103782,,62.17291536896218,,,,,,percent; seed SD and deltas in percentage points,35.24271488324723,,62.17291536896218,,,
C4,Circular Attention,test,target,1.0,3e-05,170780,21299,308,0,3,,,,,0.0,0.0,0.0,0.0,61.822328737605915,0.001983184264040228,38.17767126239408,0.00198318426404433,61.822328737605915,0.001983184264040228,,,,,percent; seed SD and deltas in percentage points,35.24794152717616,0.04595427217654485,61.822328737605915,0.001983184264040228,,
Original,Original,test,target_fully_fitting,,,0,6797,239,0,1,,,,,7.160400288974102,,10.882648151908228,,50.176695326735,,38.940656521356765,,51.75734820153338,,,,,,percent; seed SD and deltas in percentage points,24.352090868248318,,55.74451331849614,,,
Canonical,Canonical,test,target_fully_fitting,,,0,6797,239,0,1,,,,,0.0,,0.0,,56.394531943582315,,43.60546805641769,,56.394531943582315,,,,,,percent; seed SD and deltas in percentage points,24.833297749811575,,56.394531943582315,,,
Set-Attention,Set-Attention,test,target_fully_fitting,1.0,,98561,6797,239,0,1,,,,,0.0,,0.0,,60.342449803197596,,39.657550196802404,,60.342449803197596,,,,,,percent; seed SD and deltas in percentage points,29.78285499020509,,60.342449803197596,,,
C4,Circular Attention,test,target_fully_fitting,1.0,3e-05,170780,6797,239,0,3,,,,,0.0,0.0,0.0,0.0,59.75172673497053,0.004645560582471522,40.248273265029475,0.004645560582475625,59.75172673497053,0.004645560582471522,,,,,percent; seed SD and deltas in percentage points,29.778536939900704,0.2415691502885458,59.75172673497053,0.004645560582471522,,
Original,Original,test,regenerated_target,,,0,21299,308,0,1,,,,,10.831734636745576,,12.11189684063842,,56.953345211020604,,30.934757948340984,,59.38997382544068,,,,,,percent; seed SD and deltas in percentage points,35.63693096715543,,63.20576790684961,,,
Canonical,Canonical,test,regenerated_target,,,0,21299,308,0,1,,,,,0.0,,0.0,,63.236881413573656,,36.763118586426344,,63.236881413573656,,,,,,percent; seed SD and deltas in percentage points,36.072423810213536,,63.236881413573656,,,
Set-Attention,Set-Attention,test,regenerated_target,1.0,,98561,21299,308,0,1,,,,,0.0,,0.0,,62.17291536896218,,37.82708463103782,,62.17291536896218,,,,,,percent; seed SD and deltas in percentage points,35.24271488324723,,62.17291536896218,,,
C4,Circular Attention,test,regenerated_target,1.0,3e-05,170780,21299,308,0,3,,,,,0.0,0.0,0.0,0.0,61.822328737605915,0.001983184264040228,38.17767126239408,0.00198318426404433,61.822328737605915,0.001983184264040228,,,,,percent; seed SD and deltas in percentage points,35.24794152717616,0.04595427217654485,61.822328737605915,0.001983184264040228,,
Original,Original,test,regenerated_target_fully_fitting,,,0,6797,239,0,1,,,,,7.160400288974102,,10.882648151908228,,50.176695326735,,38.940656521356765,,51.75734820153338,,,,,,percent; seed SD and deltas in percentage points,24.352090868248318,,55.74451331849614,,,
Canonical,Canonical,test,regenerated_target_fully_fitting,,,0,6797,239,0,1,,,,,0.0,,0.0,,56.394531943582315,,43.60546805641769,,56.394531943582315,,,,,,percent; seed SD and deltas in percentage points,24.833297749811575,,56.394531943582315,,,
Set-Attention,Set-Attention,test,regenerated_target_fully_fitting,1.0,,98561,6797,239,0,1,,,,,0.0,,0.0,,60.342449803197596,,39.657550196802404,,60.342449803197596,,,,,,percent; seed SD and deltas in percentage points,29.78285499020509,,60.342449803197596,,,
C4,Circular Attention,test,regenerated_target_fully_fitting,1.0,3e-05,170780,6797,239,0,3,,,,,0.0,0.0,0.0,0.0,59.75172673497053,0.004645560582471522,40.248273265029475,0.004645560582475625,59.75172673497053,0.004645560582471522,,,,,percent; seed SD and deltas in percentage points,29.778536939900704,0.2415691502885458,59.75172673497053,0.004645560582471522,,
