Method,Seed,Split,Subset,Pairs,Queries,Recall100,Delta_R100_vs_SetAttention,Robust100,Never100
C2,44,dev,shorter_attributes,459,15,75.36916815978226,0.17452821031113858,75.36916815978226,24.63083184021775
C3,42,dev,fully_fitting,285,11,79.20899933399933,0.23310023310023328,79.20899933399933,20.791000666000663
C3,43,dev,fully_fitting,285,11,79.21266233766234,0.2367632367632372,79.21266233766234,20.78733766233766
C3,44,dev,fully_fitting,285,11,78.9795621045621,0.003663003663004457,78.9795621045621,21.020437895437894
C3,42,dev,not_fully_fitting,251,13,70.26090124900435,-1.0168426344896933,70.26090124900435,29.739098750995645
C3,43,dev,not_fully_fitting,251,13,70.74355584930602,-0.5341880341880341,70.74355584930602,29.256444150693984
C3,44,dev,not_fully_fitting,251,13,71.39337988148297,0.1156359979889396,71.39337988148297,28.60662011851701
C3,42,dev,long_attributes,77,12,64.23160173160173,-2.5793650793650795,64.23160173160173,35.768398268398265
C3,43,dev,long_attributes,77,12,65.62049062049061,-1.190476190476191,65.62049062049061,34.37950937950938
C3,44,dev,long_attributes,77,12,65.80086580086581,-1.0101010101010104,65.80086580086581,34.1991341991342
C3,42,dev,shorter_attributes,459,15,75.48568708645308,0.29104713698196744,75.48568708645308,24.514312913546917
C3,43,dev,shorter_attributes,459,15,75.49149231880367,0.29685236933254533,75.49149231880367,24.50850768119634
C3,44,dev,shorter_attributes,459,15,75.32104062180662,0.12640067233550303,75.32104062180662,24.678959378193387
C4,42,dev,fully_fitting,285,11,78.9758991008991,0.0,78.9758991008991,21.024100899100898
C4,43,dev,fully_fitting,285,11,78.9758991008991,0.0,78.9758991008991,21.024100899100898
C4,44,dev,fully_fitting,285,11,78.9758991008991,0.0,78.9758991008991,21.024100899100898
C4,42,dev,not_fully_fitting,251,13,71.6196242253744,0.34188034188034233,71.6196242253744,28.38037577462561
C4,43,dev,not_fully_fitting,251,13,71.6196242253744,0.34188034188034233,71.6196242253744,28.38037577462561
C4,44,dev,not_fully_fitting,251,13,71.6196242253744,0.34188034188034233,71.6196242253744,28.38037577462561
C4,42,dev,long_attributes,77,12,67.1897546897547,0.37878787878787845,67.1897546897547,32.81024531024531
C4,43,dev,long_attributes,77,12,67.1897546897547,0.37878787878787845,67.1897546897547,32.81024531024531
C4,44,dev,long_attributes,77,12,67.1897546897547,0.37878787878787845,67.1897546897547,32.81024531024531
C4,42,dev,shorter_attributes,459,15,75.42452500694237,0.22988505747126411,75.42452500694237,24.57547499305762
C4,43,dev,shorter_attributes,459,15,75.42452500694237,0.22988505747126411,75.42452500694237,24.57547499305762
C4,44,dev,shorter_attributes,459,15,75.42452500694237,0.22988505747126411,75.42452500694237,24.57547499305762
C1,42,test,fully_fitting,6797,239,60.168641827103386,-0.17380797609420168,60.168641827103386,39.8313581728966
C1,43,test,fully_fitting,6797,239,60.175501008117195,-0.1669487950804147,60.175501008117195,39.82449899188281
C1,44,test,fully_fitting,6797,239,60.168641827103386,-0.17380797609420168,60.168641827103386,39.8313581728966
C1,42,test,not_fully_fitting,14502,283,58.86119589304345,-0.26543159704063507,58.86119589304345,41.13880410695654
C1,43,test,not_fully_fitting,14502,283,58.8585189469036,-0.2681085431804787,58.8585189469036,41.141481053096385
C1,44,test,not_fully_fitting,14502,283,58.86119589304345,-0.26543159704063507,58.86119589304345,41.13880410695654
C1,42,test,long_attributes,6573,192,52.932008259476916,0.1328959827565336,52.932008259476916,47.06799174052308
C1,43,test,long_attributes,6573,192,52.932008259476916,0.1328959827565336,52.932008259476916,47.06799174052308
C1,44,test,long_attributes,6573,192,52.932008259476916,0.1328959827565336,52.932008259476916,47.06799174052308
C1,42,test,shorter_attributes,14726,284,60.26133723825233,-0.26467784253942267,60.26133723825233,39.73866276174767
C1,43,test,shorter_attributes,14726,284,60.26133723825233,-0.26467784253942267,60.26133723825233,39.73866276174767
C1,44,test,shorter_attributes,14726,284,60.26133723825233,-0.26467784253942267,60.26133723825233,39.73866276174767
C2,42,test,fully_fitting,6797,239,60.16562735305787,-0.17682245013972356,60.16562735305787,39.83437264694212
C2,43,test,fully_fitting,6797,239,60.259526137508814,-0.08292366568878921,60.259526137508814,39.74047386249119
C2,44,test,fully_fitting,6797,239,61.13670951063992,0.7942597074423322,61.13670951063992,38.86329048936007
C2,42,test,not_fully_fitting,14502,283,59.21293215255553,0.0863046624714388,59.21293215255553,40.78706784744447
C2,43,test,not_fully_fitting,14502,283,59.215651195541575,0.0890237054574807,59.215651195541575,40.78434880445842
C2,44,test,not_fully_fitting,14502,283,59.3981625240677,0.2715350339836121,59.3981625240677,40.60183747593229
C2,42,test,long_attributes,6573,192,52.81662172531624,0.01750944859586634,52.81662172531624,47.183378274683754
C2,43,test,long_attributes,6573,192,52.6792277047544,-0.11988457196598122,52.6792277047544,47.320772295245604
C2,44,test,long_attributes,6573,192,53.15267907785045,0.35356680113007166,53.15267907785045,46.84732092214954
C2,42,test,shorter_attributes,14726,284,60.72872361014294,0.2027085293511907,60.72872361014294,39.27127638985706
C2,43,test,shorter_attributes,14726,284,61.52171898577799,0.9957039049862346,61.52171898577799,38.47828101422201
C2,44,test,shorter_attributes,14726,284,61.291097737279344,0.7650826564876,61.291097737279344,38.70890226272064
C3,42,test,fully_fitting,6797,239,60.584037708021924,0.241587904824314,60.584037708021924,39.41596229197809
C3,43,test,fully_fitting,6797,239,60.38291421701671,0.040464413819119534,60.38291421701671,39.61708578298329
C3,44,test,fully_fitting,6797,239,60.78120924888548,0.43875944568787856,60.78120924888548,39.218790751114526
C3,42,test,not_fully_fitting,14502,283,59.42557497435628,0.29894748427217666,59.42557497435628,40.57442502564373
C3,43,test,not_fully_fitting,14502,283,59.634710161445085,0.5080826713609871,59.634710161445085,40.36528983855492
C3,44,test,not_fully_fitting,14502,283,59.40471663658388,0.2780891464997892,59.40471663658388,40.595283363416115
C3,42,test,long_attributes,6573,192,52.60239638968972,-0.1967158870306605,52.60239638968972,47.397603610310284
C3,43,test,long_attributes,6573,192,52.54204784714725,-0.2570644295731213,52.54204784714725,47.45795215285275
C3,44,test,long_attributes,6573,192,52.544615438574546,-0.2544968381458304,52.544615438574546,47.455384561425454
C3,42,test,shorter_attributes,14726,284,61.2554050803078,0.729389999516041,61.2554050803078,38.744594919692204
C3,43,test,shorter_attributes,14726,284,61.17950744625278,0.6534923654610244,61.17950744625278,38.82049255374722
C3,44,test,shorter_attributes,14726,284,61.47790306773595,0.9518879869442007,61.47790306773595,38.52209693226405
C4,42,test,fully_fitting,6797,239,59.7490446193177,-0.5934051838798997,59.7490446193177,40.2509553806823
C4,43,test,fully_fitting,6797,239,59.75709096627618,-0.585358836921419,59.75709096627618,40.24290903372381
C4,44,test,fully_fitting,6797,239,59.7490446193177,-0.5934051838798997,59.7490446193177,40.2509553806823
C4,42,test,not_fully_fitting,14502,283,58.864943617639234,-0.26168387244485386,58.864943617639234,41.13505638236075
C4,43,test,not_fully_fitting,14502,283,58.8585189469036,-0.2681085431804787,58.8585189469036,41.141481053096385
C4,44,test,not_fully_fitting,14502,283,58.864943617639234,-0.26168387244485386,58.864943617639234,41.13505638236075
C4,42,test,long_attributes,6573,192,52.932008259476916,0.1328959827565336,52.932008259476916,47.06799174052308
C4,43,test,long_attributes,6573,192,52.932008259476916,0.1328959827565336,52.932008259476916,47.06799174052308
C4,44,test,long_attributes,6573,192,52.932008259476916,0.1328959827565336,52.932008259476916,47.06799174052308
C4,42,test,shorter_attributes,14726,284,60.0959429707454,-0.4300721100463662,60.0959429707454,39.904057029254616
C4,43,test,shorter_attributes,14726,284,60.085280900224156,-0.4407341805675917,60.085280900224156,39.91471909977584
C4,44,test,shorter_attributes,14726,284,60.0959429707454,-0.4300721100463662,60.0959429707454,39.904057029254616
