dataset,model,K,alternative,eligible_queries,queries_with_any_change,queries_with_exact_zero_net_and_changes,within_query_cancellation_fraction,within_query_cancellation_conditional,cancellation_all_denominator,cancellation_conditional_denominator,positive_query_net_mass,negative_query_net_mass,across_query_cancellation_mass
wands,bge_base,100,C2s2,308,163,31,0.1006493506493506,0.1901840490797546,308,163,0.0152420541986736,0.0103264124516725,0.0206528249033451
wands,bge_base,100,C2s3,308,155,40,0.1298701298701298,0.2580645161290322,308,155,0.0143037877928557,0.0134545721982985,0.026909144396597
wands,bge_base,100,C2s4,308,148,32,0.1038961038961039,0.2162162162162162,308,148,0.0182921110629861,0.005473748860865,0.0109474977217301
wands,bge_base,100,C2s5,308,162,42,0.1363636363636363,0.2592592592592592,308,162,0.0150318635153544,0.0104099137634119,0.0208198275268238
wands,gte_modernbert,20,C1,308,191,61,0.198051948051948,0.3193717277486911,308,191,0.0129275308332043,0.0143213856213411,0.0258550616664086
wands,gte_modernbert,20,C2s1,308,195,67,0.2175324675324675,0.3435897435897436,308,195,0.0092340740603414,0.0171866316946078,0.0184681481206828
wands,gte_modernbert,20,C2s2,308,198,81,0.262987012987013,0.4090909090909091,308,198,0.0071507785848545,0.0163997794122405,0.014301557169709
wands,gte_modernbert,20,C2s3,308,193,76,0.2467532467532467,0.3937823834196891,308,193,0.0115035011801553,0.0146186013242643,0.0230070023603107
wands,gte_modernbert,20,C2s4,308,193,70,0.2272727272727272,0.3626943005181347,308,193,0.013153963330809,0.0137356286649435,0.0263079266616181
wands,gte_modernbert,20,C2s5,308,189,76,0.2467532467532467,0.4021164021164021,308,189,0.0134834531834206,0.0120784516764303,0.0241569033528606
wands,gte_modernbert,100,C1,308,163,37,0.1201298701298701,0.2269938650306748,308,163,0.0111502805947767,0.0129277586684553,0.0223005611895534
wands,gte_modernbert,100,C2s1,308,171,31,0.1006493506493506,0.1812865497076023,308,171,0.0110265711491313,0.0144003932456697,0.0220531422982627
wands,gte_modernbert,100,C2s2,308,170,29,0.0941558441558441,0.1705882352941176,308,170,0.0114653573382835,0.0161212334302113,0.0229307146765671
wands,gte_modernbert,100,C2s3,308,171,32,0.1038961038961039,0.1871345029239766,308,171,0.0120951555931247,0.0128893952745772,0.0241903111862495
wands,gte_modernbert,100,C2s4,308,165,33,0.1071428571428571,0.2,308,165,0.0105072189471312,0.0118591301700671,0.0210144378942624
wands,gte_modernbert,100,C2s5,308,169,43,0.1396103896103896,0.2544378698224852,308,169,0.0073429349222562,0.0151392864822113,0.0146858698445125
esci,minilm,20,C1,499,92,14,0.0280561122244488,0.1521739130434782,499,92,0.0096556795803114,0.0127115133694214,0.0193113591606229
esci,minilm,20,C2s1,499,73,14,0.0280561122244488,0.1917808219178082,499,73,0.0062783885330293,0.0082994295144,0.0125567770660587
esci,minilm,20,C2s2,499,68,10,0.0200400801603206,0.1470588235294117,499,68,0.0051862076912177,0.0111687573156349,0.0103724153824354
esci,minilm,20,C2s3,499,60,8,0.0160320641282565,0.1333333333333333,499,60,0.0046034464093408,0.0086445950381986,0.0092068928186816
esci,minilm,20,C2s4,499,80,7,0.0140280561122244,0.0875,499,80,0.0076230668789929,0.012309858776067,0.0152461337579858
esci,minilm,20,C2s5,499,74,13,0.0260521042084168,0.1756756756756756,499,74,0.0054873876740435,0.0120074324333247,0.0109747753480871
esci,minilm,100,C1,499,30,2,0.0040080160320641,0.0666666666666666,499,30,0.0058528840342467,0.0035196767160695,0.007039353432139
esci,minilm,100,C2s1,499,20,2,0.0040080160320641,0.1,499,20,0.0042086420593434,0.0027514736432572,0.0055029472865144
esci,minilm,100,C2s2,499,16,2,0.0040080160320641,0.125,499,16,0.0043034787523765,0.0018448985883855,0.0036897971767711
esci,minilm,100,C2s3,499,19,2,0.0040080160320641,0.1052631578947368,499,19,0.0032575835431546,0.0029669840291082,0.0059339680582165
esci,minilm,100,C2s4,499,19,1,0.002004008016032,0.0526315789473684,499,19,0.0031658054704146,0.0031618793141839,0.0063237586283678
esci,minilm,100,C2s5,499,17,2,0.0040080160320641,0.1176470588235294,499,17,0.0007713840379171,0.003327428064402,0.0015427680758342
esci,bge_base,20,C1,499,78,16,0.032064128256513,0.2051282051282051,499,78,0.0050738165191917,0.010154825134785,0.0101476330383835
esci,bge_base,20,C2s1,499,55,12,0.0240480961923847,0.2181818181818181,499,55,0.0032064832666035,0.0066305575583722,0.006412966533207
esci,bge_base,20,C2s2,499,67,14,0.0280561122244488,0.208955223880597,499,67,0.004397405994408,0.0074186246656186,0.008794811988816
esci,bge_base,20,C2s3,499,63,16,0.032064128256513,0.2539682539682539,499,63,0.0047734536274697,0.0048385403067593,0.0095469072549394
esci,bge_base,20,C2s4,499,66,12,0.0240480961923847,0.1818181818181818,499,66,0.0049709707446019,0.007408235768547,0.0099419414892038
esci,bge_base,20,C2s5,499,62,12,0.0240480961923847,0.1935483870967742,499,62,0.0036703858535602,0.008846289164985,0.0073407717071205
esci,bge_base,100,C1,499,25,1,0.002004008016032,0.04,499,25,0.0029102637291841,0.0013898829404841,0.0027797658809682
esci,bge_base,100,C2s1,499,17,3,0.0060120240480961,0.1764705882352941,499,17,0.0011442298516446,0.0012702755939228,0.0022884597032893
esci,bge_base,100,C2s2,499,17,0,0.0,0.0,499,17,0.0013616059958745,0.0013632246499296,0.002723211991749
esci,bge_base,100,C2s3,499,20,1,0.002004008016032,0.05,499,20,0.0025421935339596,0.0005900690269427,0.0011801380538855
esci,bge_base,100,C2s4,499,20,0,0.0,0.0,499,20,0.001787903012635,0.0017202496160411,0.0034404992320823
esci,bge_base,100,C2s5,499,21,2,0.0040080160320641,0.0952380952380952,499,21,0.0021200250533058,0.0010698747923196,0.0021397495846393
esci,gte_modernbert,20,C1,499,123,21,0.0420841683366733,0.1707317073170731,499,123,0.0101168377090149,0.0206703554424453,0.0202336754180299
esci,gte_modernbert,20,C2s1,499,96,19,0.0380761523046092,0.1979166666666666,499,96,0.0070623360337379,0.0112215403082527,0.0141246720674758
esci,gte_modernbert,20,C2s2,499,102,17,0.034068136272545,0.1666666666666666,499,102,0.010088087853401,0.0153823106630036,0.0201761757068021
esci,gte_modernbert,20,C2s3,499,92,19,0.0380761523046092,0.2065217391304347,499,92,0.0078037681916795,0.0133969430722468,0.0156075363833591
esci,gte_modernbert,20,C2s4,499,104,19,0.0380761523046092,0.1826923076923076,499,104,0.0070969568348917,0.0161783434613627,0.0141939136697835
esci,gte_modernbert,20,C2s5,499,104,15,0.0300601202404809,0.1442307692307692,499,104,0.0068218749637314,0.0166314882531848,0.0136437499274628
esci,gte_modernbert,100,C1,499,49,4,0.0080160320641282,0.0816326530612244,499,49,0.0033506813593302,0.0106522272353935,0.0067013627186604
esci,gte_modernbert,100,C2s1,499,35,3,0.0060120240480961,0.0857142857142857,499,35,0.0017310678633323,0.0071038364651907,0.0034621357266647
esci,gte_modernbert,100,C2s2,499,38,3,0.0060120240480961,0.0789473684210526,499,38,0.001691522585943,0.0064635517235511,0.003383045171886
esci,gte_modernbert,100,C2s3,499,35,3,0.0060120240480961,0.0857142857142857,499,35,0.0040540899759336,0.0063054689110509,0.0081081799518673
esci,gte_modernbert,100,C2s4,499,44,3,0.0060120240480961,0.0681818181818181,499,44,0.0045164327755826,0.0094390314661739,0.0090328655511653
esci,gte_modernbert,100,C2s5,499,39,1,0.002004008016032,0.0256410256410256,499,39,0.0049013313666762,0.004873051235341,0.009746102470682
