dataset,model,schedule,pairs,reconstructed_rank_mismatches,max_rank_difference,max_C0_score_error,rank_source,fixed_competitors,original_entry_removed
esci,bge_base,C2s2,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s2.parquet,raw C0,True
esci,bge_base,C2s3,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s3.parquet,raw C0,True
esci,bge_base,C2s4,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s4.parquet,raw C0,True
esci,bge_base,C2s5,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s5.parquet,raw C0,True
esci,gte_modernbert,C0,4434,0,0,1.7881393432617188e-07,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C0.parquet,raw C0,True
esci,gte_modernbert,C1,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C1.parquet,raw C0,True
esci,gte_modernbert,C2s1,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s1.parquet,raw C0,True
esci,gte_modernbert,C2s2,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s2.parquet,raw C0,True
esci,gte_modernbert,C2s3,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s3.parquet,raw C0,True
esci,gte_modernbert,C2s4,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s4.parquet,raw C0,True
esci,gte_modernbert,C2s5,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s5.parquet,raw C0,True
