dataset,model,product_id,tokens_C0,tokens_C1,tokens_C2s1,tokens_C2s2,tokens_C2s3,tokens_C2s4,tokens_C2s5,max_tokens_seven,tokenizer_cap,fully_fits,special_token_overhead
wands,minilm,61,637,637,637,637,637,637,637,637,256,False,2
wands,minilm,62,480,480,480,480,480,480,480,480,256,False,2
wands,minilm,63,556,556,556,556,556,556,556,556,256,False,2
wands,minilm,64,448,448,448,448,448,448,448,448,256,False,2
wands,minilm,65,725,725,725,725,725,725,725,725,256,False,2
wands,minilm,66,686,686,686,686,686,686,686,686,256,False,2
wands,minilm,67,404,404,404,404,404,404,404,404,256,False,2
wands,minilm,68,237,237,237,237,237,237,237,237,256,True,2
wands,minilm,69,867,867,867,867,867,867,867,867,256,False,2
wands,minilm,70,334,334,334,334,334,334,334,334,256,False,2
wands,minilm,71,849,849,849,849,849,849,849,849,256,False,2
wands,minilm,72,984,984,984,984,984,984,984,984,256,False,2
wands,minilm,73,983,983,983,983,983,983,983,983,256,False,2
wands,minilm,74,1078,1078,1078,1078,1078,1078,1078,1078,256,False,2
wands,minilm,75,1070,1070,1070,1070,1070,1070,1070,1070,256,False,2
wands,minilm,76,758,758,758,758,758,758,758,758,256,False,2
wands,minilm,77,1049,1049,1049,1049,1049,1049,1049,1049,256,False,2
wands,minilm,78,822,822,822,822,822,822,822,822,256,False,2
wands,minilm,79,863,863,863,863,863,863,863,863,256,False,2
wands,minilm,80,595,595,595,595,595,595,595,595,256,False,2
wands,minilm,81,537,537,537,537,537,537,537,537,256,False,2
wands,minilm,82,455,455,455,455,455,455,455,455,256,False,2
wands,minilm,83,385,385,385,385,385,385,385,385,256,False,2
wands,minilm,84,440,440,440,440,440,440,440,440,256,False,2
wands,minilm,85,411,411,411,411,411,411,411,411,256,False,2
wands,minilm,86,481,481,481,481,481,481,481,481,256,False,2
wands,minilm,87,771,771,771,771,771,771,771,771,256,False,2
wands,minilm,88,686,686,686,686,686,686,686,686,256,False,2
wands,minilm,89,696,696,696,696,696,696,696,696,256,False,2
wands,minilm,90,739,739,739,739,739,739,739,739,256,False,2
wands,minilm,91,739,739,739,739,739,739,739,739,256,False,2
wands,minilm,92,761,761,761,761,761,761,761,761,256,False,2
wands,minilm,93,775,775,775,775,775,775,775,775,256,False,2
wands,minilm,94,737,737,737,737,737,737,737,737,256,False,2
wands,minilm,95,1031,1031,1031,1031,1031,1031,1031,1031,256,False,2
wands,minilm,96,294,294,294,294,294,294,294,294,256,False,2
wands,minilm,97,346,346,346,346,346,346,346,346,256,False,2
wands,minilm,98,406,406,406,406,406,406,406,406,256,False,2
wands,minilm,99,616,616,616,616,616,616,616,616,256,False,2
wands,minilm,100,593,593,593,593,593,593,593,593,256,False,2
wands,minilm,101,850,850,850,850,850,850,850,850,256,False,2
wands,minilm,102,529,529,529,529,529,529,529,529,256,False,2
wands,minilm,103,558,558,558,558,558,558,558,558,256,False,2
wands,minilm,104,410,410,410,410,410,410,410,410,256,False,2
wands,minilm,105,441,441,441,441,441,441,441,441,256,False,2
wands,minilm,106,311,311,311,311,311,311,311,311,256,False,2
wands,minilm,107,435,435,435,435,435,435,435,435,256,False,2
wands,minilm,108,566,566,566,566,566,566,566,566,256,False,2
wands,minilm,109,450,450,450,450,450,450,450,450,256,False,2
wands,minilm,110,456,456,456,456,456,456,456,456,256,False,2
wands,minilm,111,573,573,573,573,573,573,573,573,256,False,2
wands,minilm,112,551,551,551,551,551,551,551,551,256,False,2
wands,minilm,113,559,559,559,559,559,559,559,559,256,False,2
wands,minilm,114,938,938,938,938,938,938,938,938,256,False,2
wands,minilm,115,249,249,249,249,249,249,249,249,256,True,2
wands,minilm,116,622,622,622,622,622,622,622,622,256,False,2
wands,minilm,117,182,182,182,182,182,182,182,182,256,True,2
wands,minilm,118,628,628,628,628,628,628,628,628,256,False,2
wands,minilm,119,694,694,694,694,694,694,694,694,256,False,2
wands,minilm,120,335,335,335,335,335,335,335,335,256,False,2
wands,minilm,121,870,870,870,870,870,870,870,870,256,False,2
wands,minilm,122,586,586,586,586,586,586,586,586,256,False,2
wands,minilm,123,554,554,554,554,554,554,554,554,256,False,2
wands,minilm,124,637,637,637,637,637,637,637,637,256,False,2
wands,minilm,125,619,619,619,619,619,619,619,619,256,False,2
wands,minilm,126,619,619,619,619,619,619,619,619,256,False,2
wands,minilm,127,390,390,390,390,390,390,390,390,256,False,2
wands,minilm,128,650,650,650,650,650,650,650,650,256,False,2
wands,minilm,129,622,622,622,622,622,622,622,622,256,False,2
wands,minilm,130,686,686,686,686,686,686,686,686,256,False,2
wands,minilm,131,842,842,842,842,842,842,842,842,256,False,2
wands,minilm,132,846,846,846,846,846,846,846,846,256,False,2
wands,minilm,133,935,935,935,935,935,935,935,935,256,False,2
wands,minilm,134,804,804,804,804,804,804,804,804,256,False,2
wands,minilm,135,960,960,960,960,960,960,960,960,256,False,2
wands,minilm,136,839,839,839,839,839,839,839,839,256,False,2
wands,minilm,137,853,853,853,853,853,853,853,853,256,False,2
wands,minilm,138,823,823,823,823,823,823,823,823,256,False,2
wands,minilm,139,704,704,704,704,704,704,704,704,256,False,2
wands,minilm,140,876,876,876,876,876,876,876,876,256,False,2
wands,minilm,141,744,744,744,744,744,744,744,744,256,False,2
wands,minilm,142,947,947,947,947,947,947,947,947,256,False,2
wands,minilm,143,865,865,865,865,865,865,865,865,256,False,2
wands,minilm,144,863,863,863,863,863,863,863,863,256,False,2
wands,minilm,145,920,920,920,920,920,920,920,920,256,False,2
wands,minilm,146,839,839,839,839,839,839,839,839,256,False,2
wands,minilm,147,871,871,871,871,871,871,871,871,256,False,2
wands,minilm,148,875,875,875,875,875,875,875,875,256,False,2
wands,minilm,149,870,870,870,870,870,870,870,870,256,False,2
wands,minilm,150,895,895,895,895,895,895,895,895,256,False,2
wands,minilm,151,875,875,875,875,875,875,875,875,256,False,2
wands,minilm,152,842,842,842,842,842,842,842,842,256,False,2
wands,minilm,153,877,877,877,877,877,877,877,877,256,False,2
wands,minilm,154,797,797,797,797,797,797,797,797,256,False,2
wands,minilm,155,798,798,798,798,798,798,798,798,256,False,2
wands,minilm,156,872,872,872,872,872,872,872,872,256,False,2
wands,minilm,157,858,858,858,858,858,858,858,858,256,False,2
wands,minilm,158,867,867,867,867,867,867,867,867,256,False,2
wands,minilm,159,869,869,869,869,869,869,869,869,256,False,2
wands,minilm,160,834,834,834,834,834,834,834,834,256,False,2
wands,minilm,161,774,774,774,774,774,774,774,774,256,False,2
wands,minilm,162,769,769,769,769,769,769,769,769,256,False,2
wands,minilm,163,739,739,739,739,739,739,739,739,256,False,2
wands,minilm,164,749,749,749,749,749,749,749,749,256,False,2
wands,minilm,165,776,776,776,776,776,776,776,776,256,False,2
wands,minilm,166,663,663,663,663,663,663,663,663,256,False,2
wands,minilm,167,675,675,675,675,675,675,675,675,256,False,2
wands,minilm,168,811,811,811,811,811,811,811,811,256,False,2
wands,minilm,169,746,746,746,746,746,746,746,746,256,False,2
wands,minilm,170,724,724,724,724,724,724,724,724,256,False,2
wands,minilm,171,801,801,801,801,801,801,801,801,256,False,2
wands,minilm,172,801,801,801,801,801,801,801,801,256,False,2
wands,minilm,173,813,813,813,813,813,813,813,813,256,False,2
wands,minilm,174,807,807,807,807,807,807,807,807,256,False,2
wands,minilm,175,826,826,826,826,826,826,826,826,256,False,2
wands,minilm,176,879,879,879,879,879,879,879,879,256,False,2
wands,minilm,177,873,873,873,873,873,873,873,873,256,False,2
wands,minilm,178,808,808,808,808,808,808,808,808,256,False,2
wands,minilm,179,669,669,669,669,669,669,669,669,256,False,2
wands,minilm,180,854,854,854,854,854,854,854,854,256,False,2
wands,minilm,181,234,234,234,234,234,234,234,234,256,True,2
wands,minilm,182,223,223,223,223,223,223,223,223,256,True,2
wands,minilm,183,235,235,235,235,235,235,235,235,256,True,2
wands,minilm,184,302,302,302,302,302,302,302,302,256,False,2
wands,minilm,185,252,252,252,252,252,252,252,252,256,True,2
wands,minilm,186,759,759,759,759,759,759,759,759,256,False,2
wands,minilm,187,783,783,783,783,783,783,783,783,256,False,2
wands,minilm,188,241,241,241,241,241,241,241,241,256,True,2
wands,minilm,189,227,227,227,227,227,227,227,227,256,True,2
wands,minilm,190,515,515,515,515,515,515,515,515,256,False,2
wands,minilm,191,400,400,400,400,400,400,400,400,256,False,2
wands,minilm,192,967,967,967,967,967,967,967,967,256,False,2
wands,minilm,193,153,153,153,153,153,153,153,153,256,True,2
wands,minilm,194,769,769,769,769,769,769,769,769,256,False,2
wands,minilm,195,328,328,328,328,328,328,328,328,256,False,2
wands,minilm,196,303,303,303,303,303,303,303,303,256,False,2
wands,minilm,197,385,385,385,385,385,385,385,385,256,False,2
wands,minilm,198,336,336,336,336,336,336,336,336,256,False,2
wands,minilm,199,374,374,374,374,374,374,374,374,256,False,2
wands,minilm,200,427,427,427,427,427,427,427,427,256,False,2
wands,minilm,201,552,552,552,552,552,552,552,552,256,False,2
wands,minilm,202,408,408,408,408,408,408,408,408,256,False,2
wands,minilm,203,427,427,427,427,427,427,427,427,256,False,2
wands,minilm,204,758,758,758,758,758,758,758,758,256,False,2
wands,minilm,205,842,842,842,842,842,842,842,842,256,False,2
wands,minilm,206,512,512,512,512,512,512,512,512,256,False,2
wands,minilm,207,401,401,401,401,401,401,401,401,256,False,2
wands,minilm,208,463,463,463,463,463,463,463,463,256,False,2
wands,minilm,209,947,947,947,947,947,947,947,947,256,False,2
wands,minilm,210,750,750,750,750,750,750,750,750,256,False,2
wands,minilm,211,633,633,633,633,633,633,633,633,256,False,2
wands,minilm,212,337,337,337,337,337,337,337,337,256,False,2
wands,minilm,213,666,666,666,666,666,666,666,666,256,False,2
wands,minilm,214,377,377,377,377,377,377,377,377,256,False,2
wands,minilm,215,498,498,498,498,498,498,498,498,256,False,2
wands,minilm,216,520,520,520,520,520,520,520,520,256,False,2
wands,minilm,217,282,282,282,282,282,282,282,282,256,False,2
wands,minilm,218,320,320,320,320,320,320,320,320,256,False,2
wands,minilm,219,961,961,961,961,961,961,961,961,256,False,2
wands,minilm,220,757,757,757,757,757,757,757,757,256,False,2
wands,minilm,221,650,650,650,650,650,650,650,650,256,False,2
wands,minilm,222,704,704,704,704,704,704,704,704,256,False,2
wands,minilm,223,700,700,700,700,700,700,700,700,256,False,2
wands,minilm,224,248,248,248,248,248,248,248,248,256,True,2
wands,minilm,225,288,288,288,288,288,288,288,288,256,False,2
wands,minilm,226,154,154,154,154,154,154,154,154,256,True,2
wands,minilm,227,271,271,271,271,271,271,271,271,256,False,2
wands,minilm,228,220,220,220,220,220,220,220,220,256,True,2
wands,minilm,229,593,593,593,593,593,593,593,593,256,False,2
wands,minilm,230,557,557,557,557,557,557,557,557,256,False,2
wands,minilm,231,713,713,713,713,713,713,713,713,256,False,2
wands,minilm,232,893,893,893,893,893,893,893,893,256,False,2
wands,minilm,233,920,920,920,920,920,920,920,920,256,False,2
wands,minilm,234,650,650,650,650,650,650,650,650,256,False,2
wands,minilm,235,759,759,759,759,759,759,759,759,256,False,2
wands,minilm,236,544,544,544,544,544,544,544,544,256,False,2
wands,minilm,237,928,928,928,928,928,928,928,928,256,False,2
wands,minilm,238,396,396,396,396,396,396,396,396,256,False,2
wands,minilm,239,584,584,584,584,584,584,584,584,256,False,2
wands,minilm,240,694,694,694,694,694,694,694,694,256,False,2
wands,minilm,241,937,937,937,937,937,937,937,937,256,False,2
wands,minilm,242,592,592,592,592,592,592,592,592,256,False,2
wands,minilm,243,584,584,584,584,584,584,584,584,256,False,2
wands,minilm,244,534,534,534,534,534,534,534,534,256,False,2
wands,minilm,245,546,546,546,546,546,546,546,546,256,False,2
wands,minilm,246,487,487,487,487,487,487,487,487,256,False,2
wands,minilm,247,586,586,586,586,586,586,586,586,256,False,2
wands,minilm,248,501,501,501,501,501,501,501,501,256,False,2
wands,minilm,249,600,600,600,600,600,600,600,600,256,False,2
wands,minilm,250,410,410,410,410,410,410,410,410,256,False,2
wands,minilm,251,629,629,629,629,629,629,629,629,256,False,2
wands,minilm,252,296,296,296,296,296,296,296,296,256,False,2
wands,minilm,253,653,653,653,653,653,653,653,653,256,False,2
wands,minilm,254,673,673,673,673,673,673,673,673,256,False,2
wands,minilm,255,1027,1027,1027,1027,1027,1027,1027,1027,256,False,2
wands,minilm,256,986,986,986,986,986,986,986,986,256,False,2
wands,minilm,257,991,991,991,991,991,991,991,991,256,False,2
wands,minilm,258,886,886,886,886,886,886,886,886,256,False,2
wands,minilm,259,810,810,810,810,810,810,810,810,256,False,2
wands,minilm,260,484,484,484,484,484,484,484,484,256,False,2
wands,minilm,261,671,671,671,671,671,671,671,671,256,False,2
wands,minilm,262,437,437,437,437,437,437,437,437,256,False,2
wands,minilm,263,511,511,511,511,511,511,511,511,256,False,2
wands,minilm,264,487,487,487,487,487,487,487,487,256,False,2
wands,minilm,265,477,477,477,477,477,477,477,477,256,False,2
wands,minilm,266,487,487,487,487,487,487,487,487,256,False,2
wands,minilm,267,490,490,490,490,490,490,490,490,256,False,2
wands,minilm,268,484,484,484,484,484,484,484,484,256,False,2
wands,minilm,269,426,426,426,426,426,426,426,426,256,False,2
wands,minilm,270,435,435,435,435,435,435,435,435,256,False,2
wands,minilm,271,425,425,425,425,425,425,425,425,256,False,2
wands,minilm,272,425,425,425,425,425,425,425,425,256,False,2
wands,minilm,273,425,425,425,425,425,425,425,425,256,False,2
wands,minilm,274,425,425,425,425,425,425,425,425,256,False,2
wands,minilm,275,402,402,402,402,402,402,402,402,256,False,2
wands,minilm,276,421,421,421,421,421,421,421,421,256,False,2
wands,minilm,277,1126,1126,1126,1126,1126,1126,1126,1126,256,False,2
wands,minilm,278,468,468,468,468,468,468,468,468,256,False,2
wands,minilm,279,502,502,502,502,502,502,502,502,256,False,2
wands,minilm,280,179,179,179,179,179,179,179,179,256,True,2
wands,minilm,281,203,203,203,203,203,203,203,203,256,True,2
wands,minilm,282,476,476,476,476,476,476,476,476,256,False,2
wands,minilm,283,398,398,398,398,398,398,398,398,256,False,2
wands,minilm,284,968,968,968,968,968,968,968,968,256,False,2
wands,minilm,285,105,105,105,105,105,105,105,105,256,True,2
wands,minilm,286,308,308,308,308,308,308,308,308,256,False,2
wands,minilm,287,712,712,712,712,712,712,712,712,256,False,2
wands,minilm,288,1063,1063,1063,1063,1063,1063,1063,1063,256,False,2
wands,minilm,289,779,779,779,779,779,779,779,779,256,False,2
wands,minilm,290,553,553,553,553,553,553,553,553,256,False,2
wands,minilm,291,651,651,651,651,651,651,651,651,256,False,2
wands,minilm,292,838,838,838,838,838,838,838,838,256,False,2
wands,minilm,293,1164,1164,1164,1164,1164,1164,1164,1164,256,False,2
wands,minilm,294,569,569,569,569,569,569,569,569,256,False,2
wands,minilm,295,556,556,556,556,556,556,556,556,256,False,2
wands,minilm,296,586,586,586,586,586,586,586,586,256,False,2
wands,minilm,297,549,549,549,549,549,549,549,549,256,False,2
wands,minilm,298,559,559,559,559,559,559,559,559,256,False,2
wands,minilm,299,583,583,583,583,583,583,583,583,256,False,2
wands,minilm,300,702,702,702,702,702,702,702,702,256,False,2
wands,minilm,301,638,638,638,638,638,638,638,638,256,False,2
wands,minilm,302,489,489,489,489,489,489,489,489,256,False,2
wands,minilm,303,734,734,734,734,734,734,734,734,256,False,2
wands,minilm,304,737,737,737,737,737,737,737,737,256,False,2
wands,minilm,305,700,700,700,700,700,700,700,700,256,False,2
wands,minilm,306,666,666,666,666,666,666,666,666,256,False,2
wands,minilm,307,568,568,568,568,568,568,568,568,256,False,2
wands,minilm,308,1040,1040,1040,1040,1040,1040,1040,1040,256,False,2
wands,minilm,309,815,815,815,815,815,815,815,815,256,False,2
wands,minilm,310,683,683,683,683,683,683,683,683,256,False,2
wands,minilm,311,875,875,875,875,875,875,875,875,256,False,2
wands,minilm,312,264,264,264,264,264,264,264,264,256,False,2
wands,minilm,313,265,265,265,265,265,265,265,265,256,False,2
wands,minilm,314,250,250,250,250,250,250,250,250,256,True,2
wands,minilm,315,265,265,265,265,265,265,265,265,256,False,2
wands,minilm,316,303,303,303,303,303,303,303,303,256,False,2
wands,minilm,317,278,278,278,278,278,278,278,278,256,False,2
wands,minilm,318,736,736,736,736,736,736,736,736,256,False,2
wands,minilm,319,366,366,366,366,366,366,366,366,256,False,2
wands,minilm,320,439,439,439,439,439,439,439,439,256,False,2
wands,minilm,321,1091,1091,1091,1091,1091,1091,1091,1091,256,False,2
wands,minilm,322,296,296,296,296,296,296,296,296,256,False,2
wands,minilm,323,724,724,724,724,724,724,724,724,256,False,2
wands,minilm,324,648,648,648,648,648,648,648,648,256,False,2
wands,minilm,325,792,792,792,792,792,792,792,792,256,False,2
wands,minilm,326,737,737,737,737,737,737,737,737,256,False,2
wands,minilm,327,138,138,138,138,138,138,138,138,256,True,2
wands,minilm,328,283,283,283,283,283,283,283,283,256,False,2
wands,minilm,329,781,781,781,781,781,781,781,781,256,False,2
wands,minilm,330,725,725,725,725,725,725,725,725,256,False,2
wands,minilm,331,683,683,683,683,683,683,683,683,256,False,2
wands,minilm,332,548,548,548,548,548,548,548,548,256,False,2
wands,minilm,333,321,321,321,321,321,321,321,321,256,False,2
wands,minilm,334,400,400,400,400,400,400,400,400,256,False,2
wands,minilm,335,523,523,523,523,523,523,523,523,256,False,2
wands,minilm,336,228,228,228,228,228,228,228,228,256,True,2
wands,minilm,337,667,667,667,667,667,667,667,667,256,False,2
wands,minilm,338,679,679,679,679,679,679,679,679,256,False,2
wands,minilm,339,753,753,753,753,753,753,753,753,256,False,2
wands,minilm,340,563,563,563,563,563,563,563,563,256,False,2
wands,minilm,341,746,746,746,746,746,746,746,746,256,False,2
wands,minilm,342,513,513,513,513,513,513,513,513,256,False,2
wands,minilm,343,282,282,282,282,282,282,282,282,256,False,2
wands,minilm,344,527,527,527,527,527,527,527,527,256,False,2
wands,minilm,345,279,279,279,279,279,279,279,279,256,False,2
wands,minilm,346,183,183,183,183,183,183,183,183,256,True,2
wands,minilm,347,436,436,436,436,436,436,436,436,256,False,2
wands,minilm,348,665,665,665,665,665,665,665,665,256,False,2
wands,minilm,349,366,366,366,366,366,366,366,366,256,False,2
wands,minilm,350,622,622,622,622,622,622,622,622,256,False,2
wands,minilm,351,1065,1065,1065,1065,1065,1065,1065,1065,256,False,2
wands,minilm,352,1037,1037,1037,1037,1037,1037,1037,1037,256,False,2
wands,minilm,353,1242,1242,1242,1242,1242,1242,1242,1242,256,False,2
wands,minilm,354,992,992,992,992,992,992,992,992,256,False,2
wands,minilm,355,922,922,922,922,922,922,922,922,256,False,2
wands,minilm,356,955,955,955,955,955,955,955,955,256,False,2
wands,minilm,357,807,807,807,807,807,807,807,807,256,False,2
wands,minilm,358,586,586,586,586,586,586,586,586,256,False,2
wands,minilm,359,1056,1056,1056,1056,1056,1056,1056,1056,256,False,2
wands,minilm,360,1045,1045,1045,1045,1045,1045,1045,1045,256,False,2
wands,minilm,361,950,950,950,950,950,950,950,950,256,False,2
wands,minilm,362,1061,1061,1061,1061,1061,1061,1061,1061,256,False,2
wands,minilm,363,966,966,966,966,966,966,966,966,256,False,2
wands,minilm,364,993,993,993,993,993,993,993,993,256,False,2
wands,minilm,365,986,986,986,986,986,986,986,986,256,False,2
wands,minilm,366,999,999,999,999,999,999,999,999,256,False,2
wands,minilm,367,1030,1030,1030,1030,1030,1030,1030,1030,256,False,2
wands,minilm,368,990,990,990,990,990,990,990,990,256,False,2
wands,minilm,369,565,565,565,565,565,565,565,565,256,False,2
wands,minilm,370,709,709,709,709,709,709,709,709,256,False,2
wands,minilm,371,956,956,956,956,956,956,956,956,256,False,2
wands,minilm,372,1238,1238,1238,1238,1238,1238,1238,1238,256,False,2
wands,minilm,373,961,961,961,961,961,961,961,961,256,False,2
wands,minilm,374,681,681,681,681,681,681,681,681,256,False,2
wands,minilm,375,1144,1144,1144,1144,1144,1144,1144,1144,256,False,2
wands,minilm,376,807,807,807,807,807,807,807,807,256,False,2
wands,minilm,377,895,895,895,895,895,895,895,895,256,False,2
wands,minilm,378,985,985,985,985,985,985,985,985,256,False,2
wands,minilm,379,1008,1008,1008,1008,1008,1008,1008,1008,256,False,2
wands,minilm,380,1113,1113,1113,1113,1113,1113,1113,1113,256,False,2
wands,minilm,381,1249,1249,1249,1249,1249,1249,1249,1249,256,False,2
wands,minilm,382,1017,1017,1017,1017,1017,1017,1017,1017,256,False,2
wands,minilm,383,993,993,993,993,993,993,993,993,256,False,2
wands,minilm,384,324,324,324,324,324,324,324,324,256,False,2
wands,minilm,385,746,746,746,746,746,746,746,746,256,False,2
wands,minilm,386,622,622,622,622,622,622,622,622,256,False,2
wands,minilm,387,762,762,762,762,762,762,762,762,256,False,2
wands,minilm,388,497,497,497,497,497,497,497,497,256,False,2
wands,minilm,389,688,688,688,688,688,688,688,688,256,False,2
wands,minilm,390,856,856,856,856,856,856,856,856,256,False,2
wands,minilm,391,835,835,835,835,835,835,835,835,256,False,2
wands,minilm,392,857,857,857,857,857,857,857,857,256,False,2
wands,minilm,393,568,568,568,568,568,568,568,568,256,False,2
wands,minilm,394,520,520,520,520,520,520,520,520,256,False,2
wands,minilm,395,799,799,799,799,799,799,799,799,256,False,2
wands,minilm,396,536,536,536,536,536,536,536,536,256,False,2
wands,minilm,397,916,916,916,916,916,916,916,916,256,False,2
wands,minilm,398,515,515,515,515,515,515,515,515,256,False,2
wands,minilm,399,644,644,644,644,644,644,644,644,256,False,2
wands,minilm,400,701,701,701,701,701,701,701,701,256,False,2
wands,minilm,401,846,846,846,846,846,846,846,846,256,False,2
wands,minilm,402,835,835,835,835,835,835,835,835,256,False,2
wands,minilm,403,713,713,713,713,713,713,713,713,256,False,2
wands,minilm,404,250,250,250,250,250,250,250,250,256,True,2
wands,minilm,405,232,232,232,232,232,232,232,232,256,True,2
wands,minilm,406,262,262,262,262,262,262,262,262,256,False,2
wands,minilm,407,322,322,322,322,322,322,322,322,256,False,2
wands,minilm,408,619,619,619,619,619,619,619,619,256,False,2
wands,minilm,409,289,289,289,289,289,289,289,289,256,False,2
wands,minilm,410,380,380,380,380,380,380,380,380,256,False,2
wands,minilm,411,634,634,634,634,634,634,634,634,256,False,2
wands,minilm,412,377,377,377,377,377,377,377,377,256,False,2
wands,minilm,413,533,533,533,533,533,533,533,533,256,False,2
wands,minilm,414,476,476,476,476,476,476,476,476,256,False,2
wands,minilm,415,809,809,809,809,809,809,809,809,256,False,2
wands,minilm,416,291,291,291,291,291,291,291,291,256,False,2
wands,minilm,417,782,782,782,782,782,782,782,782,256,False,2
wands,minilm,418,623,623,623,623,623,623,623,623,256,False,2
wands,minilm,419,228,228,228,228,228,228,228,228,256,True,2
wands,minilm,420,212,212,212,212,212,212,212,212,256,True,2
wands,minilm,421,383,383,383,383,383,383,383,383,256,False,2
wands,minilm,422,441,441,441,441,441,441,441,441,256,False,2
wands,minilm,423,283,283,283,283,283,283,283,283,256,False,2
wands,minilm,424,507,507,507,507,507,507,507,507,256,False,2
wands,minilm,425,502,502,502,502,502,502,502,502,256,False,2
wands,minilm,426,306,306,306,306,306,306,306,306,256,False,2
wands,minilm,427,248,248,248,248,248,248,248,248,256,True,2
wands,minilm,428,227,227,227,227,227,227,227,227,256,True,2
wands,minilm,429,225,225,225,225,225,225,225,225,256,True,2
wands,minilm,430,217,217,217,217,217,217,217,217,256,True,2
wands,minilm,431,441,441,441,441,441,441,441,441,256,False,2
wands,minilm,432,480,480,480,480,480,480,480,480,256,False,2
wands,minilm,433,368,368,368,368,368,368,368,368,256,False,2
wands,minilm,434,303,303,303,303,303,303,303,303,256,False,2
wands,minilm,435,449,449,449,449,449,449,449,449,256,False,2
wands,minilm,436,279,279,279,279,279,279,279,279,256,False,2
wands,minilm,437,430,430,430,430,430,430,430,430,256,False,2
