dataset,model,schedule,model_name,revision,profile,pooling,tokenizer_cap,query_prefix,product_prefix,implementation,precision,catalog_size,query_count,rank_source,product_embedding,query_embedding,sampled_judged_pairs,max_sample_score_error,embedding_candidates,candidates_under_tolerance
wands,bge_base,C2s2,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s2.parquet,phase2/results/embeddings/wands_bge_base_native_C2s2_d018d3290df3f3e4eb05.npy,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,400,2.980232238769531e-07,1,1
wands,bge_base,C2s3,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s3.parquet,phase2/results/embeddings/wands_bge_base_native_C2s3_5204e915443fc9e769b4.npy,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,400,2.384185791015625e-07,1,1
wands,bge_base,C2s4,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s4.parquet,phase2/results/embeddings/wands_bge_base_native_C2s4_b7437acffd0f07fb0059.npy,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,400,2.980232238769531e-07,1,1
wands,bge_base,C2s5,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s5.parquet,phase2/results/embeddings/wands_bge_base_native_C2s5_cf8b89c3bcbb7482a813.npy,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,400,2.384185791015625e-07,1,1
wands,gte_modernbert,C0,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C0.parquet,phase2/results/embeddings/wands_gte_modernbert_native_C0_3e1a424d692784631506.npy,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,400,4.172325134277344e-07,1,1
wands,gte_modernbert,C1,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C1.parquet,phase2/results/embeddings/wands_gte_modernbert_native_C1_9e4bcee76f7f0652abda.npy,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,400,3.5762786865234375e-07,1,1
wands,gte_modernbert,C2s1,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s1.parquet,phase2/results/embeddings/wands_gte_modernbert_native_C2s1_46dd347d20788f3fc7be.npy,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,400,3.5762786865234375e-07,1,1
wands,gte_modernbert,C2s2,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s2.parquet,phase2/results/embeddings/wands_gte_modernbert_native_C2s2_833272a882f405e09b1e.npy,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,400,4.172325134277344e-07,1,1
wands,gte_modernbert,C2s3,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s3.parquet,phase2/results/embeddings/wands_gte_modernbert_native_C2s3_e00af8dc161ee7e06753.npy,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,400,2.980232238769531e-07,1,1
wands,gte_modernbert,C2s4,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s4.parquet,phase2/results/embeddings/wands_gte_modernbert_native_C2s4_edbb2503024a198b1aab.npy,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,400,4.172325134277344e-07,1,1
wands,gte_modernbert,C2s5,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s5.parquet,phase2/results/embeddings/wands_gte_modernbert_native_C2s5_0fd56e8526a38437112e.npy,phase2/results/embeddings/wands_gte_modernbert_native_queries_46f0d48b2bef64d2d1ab.npy,400,3.5762786865234375e-07,1,1
esci,minilm,C0,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_minilm_native_C0.parquet,phase2/results/embeddings/esci_minilm_native_C0_688a66533b0c9836f4e7.npy,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,400,2.980232238769531e-07,2,1
esci,minilm,C1,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_minilm_native_C1.parquet,phase2/results/embeddings/esci_minilm_native_C1_b84f48fd7a562d54ed79.npy,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,400,2.384185791015625e-07,1,1
esci,minilm,C2s1,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s1.parquet,phase2/results/embeddings/esci_minilm_native_C2s1_49a440bc656807a498f0.npy,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,400,2.384185791015625e-07,1,1
esci,minilm,C2s2,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s2.parquet,phase2/results/embeddings/esci_minilm_native_C2s2_2b7dd973ed7d17e57e7c.npy,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,400,2.384185791015625e-07,1,1
esci,minilm,C2s3,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s3.parquet,phase2/results/embeddings/esci_minilm_native_C2s3_79377c280927056b638a.npy,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,400,2.980232238769531e-07,1,1
esci,minilm,C2s4,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s4.parquet,phase2/results/embeddings/esci_minilm_native_C2s4_21dea871647cc987cdd9.npy,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,400,2.980232238769531e-07,1,1
esci,minilm,C2s5,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s5.parquet,phase2/results/embeddings/esci_minilm_native_C2s5_97adcabcbb727421c4a9.npy,phase2/results/embeddings/esci_minilm_native_queries_8f16f6931da8d3dab463.npy,400,2.980232238769531e-07,1,1
esci,bge_base,C0,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_bge_base_native_C0.parquet,phase2/results/embeddings/esci_bge_base_native_C0_1de2078d8697e6366c49.npy,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,400,2.980232238769531e-07,2,1
esci,bge_base,C1,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_bge_base_native_C1.parquet,phase2/results/embeddings/esci_bge_base_native_C1_ebc1e066e9c6eb39f138.npy,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,400,2.980232238769531e-07,1,1
esci,bge_base,C2s1,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s1.parquet,phase2/results/embeddings/esci_bge_base_native_C2s1_ae2e6044ab1267c5f79d.npy,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,400,2.980232238769531e-07,1,1
esci,bge_base,C2s2,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s2.parquet,phase2/results/embeddings/esci_bge_base_native_C2s2_a5032421a479d541bedc.npy,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,400,2.980232238769531e-07,1,1
esci,bge_base,C2s3,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s3.parquet,phase2/results/embeddings/esci_bge_base_native_C2s3_410baf36a82d574a31b2.npy,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,400,2.980232238769531e-07,1,1
esci,bge_base,C2s4,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s4.parquet,phase2/results/embeddings/esci_bge_base_native_C2s4_992462b4ad09c7d8e737.npy,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,400,2.384185791015625e-07,1,1
esci,bge_base,C2s5,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s5.parquet,phase2/results/embeddings/esci_bge_base_native_C2s5_afcebc56a0d83d2afb1e.npy,phase2/results/embeddings/esci_bge_base_native_queries_ea6f4a00c1fad5ae5395.npy,400,2.384185791015625e-07,1,1
esci,gte_modernbert,C0,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C0.parquet,phase2/results/embeddings/esci_gte_modernbert_native_C0_a328eaeb09f56ff3d152.npy,phase2/results/embeddings/esci_gte_modernbert_native_queries_7bfe6a229e92a65fadd0.npy,400,4.172325134277344e-07,3,1
esci,gte_modernbert,C1,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C1.parquet,phase2/results/embeddings/esci_gte_modernbert_native_C1_65d036314f84fc417e2f.npy,phase2/results/embeddings/esci_gte_modernbert_native_queries_7bfe6a229e92a65fadd0.npy,400,4.172325134277344e-07,1,1
esci,gte_modernbert,C2s1,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s1.parquet,phase2/results/embeddings/esci_gte_modernbert_native_C2s1_9f057aed571bde2126d7.npy,phase2/results/embeddings/esci_gte_modernbert_native_queries_7bfe6a229e92a65fadd0.npy,400,4.172325134277344e-07,1,1
esci,gte_modernbert,C2s2,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s2.parquet,phase2/results/embeddings/esci_gte_modernbert_native_C2s2_75937ee0b30f2f07b59d.npy,phase2/results/embeddings/esci_gte_modernbert_native_queries_7bfe6a229e92a65fadd0.npy,400,4.172325134277344e-07,1,1
esci,gte_modernbert,C2s3,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s3.parquet,phase2/results/embeddings/esci_gte_modernbert_native_C2s3_88a5fdf2bfc67d4a681d.npy,phase2/results/embeddings/esci_gte_modernbert_native_queries_7bfe6a229e92a65fadd0.npy,400,4.172325134277344e-07,1,1
esci,gte_modernbert,C2s4,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s4.parquet,phase2/results/embeddings/esci_gte_modernbert_native_C2s4_b01643c1c9ea1b7aad5d.npy,phase2/results/embeddings/esci_gte_modernbert_native_queries_7bfe6a229e92a65fadd0.npy,400,4.172325134277344e-07,1,1
esci,gte_modernbert,C2s5,Alibaba-NLP/gte-modernbert-base,e7f32e3c00f91d699e8c43b53106206bcc72bb22,native,CLS,8192,,,phase2-encoder-v3-length-bucket-sdpa,fp16_model_fp32_pooling,10076,500,phase2/results/phase2_pair_ranks/esci_gte_modernbert_native_C2s5.parquet,phase2/results/embeddings/esci_gte_modernbert_native_C2s5_adb16129a68fdfe86d4d.npy,phase2/results/embeddings/esci_gte_modernbert_native_queries_7bfe6a229e92a65fadd0.npy,400,4.172325134277344e-07,1,1
