query_id,Always,VI,Never,mean_schedule_inclusion,C0_inclusion,dataset,model,encoder_profile,population,target_support,K,intervention,competitors,catalog_size,eligible_queries,highest_relevance_pairs,bootstrap_draws,bootstrap_seed,relevant_count
16,0.0,0.25,0.75,0.21428571428571427,0.25,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,4
17,0.19047619047619047,0.3333333333333333,0.47619047619047616,0.3401360544217687,0.3333333333333333,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,21
18,0.08823529411764706,0.47058823529411764,0.4411764705882353,0.31512605042016806,0.29411764705882354,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,34
20,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,12
21,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
22,0.045454545454545456,0.22727272727272727,0.7272727272727273,0.09090909090909091,0.045454545454545456,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,22
24,0.011904761904761904,0.11904761904761904,0.8690476190476191,0.06802721088435375,0.07142857142857142,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,84
25,0.022026431718061675,0.15859030837004406,0.8193832599118943,0.0881057268722467,0.0881057268722467,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,227
26,0.001141552511415525,0.05136986301369863,0.9474885844748858,0.019243313763861708,0.017123287671232876,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,876
27,0.01,0.0,0.99,0.01,0.01,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,100
28,0.05714285714285714,0.11428571428571428,0.8285714285714286,0.11428571428571428,0.11428571428571428,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,175
29,0.014492753623188406,0.09420289855072464,0.8913043478260869,0.052795031055900624,0.07246376811594203,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,138
30,0.022727272727272728,0.056818181818181816,0.9204545454545454,0.03896103896103896,0.022727272727272728,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,88
31,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
32,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
33,0.0,0.096,0.904,0.02171428571428571,0.016,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,125
34,0.00267379679144385,0.05080213903743316,0.946524064171123,0.02291825821237586,0.013368983957219251,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,374
35,0.0196078431372549,0.0784313725490196,0.9019607843137255,0.050420168067226885,0.0196078431372549,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,51
36,0.08108108108108109,0.2702702702702703,0.6486486486486487,0.21235521235521237,0.16216216216216217,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,37
37,0.00909090909090909,0.00909090909090909,0.9818181818181818,0.012987012987012988,0.01818181818181818,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,110
38,1.0,0.0,0.0,1.0,1.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
39,0.0,0.06451612903225806,0.9354838709677419,0.03686635944700461,0.06451612903225806,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,31
40,0.175,0.3,0.525,0.28928571428571426,0.275,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,40
41,0.47368421052631576,0.21052631578947367,0.3157894736842105,0.631578947368421,0.6842105263157895,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,19
42,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5714285714285715,0.6666666666666666,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
43,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.43506493506493504,0.4090909090909091,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,22
44,0.09090909090909091,0.21212121212121213,0.696969696969697,0.16017316017316016,0.21212121212121213,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,33
45,0.0,0.05,0.95,0.03571428571428571,0.05,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,20
46,0.4,0.2,0.4,0.42857142857142855,0.6,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,5
48,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
50,0.0,0.25,0.75,0.08673469387755102,0.07142857142857142,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,28
51,1.0,0.0,0.0,1.0,1.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
54,0.2,0.4,0.4,0.2857142857142857,0.6,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,5
55,0.0,1.0,0.0,0.8571428571428571,1.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
57,1.0,0.0,0.0,1.0,1.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
58,0.0,0.06349206349206349,0.9365079365079365,0.018140589569160998,0.031746031746031744,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,63
59,0.23255813953488372,0.4418604651162791,0.32558139534883723,0.46511627906976744,0.46511627906976744,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,43
60,0.0,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.6666666666666666,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
61,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
62,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46031746031746024,0.5555555555555556,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,9
63,0.1527777777777778,0.1527777777777778,0.6944444444444444,0.21825396825396826,0.2222222222222222,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,72
64,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
65,0.10526315789473684,0.07894736842105263,0.8157894736842105,0.13533834586466165,0.13157894736842105,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,38
66,1.0,0.0,0.0,1.0,1.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
68,0.0449438202247191,0.19101123595505617,0.7640449438202247,0.13162118780096307,0.14606741573033707,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,89
69,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.0879120879120879,0.07692307692307693,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,13
70,1.0,0.0,0.0,1.0,1.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
71,0.06382978723404255,0.2978723404255319,0.6382978723404256,0.17629179331306988,0.1702127659574468,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,47
72,0.09411764705882353,0.25882352941176473,0.6470588235294118,0.1966386554621849,0.2,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,85
74,0.6666666666666666,0.3333333333333333,0.0,0.9523809523809524,1.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
75,0.25,0.0,0.75,0.25,0.25,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,4
76,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,2
77,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
78,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
80,0.07692307692307693,0.3333333333333333,0.5897435897435898,0.22710622710622713,0.23076923076923078,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,39
81,0.02666666666666667,0.10666666666666667,0.8666666666666667,0.05714285714285714,0.06666666666666667,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,75
82,0.018867924528301886,0.11320754716981132,0.8679245283018868,0.06469002695417789,0.07547169811320754,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,53
84,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
86,0.2,0.3333333333333333,0.4666666666666667,0.3142857142857143,0.3333333333333333,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,15
88,0.0,1.0,0.0,0.14285714285714285,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
89,0.029411764705882353,0.2647058823529412,0.7058823529411765,0.13025210084033614,0.08823529411764706,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,68
91,0.0,0.25,0.75,0.125,0.125,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,8
93,0.0,0.017241379310344827,0.9827586206896551,0.0049261083743842365,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,58
94,0.0,0.25,0.75,0.07142857142857142,0.25,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,4
95,0.0,0.02040816326530612,0.9795918367346939,0.0029154518950437317,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,49
96,0.09333333333333334,0.12,0.7866666666666666,0.15619047619047619,0.14666666666666667,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,75
97,0.0,1.0,0.0,0.2857142857142857,1.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
100,0.014218009478672985,0.10900473933649289,0.8767772511848341,0.05484089370345294,0.05687203791469194,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,211
101,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,4
102,0.10526315789473684,0.45614035087719296,0.43859649122807015,0.3358395989974937,0.3508771929824561,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,57
103,0.043478260869565216,0.06956521739130435,0.8869565217391304,0.07142857142857142,0.07391304347826087,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,230
104,0.25,0.08333333333333333,0.6666666666666666,0.32142857142857145,0.3333333333333333,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,12
105,0.22580645161290322,0.1774193548387097,0.5967741935483871,0.32027649769585254,0.3225806451612903,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,62
106,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.4801587301587301,0.5,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,36
107,0.0,0.11627906976744186,0.8837209302325582,0.03986710963455149,0.06976744186046512,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,43
108,0.19753086419753085,0.09876543209876543,0.7037037037037037,0.24691358024691357,0.24691358024691357,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,81
109,0.10256410256410256,0.7948717948717948,0.10256410256410256,0.5091575091575091,0.5128205128205128,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,39
111,0.15942028985507245,0.2608695652173913,0.5797101449275363,0.2567287784679089,0.2463768115942029,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,69
112,0.018796992481203006,0.13157894736842105,0.849624060150376,0.07518796992481203,0.07518796992481203,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,266
113,0.08,0.4,0.52,0.2571428571428571,0.26666666666666666,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,75
114,0.0,0.3333333333333333,0.6666666666666666,0.047619047619047616,0.3333333333333333,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
115,0.054455445544554455,0.09900990099009901,0.8465346534653465,0.09900990099009901,0.09900990099009901,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,202
117,0.0234375,0.078125,0.8984375,0.047991071428571425,0.03125,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,128
118,0.09574468085106383,0.19148936170212766,0.7127659574468085,0.17173252279635257,0.14893617021276595,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,94
119,0.0379746835443038,0.04430379746835443,0.9177215189873418,0.05334538878842676,0.05063291139240506,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,158
120,0.42424242424242425,0.030303030303030304,0.5454545454545454,0.45021645021645024,0.45454545454545453,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,33
121,0.005509641873278237,0.0674931129476584,0.9269972451790633,0.025383707201889018,0.024793388429752067,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,726
122,0.016,0.050666666666666665,0.9333333333333333,0.03542857142857143,0.037333333333333336,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,375
123,0.0,0.0855614973262032,0.9144385026737968,0.02291825821237586,0.0106951871657754,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,187
124,0.0,0.040123456790123455,0.9598765432098766,0.012786596119929453,0.009259259259259259,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,324
125,1.0,0.0,0.0,1.0,1.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,1
126,0.008298755186721992,0.15352697095435686,0.8381742738589212,0.05927682276229994,0.06224066390041494,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,241
127,0.006289308176100629,0.22012578616352202,0.7735849056603774,0.09793351302785265,0.10062893081761007,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,159
128,0.017699115044247787,0.19469026548672566,0.7876106194690266,0.09355246523388117,0.09734513274336283,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,113
129,0.07142857142857142,0.0,0.9285714285714286,0.07142857142857142,0.07142857142857142,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,28
130,0.0106951871657754,0.026737967914438502,0.9625668449197861,0.014514896867838046,0.0106951871657754,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,187
131,0.017341040462427744,0.19653179190751446,0.7861271676300579,0.08918249380677125,0.09248554913294797,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,173
132,0.0,0.19047619047619047,0.8095238095238095,0.11224489795918367,0.14285714285714285,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,42
133,0.029411764705882353,0.20588235294117646,0.7647058823529411,0.10504201680672269,0.10588235294117647,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,170
134,0.0,0.3333333333333333,0.6666666666666666,0.09523809523809523,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
135,0.1,0.3,0.6,0.2857142857142857,0.2,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,10
137,0.025,0.0875,0.8875,0.05892857142857143,0.075,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,80
138,0.06338028169014084,0.22535211267605634,0.7112676056338029,0.14084507042253522,0.14084507042253522,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,142
140,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
141,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
142,0.0,0.2,0.8,0.05714285714285714,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,5
143,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,3
144,0.034482758620689655,0.3620689655172414,0.603448275862069,0.1625615763546798,0.16379310344827586,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,116
145,0.09375,0.125,0.78125,0.13839285714285715,0.125,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,32
146,0.0,0.25,0.75,0.03571428571428571,0.25,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,4
147,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,12
148,0.02577319587628866,0.08762886597938144,0.8865979381443299,0.05964653902798232,0.04639175257731959,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,194
149,0.03870967741935484,0.13548387096774195,0.8258064516129032,0.09032258064516129,0.11612903225806452,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,155
150,0.5714285714285714,0.3333333333333333,0.09523809523809523,0.8163265306122449,0.7142857142857143,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,21
151,0.0015873015873015873,0.04126984126984127,0.9571428571428572,0.017006802721088433,0.015873015873015872,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,630
152,0.021739130434782608,0.06521739130434782,0.9130434782608695,0.05279503105590062,0.043478260869565216,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,46
153,0.05517241379310345,0.11724137931034483,0.8275862068965517,0.10147783251231526,0.10344827586206896,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,145
155,0.125,0.25,0.625,0.19642857142857142,0.125,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,8
156,0.2631578947368421,0.10526315789473684,0.631578947368421,0.3007518796992481,0.2631578947368421,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,19
157,0.058823529411764705,0.27450980392156865,0.6666666666666666,0.15406162464985992,0.11764705882352941,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,51
158,0.13636363636363635,0.45454545454545453,0.4090909090909091,0.39285714285714285,0.38636363636363635,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,44
159,0.11827956989247312,0.16129032258064516,0.7204301075268817,0.19508448540706605,0.20430107526881722,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,93
160,0.035398230088495575,0.10176991150442478,0.8628318584070797,0.06763590391908976,0.07079646017699115,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,226
161,0.0,0.2631578947368421,0.7368421052631579,0.09022556390977443,0.05263157894736842,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,38
162,0.0,0.08695652173913043,0.9130434782608695,0.018633540372670808,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,23
163,0.3191489361702128,0.14893617021276595,0.5319148936170213,0.3951367781155016,0.40425531914893614,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,47
164,0.0,0.0546875,0.9453125,0.029017857142857144,0.0546875,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,128
165,0.14492753623188406,0.15942028985507245,0.6956521739130435,0.20910973084886128,0.2318840579710145,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,69
166,0.4230769230769231,0.34615384615384615,0.23076923076923078,0.5824175824175823,0.6153846153846154,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,26
167,0.12643678160919541,0.1839080459770115,0.6896551724137931,0.22003284072249588,0.21839080459770116,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,87
169,0.07407407407407407,0.1111111111111111,0.8148148148148148,0.13227513227513227,0.1111111111111111,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,27
170,0.10101010101010101,0.12121212121212122,0.7777777777777778,0.1774891774891775,0.1717171717171717,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,99
172,0.23809523809523808,0.42857142857142855,0.3333333333333333,0.47619047619047616,0.47619047619047616,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,42
173,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,4
175,0.14285714285714285,0.15714285714285714,0.7,0.22653061224489796,0.21428571428571427,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,70
