dataset,model,method,K,state,pairs
esci,minilm,G2,20,never,50
esci,minilm,G2,100,always,77
esci,minilm,G2,100,sometimes,14
esci,minilm,G2,100,never,20
esci,minilm,CG2,20,always,48
esci,minilm,CG2,20,sometimes,0
esci,minilm,CG2,20,never,63
esci,minilm,CG2,100,always,83
esci,minilm,CG2,100,sometimes,0
esci,minilm,CG2,100,never,28
esci,minilm,GuardG2,20,always,47
esci,minilm,GuardG2,20,sometimes,0
esci,minilm,GuardG2,20,never,64
esci,minilm,GuardG2,100,always,83
esci,minilm,GuardG2,100,sometimes,0
esci,minilm,GuardG2,100,never,28
esci,minilm,GuardCG2,20,always,47
esci,minilm,GuardCG2,20,sometimes,0
esci,minilm,GuardCG2,20,never,64
esci,minilm,GuardCG2,100,always,83
esci,minilm,GuardCG2,100,sometimes,0
esci,minilm,GuardCG2,100,never,28
