dataset,model,method,stem,K,pair_micro,query_macro
wands,bge_base,Canonical,C2s5,100,0.24838709677419354,0.3164424609570886
wands,bge_base,G1,C0,20,0.22580645161290322,0.23238177430331686
wands,bge_base,G1,C1,20,0.2,0.13835014596317788
wands,bge_base,G1,C2s1,20,0.2064516129032258,0.22335593673137996
wands,bge_base,G1,C2s2,20,0.2129032258064516,0.2387675140888793
wands,bge_base,G1,C2s3,20,0.18064516129032257,0.21205737188671586
wands,bge_base,G1,C2s4,20,0.2032258064516129,0.2246606505360938
wands,bge_base,G1,C2s5,20,0.2064516129032258,0.14751243224204216
wands,bge_base,G1,C0,100,0.34838709677419355,0.3611817047543998
wands,bge_base,G1,C1,100,0.2709677419354839,0.3508292514387372
wands,bge_base,G1,C2s1,100,0.29354838709677417,0.31090168081524466
wands,bge_base,G1,C2s2,100,0.3096774193548387,0.27785400548033523
wands,bge_base,G1,C2s3,100,0.29354838709677417,0.34829172338037584
wands,bge_base,G1,C2s4,100,0.29354838709677417,0.2654960509348807
wands,bge_base,G1,C2s5,100,0.3064516129032258,0.3481952727630919
wands,bge_base,CG1,C0,20,0.2064516129032258,0.27056237612531936
wands,bge_base,CG1,C1,20,0.2064516129032258,0.27056237612531936
wands,bge_base,CG1,C2s1,20,0.2064516129032258,0.27056237612531936
wands,bge_base,CG1,C2s2,20,0.2064516129032258,0.27056237612531936
wands,bge_base,CG1,C2s3,20,0.2064516129032258,0.27056237612531936
wands,bge_base,CG1,C2s4,20,0.2064516129032258,0.27056237612531936
wands,bge_base,CG1,C2s5,20,0.2064516129032258,0.27056237612531936
wands,bge_base,CG1,C0,100,0.3,0.36831293132268306
wands,bge_base,CG1,C1,100,0.3,0.36831293132268306
wands,bge_base,CG1,C2s1,100,0.3,0.36831293132268306
wands,bge_base,CG1,C2s2,100,0.3,0.36831293132268306
wands,bge_base,CG1,C2s3,100,0.3,0.36831293132268306
wands,bge_base,CG1,C2s4,100,0.3,0.36831293132268306
wands,bge_base,CG1,C2s5,100,0.3,0.36831293132268306
wands,bge_base,GuardG1,C0,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG1,C1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG1,C2s1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG1,C2s2,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG1,C2s3,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG1,C2s4,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG1,C2s5,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG1,C0,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG1,C1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG1,C2s1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG1,C2s2,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG1,C2s3,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG1,C2s4,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG1,C2s5,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG1,C0,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG1,C1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG1,C2s1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG1,C2s2,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG1,C2s3,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG1,C2s4,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG1,C2s5,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG1,C0,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG1,C1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG1,C2s1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG1,C2s2,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG1,C2s3,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG1,C2s4,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG1,C2s5,100,0.24838709677419354,0.3164424609570886
wands,bge_base,G2,C0,20,0.07741935483870968,0.20254469189531246
wands,bge_base,G2,C1,20,0.08064516129032258,0.23360126829763353
wands,bge_base,G2,C2s1,20,0.08064516129032258,0.2032742092914965
wands,bge_base,G2,C2s2,20,0.07096774193548387,0.19988511742722734
wands,bge_base,G2,C2s3,20,0.0935483870967742,0.21612318516130574
wands,bge_base,G2,C2s4,20,0.07741935483870968,0.20196442110227572
wands,bge_base,G2,C2s5,20,0.08064516129032258,0.2463732702318695
wands,bge_base,G2,C0,100,0.2032258064516129,0.2975320208587052
wands,bge_base,G2,C1,100,0.21935483870967742,0.34041045800797576
wands,bge_base,G2,C2s1,100,0.2064516129032258,0.2988818071375695
wands,bge_base,G2,C2s2,100,0.2064516129032258,0.29301936325429234
wands,bge_base,G2,C2s3,100,0.24516129032258063,0.32929863797549963
wands,bge_base,G2,C2s4,100,0.2161290322580645,0.3091804570527975
wands,bge_base,G2,C2s5,100,0.2129032258064516,0.34404017270816917
wands,bge_base,CG2,C0,20,0.08064516129032258,0.20956349845977504
wands,bge_base,CG2,C1,20,0.08064516129032258,0.20956349845977504
wands,bge_base,CG2,C2s1,20,0.08064516129032258,0.20956349845977504
wands,bge_base,CG2,C2s2,20,0.08064516129032258,0.20956349845977504
wands,bge_base,CG2,C2s3,20,0.08064516129032258,0.20956349845977504
wands,bge_base,CG2,C2s4,20,0.08064516129032258,0.20956349845977504
wands,bge_base,CG2,C2s5,20,0.08064516129032258,0.20956349845977504
wands,bge_base,CG2,C0,100,0.2161290322580645,0.31521632548893186
wands,bge_base,CG2,C1,100,0.2161290322580645,0.31521632548893186
wands,bge_base,CG2,C2s1,100,0.2161290322580645,0.31521632548893186
wands,bge_base,CG2,C2s2,100,0.2161290322580645,0.31521632548893186
wands,bge_base,CG2,C2s3,100,0.2161290322580645,0.31521632548893186
wands,bge_base,CG2,C2s4,100,0.2161290322580645,0.31521632548893186
wands,bge_base,CG2,C2s5,100,0.2161290322580645,0.31521632548893186
wands,bge_base,GuardG2,C0,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG2,C1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG2,C2s1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG2,C2s2,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG2,C2s3,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG2,C2s4,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG2,C2s5,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardG2,C0,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG2,C1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG2,C2s1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG2,C2s2,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG2,C2s3,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG2,C2s4,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardG2,C2s5,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG2,C0,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG2,C1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG2,C2s1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG2,C2s2,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG2,C2s3,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG2,C2s4,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG2,C2s5,20,0.0935483870967742,0.2023440671490317
wands,bge_base,GuardCG2,C0,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG2,C1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG2,C2s1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG2,C2s2,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG2,C2s3,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG2,C2s4,100,0.24838709677419354,0.3164424609570886
wands,bge_base,GuardCG2,C2s5,100,0.24838709677419354,0.3164424609570886
wands,minilm,Raw,C0,20,0.02903225806451613,0.052131539986149916
wands,minilm,Raw,C1,20,0.016129032258064516,0.006882357857535163
wands,minilm,Raw,C2s1,20,0.02258064516129032,0.00954193232562027
wands,minilm,Raw,C2s2,20,0.01935483870967742,0.04835560092652291
wands,minilm,Raw,C2s3,20,0.01935483870967742,0.007591876208897485
wands,minilm,Raw,C2s4,20,0.02258064516129032,0.009328509683119612
wands,minilm,Raw,C2s5,20,0.025806451612903226,0.011298564844664134
wands,minilm,Raw,C0,100,0.13870967741935483,0.2808015139575423
wands,minilm,Raw,C1,100,0.07419354838709677,0.18553606394918454
wands,minilm,Raw,C2s1,100,0.1064516129032258,0.23837712228669677
wands,minilm,Raw,C2s2,100,0.12580645161290321,0.21672905174678223
wands,minilm,Raw,C2s3,100,0.15161290322580645,0.2583546755975834
wands,minilm,Raw,C2s4,100,0.12903225806451613,0.1781088067435585
wands,minilm,Raw,C2s5,100,0.12258064516129032,0.20556286863910977
wands,minilm,Canonical,C0,20,0.02258064516129032,0.009348508727941351
wands,minilm,Canonical,C1,20,0.02258064516129032,0.009348508727941351
wands,minilm,Canonical,C2s1,20,0.02258064516129032,0.009348508727941351
wands,minilm,Canonical,C2s2,20,0.02258064516129032,0.009348508727941351
wands,minilm,Canonical,C2s3,20,0.02258064516129032,0.009348508727941351
wands,minilm,Canonical,C2s4,20,0.02258064516129032,0.009348508727941351
wands,minilm,Canonical,C2s5,20,0.02258064516129032,0.009348508727941351
wands,minilm,Canonical,C0,100,0.1064516129032258,0.23698315901330086
wands,minilm,Canonical,C1,100,0.1064516129032258,0.23698315901330086
wands,minilm,Canonical,C2s1,100,0.1064516129032258,0.23698315901330086
wands,minilm,Canonical,C2s2,100,0.1064516129032258,0.23698315901330086
wands,minilm,Canonical,C2s3,100,0.1064516129032258,0.23698315901330086
wands,minilm,Canonical,C2s4,100,0.1064516129032258,0.23698315901330086
wands,minilm,Canonical,C2s5,100,0.1064516129032258,0.23698315901330086
wands,minilm,G1,C0,20,0.1064516129032258,0.17098112478209998
wands,minilm,G1,C1,20,0.07096774193548387,0.08124365701936624
wands,minilm,G1,C2s1,20,0.0967741935483871,0.15971535687847746
wands,minilm,G1,C2s2,20,0.08064516129032258,0.04412244489815412
wands,minilm,G1,C2s3,20,0.07741935483870968,0.16058042750197005
wands,minilm,G1,C2s4,20,0.08709677419354839,0.039739034852066764
wands,minilm,G1,C2s5,20,0.09032258064516129,0.08804183979272631
wands,minilm,G1,C0,100,0.2129032258064516,0.2132432853953244
wands,minilm,G1,C1,100,0.19032258064516128,0.2539491397425795
wands,minilm,G1,C2s1,100,0.19032258064516128,0.19685179215321058
wands,minilm,G1,C2s2,100,0.2032258064516129,0.22198592753778923
wands,minilm,G1,C2s3,100,0.18387096774193548,0.20849160935597102
wands,minilm,G1,C2s4,100,0.16129032258064516,0.0692235967834372
wands,minilm,G1,C2s5,100,0.2064516129032258,0.1355338998734389
wands,minilm,CG1,C0,20,0.07741935483870968,0.07724709416863673
wands,minilm,CG1,C1,20,0.07741935483870968,0.07724709416863673
wands,minilm,CG1,C2s1,20,0.07741935483870968,0.07724709416863673
wands,minilm,CG1,C2s2,20,0.07741935483870968,0.07724709416863673
wands,minilm,CG1,C2s3,20,0.07741935483870968,0.07724709416863673
wands,minilm,CG1,C2s4,20,0.07741935483870968,0.07724709416863673
wands,minilm,CG1,C2s5,20,0.07741935483870968,0.07724709416863673
wands,minilm,CG1,C0,100,0.2064516129032258,0.2798136880029611
wands,minilm,CG1,C1,100,0.2064516129032258,0.2798136880029611
wands,minilm,CG1,C2s1,100,0.2064516129032258,0.2798136880029611
wands,minilm,CG1,C2s2,100,0.2064516129032258,0.2798136880029611
wands,minilm,CG1,C2s3,100,0.2064516129032258,0.2798136880029611
wands,minilm,CG1,C2s4,100,0.2064516129032258,0.2798136880029611
wands,minilm,CG1,C2s5,100,0.2064516129032258,0.2798136880029611
wands,minilm,GuardG1,C0,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG1,C1,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG1,C2s1,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG1,C2s2,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG1,C2s3,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG1,C2s4,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG1,C2s5,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG1,C0,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG1,C1,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG1,C2s1,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG1,C2s2,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG1,C2s3,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG1,C2s4,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG1,C2s5,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG1,C0,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG1,C1,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG1,C2s1,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG1,C2s2,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG1,C2s3,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG1,C2s4,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG1,C2s5,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG1,C0,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG1,C1,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG1,C2s1,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG1,C2s2,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG1,C2s3,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG1,C2s4,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG1,C2s5,100,0.1064516129032258,0.23698315901330086
wands,minilm,G2,C0,20,0.02258064516129032,0.009348508727941351
wands,minilm,G2,C1,20,0.041935483870967745,0.04688059674761803
wands,minilm,G2,C2s1,20,0.03225806451612903,0.019433736000668625
wands,minilm,G2,C2s2,20,0.02903225806451613,0.01810394876662607
wands,minilm,G2,C2s3,20,0.025806451612903226,0.05709104192038589
wands,minilm,G2,C2s4,20,0.025806451612903226,0.0508217517969291
wands,minilm,G2,C2s5,20,0.02258064516129032,0.008941662487761778
wands,minilm,G2,C0,100,0.11612903225806452,0.2464481174033479
wands,minilm,G2,C1,100,0.10967741935483871,0.27432902458390046
wands,minilm,G2,C2s1,100,0.11935483870967742,0.22496067352007065
wands,minilm,G2,C2s2,100,0.1064516129032258,0.24307902458390046
wands,minilm,G2,C2s3,100,0.1,0.24018602842849296
wands,minilm,G2,C2s4,100,0.0967741935483871,0.23885624119445042
wands,minilm,G2,C2s5,100,0.0967741935483871,0.20934287466867252
wands,minilm,CG2,C0,20,0.02258064516129032,0.008941662487761778
wands,minilm,CG2,C1,20,0.02258064516129032,0.008941662487761778
wands,minilm,CG2,C2s1,20,0.02258064516129032,0.008941662487761778
wands,minilm,CG2,C2s2,20,0.02258064516129032,0.008941662487761778
wands,minilm,CG2,C2s3,20,0.02258064516129032,0.008941662487761778
wands,minilm,CG2,C2s4,20,0.02258064516129032,0.008941662487761778
wands,minilm,CG2,C2s5,20,0.02258064516129032,0.008941662487761778
wands,minilm,CG2,C0,100,0.1064516129032258,0.24245875570122025
wands,minilm,CG2,C1,100,0.1064516129032258,0.24245875570122025
wands,minilm,CG2,C2s1,100,0.1064516129032258,0.24245875570122025
wands,minilm,CG2,C2s2,100,0.1064516129032258,0.24245875570122025
wands,minilm,CG2,C2s3,100,0.1064516129032258,0.24245875570122025
wands,minilm,CG2,C2s4,100,0.1064516129032258,0.24245875570122025
wands,minilm,CG2,C2s5,100,0.1064516129032258,0.24245875570122025
wands,minilm,GuardG2,C0,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG2,C1,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG2,C2s1,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG2,C2s2,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG2,C2s3,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG2,C2s4,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG2,C2s5,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardG2,C0,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG2,C1,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG2,C2s1,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG2,C2s2,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG2,C2s3,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG2,C2s4,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardG2,C2s5,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG2,C0,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG2,C1,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG2,C2s1,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG2,C2s2,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG2,C2s3,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG2,C2s4,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG2,C2s5,20,0.02258064516129032,0.009348508727941351
wands,minilm,GuardCG2,C0,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG2,C1,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG2,C2s1,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG2,C2s2,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG2,C2s3,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG2,C2s4,100,0.1064516129032258,0.23698315901330086
wands,minilm,GuardCG2,C2s5,100,0.1064516129032258,0.23698315901330086
esci,bge_base,Raw,C0,20,0.6126126126126126,0.6543732717445954
esci,bge_base,Raw,C1,20,0.6036036036036037,0.6435559640522877
esci,bge_base,Raw,C2s1,20,0.6126126126126126,0.6543732717445954
esci,bge_base,Raw,C2s2,20,0.6036036036036037,0.6465607717445954
esci,bge_base,Raw,C2s3,20,0.6036036036036037,0.6465607717445954
esci,bge_base,Raw,C2s4,20,0.5945945945945946,0.6387482717445954
esci,bge_base,Raw,C2s5,20,0.6036036036036037,0.6465607717445954
esci,bge_base,Raw,C0,100,0.8738738738738738,0.8795405982905983
esci,bge_base,Raw,C1,100,0.8648648648648649,0.8778044871794872
esci,bge_base,Raw,C2s1,100,0.8648648648648649,0.8717280982905983
esci,bge_base,Raw,C2s2,100,0.8558558558558559,0.8639155982905983
esci,bge_base,Raw,C2s3,100,0.8738738738738738,0.8795405982905983
esci,bge_base,Raw,C2s4,100,0.8558558558558559,0.8639155982905983
esci,bge_base,Raw,C2s5,100,0.8738738738738738,0.8856169871794872
esci,bge_base,Canonical,C0,20,0.6126126126126126,0.6175142973856209
esci,bge_base,Canonical,C1,20,0.6126126126126126,0.6175142973856209
esci,bge_base,Canonical,C2s1,20,0.6126126126126126,0.6175142973856209
esci,bge_base,Canonical,C2s2,20,0.6126126126126126,0.6175142973856209
esci,bge_base,Canonical,C2s3,20,0.6126126126126126,0.6175142973856209
esci,bge_base,Canonical,C2s4,20,0.6126126126126126,0.6175142973856209
esci,bge_base,Canonical,C2s5,20,0.6126126126126126,0.6175142973856209
esci,bge_base,Canonical,C0,100,0.8648648648648649,0.8717280982905983
esci,bge_base,Canonical,C1,100,0.8648648648648649,0.8717280982905983
esci,bge_base,Canonical,C2s1,100,0.8648648648648649,0.8717280982905983
esci,bge_base,Canonical,C2s2,100,0.8648648648648649,0.8717280982905983
esci,bge_base,Canonical,C2s3,100,0.8648648648648649,0.8717280982905983
esci,bge_base,Canonical,C2s4,100,0.8648648648648649,0.8717280982905983
esci,bge_base,Canonical,C2s5,100,0.8648648648648649,0.8717280982905983
esci,bge_base,G1,C0,20,0.4954954954954955,0.5221515208647561
esci,bge_base,G1,C1,20,0.5315315315315315,0.5631928733031674
esci,bge_base,G1,C2s1,20,0.5405405405405406,0.5611173956762192
esci,bge_base,G1,C2s2,20,0.4594594594594595,0.48985199849170435
esci,bge_base,G1,C2s3,20,0.5225225225225225,0.5520259866767219
esci,bge_base,G1,C2s4,20,0.4954954954954955,0.5234335721468074
esci,bge_base,G1,C2s5,20,0.5135135135135135,0.5421301533433887
esci,bge_base,G1,C0,100,0.7657657657657657,0.7808627136752136
esci,bge_base,G1,C1,100,0.7297297297297297,0.7112980769230769
esci,bge_base,G1,C2s1,100,0.7477477477477478,0.7247863247863248
esci,bge_base,G1,C2s2,100,0.7297297297297297,0.7056891025641026
esci,bge_base,G1,C2s3,100,0.7477477477477478,0.7551682692307692
esci,bge_base,G1,C2s4,100,0.7657657657657657,0.7752003205128205
esci,bge_base,G1,C2s5,100,0.7657657657657657,0.7773904914529914
esci,bge_base,CG1,C0,20,0.4954954954954955,0.5316977752639517
esci,bge_base,CG1,C1,20,0.4954954954954955,0.5316977752639517
esci,bge_base,CG1,C2s1,20,0.4954954954954955,0.5316977752639517
esci,bge_base,CG1,C2s2,20,0.4954954954954955,0.5316977752639517
esci,bge_base,CG1,C2s3,20,0.4954954954954955,0.5316977752639517
esci,bge_base,CG1,C2s4,20,0.4954954954954955,0.5316977752639517
esci,bge_base,CG1,C2s5,20,0.4954954954954955,0.5316977752639517
esci,bge_base,CG1,C0,100,0.7297297297297297,0.7390224358974359
esci,bge_base,CG1,C1,100,0.7297297297297297,0.7390224358974359
esci,bge_base,CG1,C2s1,100,0.7297297297297297,0.7390224358974359
esci,bge_base,CG1,C2s2,100,0.7297297297297297,0.7390224358974359
esci,bge_base,CG1,C2s3,100,0.7297297297297297,0.7390224358974359
esci,bge_base,CG1,C2s4,100,0.7297297297297297,0.7390224358974359
esci,bge_base,CG1,C2s5,100,0.7297297297297297,0.7390224358974359
esci,bge_base,GuardG1,C0,20,0.6036036036036037,0.6091809640522876
esci,bge_base,GuardG1,C1,20,0.6126126126126126,0.6175142973856209
esci,bge_base,GuardG1,C2s1,20,0.6036036036036037,0.6091809640522876
esci,bge_base,GuardG1,C2s2,20,0.6036036036036037,0.6091809640522876
esci,bge_base,GuardG1,C2s3,20,0.6036036036036037,0.6091809640522876
esci,bge_base,GuardG1,C2s4,20,0.6126126126126126,0.6175142973856209
esci,bge_base,GuardG1,C2s5,20,0.6036036036036037,0.6091809640522876
esci,bge_base,GuardG1,C0,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardG1,C1,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardG1,C2s1,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardG1,C2s2,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardG1,C2s3,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardG1,C2s4,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardG1,C2s5,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardCG1,C0,20,0.6126126126126126,0.6175142973856209
esci,bge_base,GuardCG1,C1,20,0.6126126126126126,0.6175142973856209
esci,bge_base,GuardCG1,C2s1,20,0.6126126126126126,0.6175142973856209
esci,bge_base,GuardCG1,C2s2,20,0.6126126126126126,0.6175142973856209
esci,bge_base,GuardCG1,C2s3,20,0.6126126126126126,0.6175142973856209
esci,bge_base,GuardCG1,C2s4,20,0.6126126126126126,0.6175142973856209
esci,bge_base,GuardCG1,C2s5,20,0.6126126126126126,0.6175142973856209
esci,bge_base,GuardCG1,C0,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardCG1,C1,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardCG1,C2s1,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardCG1,C2s2,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardCG1,C2s3,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardCG1,C2s4,100,0.8558558558558559,0.8621127136752136
esci,bge_base,GuardCG1,C2s5,100,0.8558558558558559,0.8621127136752136
esci,bge_base,G2,C0,20,0.5675675675675675,0.5757250816993464
esci,bge_base,G2,C1,20,0.5495495495495496,0.5561070261437908
esci,bge_base,G2,C2s1,20,0.5495495495495496,0.5590584150326797
esci,bge_base,G2,C2s2,20,0.5495495495495496,0.5535028594771242
esci,bge_base,G2,C2s3,20,0.5405405405405406,0.5497981083459025
esci,bge_base,G2,C2s4,20,0.5585585585585585,0.5669321895424837
esci,bge_base,G2,C2s5,20,0.5495495495495496,0.5535028594771242
esci,bge_base,G2,C0,100,0.8198198198198198,0.8228498931623932
esci,bge_base,G2,C1,100,0.8108108108108109,0.8176549145299146
esci,bge_base,G2,C2s1,100,0.8198198198198198,0.8276575854700855
esci,bge_base,G2,C2s2,100,0.8288288288288288,0.8289930555555556
esci,bge_base,G2,C2s3,100,0.8288288288288288,0.8315571581196581
esci,bge_base,G2,C2s4,100,0.8198198198198198,0.8259348290598291
esci,bge_base,G2,C2s5,100,0.8198198198198198,0.8254139957264958
esci,bge_base,CG2,C0,20,0.5495495495495496,0.5555861928104575
