query_id,query,query_type
371,milk cow chair,product_type
372,verden callan,brand_entity_proxy
373,togo chair,product_type
374,sinks bed frame,product_type
375,pastel pink desk chair,product_type
376,island estate coffee table,product_type
377,glinda upholstered bench,product_type
378,cliffside 5 light candle style drum chandelier,multi_constraint
379,urban outfitters duvet,product_type
380,gravity feeder,brand_entity_proxy
381,farmhouse hood vent,style
382,counter top one cup hot water dispenser,multi_constraint
383,minnestrista,brand_entity_proxy
384,dining table vinyl cloth,product_type
385,mom urn,brand_entity_proxy
386,alter furniture,brand_entity_proxy
387,self enclosed planters,product_type
388,outdoor sectional doning,product_type
389,brush nickel faucet bathroom,product_type
390,cushion replacement insert,product_type
391,"writing desk 48""",attribute_constraint
392,china clock,brand_entity_proxy
393,propane gas dryer,product_type
394,gray leather cocktail table,attribute_constraint
395,pantry grey,attribute_constraint
396,alyse 8 light,attribute_constraint
397,maryford queen tufted bed,attribute_constraint
398,super bright lights,product_type
399,12v dirt bike,attribute_constraint
400,small ladies rocker swivel recliner,multi_constraint
401,glass lsmp shades,product_type
402,modern farmhouse lighting semi flush mount,style
403,wood rack wide,attribute_constraint
404,large cushion outdoor chair,attribute_constraint
405,queen ann style living room chair,multi_constraint
406,refrigerator with ice an water in door,multi_constraint
407,huge bookcase,product_type
408,girl reading statue,product_type
409,teal chair,product_type
410,pool floats,brand_entity_proxy
411,outdoor clock,brand_entity_proxy
412,jennie tufted upholstered low profile platform bed,multi_constraint
413,burruss patio sectional with cushions,multi_constraint
414,shower hooks,brand_entity_proxy
415,toilet paper stand,product_type
416,wayfair coffee table,product_type
417,twin bed frame,attribute_constraint
418,writing desk,product_type
419,living room ideas,product_type
420,tile backsplash,brand_entity_proxy
421,dining room tables,product_type
422,ergonomic chair,product_type
423,wall shelves,brand_entity_proxy
424,wayfair comforters,brand_entity_proxy
425,side table with storage,product_type
426,outdoor storage,product_type
427,lowes tile,brand_entity_proxy
428,kitchen storage cabinet,product_type
429,gray dresser,attribute_constraint
430,30 inch bathroom vanity,attribute_constraint
431,shoe bench entryway,product_type
432,butcher block island,product_type
433,trundle daybed,brand_entity_proxy
434,bathroom lighting,brand_entity_proxy
435,shoe closet,brand_entity_proxy
436,full bed with trundle,product_type
437,kitchen islands with seating,product_type
438,indoor water fountain,product_type
439,parsons chairs,brand_entity_proxy
440,wood bar stools,attribute_constraint
441,desk for kids,product_type
442,above toilet cabinet,product_type
443,patio design,brand_entity_proxy
444,outdoor lounge chair,product_type
445,chaise lounge couch,product_type
446,card table,product_type
447,tall buffet cabinet,attribute_constraint
448,bed side table,product_type
449,living room designs,product_type
451,aiden black velvet bed,attribute_constraint
452,day bed indian,product_type
453,midcentury tv unit,product_type
454,carpet 5x6,attribute_constraint
455,deer coat hooks,product_type
456,wall design shelf,product_type
457,5 gang light switch,attribute_constraint
458,bubble guppies chair,product_type
459,tye dye duvet cover,product_type
460,small wardrobe grey,attribute_constraint
461,luau string lights,product_type
462,large bases,attribute_constraint
463,bistro sets patio,product_type
464,cake cutlery,brand_entity_proxy
465,white abstract,attribute_constraint
466,rock climbing wall kids,product_type
467,town & country living curtains,product_type
468,glow in the dark silent wall clock,multi_constraint
469,garage sports storage rack,product_type
470,elephant framed,brand_entity_proxy
471,adjustable height artist stool,product_type
472,window wall accent,product_type
473,chair pillow cushion,product_type
474,48 inch bathroom vanity with trough sink,multi_constraint
475,rattan truck,brand_entity_proxy
476,hardwood beds,brand_entity_proxy
478,worn leather office chair,attribute_constraint
479,garage door mail slot,product_type
480,pictures to hang over fireplace,multi_constraint
481,emma headboard,brand_entity_proxy
482,48 inch kitchen hood,attribute_constraint
483,rustic twig,style
484,nespresso vertuo next premium by breville with aeroccino,long_descriptive
485,pedistole sink,brand_entity_proxy
486,54 in bench cushion,attribute_constraint
487,rack glass,brand_entity_proxy
