query_id,product_id,label,C0,whole_C0,delta_C0,C1,whole_C1,delta_C1,C2s1,whole_C2s1,delta_C2s1,C2s2,whole_C2s2,delta_C2s2,C2s3,whole_C2s3,delta_C2s3,C2s4,whole_C2s4,delta_C2s4,C2s5,whole_C2s5,delta_C2s5,rank_range,VI@10,VI@20,VI@50,dataset,retriever,query
34,15539,Exact,50,50,0,289,211,239,66,49,16,95,72,45,3,2,-47,39,29,-11,77,60,27,286,True,True,True,wands,bge_base,bar stool with backrest
128,1269,Exact,41,41,0,294,295,253,41,42,0,18,14,-23,36,35,-5,77,80,36,54,56,13,276,False,True,True,wands,bge_base,block coffee table
121,33515,Exact,18,18,0,268,103,250,42,23,24,84,48,66,44,24,26,71,42,53,159,120,141,250,False,True,True,wands,bge_base,upholstered bed
181,41039,Exact,40,40,0,259,234,219,48,48,8,22,24,-18,19,16,-21,200,195,160,102,97,62,240,False,True,True,wands,bge_base,e12/candelabra
124,1160,Exact,252,252,0,17,21,-235,85,88,-167,17,17,-235,41,45,-211,85,91,-167,103,115,-149,235,False,True,True,wands,bge_base,unique coffee tables
33,27244,Exact,26,26,0,241,205,215,159,160,133,31,33,5,129,123,103,163,148,137,7,8,-19,234,True,True,True,wands,bge_base,non slip shower floor tile
233,18342,Exact,35,35,0,235,185,200,184,145,149,139,108,104,21,22,-14,7,6,-28,49,43,14,228,True,True,True,wands,bge_base,kelly clarkson light fixtures
421,29339,Exact,78,78,0,118,108,40,105,97,27,7,9,-71,55,52,-23,234,214,156,98,100,20,227,True,True,True,wands,bge_base,dining room tables
121,42939,Exact,5,5,0,207,70,202,39,22,34,17,14,12,229,176,224,16,9,11,44,20,39,224,True,True,True,wands,bge_base,upholstered bed
44,12732,Exact,146,146,0,228,202,82,30,22,-116,9,9,-137,128,116,-18,93,78,-53,110,99,-36,219,True,True,True,wands,bge_base,chrome shower head and valve
121,4338,Exact,89,89,0,232,80,143,14,12,-75,40,29,-49,19,10,-70,135,91,46,35,17,-54,218,False,True,True,wands,bge_base,upholstered bed
476,6959,Exact,223,223,0,65,66,-158,90,100,-133,64,61,-159,53,57,-170,65,66,-158,7,8,-216,216,True,True,True,wands,bge_base,hardwood beds
250,24284,Exact,13,13,0,70,66,57,224,200,211,9,5,-4,73,60,60,58,52,45,92,96,79,215,True,True,True,wands,bge_base,multi color rug
33,30234,Exact,227,227,0,63,48,-164,189,190,-38,17,19,-210,36,38,-191,16,20,-211,16,18,-211,211,False,True,True,wands,bge_base,non slip shower floor tile
409,24318,Exact,11,11,0,468,357,457,123,135,112,301,313,290,677,685,666,435,444,424,939,956,928,928,False,True,True,wands,gte_modernbert,teal chair
162,16794,Exact,671,671,0,723,660,52,575,648,-96,850,943,179,570,638,-101,688,792,17,9,14,-662,841,True,True,True,wands,gte_modernbert,turquoise chair
476,5523,Exact,15,15,0,45,34,30,175,163,160,260,232,245,217,201,202,372,365,357,820,820,805,805,False,True,True,wands,gte_modernbert,hardwood beds
33,28547,Exact,61,61,0,532,463,471,39,40,-22,81,91,20,5,4,-56,153,144,92,33,34,-28,527,True,True,True,wands,gte_modernbert,non slip shower floor tile
124,38994,Exact,251,251,0,37,108,-214,97,178,-154,541,656,290,68,113,-183,59,121,-192,19,42,-232,522,False,True,True,wands,gte_modernbert,unique coffee tables
421,42990,Exact,151,151,0,160,183,9,17,21,-134,518,583,367,58,86,-93,214,270,63,54,65,-97,501,False,True,True,wands,gte_modernbert,dining room tables
33,27244,Exact,15,15,0,25,19,10,98,92,83,40,45,25,443,445,428,60,68,45,18,18,3,428,False,True,True,wands,gte_modernbert,non slip shower floor tile
389,19721,Exact,18,18,0,122,71,104,76,65,58,289,262,271,417,370,399,437,384,419,240,200,222,419,False,True,True,wands,gte_modernbert,brush nickel faucet bathroom
33,10664,Exact,340,340,0,219,160,-121,44,48,-296,426,444,86,234,224,-106,48,56,-292,9,9,-331,417,True,True,True,wands,gte_modernbert,non slip shower floor tile
254,29178,Exact,419,419,0,20,52,-399,35,48,-384,14,28,-405,194,230,-225,4,11,-415,74,90,-345,415,True,True,True,wands,gte_modernbert,comfortable accent chair
124,32592,Exact,421,421,0,31,81,-390,292,407,-129,49,99,-372,67,110,-354,8,17,-413,12,18,-409,413,True,True,True,wands,gte_modernbert,unique coffee tables
440,26981,Exact,156,156,0,421,393,265,166,158,10,96,93,-60,129,123,-27,235,225,79,20,18,-136,401,False,True,True,wands,gte_modernbert,wood bar stools
130,4245,Exact,393,393,0,95,154,-298,10,23,-383,95,169,-298,78,139,-315,76,130,-317,305,405,-88,383,True,True,True,wands,gte_modernbert,entertainment console
421,18315,Exact,314,314,0,116,133,-198,19,26,-295,33,40,-281,389,456,75,34,33,-280,161,207,-153,370,False,True,True,wands,gte_modernbert,dining room tables
305,2388,Exact,18,18,0,62,46,44,104,93,86,147,139,129,104,104,86,387,358,369,40,29,22,369,False,True,True,wands,gte_modernbert,ligth bulb
389,21822,Exact,44,44,0,102,59,58,384,335,340,51,37,7,32,18,-12,17,11,-27,33,20,-11,367,False,True,True,wands,gte_modernbert,brush nickel faucet bathroom
389,9488,Exact,6,6,0,57,33,51,113,102,107,362,326,356,96,88,90,34,26,28,57,49,51,356,True,True,True,wands,gte_modernbert,brush nickel faucet bathroom
26,603,Exact,15,15,0,369,330,354,111,112,96,233,233,218,159,153,144,302,312,287,59,53,44,354,False,True,True,wands,gte_modernbert,leather chairs
124,29372,Exact,213,213,0,17,59,-196,108,193,-105,47,93,-166,129,213,-84,228,335,15,368,513,155,351,False,True,True,wands,gte_modernbert,unique coffee tables
254,19273,Exact,252,252,0,7,19,-245,100,121,-152,34,43,-218,170,204,-82,128,157,-124,348,392,96,341,True,True,True,wands,gte_modernbert,comfortable accent chair
33,29911,Exact,81,81,0,70,49,-11,50,60,-31,49,64,-32,9,8,-72,346,339,265,331,333,250,337,True,True,True,wands,gte_modernbert,non slip shower floor tile
124,42387,Exact,322,322,0,77,194,-245,8,12,-314,205,314,-117,108,188,-214,21,42,-301,109,174,-213,314,True,True,True,wands,gte_modernbert,unique coffee tables
430,21702,Exact,73,73,0,28,26,-45,20,25,-53,62,75,-11,79,95,6,330,388,257,97,123,24,310,False,True,True,wands,gte_modernbert,30 inch bathroom vanity
121,22653,Exact,97,97,0,262,230,165,206,248,109,16,21,-81,122,151,25,326,406,229,88,116,-9,310,False,True,True,wands,gte_modernbert,upholstered bed
124,12981,Exact,324,324,0,36,100,-288,16,33,-308,200,306,-124,94,162,-230,41,86,-283,74,141,-250,308,False,True,True,wands,gte_modernbert,unique coffee tables
420,12785,Exact,263,263,0,244,223,-19,15,21,-248,38,43,-225,319,327,56,125,129,-138,109,102,-154,304,False,True,True,wands,gte_modernbert,tile backsplash
421,1757,Exact,256,256,0,53,53,-203,14,19,-242,37,48,-219,313,388,57,70,92,-186,75,101,-181,299,False,True,True,wands,gte_modernbert,dining room tables
33,24093,Exact,105,105,0,19,16,-86,116,110,11,9,9,-96,44,40,-61,104,102,-1,304,304,199,295,True,True,True,wands,gte_modernbert,non slip shower floor tile
252,17643,Exact,66,66,0,34,64,-32,310,355,244,186,213,120,17,31,-49,225,278,159,235,269,169,293,False,True,True,wands,gte_modernbert,accent chairs living room
305,2384,Exact,36,36,0,52,36,16,45,40,9,44,33,8,91,85,55,20,19,-16,300,280,264,280,False,True,True,wands,gte_modernbert,ligth bulb
45990,B01LBKUXMM,E,19,19,0,41,40,22,19,19,0,80,80,61,41,40,22,31,29,12,31,30,12,61,False,True,True,esci,minilm,glitter pink htv
165,B083MNL3G5,E,38,38,0,18,18,-20,43,40,5,52,51,14,52,53,14,18,16,-20,18,18,-20,34,False,True,True,esci,minilm,"(8 pck, one without packaging ) umbra single"
92928,B07L89MK48,E,15,15,0,27,25,12,48,50,33,25,25,10,48,49,33,48,47,33,17,17,2,33,False,True,False,esci,minilm,show tights for women
75831,B004CA8TXE,E,19,19,0,31,34,12,45,42,26,26,26,7,31,32,12,50,47,31,20,22,1,31,False,True,False,esci,minilm,opi meet a boy as cute as can be
55677,B010TL7D3Q,E,16,16,0,44,45,28,16,18,0,44,46,28,24,24,8,41,40,25,44,45,28,28,False,True,False,esci,minilm,jeans cintura elastica mujer
165,B005M8YXEY,E,27,27,0,33,31,6,17,17,-10,43,39,16,27,28,0,33,36,6,43,42,16,26,False,True,False,esci,minilm,"(8 pck, one without packaging ) umbra single"
29488,1619922827,E,15,15,0,40,39,25,15,13,0,40,39,25,40,40,25,40,43,25,15,11,0,25,False,True,False,esci,minilm,cotton paper deckled edges
67637,B075QP1YXB,E,25,25,0,9,11,-16,22,20,-3,32,30,7,32,31,7,9,9,-16,25,26,0,23,True,True,False,esci,minilm,mens grizzley bear hat
29868,B01J0BQ9XG,E,12,12,0,35,35,23,14,14,2,14,14,2,12,12,0,35,34,23,14,13,2,23,False,True,False,esci,minilm,crank brothers pedals
19268,B07CN8XSHF,E,28,28,0,42,43,14,20,22,-8,42,44,14,28,28,0,42,44,14,28,29,0,22,False,True,False,esci,minilm,boys shoes size 1
61723,B07L4GXP3W,E,30,30,0,9,10,-21,9,12,-21,18,22,-12,30,30,0,31,31,1,9,11,-21,22,True,True,False,esci,minilm,levis jeans for men 559
41423,B07XYTBKFF,E,29,29,0,11,13,-18,30,30,1,30,29,1,32,34,3,11,12,-18,29,30,0,21,False,True,False,esci,minilm,floral
93559,B08XMDXJJR,E,22,22,0,9,10,-13,28,31,6,8,8,-14,28,30,6,8,8,-14,22,24,0,20,True,True,False,esci,minilm,silver signet ring women
62558,B07FY1PMMT,E,8,8,0,28,27,20,28,24,20,8,8,0,8,8,0,26,25,18,27,26,19,20,True,True,False,esci,minilm,lime green fitted hat
112716,B01LDUGHVQ,E,12,12,0,32,29,20,32,32,20,15,15,3,19,19,7,15,15,3,15,14,3,20,False,True,False,esci,minilm,women's canvas slip on sneakers
107880,B07L72PNS5,E,14,14,0,33,33,19,14,15,0,14,12,0,14,15,0,14,14,0,14,15,0,19,False,True,False,esci,minilm,vans hoodie for women
20037,B01LZMJ3QO,E,19,19,0,35,34,16,17,16,-2,19,20,0,35,35,16,17,15,-2,19,19,0,18,False,True,False,esci,minilm,brown belt without buckle
29596,B01IZAOGV0,E,21,21,0,5,5,-16,5,5,-16,18,18,-3,4,4,-17,4,5,-17,5,5,-16,17,True,True,False,esci,minilm,couple earmuffs
20037,B00LEWM75Y,E,23,23,0,35,31,12,18,18,-5,35,33,12,34,29,11,35,34,12,18,16,-5,17,False,True,False,esci,minilm,brown belt without buckle
8063,B019ETCT4M,E,16,16,0,33,30,17,33,30,17,17,16,1,21,21,5,33,30,17,17,16,1,17,False,True,False,esci,minilm,all boots
107880,B07L71R1BZ,E,16,16,0,31,31,15,29,30,13,15,14,-1,15,19,-1,16,18,0,31,30,15,16,False,True,False,esci,minilm,vans hoodie for women
31573,B07JFMMLKV,E,28,28,0,19,19,-9,20,22,-8,35,35,7,35,37,7,19,15,-9,20,18,-8,16,False,True,False,esci,minilm,dark green flannel for women
82977,B08781RT6M,E,28,28,0,16,19,-12,22,24,-6,12,12,-16,16,17,-12,28,27,0,28,28,0,16,False,True,False,esci,minilm,prach lift leggings
96535,B07NVK4861,E,11,11,0,26,26,15,26,26,15,12,12,1,12,13,1,26,25,15,26,26,15,15,False,True,False,esci,minilm,sparkly 2 piece outfits for women sexy
93758,B01N06UEH4,E,9,9,0,19,19,10,18,18,9,19,19,10,18,17,9,24,24,15,11,10,2,15,True,True,False,esci,minilm,sink caddy for single sink
82977,B07GFBPWF5,E,29,29,0,14,16,-15,29,29,0,29,30,0,29,29,0,14,16,-15,29,29,0,15,False,True,False,esci,minilm,prach lift leggings
29488,1619922835,E,16,16,0,30,26,14,16,14,0,16,13,0,16,14,0,16,14,0,16,12,0,14,False,True,False,esci,minilm,cotton paper deckled edges
92217,B000MD65FO,E,12,12,0,25,25,13,12,14,0,12,15,0,12,12,0,25,25,13,12,12,0,13,False,True,False,esci,minilm,shampoo
600,B08Y9BVLM3,E,32,32,0,20,19,-12,20,20,-12,20,19,-12,32,32,0,32,32,0,20,20,-12,12,False,True,False,esci,minilm,0sxk ofrece fidget toys not expensive
65197,B083F4BWCN,E,19,19,0,31,28,12,31,31,12,19,21,0,31,29,12,31,29,12,31,29,12,12,False,True,False,esci,minilm,makita impact drill
104485,B0968C27QV,E,4,4,0,1904,1946,1900,9,9,5,2077,2101,2073,4,2,0,280,289,276,9,9,5,2073,True,True,True,esci,bge_base,toxozers
49201,B07H48M8NY,E,9,9,0,61,66,52,9,5,0,61,64,52,9,8,0,61,62,52,61,63,52,52,True,True,True,esci,bge_base,hardbody supplements
49201,B07DMS987B,E,1,1,0,33,29,32,33,31,32,1,1,0,1,1,0,1,1,0,31,27,30,32,True,True,False,esci,bge_base,hardbody supplements
49201,B07J4MWY3R,E,6,6,0,33,30,27,33,32,27,33,31,27,33,32,27,6,5,0,6,4,0,27,True,True,False,esci,bge_base,hardbody supplements
29868,B016OQXZG4,E,9,9,0,33,37,24,33,35,24,10,9,1,10,10,1,7,7,-2,10,10,1,26,True,True,False,esci,bge_base,crank brothers pedals
55531,B08YY79FGG,E,32,32,0,9,12,-23,32,30,0,10,12,-22,9,9,-23,17,17,-15,32,32,0,23,True,True,False,esci,bge_base,jars without lids
49201,B07HYDZ33B,E,13,13,0,34,31,21,12,9,-1,34,33,21,13,11,0,12,11,-1,34,32,21,22,False,True,False,esci,bge_base,hardbody supplements
29488,1619922827,E,14,14,0,34,37,20,14,12,0,34,34,20,34,36,20,34,36,20,14,12,0,20,False,True,False,esci,bge_base,cotton paper deckled edges
62954,B07DB5W26B,E,29,29,0,16,17,-13,23,23,-6,23,22,-6,23,22,-6,16,16,-13,34,34,5,18,False,True,False,esci,bge_base,little girls princess dress up clothes
861,B00RNFSYVC,E,27,27,0,9,9,-18,9,8,-18,13,13,-14,9,10,-18,9,10,-18,23,25,-4,18,True,True,False,esci,bge_base,1 pint mason jars without words
11925,B07R8JV9Y8,E,27,27,0,34,34,7,27,31,0,34,34,7,17,20,-10,34,33,7,17,18,-10,17,False,True,False,esci,bge_base,baby fleece suit
104485,B08X6JYBQP,E,11,11,0,28,25,17,11,11,0,11,10,0,28,27,17,28,25,17,28,27,17,17,False,True,False,esci,bge_base,toxozers
92627,B06Y4FJZWL,E,34,34,0,34,37,0,34,36,0,29,26,-5,20,23,-14,29,30,-5,17,19,-17,17,False,True,False,esci,bge_base,shirt without stripes
82977,B07WMNT6YV,E,34,34,0,19,20,-15,19,20,-15,19,20,-15,19,20,-15,35,36,1,31,34,-3,16,False,True,False,esci,bge_base,prach lift leggings
40292,B01CCIKB5Q,E,23,23,0,9,9,-14,23,23,0,9,9,-14,23,24,0,9,9,-14,24,24,1,15,True,True,False,esci,bge_base,film for lights
29868,B07ZHZQZWN,E,14,14,0,23,23,9,12,12,-2,24,23,10,26,26,12,23,24,9,26,26,12,14,False,True,False,esci,bge_base,crank brothers pedals
47526,B077NFH8JL,E,29,29,0,19,19,-10,33,36,4,33,35,4,20,20,-9,33,33,4,29,28,0,14,False,True,False,esci,bge_base,grid mirror
104116,B07X2KL52D,E,27,27,0,13,14,-14,13,14,-14,27,24,0,13,14,-14,13,14,-14,27,26,0,14,False,True,False,esci,bge_base,tool wrap
105336,B01LZDCMPT,E,31,31,0,18,20,-13,22,23,-9,23,22,-8,31,33,0,20,21,-11,23,26,-8,13,False,True,False,esci,bge_base,trivial pursuit ps4
113321,B0992BRJKF,E,29,29,0,19,20,-10,19,20,-10,31,33,2,29,32,0,18,19,-11,29,30,0,13,False,True,False,esci,bge_base,womens sweatshirts without hoods
622,B07DN4T7T6,E,28,28,0,19,21,-9,28,30,0,26,30,-2,32,34,4,26,29,-2,19,21,-9,13,False,True,False,esci,bge_base,1 1/2 sink drain without overflow
93559,B08ZLTDWBW,E,22,22,0,14,16,-8,23,21,1,10,14,-12,16,13,-6,10,15,-12,22,22,0,13,True,True,False,esci,bge_base,silver signet ring women
11925,B0797NGWZQ,E,25,25,0,12,13,-13,18,19,-7,12,13,-13,12,13,-13,12,12,-13,18,22,-7,13,False,True,False,esci,bge_base,baby fleece suit
84752,B0789Q5HRV,E,17,17,0,26,28,9,17,17,0,18,19,1,29,27,12,17,16,0,18,19,1,12,False,True,False,esci,bge_base,pvc sheet white
91498,B00J0K1L36,E,18,18,0,18,21,0,29,31,11,17,18,-1,18,19,0,23,24,5,23,25,5,12,False,True,False,esci,bge_base,security light with socket
106080,B003M5W2J2,E,30,30,0,18,18,-12,28,31,-2,18,17,-12,18,18,-12,18,19,-12,25,25,-5,12,False,True,False,esci,bge_base,twin rollaway bed with mattress
92217,B00IK1CJZU,E,28,28,0,19,26,-9,19,23,-9,28,30,0,19,23,-9,28,28,0,31,35,3,12,False,True,False,esci,bge_base,shampoo
29488,1619922835,E,16,16,0,28,27,12,16,13,0,16,13,0,16,13,0,16,12,0,16,14,0,12,False,True,False,esci,bge_base,cotton paper deckled edges
36753,B08BYYBS9F,E,31,31,0,20,22,-11,20,21,-11,31,31,0,20,20,-11,20,21,-11,31,32,0,11,False,True,False,esci,bge_base,educational baking game
25132,B077X3J27K,E,19,19,0,20,20,1,20,21,1,19,21,0,19,18,0,19,21,0,30,29,11,11,False,True,False,esci,bge_base,cheap white dress shoes
104485,B0968C27QV,E,19,19,0,198,182,179,13,13,-6,296,285,277,19,18,0,125,118,106,13,14,-6,283,False,True,True,esci,gte_modernbert,toxozers
56281,B00HXDVLL4,E,16,16,0,101,88,85,42,41,26,89,82,73,89,82,73,101,93,85,89,85,73,85,False,True,True,esci,gte_modernbert,joovy vent
24831,B076PRZG8Z,E,28,28,0,24,17,-4,28,24,0,24,21,-4,34,31,6,20,16,-8,72,70,44,52,False,True,True,esci,gte_modernbert,changing table
69025,B07X27N17T,E,15,15,0,52,52,37,51,51,36,14,15,-1,39,39,24,52,52,37,52,52,37,38,False,True,True,esci,gte_modernbert,mighty sight
70263,B0713TDC7H,E,15,15,0,24,26,9,10,11,-5,15,15,0,47,44,32,15,13,0,14,11,-1,37,True,True,False,esci,gte_modernbert,molle gear
29729,B01LY9YK3W,E,19,19,0,56,48,37,20,19,1,50,42,31,20,20,1,50,44,31,19,21,0,37,False,True,True,esci,gte_modernbert,cowitness riser
36753,1950785041,E,13,13,0,50,44,37,50,45,37,50,46,37,50,44,37,13,13,0,13,13,0,37,False,True,False,esci,gte_modernbert,educational baking game
92627,B073ZNVG3N,E,14,14,0,14,14,0,12,8,-2,27,21,13,14,16,0,14,14,0,48,39,34,36,False,True,False,esci,gte_modernbert,shirt without stripes
24831,B002ACCC52,E,19,19,0,53,51,34,55,53,36,22,19,3,33,29,14,53,54,34,55,51,36,36,False,True,True,esci,gte_modernbert,changing table
598,B000OWF7YI,E,55,55,0,20,18,-35,36,30,-19,54,50,-1,36,30,-19,55,50,0,44,40,-11,35,False,True,True,esci,gte_modernbert,0rganic potting without fertelizer for roses
25132,B072N283VG,E,48,48,0,16,15,-32,25,24,-23,48,51,0,48,47,0,48,47,0,48,50,0,32,False,True,False,esci,gte_modernbert,cheap white dress shoes
50118,B076X91719,E,15,15,0,47,44,32,15,15,0,46,45,31,47,44,32,15,15,0,46,45,31,32,False,True,False,esci,gte_modernbert,hellboy toy
57276,B071LF1KKY,E,8,8,0,37,30,29,37,30,29,37,31,29,37,35,29,37,33,29,37,34,29,29,True,True,False,esci,gte_modernbert,kerastase shampoo without sulfates
55677,B08F3CCQZG,E,20,20,0,48,45,28,20,18,0,31,29,11,20,19,0,45,47,25,38,37,18,28,False,True,False,esci,gte_modernbert,jeans cintura elastica mujer
94932,B00LHFVAZ6,E,9,9,0,37,28,28,9,9,0,9,8,0,26,23,17,21,20,12,37,34,28,28,True,True,False,esci,gte_modernbert,small tablr and chairs
50118,B0721T72YF,E,20,20,0,22,20,2,23,23,3,43,41,23,22,20,2,27,27,7,16,15,-4,27,False,True,False,esci,gte_modernbert,hellboy toy
84011,B07V9SN43B,E,16,16,0,37,32,21,10,10,-6,11,11,-5,34,31,18,16,16,0,34,32,18,27,True,True,False,esci,gte_modernbert,psp
24831,B01L7C453W,E,20,20,0,34,26,14,20,16,0,46,39,26,20,17,0,34,28,14,34,31,14,26,False,True,False,esci,gte_modernbert,changing table
