dataset,encoder,method,K,highest_pairs,rescued_pairs,newly_missed_pairs,macro_net,ci_low,ci_high
esci,bge_base,Original,500,4434,0,0,0.0,0.0,0.0
esci,bge_base,Original,1000,4434,0,0,0.0,0.0,0.0
esci,bge_base,canonical,20,4434,168,131,0.01038089279798892,-0.0008512543221773975,0.021623671536549663
esci,bge_base,canonical,50,4434,78,53,0.00589733089628391,-0.002593425339271134,0.014518743442479068
esci,bge_base,canonical,100,4434,50,39,0.0036754121574219443,-0.00207130838684096,0.01024890929481731
esci,bge_base,canonical,200,4434,35,38,0.0017295759932348899,-0.0037494325728853993,0.007994279276729042
esci,bge_base,canonical,500,4434,22,23,-0.002692923309155775,-0.008487218846061531,0.0019480502797136045
esci,bge_base,canonical,1000,4434,16,19,0.0003899893804703417,-0.006530277817539842,0.007306167967803739
esci,bge_base,canonical_raw,20,4434,35,41,-0.0026307854695105876,-0.006575808380424838,0.0009278619106280238
esci,bge_base,canonical_raw,50,4434,20,15,0.002838402985019747,-0.0017752886778990462,0.008676073358102856
esci,bge_base,canonical_raw,100,4434,13,7,0.0006750087258931031,-0.00038082699928129916,0.001749775240370561
esci,bge_base,canonical_raw,200,4434,11,9,0.0008850534902639109,-0.0008954597506701712,0.0028746309357531794
esci,bge_base,canonical_raw,500,4434,5,5,0.00062967815973828,-0.0007269346385077849,0.002250671214223318
esci,bge_base,canonical_raw,1000,4434,2,2,-2.8628685943315018e-05,-0.0006298310907529339,0.0005725737188663042
esci,bge_base,hybrid,20,4434,303,285,0.005489025549186625,-0.013084586472422286,0.023681515427856223
esci,bge_base,hybrid,50,4434,185,129,0.009960281452370488,-0.003030089375631133,0.022518820419050217
esci,bge_base,hybrid,100,4434,108,59,0.005287203093815444,-0.003385174543179196,0.013719118787922431
esci,bge_base,hybrid,200,4434,65,49,0.004816320450469876,-0.002234287322707697,0.012440825083056573
esci,bge_base,hybrid,500,4434,39,34,0.0013932828384099346,-0.003999552588243126,0.0067141714868912674
esci,bge_base,hybrid,1000,4434,21,31,-0.003760184737270488,-0.010069596385797868,0.001761250743639863
esci,bge_base,rule_appearance,20,4434,35,40,-0.00252568015398443,-0.006461296040880539,0.0010451949856799105
esci,bge_base,rule_appearance,50,4434,22,18,0.0028606697407534366,-0.00201118523211238,0.00889435326738241
esci,bge_base,rule_appearance,100,4434,14,8,0.0007699354213893588,-0.0003809145555481477,0.0019496167283632934
esci,bge_base,rule_appearance,200,4434,11,8,0.0010854542918671173,-0.0006519568718967515,0.003038556022022956
esci,bge_base,rule_appearance,500,4434,5,5,0.00062967815973828,-0.0007269346385077849,0.002250671214223318
esci,bge_base,rule_appearance,1000,4434,2,2,-2.8628685943315018e-05,-0.0006298310907529339,0.0005725737188663042
esci,bge_base,set_mean,20,4434,263,376,-0.021293921685964164,-0.03721732177461737,-0.005621549498773413
esci,bge_base,set_mean,50,4434,116,229,-0.024183676622830438,-0.03739827061356993,-0.010984855881747947
esci,bge_base,set_mean,100,4434,81,154,-0.020272265227298983,-0.031534631893564986,-0.00900940263435401
esci,bge_base,set_mean,200,4434,56,100,-0.009359829862320236,-0.018426994401169242,-0.00046071070577905854
esci,bge_base,set_mean,500,4434,29,70,-0.007781932657341369,-0.01663388708358582,0.000955574673322667
esci,bge_base,set_mean,1000,4434,20,75,-0.009766123887129056,-0.01832894352173041,-0.0013486004478680622
wands,minilm,BM25,20,21299,1500,1326,0.03911349206258206,0.01418015591539939,0.06493422851662481
wands,minilm,BM25,50,21299,2423,2075,0.059508861053036516,0.03336903195530959,0.0869611541386989
wands,minilm,BM25,100,21299,2983,2476,0.0534919432866498,0.02798493531676041,0.08022791306049486
wands,minilm,BM25,200,21299,3176,2493,0.04100713773523352,0.014615093485528308,0.0680190069768468
wands,minilm,BM25,500,21299,3024,2201,0.020588753418584876,-0.005202963856316755,0.046316026211123636
wands,minilm,BM25,1000,21299,2006,1661,0.00976987506127111,-0.014976525045184009,0.03519005882219966
wands,minilm,Original,20,21299,0,0,0.0,0.0,0.0
wands,minilm,Original,50,21299,0,0,0.0,0.0,0.0
wands,minilm,Original,100,21299,0,0,0.0,0.0,0.0
wands,minilm,Original,200,21299,0,0,0.0,0.0,0.0
wands,minilm,Original,500,21299,0,0,0.0,0.0,0.0
wands,minilm,Original,1000,21299,0,0,0.0,0.0,0.0
wands,minilm,canonical,20,21299,1088,1300,-0.04627315054541293,-0.0715724204615142,-0.0223454905299225
wands,minilm,canonical,50,21299,1738,2136,-0.058965158507876494,-0.085905246872678,-0.03344722402675021
wands,minilm,canonical,100,21299,2145,2721,-0.05911070417742968,-0.08552752669086615,-0.033079604046528044
wands,minilm,canonical,200,21299,2300,3012,-0.05552763394262983,-0.07998341640181206,-0.03114786261678164
wands,minilm,canonical,500,21299,2155,2618,-0.05419335392554208,-0.07663871450513565,-0.031865439318350064
wands,minilm,canonical,1000,21299,1341,1757,-0.026886676856455793,-0.047810242596643765,-0.00583630565439954
wands,minilm,canonical_raw,20,21299,558,580,-0.020858172168951722,-0.04030961025841967,-0.0026709304286350456
wands,minilm,canonical_raw,50,21299,864,956,-0.01753300596718503,-0.033141843983844656,-0.0034426919296944693
wands,minilm,canonical_raw,100,21299,1007,1228,-0.01834261847444814,-0.031735865941249865,-0.006399272385603155
wands,minilm,canonical_raw,200,21299,1058,1369,-0.013424850874782533,-0.025777306881015708,-0.001817220673330015
wands,minilm,canonical_raw,500,21299,983,1258,-0.012353038293632629,-0.021352625947068424,-0.003837859333223934
wands,minilm,canonical_raw,1000,21299,641,959,-0.005124890445533482,-0.014097635261433103,0.005184561263314331
wands,minilm,hybrid,20,21299,958,640,0.05050205825383205,0.03462499313359609,0.06831261405837838
wands,minilm,hybrid,50,21299,1506,873,0.08299067042116619,0.06194978314006852,0.10561882503392776
wands,minilm,hybrid,100,21299,1866,942,0.07439151428868304,0.05762852925254443,0.09282727014843925
wands,minilm,hybrid,200,21299,2113,876,0.07402082875162608,0.055278043836724945,0.09389445908899038
wands,minilm,hybrid,500,21299,2168,728,0.05484417719245173,0.035445054447700006,0.0752453303340794
wands,minilm,hybrid,1000,21299,1541,392,0.043080235644718426,0.027334884850282883,0.0607356925332139
wands,minilm,rule_appearance,20,21299,564,583,-0.006550467474936464,-0.02207078912479783,0.008658494926503921
wands,minilm,rule_appearance,50,21299,906,935,-0.002352558393865841,-0.012490641108771815,0.007573001609307855
wands,minilm,rule_appearance,100,21299,1015,1173,-0.0175205289336859,-0.030048170381547154,-0.006277444947064663
wands,minilm,rule_appearance,200,21299,1090,1292,-0.013387453056660151,-0.025163686896972695,-0.0024304673481655727
wands,minilm,rule_appearance,500,21299,983,1168,-0.01011595160030265,-0.018229131407333222,-0.0026148825510405828
wands,minilm,rule_appearance,1000,21299,672,857,-0.0039319169452999205,-0.009939123774319795,0.0024780072612836687
wands,minilm,set_mean,20,21299,1004,985,0.00782354111276237,-0.012218710790501271,0.028227479547381487
wands,minilm,set_mean,50,21299,1507,1432,0.017204041400586262,-0.0009948638704124111,0.03696203711425256
wands,minilm,set_mean,100,21299,1774,1729,0.00923672119708839,-0.006576352128622766,0.025180386015196652
wands,minilm,set_mean,200,21299,1836,1809,0.0004938272869670866,-0.013708396262863288,0.014471916763105937
wands,minilm,set_mean,500,21299,1678,1613,0.0007160083719885943,-0.012228140103263084,0.012797625554818913
wands,minilm,set_mean,1000,21299,1071,1111,0.0022951899121163247,-0.010271519273309559,0.01499093061538848
esci,minilm,BM25,20,4434,560,546,-0.0026700824757317863,-0.0285356570807453,0.023762052006313115
esci,minilm,BM25,50,4434,331,408,-0.01254036036554742,-0.037168084316507755,0.01226910742475108
esci,minilm,BM25,100,4434,191,340,-0.03303950991309308,-0.05433730525444641,-0.011742828164834037
esci,minilm,BM25,200,4434,147,352,-0.04635884996083388,-0.06795022263919046,-0.024646828024251666
esci,minilm,BM25,500,4434,82,325,-0.060664331938166303,-0.07927971087088216,-0.042522348859845835
esci,minilm,BM25,1000,4434,48,307,-0.06530120889979217,-0.08271979709933111,-0.048927534343660734
esci,minilm,Original,20,4434,0,0,0.0,0.0,0.0
esci,minilm,Original,50,4434,0,0,0.0,0.0,0.0
esci,minilm,Original,100,4434,0,0,0.0,0.0,0.0
esci,minilm,Original,200,4434,0,0,0.0,0.0,0.0
esci,minilm,Original,500,4434,0,0,0.0,0.0,0.0
esci,minilm,Original,1000,4434,0,0,0.0,0.0,0.0
esci,minilm,canonical,20,4434,240,235,-0.0032513350377107266,-0.01555954372252006,0.0086715246365954
esci,minilm,canonical,50,4434,132,106,0.005098205163949452,-0.005567434514356912,0.01572367723716005
esci,minilm,canonical,100,4434,83,63,0.007642957809553283,-0.0029768544482933795,0.018488650808292487
esci,minilm,canonical,200,4434,54,54,0.0010070719515925715,-0.008680493878257829,0.010895732421547205
esci,minilm,canonical,500,4434,46,42,-0.0031957358833938085,-0.011686025380220835,0.004392653088455014
esci,minilm,canonical,1000,4434,23,18,-0.002727140928543735,-0.009696681118340225,0.002785311715672435
esci,minilm,canonical_raw,20,4434,27,46,-0.004555193009992146,-0.009816696399358766,0.0004374428093829815
esci,minilm,canonical_raw,50,4434,26,12,0.0059320618180985964,0.0010924283080175744,0.012124127665136151
esci,minilm,canonical_raw,100,4434,12,4,0.0027583471972249525,-0.0004769750122956542,0.007791880380808235
esci,minilm,canonical_raw,200,4434,12,10,0.0017206412121241778,-0.0015403325451546893,0.006753008331477767
esci,minilm,canonical_raw,500,4434,6,4,0.001171914536142993,-0.00027286264448088095,0.002963047550034022
esci,minilm,canonical_raw,1000,4434,3,1,0.0006680026720106878,-0.00016700066800267194,0.0018370073480293914
esci,minilm,hybrid,20,4434,401,238,0.03487945539674908,0.015516276498902274,0.053681515979942536
esci,minilm,hybrid,50,4434,302,107,0.057626429422269046,0.04084772709759327,0.07541420662723339
esci,minilm,hybrid,100,4434,176,50,0.03431790522139108,0.0216760254347724,0.047839306677528316
esci,minilm,hybrid,200,4434,128,68,0.015481857590990042,0.0027373693045482854,0.029288426242808394
esci,minilm,hybrid,500,4434,79,32,0.01092429826674632,0.0032699059358793302,0.019497067439498354
esci,minilm,hybrid,1000,4434,46,39,-0.0008350162184145954,-0.007981436419760436,0.005939384128393722
esci,minilm,rule_appearance,20,4434,28,47,-0.0050690412192311365,-0.010487364559569928,1.1513570599444685e-05
esci,minilm,rule_appearance,50,4434,26,14,0.005682478402182515,0.0007910391776285323,0.011884477192225032
esci,minilm,rule_appearance,100,4434,13,6,0.002361449505738083,-0.001014700896965426,0.007323656220199303
esci,minilm,rule_appearance,200,4434,11,11,0.0014328862149503435,-0.0017829579011317484,0.006433080055011413
esci,minilm,rule_appearance,500,4434,7,4,0.0013260689989146902,-0.00014739074107811582,0.0031381967995820666
esci,minilm,rule_appearance,1000,4434,3,1,0.0006680026720106878,-0.00016700066800267194,0.0018370073480293914
esci,minilm,set_mean,20,4434,291,354,-0.015260368262382218,-0.03133104574035143,0.0008259162649669657
esci,minilm,set_mean,50,4434,146,211,-0.012224574201943969,-0.02633235958105709,0.0016655655895704683
esci,minilm,set_mean,100,4434,98,147,-0.016342998552976978,-0.029034342576343426,-0.004085623594267399
esci,minilm,set_mean,200,4434,65,112,-0.01870514366334179,-0.02948142267051758,-0.008732329356924133
esci,minilm,set_mean,500,4434,52,77,-0.009044967979943194,-0.017830507876982406,-0.0007812882333634428
esci,minilm,set_mean,1000,4434,31,59,-0.01164281017474246,-0.0202839526016472,-0.004260951243979802
esci_new,bge_base,BM25,20,940,85,147,-0.09830526788120601,-0.15512466851663095,-0.04249234254307783
esci_new,bge_base,BM25,50,940,44,132,-0.11031798960843078,-0.1674012408547335,-0.05415368759100381
esci_new,bge_base,BM25,100,940,29,123,-0.11090451299883347,-0.16518736689555655,-0.057817977120918296
esci_new,bge_base,BM25,200,940,20,116,-0.10980409350997589,-0.16379317426854192,-0.057486896328072794
esci_new,bge_base,BM25,500,940,9,99,-0.1007798122356946,-0.14151619222280987,-0.06408079164843872
esci_new,bge_base,BM25,1000,940,1,99,-0.1029849034407858,-0.14374621242047714,-0.06554359228734229
esci_new,bge_base,Original,20,940,0,0,0.0,0.0,0.0
esci_new,bge_base,Original,50,940,0,0,0.0,0.0,0.0
esci_new,bge_base,Original,100,940,0,0,0.0,0.0,0.0
esci_new,bge_base,Original,200,940,0,0,0.0,0.0,0.0
esci_new,bge_base,Original,500,940,0,0,0.0,0.0,0.0
esci_new,bge_base,Original,1000,940,0,0,0.0,0.0,0.0
esci_new,bge_base,canonical,20,940,42,33,0.011243562345362548,-0.0008582364875658483,0.024479267424808104
esci_new,bge_base,canonical,50,940,24,18,0.012550175479054787,0.0015728781814449947,0.02552596086265268
esci_new,bge_base,canonical,100,940,19,16,0.010697110759610757,-0.002413483044733044,0.02600431923400672
esci_new,bge_base,canonical,200,940,7,12,-0.006847892847892847,-0.02152796139046139,0.005055765993265992
esci_new,bge_base,canonical,500,940,10,7,0.003319143819143819,-0.001728715728715725,0.008840596440596434
esci_new,bge_base,canonical,1000,940,3,1,0.002215007215007215,-0.001428571428571428,0.007359307359307359
esci_new,bge_base,canonical_raw,20,940,16,12,0.008178051115551116,-0.002684706439393935,0.022602712912087916
esci_new,bge_base,canonical_raw,50,940,7,9,0.0004165209790209792,-0.004992978896103895,0.006506655844155838
esci_new,bge_base,canonical_raw,100,940,2,4,-0.0031666666666666666,-0.013666666666666667,0.005833333333333334
esci_new,bge_base,canonical_raw,200,940,1,1,-0.00038095238095238096,-0.002142857142857142,0.000999999999999999
esci_new,bge_base,canonical_raw,500,940,2,1,0.000909090909090909,0.0,0.002727272727272727
esci_new,bge_base,canonical_raw,1000,940,0,0,0.0,0.0,0.0
esci_new,bge_base,hybrid,20,940,66,62,-0.003305843422222734,-0.04381583035817947,0.037013547651263135
esci_new,bge_base,hybrid,50,940,36,34,0.001815825378325382,-0.03129070044538794,0.03463892016548262
esci_new,bge_base,hybrid,100,940,27,21,0.010608105130163954,-0.011055605383178915,0.037650230100781557
esci_new,bge_base,hybrid,200,940,17,16,0.009677133324192146,-0.011862866871690398,0.03725641246008892
esci_new,bge_base,hybrid,500,940,9,9,-0.0009050024050024036,-0.011015259740259737,0.008232461519961508
esci_new,bge_base,hybrid,1000,940,1,10,-0.006479187479187478,-0.014523851148851146,-0.00042424242424242404
esci_new,bge_base,rule_appearance,20,940,17,13,0.007548421485921486,-0.0035413970867095865,0.022171911826599326
esci_new,bge_base,rule_appearance,50,940,6,9,-0.00029776473526473473,-0.005550243506493504,0.0056174242424242345
esci_new,bge_base,rule_appearance,100,940,2,4,-0.0031666666666666666,-0.013666666666666667,0.005833333333333334
esci_new,bge_base,rule_appearance,200,940,1,1,-0.00038095238095238096,-0.002142857142857142,0.000999999999999999
esci_new,bge_base,rule_appearance,500,940,2,1,0.000909090909090909,0.0,0.002727272727272727
esci_new,bge_base,rule_appearance,1000,940,0,0,0.0,0.0,0.0
esci_new,bge_base,set_mean,20,940,58,102,-0.06132447155241273,-0.1048379443541208,-0.018137906252244488
esci_new,bge_base,set_mean,50,940,25,79,-0.040269698931336854,-0.07187306743783037,-0.006196502629315126
esci_new,bge_base,set_mean,100,940,17,58,-0.034147037874979046,-0.06364588358944975,-0.0014534955716941128
esci_new,bge_base,set_mean,200,940,13,39,-0.022218505758946926,-0.04938154761904761,0.007900230110983788
esci_new,bge_base,set_mean,500,940,8,26,-0.02152453102453102,-0.03850705266955266,-0.007233477633477636
esci_new,bge_base,set_mean,1000,940,1,27,-0.02648135198135198,-0.043977218614718615,-0.011856838994339
