dataset,query_id,repeat,single_query_encode_ms
wands,7,5,12.691100011579692
wands,8,5,11.210199911147356
wands,9,5,11.537599959410727
wands,10,5,10.821199975907803
wands,11,5,11.165600037202239
wands,12,5,11.576500022783875
wands,13,5,11.543000000528991
wands,14,5,11.052599991671741
wands,15,5,10.611000005155802
wands,16,5,10.6425000121817
wands,17,5,10.704000014811754
wands,18,5,11.03530009277165
wands,19,5,11.71220000833273
wands,20,5,11.984099983237684
wands,21,5,11.391100008040667
wands,22,5,10.604700073599815
wands,23,5,11.116200010292232
wands,24,5,11.523599969223142
wands,25,5,11.378699913620949
wands,26,5,11.166299926117063
wands,27,5,12.306399992667139
wands,28,5,13.09610006865114
wands,29,5,11.481599998660386
wands,30,5,11.750000063329935
wands,31,5,11.052899993956089
wands,32,5,11.098499991931021
wands,33,5,10.862900060601532
wands,34,5,10.473800008185208
wands,35,5,10.633999947458506
wands,36,5,10.341199929825962
wands,37,5,11.285100015811622
wands,38,5,11.948099941946566
wands,39,5,11.47520006634295
wands,40,5,10.732099995948374
wands,41,5,12.780899996869266
wands,42,5,13.92249995842576
wands,43,5,11.650900007225573
wands,44,5,11.885400046594441
wands,45,5,11.493599973618984
wands,46,5,11.548100039362907
wands,47,5,11.450399993918836
wands,48,5,12.520799995400012
wands,49,5,12.905300012789667
