dataset,factor,level,label,pairs,queries,macro_vi20,ci_low,ci_high
wands,length_band,"(128.0, 256.0]",Exact,1323,145,0.11873140919644468,0.0834782218752644,0.1581532010279383
wands,length_band,"(128.0, 256.0]",Irrelevant,3075,249,0.005133302218918716,0.00011811953697141507,0.01416454915789413
wands,length_band,"(128.0, 256.0]",Partial,3242,341,0.030931569301907862,0.02123420205824356,0.04200100880841889
wands,length_band,"(256.0, 512.0]",Exact,7134,286,0.08406368324478469,0.06839337163920438,0.10196207693099558
wands,length_band,"(256.0, 512.0]",Irrelevant,17491,376,0.00786386784167785,0.004160350266830911,0.012780139234589068
wands,length_band,"(256.0, 512.0]",Partial,33393,451,0.040965776351637645,0.03409997850056625,0.048737158077857674
wands,length_band,"(512.0, 1024.0]",Exact,14865,336,0.12981025871445687,0.11067835442060231,0.15095613009618744
wands,length_band,"(512.0, 1024.0]",Irrelevant,35039,389,0.008070796595848686,0.004705338115885673,0.012485782497704632
wands,length_band,"(512.0, 1024.0]",Partial,94483,458,0.058413943259027,0.05192339659334909,0.06546926657347105
wands,has_duplicates,False,Exact,25391,379,0.12034979377583588,0.10555391399862876,0.1361078005593296
wands,has_duplicates,False,Irrelevant,60503,423,0.008770657374704411,0.005487746189137139,0.013074248772445292
wands,has_duplicates,False,Partial,145174,468,0.05498685172657062,0.04997821833551564,0.06017380028723928
wands,has_duplicates,True,Exact,79,49,0.07312925170068027,0.011904761904761906,0.15306122448979592
wands,has_duplicates,True,Irrelevant,216,88,0.03077651515151515,0.0037878787878787876,0.06818181818181818
wands,has_duplicates,True,Partial,496,186,0.05161290322580645,0.024014336917562724,0.08280017921146947
esci,margin_band,"(-0.01, 0.0]",C,56,27,0.41358024691358025,0.25925925925925924,0.5709876543209876
esci,margin_band,"(-0.01, 0.0]",E,300,146,0.3674331376386171,0.3012866927592955,0.4334478962818004
esci,margin_band,"(-0.01, 0.0]",I,125,86,0.3498062015503876,0.25872093023255816,0.440891472868217
esci,margin_band,"(-0.01, 0.0]",S,284,167,0.37701739378386084,0.3147412318220701,0.44188765326489876
esci,margin_band,"(-0.05, -0.01]",C,107,54,0.0,0.0,0.0
esci,margin_band,"(-0.05, -0.01]",E,696,222,0.01868134368134368,0.006505702130702132,0.034308082433082435
esci,margin_band,"(-0.05, -0.01]",I,311,134,0.014925373134328358,0.0,0.033582089552238806
esci,margin_band,"(-0.05, -0.01]",S,680,245,0.02542274052478134,0.010971817298347909,0.04312949465500485
esci,margin_band,"(-0.1, -0.05]",C,43,28,0.0,0.0,0.0
esci,margin_band,"(-0.1, -0.05]",E,352,137,0.0,0.0,0.0
esci,margin_band,"(-0.1, -0.05]",I,356,133,0.0,0.0,0.0
esci,margin_band,"(-0.1, -0.05]",S,425,169,0.0,0.0,0.0
esci,margin_band,"(-inf, -0.1]",C,20,16,0.0,0.0,0.0
esci,margin_band,"(-inf, -0.1]",E,113,58,0.0,0.0,0.0
esci,margin_band,"(-inf, -0.1]",I,305,95,0.0,0.0,0.0
esci,margin_band,"(-inf, -0.1]",S,149,65,0.0,0.0,0.0
esci,margin_band,"(0.0, 0.01]",C,35,24,0.3680555555555555,0.1875,0.5555555555555556
esci,margin_band,"(0.0, 0.01]",E,300,160,0.22428571428571428,0.16928311011904762,0.2827254464285714
esci,margin_band,"(0.0, 0.01]",I,90,64,0.2421875,0.15104166666666666,0.3411458333333333
esci,margin_band,"(0.0, 0.01]",S,249,159,0.22211740041928718,0.1659329140461216,0.28270440251572326
esci,margin_band,"(0.01, 0.05]",C,100,58,0.0,0.0,0.0
esci,margin_band,"(0.01, 0.05]",E,988,316,0.00949367088607595,0.002373417721518987,0.019251054852320672
esci,margin_band,"(0.01, 0.05]",I,250,128,0.0,0.0,0.0
esci,margin_band,"(0.01, 0.05]",S,844,313,0.009558040468583598,0.0027955271565495207,0.01847710330138445
esci,margin_band,"(0.05, 0.1]",C,82,46,0.0,0.0,0.0
esci,margin_band,"(0.05, 0.1]",E,918,337,0.001483679525222552,0.0,0.004451038575667656
esci,margin_band,"(0.05, 0.1]",I,159,86,0.0,0.0,0.0
esci,margin_band,"(0.05, 0.1]",S,623,252,0.003968253968253968,0.0,0.011904761904761904
esci,margin_band,"(0.1, inf]",C,62,28,0.0,0.0,0.0
esci,margin_band,"(0.1, inf]",E,767,247,0.0,0.0,0.0
esci,margin_band,"(0.1, inf]",I,54,33,0.0,0.0,0.0
esci,margin_band,"(0.1, inf]",S,291,119,0.0,0.0,0.0
esci,query_length_band,1,C,16,5,0.0,0.0,0.0
esci,query_length_band,1,E,185,14,0.03771129663986807,0.011904761904761904,0.06720263863121005
esci,query_length_band,1,I,148,11,0.018396745388020365,0.0,0.0392363687536779
esci,query_length_band,1,S,69,8,0.030952380952380953,0.0,0.08095238095238096
esci,query_length_band,2-3,C,236,58,0.045153737887728036,0.015694076038903625,0.07914726898717042
esci,query_length_band,2-3,E,1830,210,0.03338949599838892,0.02354060112701598,0.044313020984727176
esci,query_length_band,2-3,I,613,106,0.04414771549205511,0.023568689892392723,0.07064794940384563
esci,query_length_band,2-3,S,1386,185,0.0362013987013987,0.024374585312085313,0.04925383262883263
esci,query_length_band,4+,C,253,75,0.04517460317460317,0.01733095238095238,0.08139841269841268
esci,query_length_band,4+,E,2419,275,0.0390278562671557,0.027010819493480016,0.05347718331073919
esci,query_length_band,4+,I,889,160,0.04402706603896619,0.024571258152805656,0.06681322260685649
esci,query_length_band,4+,S,2090,245,0.059611378754141124,0.04675150019215145,0.07323820125128411
esci,length_band,"(-1.0, 128.0]",C,175,69,0.05495169082125604,0.018115942028985508,0.10024154589371981
esci,length_band,"(-1.0, 128.0]",E,1642,392,0.04370743802016311,0.029135248963055083,0.06034683809837622
esci,length_band,"(-1.0, 128.0]",I,612,200,0.029267732267732268,0.012870183982683983,0.04960169830169829
esci,length_band,"(-1.0, 128.0]",S,1297,336,0.05507818026200379,0.039165592057530084,0.07233147915100382
esci,length_band,"(1024.0, inf]",C,2,2,0.0,0.0,0.0
esci,length_band,"(1024.0, inf]",E,32,21,0.0,0.0,0.0
esci,length_band,"(1024.0, inf]",I,10,8,0.125,0.0,0.375
esci,length_band,"(1024.0, inf]",S,20,14,0.07142857142857142,0.0,0.21428571428571427
esci,length_band,"(128.0, 256.0]",C,104,63,0.0701058201058201,0.027777777777777776,0.12169312169312169
esci,length_band,"(128.0, 256.0]",E,936,331,0.030765793454615206,0.018749655325372847,0.04438533751411394
esci,length_band,"(128.0, 256.0]",I,375,144,0.032377094356261016,0.014244378306878306,0.054976989638447965
esci,length_band,"(128.0, 256.0]",S,797,293,0.06280207278500793,0.04429069153258573,0.0833455068821963
esci,length_band,"(256.0, 512.0]",C,109,63,0.03051146384479718,0.0031746031746031746,0.07142857142857142
esci,length_band,"(256.0, 512.0]",E,1009,320,0.040681618728493726,0.0255544548767205,0.05756869822885446
esci,length_band,"(256.0, 512.0]",I,406,146,0.07524733637747336,0.04213993531202435,0.11320395738203957
esci,length_band,"(256.0, 512.0]",S,782,286,0.030122441660903197,0.018422266835728375,0.04340347152847152
esci,length_band,"(512.0, 1024.0]",C,115,55,0.02722943722943723,0.004502164502164502,0.05727272727272728
esci,length_band,"(512.0, 1024.0]",E,815,234,0.035304201970868636,0.021306390368890368,0.05122113611696944
esci,length_band,"(512.0, 1024.0]",I,247,114,0.03370927318295739,0.008771929824561403,0.06478696741854637
esci,length_band,"(512.0, 1024.0]",S,649,238,0.03400167759411457,0.01804717079139348,0.05261412257210576
esci,has_duplicates,False,C,505,138,0.0435290727216193,0.0232521860472171,0.06689178876678875
esci,has_duplicates,False,E,4426,498,0.03669159193993502,0.028697105898155304,0.04536632669680398
esci,has_duplicates,False,I,1644,277,0.043078566296284884,0.028681084998812948,0.059687873500358826
esci,has_duplicates,False,S,3542,438,0.04923185956856454,0.04034305763667033,0.058710606955207106
esci,has_duplicates,True,E,8,8,0.0,0.0,0.0
esci,has_duplicates,True,I,6,5,0.0,0.0,0.0
esci,has_duplicates,True,S,3,3,0.0,0.0,0.0
