schedule,dataset,model,query_id,product_id,K,catalog_index,score,competitor_threshold_score,competitor_threshold_id,competitor_threshold_index,signed_margin,reconstructed_rank,saved_rank,inclusion,reconstructed_inclusion,token_length,tokenizer_cap,fully_fitting,rank_mismatch,unresolved_boundary,exact_threshold_tie,precision,catalog_size,competitors,selection,display,variant
C2s1,wands,minilm,2,3276,20,3276,0.4509788751602173,0.4738779664039612,42557,42557,-0.022899091243743896,32,32,False,False,217,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s1,wands,bge_base,260,41359,20,41359,0.7952865362167358,0.7925198674201965,33136,33136,0.0027666687965393066,19,19,True,True,444,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,main_stable_control,minimum
C2s3,wands,bge_base,260,41359,20,41359,0.8029924631118774,0.7925198674201965,33136,33136,0.010472595691680908,14,14,True,True,444,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,main_stable_control,maximum
C2s5,wands,bge_base,408,27808,20,27808,0.6894804239273071,0.6678919196128845,27802,27802,0.021588504314422607,13,13,True,True,322,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s1,wands,bge_base,408,27808,20,27808,0.6959743499755859,0.6678919196128845,27802,27802,0.028082430362701416,11,11,True,True,322,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s1,wands,bge_base,2,24094,20,24094,0.6920015811920166,0.6798591613769531,19651,19651,0.012142419815063477,8,8,True,True,275,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s3,wands,bge_base,2,24094,20,24094,0.698224663734436,0.6798591613769531,19651,19651,0.01836550235748291,6,6,True,True,275,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C1,wands,bge_base,235,28377,20,28377,0.7848873138427734,0.7740170359611511,20422,20422,0.010870277881622314,12,12,True,True,278,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s5,wands,bge_base,235,28377,20,28377,0.7915843725204468,0.7740170359611511,20422,20422,0.017567336559295654,9,9,True,True,278,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C1,wands,bge_base,420,13149,20,13149,0.667100191116333,0.7220048308372498,33852,33852,-0.05490463972091675,402,402,False,False,430,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C0,wands,bge_base,420,13149,20,13149,0.6787741780281067,0.7220048308372498,33852,33852,-0.043230652809143066,255,255,False,False,430,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C1,wands,bge_base,473,4373,20,4373,0.677433967590332,0.7439413070678711,8692,8692,-0.06650733947753906,505,505,False,False,243,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C0,wands,bge_base,473,4373,20,4373,0.7127278447151184,0.7439413070678711,8692,8692,-0.031213462352752686,129,129,False,False,243,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s4,wands,bge_base,235,40594,20,40594,0.7272701263427734,0.7741144895553589,7253,7253,-0.04684436321258545,82,82,False,False,211,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s3,wands,bge_base,235,40594,20,40594,0.7481739521026611,0.7741144895553589,7253,7253,-0.025940537452697754,46,46,False,False,211,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s3,wands,bge_base,26,5296,20,5296,0.6241039633750916,0.7673531770706177,363,363,-0.14324921369552612,6097,6097,False,False,407,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s4,wands,bge_base,26,5296,20,5296,0.6389359831809998,0.7673531770706177,363,363,-0.12841719388961792,4430,4430,False,False,407,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s2,wands,minilm,359,12575,20,12575,0.3867812752723694,0.4912347197532654,9834,9834,-0.104453444480896,174,174,False,False,139,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,post_hoc_historical,supplement_historical,minimum
C2s3,wands,minilm,359,12575,20,12575,0.49408191442489624,0.4912347197532654,9834,9834,0.0028471946716308594,15,15,True,True,139,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,post_hoc_historical,supplement_historical,maximum
