model,query_id,product_id,state,max_tokens_seven,attribute_count,rank_span,selection_hash,selected
minilm,235,40099,crossing,198,20,23,1edbe961fb89ee6000470ad4441ab1697c4e1e0ec3813a92a71729bb4943fc53,False
minilm,464,15086,crossing,135,14,10,229943ad71091c5b4e959a31dee15f9e2d76ce14d1d08d5ec387bfcf7dca5921,False
minilm,248,16398,crossing,175,14,5,23e0caa34496875a1081eca24df89f1217b617ee9405b4d847f7ac848dba8beb,False
minilm,359,12575,crossing,139,10,159,2be5fd4ba06e7482d0d7511cbde68caec0c40d15e90aa658a33378826046ad6c,False
minilm,415,19110,crossing,246,21,15,3143157e74a5d05c8d45bec9a6a1a7368b10738c80e5e7c60a63b77e3d7001e8,False
minilm,227,9237,crossing,248,26,13,38e5eb6dc036252f6f6e02b86fefb7716dc0448fc8f275e9bd1efd023e102371,False
minilm,446,31177,crossing,212,22,13,39ad5435af429e01eafcd8b914f5b3a25dd495284d78955122136492b6b765c1,False
minilm,234,37794,crossing,189,20,28,3aac41f4ace61e8d63564f2603769ddcfd4ff727314745475949f48433e994bd,False
minilm,180,30280,crossing,235,18,17,3ea6828b567439aa39fbdd1c39b41df533c0d814d541e4b77508c666c1afe723,False
minilm,230,3250,crossing,170,18,12,4000ed32a21ba2bb866bce0215497e23d59d26078adf7ad7564ca355c6790fd6,False
minilm,231,20147,crossing,239,23,31,417473a45e8b8ccb712c4a9e2e5a2486bec36375706a458068f334826a1f100d,False
minilm,472,27343,crossing,211,17,45,43c0f25614b95a3362ed4279372eadec6f90406da98bec22ef18b5a3d4ed449b,False
minilm,245,34729,crossing,171,15,11,476db1edb478339638a2ea1baabc25cc783171dd7cc3aaf797f215f10afdf31f,False
minilm,28,6252,crossing,211,22,31,481bd37f1275f1cbbbbe64bd3fd941c0a98228d1838713ab6fb242622dc25bce,False
minilm,28,924,crossing,234,21,23,514de157508699ecf4a77c3e36b46e8aca40f56e46ab10437169445155e73844,False
minilm,464,20063,crossing,152,11,9,51ca0bf4d14b8674bbdc175bbb482a1ef65ed75edc853a8ecb669e258ee54955,False
minilm,352,41117,crossing,220,25,40,5746d8abe27f8092a1196b989a99675334c4c6ec9d0180f21f12413343503504,False
minilm,111,10180,crossing,154,11,16,5c642360012ea8d43c35967dce224bd59fe576b70f8000b89787bf742dbacf22,False
minilm,247,34743,crossing,191,16,6,6024a4366a42a8500527e8121e9808ff9373785755c15db6b94bff322172a47a,False
minilm,251,16299,crossing,214,19,17,603f28ed1515aeed3b0e7f2ca787698aea6e9ac224bb61c90e9dd6d27b928403,False
minilm,63,25292,crossing,244,25,18,61aded9bd7a871e1ab6f23be80d4c49fcf6d49f505a684afc561afa787b5eb22,False
minilm,227,17953,crossing,245,23,12,67588dfbc70a7306496da53943e0288e633ab58557f985941be5f3b66404f766,False
minilm,423,39387,crossing,217,22,28,6a0837adfd11c355972bb9e5b4601ca2e679b3ff96bd2c709cf3e41a686b68cc,False
minilm,472,792,crossing,230,21,52,6cbea873df26dd81b9d0cdc26ae8e072fea35dae4338c03fae10698466f32015,False
minilm,138,22156,crossing,239,16,10,7068bff917bdfcd4c8bedf70afe8df9bb3b7e03f7950be8e9d7a0148095c1328,False
minilm,112,6250,crossing,254,23,58,7255ed395502d91f708dfc72b13710c0b2d4ea5ad140e5bc2ca30c253cf13e03,False
minilm,235,29599,crossing,205,22,18,72c8d2a800c8ba875567340f3bd6a2188b1f636543c740707b07c7ef656fb938,False
minilm,415,34897,crossing,232,16,13,73b180871d638d205c2313255d5dbbd7ccbcb3d2ed8b4a38ef22f75d23bec220,False
minilm,175,29854,crossing,255,26,25,787309e8c67c6e447a86d33cc5248a8865a20ec0c5fc1a69a52cd81fe2e5f08d,False
minilm,102,28007,crossing,208,26,17,79949ea2fadea787dcdfbd2b063b74966d737928860606cbe3931f55a6978120,False
minilm,175,671,crossing,210,23,16,7c4d3a9abc984079a602d076b9aadd4690043ec212b6ec66927b53e2bc74221e,False
minilm,146,19604,crossing,153,14,49,7fc1f15ed14718ee15620344e9dcc810320757e56245ca927162940c99d5ac2d,False
minilm,245,24362,crossing,214,21,10,828583498daf5c426ad87ef90864e8c7ca12ac7152ac18249b494c342855c401,False
minilm,184,1671,crossing,256,23,30,84cf3faae8475a121e339cc4532ec28c54aaebfb94e3c163ca613475716d397c,False
minilm,180,2782,crossing,237,18,30,884e990dd8b0947497ddd72d565021e5fa36519c85103e3d39760bd1e4203cc9,False
minilm,119,20914,crossing,193,21,44,88b0d7d6565128f64cfabfe1554bc98b9a31e5517d1a64796aecda13a5c50c6b,False
minilm,415,18703,crossing,182,18,17,8a6d8beffb3abdd981f14b1409e96da0f5e9e121811f803622d749a351ad3de2,False
minilm,111,10185,crossing,164,7,28,8cfccce17400acd71eb0c91f130487e1a97260c6b62dd7a6b643d998c74d554c,False
minilm,108,3048,crossing,180,16,28,90c4411f1951f3ea3bba5058a5b5d0fdf1f20751f6152de97dde5ad6cfbf3645,False
minilm,473,30279,crossing,187,17,44,94b2ee0517da58b0cdfc9f9d11fa9f7ef1d113f06f0ae40352a2c0b97c3fb520,False
minilm,63,37112,crossing,137,11,6,96c09493fe6fecf3ffdb2de7545e290c6461ef9fd4936cdad1275077f56fe3e0,False
minilm,422,34378,crossing,224,20,32,9ac13cad2c9ce7f820408f5d07bee94164f851b1462c3a3e9b66a0652d4fd6f2,False
minilm,102,13050,crossing,246,25,12,9b76b52e9ffb61e216aa5e0c1b4eb97fe7181895360e34bb16572a81feebddac,False
minilm,247,4539,crossing,232,21,9,9cab61b4f7bdb1a380e06b52e3ead0652083bcbbeca4fb8d56850bfaabde16a4,False
minilm,235,8059,crossing,195,20,13,a722a6a106c3438ee836a751dbf5e8b19784e27281de6625bd2b0d71ec5c35a3,False
minilm,108,3049,crossing,229,18,19,a8def5605240c5d9ca16ef98b092c3029465604d8502341736a7aecc15a338ac,False
minilm,160,11442,crossing,187,18,27,a9ddc324e521136e807fb2ffd19f6a15405009c49b04b4af45aabf389699680c,False
minilm,227,34947,crossing,179,17,19,af7df521023b897b1e0c77503e4e27330d56be1f0a782e34b62f073e1f1d9104,False
minilm,68,49,crossing,243,22,34,b26d9bf544ebc5279aa30800be29e3d68e74952830ebab7b68a9d09e778aa0bb,False
minilm,111,10166,crossing,142,15,16,b5fcbc19df27120eda0ee480d33f2bcd99b0e4f3ce080267075e63dafb9885e2,False
minilm,28,36703,crossing,190,15,15,b77f06df0fbef189811df18442ca5166438ea7d227710b37e7217f2d8f59bd93,False
minilm,230,41439,crossing,189,20,18,b8d5d34d5b7c41d75c002ce919e62018bee1757b57f98d11f11ce55445c77b1d,False
minilm,464,17047,crossing,153,11,4,bc12f272ded6d935cb9827c879d49c50ee3efd03810b4d6514874d5b6c7ee5e4,False
minilm,28,17990,crossing,247,23,20,bfa2272967895332150715ff2969ccde426dd9525b352b6fac0b1416b1693049,False
minilm,408,428,crossing,227,16,6,c2416f89636ab7efffa8314f4b635e7cd7dcb24c0023c3a0d32118b26a6c7a92,False
minilm,175,22299,crossing,246,21,32,c451564febb1d42d10f5870a550d4ac1a7c17eb950c75ab112bfebe27039fe03,False
minilm,464,21113,crossing,202,14,12,cb7662521507c76f999d25fd26a0644b950f956cc44671f87aef3c6f05d002c7,False
minilm,234,38956,crossing,245,23,33,cc9dbaa51d91365836348a0926fc0700b8214afc2686a2eb0227933a513f038c,False
minilm,131,8593,crossing,237,25,60,cd8eba88abfd7f3fcbbf449014e291b4c63ff0367a09db3aab0d3f3808af7513,False
minilm,257,1434,crossing,136,6,88,cded1c5943c0c7ba3221540b6e0ff6e9f287dce9e3fc2080eb8d0c539a1f1ead,False
minilm,352,30348,crossing,227,17,50,ce1fdd8628ffbb508d30788d8589ed5fa5b42e5924f877776832dd70c3d83c6d,False
minilm,359,12574,crossing,125,10,30,d4a06d496a5fd008acd6ca565b621ed2bfce369785a39a029801d7934904bfee,False
minilm,144,28168,crossing,229,26,59,dc78c076cc9e4356c497f9b817fa8405c35b5a748683ab9fb90af806ce2b7aea,False
minilm,408,429,crossing,225,16,12,dcab8b5cb7a5c300434c10fb72ff58ef40f7b9ae2efcacada2b8979d4fc9df8f,False
minilm,234,37798,crossing,240,23,17,de6ef6ce5a88d31ff86797857e204b2f4db032325b894711a30bc6e3b43ccaab,False
minilm,63,16359,crossing,219,13,17,e20b5ca5ee2e9af1012964034211d4db28b950682ddb683034c44d2f1ef1f8ce,False
minilm,417,28216,crossing,159,5,10,e3d6b6fa5bc940123d19adad62576d2204eba18401c6be7bd5c81f2c76125033,False
minilm,111,10176,crossing,230,22,21,e62ff83c4370f31cd579cd38a65793d9cf12491b7e4b1764d44b523448325eca,False
minilm,245,26721,crossing,209,20,16,ec820f4db406006a4c3756a6a03c7b5953da33c4c898c6464507406464e93740,False
minilm,28,32052,crossing,161,17,18,ed7d4ab06deed6f9200e2685f7f94681af5e902a1165f8b15fd6841e1109bf69,False
minilm,231,7793,crossing,237,24,43,ede7df017375fa8c7422f96cca95297127ac7de659175db9f168d9ff895016d4,False
minilm,245,21585,crossing,173,21,14,ee74eb1526cd7a3c6bbab08d0ac00a468822a1a4ef911d156632ec3cf85d9c60,False
minilm,175,6553,crossing,230,27,24,efe2924bbfe707da9ebc04ae402f39bf4c30dd7bda6476864eb33c345eb4f88b,False
minilm,227,26428,crossing,185,22,12,f02a6c328932a2b306d5b1f8209b43172442fa2e2b2ba77b40e5a994a4cacb22,False
minilm,175,17072,crossing,202,22,19,f3c7bc2e61d1f8c3b330f362733d1d946a4048397074cd45cf32c1816d820f13,False
minilm,159,16776,crossing,237,24,16,f5b2cc4593542be21bb3c95f6f9bcf0bb8ad301ac56d3e5b570fb75dbfee2247,False
minilm,333,18551,crossing,104,10,11,fbb68876903da31c89e9a55cca2cec0dadd539309fa8c5742b7680e3101f98f8,False
minilm,111,10167,crossing,170,18,20,fd7b76cd768d6b4d28a121dec4ed82b4b437953df713a321b200443d1578d366,False
minilm,235,33360,crossing,243,24,16,fe72d2dbcc569a8ed33b38f9d8c9e8a3de7b678cb43804220b49b494ba3142a5,False
minilm,160,8066,persistent_inclusion,226,16,2,008cc7f86260762620029b12be73f3bbfdac85c8109348b17233667213f208ac,True
minilm,333,22324,persistent_inclusion,192,15,2,02086bce1a16a473b33ea914572ae06a07a0845490faaffa30775568ecdc631e,True
minilm,415,32674,persistent_inclusion,207,19,7,02d8134166726d68ea52dadffe01105cfb54c5290be07a6b5e0967b48391a1d7,True
minilm,446,27022,persistent_inclusion,217,13,11,03daafc5adee16608f81998593ed69e9c342954a78cd2465b4b9ae1d2b9925c2,True
minilm,2,34735,persistent_inclusion,164,13,1,08bf5863a75de8f5d9b2da5dff3d70c27b3c4a6b33ae2aad9e5e907c646daa13,False
minilm,380,5491,persistent_inclusion,226,23,6,08f435e1b93a029ca4a8eac2e3bea430977d47a5cf80764b6458d42ce4e338ba,False
minilm,472,27350,persistent_inclusion,205,21,9,0a692fd62dc60c1640b5078490b9a9eb5d67c703a01fd5605ac133944b630e93,False
minilm,446,25341,persistent_inclusion,231,19,0,0a9295f02a741ae31e8e04084c7b0bf291ddbb4029714b89e8f501d3865fbcd4,False
minilm,166,25564,persistent_inclusion,256,21,2,0dc278ebf71829f55db1940cef0eb30991b92fef473f07af4ee1bf27ed34b9be,False
minilm,65,4732,persistent_inclusion,139,14,1,0eb5f007b69a4c5489b3fe35196829ad01fc919404270bac7a7f8d5fa93a2a26,False
minilm,175,672,persistent_inclusion,217,24,14,0f5abf82609e6293a8d86adf22a4d3db557ba0b0c671f7dc082744da5ae3530e,False
minilm,65,25863,persistent_inclusion,194,21,4,0f7a02526bca140da13ee9bb0d56bd6c284afb89460bd1d30583f189b69f9c6f,False
minilm,63,25295,persistent_inclusion,251,25,9,18d62ad5a279ec61393b2d31e7dbda85a515f6a064c6c75ae99a0c1d792f77c4,False
minilm,307,25288,persistent_inclusion,233,18,3,19d1319d5354879dc500282fd8fd5d6a83eae666ad6984edc0331d359f5c32e4,False
minilm,41,32385,persistent_inclusion,242,21,3,1bda5e46384b4ef386614a678d4424abe82d93becd3d667244d0407456ccd003,False
minilm,167,28086,persistent_inclusion,174,17,4,1c1b25c5dc0673c01ce8425f13285dc7c22dee764d0787553a00d45adb664681,False
minilm,160,8067,persistent_inclusion,174,13,0,1dc4ecc6e2142b4d7f1f7e6595165e260a515d71f5ef43bc695033e42bff567b,False
minilm,333,2903,persistent_inclusion,239,20,5,1e1a573836400d433649bef70197aff4f4b7036fa2b62cd42bef73ba70472784,False
minilm,245,4380,persistent_inclusion,196,24,9,2214b7540e31af523ee79cb9e64d85e759e0b7fbe2861e39429045cd6c9e144f,False
minilm,415,25985,persistent_inclusion,186,16,6,226700e70354ff0727f785a99b51fece88351a74c3820f410a0b1b478f7bf51e,False
minilm,185,15042,persistent_inclusion,202,16,9,22cb408dfbc0181480853254492d5b0193c1fdcfee38b2cadf225974332e65a4,False
minilm,28,14289,persistent_inclusion,254,23,5,24106d82aee4d7f02c45d30daf278b3742be59f1713f1b834571caf7c8d675ee,False
minilm,333,22321,persistent_inclusion,207,11,7,24678493f07405b0ce278840ab275b51ff9b403441ecb7c846f0596167afddef,False
minilm,115,42607,persistent_inclusion,207,14,5,2602b234a39353f37de8b33c330c45b6a0272fa3a6fb4ef3f200b74087590cda,False
minilm,245,40295,persistent_inclusion,193,21,2,2759459f172c514a1118ce3c3be8a25624c07c423fd844bbcd76e404411a6a66,False
minilm,315,36809,persistent_inclusion,152,9,0,29dc2fdc9b16e7098d2fd07129197143f199a1de48426103b140c769f8c1038e,False
minilm,185,15045,persistent_inclusion,203,16,8,2ae72e050a332a7890f8130ae933a84a0d55e82e1d0f99fc61ab4d82442b28e6,False
minilm,315,36813,persistent_inclusion,136,10,0,2f0a54577881dd82fdb938a9b0669812bd53ae709c37dd978e853c08992d39e2,False
minilm,333,7122,persistent_inclusion,232,18,6,2f89970bea1fda67a4a0afac32c165365874e865ea9960b73357eb0a0d1e7d9e,False
minilm,250,18133,persistent_inclusion,233,27,2,370cfaf9d8a89c5b66889003c372425c6e1c240809283906ce54e0b1239efbc8,False
minilm,464,21112,persistent_inclusion,197,14,2,37b5ecbcfea20f6ff658ae73b0620d3e34b64aaa806e0a48351467b948d2f2c9,False
minilm,2,34739,persistent_inclusion,166,14,7,37e2a7eabcd5531db2c767befdf63ec9ba641162763a7ed51df943905e4ebc50,False
minilm,472,27721,persistent_inclusion,242,18,9,391ed4633439b8fcbfe2ffcb97baec728e2a02dee5665a2431ddc2b5843e0dd9,False
minilm,63,17667,persistent_inclusion,236,25,8,3ce98647ecf386cd13a246918a493c3b9f0171c435971082ebc9335f18b8ef42,False
minilm,230,14761,persistent_inclusion,166,14,10,433159751a858e113f589969d03fd7ebc0a845a6cf868c9b18ea779bf8998fc8,False
minilm,333,22330,persistent_inclusion,203,12,7,455431e104d62c4ef7553f8891081ed3fa2081095baa06f7e3337514526ddca1,False
minilm,248,405,persistent_inclusion,232,19,4,45c705777d21ac098947921fdb93f9184c13398c6d1eb655a3063c37ba7e19df,False
minilm,148,38389,persistent_inclusion,142,12,12,49f7833db3708c7188a07cfb1cce7a46608a7a0d748813735cd1156e48de0369,False
minilm,170,42582,persistent_inclusion,94,7,2,4e4d721126caa9cb1428de63be8ea1509f6921209cea77e8b216b4a102589ce7,False
minilm,245,40758,persistent_inclusion,234,21,3,4e57f2459dcf41372ea6b259001f6f9590727ccaabe7c140e377d53b95b41833,False
minilm,2,34736,persistent_inclusion,173,13,2,50d8c886b3c914c7b9f09daba49bed966fec7b0b24ac21a7f6a2d56405f97e0d,False
minilm,464,39297,persistent_inclusion,188,10,10,522850501c9ca77d634f5aefb49e35b674b4c606122b850744c92fc1a04fe822,False
minilm,464,17788,persistent_inclusion,106,8,0,56a04b0f7556e24e940dca37aa0034f85bcab527e29535458cd43c1bedd1bc8a,False
minilm,234,37796,persistent_inclusion,194,20,11,588bfcf5d7b6bee8de57b12ba7c844f47a2e1659aa7e2d26ffe3ca93adb86442,False
minilm,368,15930,persistent_inclusion,237,16,3,5c6b9568aef92f5b5024145a85c789c752600dff093a477794fcbd2850d2efd9,False
minilm,150,15661,persistent_inclusion,114,9,1,5d95296212e310b761dd753fad4742981d010851f2b1723e066ce96f51af162a,False
minilm,175,17071,persistent_inclusion,192,21,12,5e89581e3f05db820f9b87b21985e7376ce70d7c8a5d078125168a3b153f99da,False
minilm,234,4688,persistent_inclusion,254,22,12,5f574b05b361276839d06bb1908e59ab3bcfbe8a20bc6daa2d34224fdb8714c2,False
minilm,368,30199,persistent_inclusion,175,13,3,5ffc98617b3c24ecef33e9047df4a80361fb828e2628da441b9953b00e35e5db,False
minilm,138,22214,persistent_inclusion,239,16,9,601509d2d07e47d27f52f8f9f882a82a0393d86c46b75b6b4dd693d90e113209,False
minilm,227,40762,persistent_inclusion,189,16,2,62c505914fe90294e3aea993b38dedc31c557c087e6416a255be4ffc17777e29,False
minilm,28,28081,persistent_inclusion,213,19,4,64e9782fb804aeb851425dbb0c4e3d0d786a5fc66ea7445217c17f7915b66761,False
minilm,470,7461,persistent_inclusion,186,24,9,6a01730272c77d33f3f482035a665252f08c83cb14d0db37b46894e7eedb7725,False
minilm,273,31799,persistent_inclusion,232,13,1,6bed14713a37cce0d9e8a258b5d36ae4103fc6246e6f15ad485ef506452507f9,False
minilm,245,5299,persistent_inclusion,227,18,3,6ec488d731c7f1c9e5292d0601a4eadabe36ae6a23413c6df3fd2e2d42b9dc6c,False
minilm,315,37397,persistent_inclusion,135,12,0,7002edf242f9479621781bec003e21b017225e03c40db62ba83d308db8eb7603,False
minilm,446,32808,persistent_inclusion,159,13,4,71a1b5aec48930fa0e8816ecfc988556d26a1ec5516e069a943e29219889a339,False
minilm,230,18148,persistent_inclusion,228,25,12,71fd61fd1d8fa7164f14fd98e42f7a7241a81eef4399f4a0118c6a42a233a3f1,False
minilm,382,29733,persistent_inclusion,160,9,1,727900d32b4eb8a566ab71802cee955b7452eff34e4f962fa39b1d8e4c80b6b7,False
minilm,245,15864,persistent_inclusion,134,16,3,72c6fc35eaf434cece791d8196e1c793d8456e0e88af5fd0f632f69351a02c4c,False
minilm,315,37398,persistent_inclusion,131,8,1,74984e502ac1fc25fddd8bea4001c36f7b335edeebe609bfdd2da16283badccb,False
minilm,111,10208,persistent_inclusion,146,18,5,7643171fb5533b9b2332d118bd0e0a2d972a9a566f096a9e5bcdb3ff083d7560,False
minilm,305,7087,persistent_inclusion,175,18,1,78d0dfb58bd3c3a1ada2f6cf1d4ada85a74ee6484205d6f36d5fcab84e0d64ab,False
minilm,111,6587,persistent_inclusion,173,9,6,7c493e2aa98a2651c0f3a18b4da6de5c6c62be8135a21491c662ed57e2550558,False
minilm,185,38413,persistent_inclusion,140,9,6,7d0bdf70fc3a4c773841e1f04efa06c29b2f974397459b0293a9c3e9eebc2a10,False
minilm,119,2240,persistent_inclusion,243,23,3,7fa1d0f53b6298acf9783cf23ed1a30fbcf2ff44c7367e79b0365ae32336c94b,False
minilm,112,28406,persistent_inclusion,184,17,10,7fdea2910415b834af816ea1746189bd5469723479540fcab4bc7d720a008202,False
minilm,138,22166,persistent_inclusion,250,16,3,84bd109f0dbbb7d0c3f23871e11f94eacaca529fa05b07ad525630aae81ca91c,False
minilm,398,4290,persistent_inclusion,223,9,0,8539e3c1e9b68c6cfc0fc526794c01d34ee4c9125efa545ae367e876f7543028,False
minilm,230,4668,persistent_inclusion,200,22,8,8614cf951abb89f4a4f9e5f4b0d4b9c2f8fa40a0a9f024f88eb32f4f80695e1b,False
minilm,438,420,persistent_inclusion,212,19,3,874fee3c96ce0f784ccbc7e2643e50878369d390ceb26fb78a3f4c1838abf636,False
minilm,245,18414,persistent_inclusion,222,15,0,8946808fa8051b15077016747789668d55f7eeb0c151c9cc407e27526c675cd3,False
minilm,167,35733,persistent_inclusion,201,20,2,89d109ea88a2b2311577bc01f8c51d581133083b6fcca81a48108fea389daa5c,False
minilm,41,19332,persistent_inclusion,252,20,1,89e629561a4b586735cf25c8bf449b3e89b7579a24e206f489f66788ba9529ac,False
minilm,248,16521,persistent_inclusion,184,10,3,8b062b23ba481021ae2c01c74b3aa32de7fc1142c6aa69ca0cedbcbad54f8a76,False
minilm,305,7086,persistent_inclusion,249,17,4,8b2a0b4d0adb1dc2e1f2e52ff13846b967718ddbfbf85a80b656a62f3ef342fa,False
minilm,464,13193,persistent_inclusion,186,10,2,8f9ff676288cf9d14eb0247c9d6f6140ee56eaa163941785a1734cfd16c48bb7,False
minilm,476,40370,persistent_inclusion,94,1,0,8fd036b4c4fbfa18aa9bdd83d1049ea4ba3f7d8029c4f8b0f672e70a16bc9f9d,False
minilm,464,2423,persistent_inclusion,183,12,6,92faaaba2f646bf349d19bd766ff847fc5a9aed2d312ac7d1329040c145bf490,False
minilm,415,32673,persistent_inclusion,212,20,7,93610b36e9bc3e169dce1b482e0629a508e69e384a07f3756ed7ffc93234ae3e,False
minilm,472,9603,persistent_inclusion,224,19,1,94dfb3c6b1162f6e64e17060c8b00764e62e633292db5b9d747cb7e57b4b888b,False
minilm,472,27722,persistent_inclusion,236,17,4,963b2318fda49b7b4d8c6fb03a2661b27823cc08599f91ecc9480b61f74cbfc2,False
minilm,359,12552,persistent_inclusion,156,12,3,966ce921cf32d9b42d803aecabacb9afba758780b2cfeff9d1d6c00c1ac501f7,False
minilm,138,22155,persistent_inclusion,215,14,6,99fcc89ea809244ffe99570e8e9de11619f3f88ca9be4e797779e37dcab00821,False
minilm,147,37178,persistent_inclusion,231,13,2,9aa96ee8237a727910aa6917b0a94c4a48dc2fce7f720a626f06297ac029926d,False
minilm,185,42548,persistent_inclusion,254,16,12,9aa9d0896c0c2f2596370e202c350754ce177e4d6383f81dfe4437d7acbcae47,False
minilm,28,9238,persistent_inclusion,241,24,6,9b7c0749424e5aa15ee20d2dbbfb0122ba6c02ebfe52a8a6ee25b6b75a068b97,False
minilm,273,31765,persistent_inclusion,206,16,6,9d1aa09165de06af3f8c975196349469000af21011736d8b836e912bb4f8f2b6,False
minilm,230,5725,persistent_inclusion,158,17,9,9d2badbb2fef1ddf4f9a021e1ab038287eacbba600c25485461b2ec7ec7c6991,False
minilm,410,3346,persistent_inclusion,183,16,7,9e18c78aab99c2b5ac375c633c489ff9b66f92b598fd7e3e8bade95c16508d64,False
minilm,368,25901,persistent_inclusion,166,18,3,a3e314e2d8549cff16885eab7d0387b11b21fb4a03c52ba5509ec72891540a41,False
minilm,408,17951,persistent_inclusion,223,21,3,a5eb8a78cb9b0b3b700a9ab0efe8747531f2d03a61f57fe80d1040874481ae37,False
minilm,227,9580,persistent_inclusion,235,17,6,a66365deb19e285ecf0802a86396dbd84773b2bad95061e8233e29d08c6413f5,False
minilm,410,14933,persistent_inclusion,187,8,7,aa80e219ab52605de8ba146f2883ccbf482be9dce8eda886fd52d844f7c1e560,False
minilm,185,15043,persistent_inclusion,204,16,11,ac2f8411d7b016efeb96dc3a6fb20132bf95adf39d5ee6ad34c0022b02578108,False
minilm,464,17789,persistent_inclusion,99,9,6,ad93a54179dbd31bde69406693cad35cd1d0067e53e6775ffc00d1cd3d876ce4,False
minilm,111,10175,persistent_inclusion,144,17,8,aeba2a6a9cd8eb051a8445a99d6581af7400f4cf792d13ab8f0b7b3d7ebd838e,False
minilm,231,7794,persistent_inclusion,238,23,10,b245013282b2aa0d3ec0c9bd31c2c721222c689a6a46730986ddd2ef5fcd21d5,False
minilm,470,28113,persistent_inclusion,236,26,4,b24ea482f9205f4c87617985d2a65ebbc7e39fb01d3714113f351b26f881fc5d,False
minilm,234,6158,persistent_inclusion,190,20,7,b26109edb4623ac3d97d7e1cb34e4a80b987037b27fc9586fdd497b07b2c66df,False
minilm,251,42864,persistent_inclusion,207,17,3,b430b0b6195bd1dba9db00b82e6deb7f534361ff00b7cb1df66f81a1218a632b,False
minilm,160,32458,persistent_inclusion,199,19,5,b47ad0eb58751a98ca49be106f5ea610ea533376b401da0732b842f3c557a25f,False
minilm,63,36847,persistent_inclusion,112,11,0,b529ef8064564e52be1e48f72b5eafdb8eadd19617e29c5bbdcbcd745d84a447,False
minilm,170,17965,persistent_inclusion,225,23,5,b61eddf338452c565b69401fa97cb5c5c32ae78bec8f320c8fe1e09b58b54b57,False
minilm,28,16102,persistent_inclusion,213,20,1,baf34ad93328a27f8c83639a458b9eba20e9c73373769e62ef3acd5cd1bd9f47,False
minilm,482,19594,persistent_inclusion,142,15,3,bd30e47135f851dab95552a3349ce5664bda862176232ab5dea5496f8f7cc28c,False
minilm,111,10198,persistent_inclusion,121,13,7,bd46862ca4c6ab49ea8ae532f07eee066524fc3ab1f25d16e3b80a7a433b666f,False
minilm,138,22167,persistent_inclusion,228,14,7,c4b90b8a66766d2d53f25fd9503a2e0e0990ca1b5c82d8aebca02fc9f0802019,False
minilm,368,7886,persistent_inclusion,173,11,3,c6292cf0f2fc13efe23ddfd3d88a467a8c55918bfbc6f3e65ccb932db5c8ed88,False
minilm,2,34734,persistent_inclusion,196,18,0,c9504cd35b0dcf06905c800313bee2e012ac858b2a34af1e718b6e44a1841521,False
minilm,247,35247,persistent_inclusion,217,21,10,caa3433498444fd0ccfe29cb705879cc5ad236a9fb58f996b2161513063de59f,False
minilm,333,22328,persistent_inclusion,212,13,6,cbcd3b3c47d95229b1d4b15a0bb5c6343e8d190af3ee08444c98e4e8716bed73,False
minilm,111,10196,persistent_inclusion,113,12,5,cd490881049442235fd47729db7d6934ded02991a3184a03ae8f8a4db4b591c3,False
