product_id,distinct_full_family_texts,distinct_old_seven_texts,dataset
B000I4YIFQ,6,4,esci
B000I501WY,6,5,esci
B000I8HIM2,1,1,esci
B000I9YV26,1,1,esci
B000ILG0TQ,6,6,esci
B000ILLNB6,6,5,esci
B000J43E8M,2,2,esci
B000JFYWK0,6,4,esci
B000K02EDG,2,2,esci
B000K02EEA,2,2,esci
B000KKUTCY,2,2,esci
B000KW5I6E,6,5,esci
B000L2D98C,2,2,esci
B000LBS6LS,6,4,esci
B000LXB6FY,6,5,esci
B000LXD9N6,6,5,esci
B000M8O4BG,6,4,esci
B000MD65FO,2,2,esci
B000ND5CBG,6,4,esci
B000NG800S,6,5,esci
B000NRPN8E,6,5,esci
B000OWF7YI,6,5,esci
B000PHG4WQ,6,4,esci
B000PHI5CS,6,4,esci
B000PRLCE6,6,5,esci
B000QNN9XQ,1,1,esci
B000RAH54C,2,2,esci
B000RAJZ7M,2,2,esci
B000REGHME,2,2,esci
B000SN0WES,6,5,esci
B000SXQCUQ,6,5,esci
B000TGC8D2,6,5,esci
B000U5TUWE,6,4,esci
B000UA0LXQ,6,6,esci
B000UJPHL8,6,4,esci
B000UJUW6S,2,2,esci
B000UXDHZ2,6,4,esci
B000UXZQ42,6,4,esci
B000V196NU,6,4,esci
B000V1DF2S,6,5,esci
B000V5EGU4,6,3,esci
B000VDYUJI,6,4,esci
B000VX6Y2O,6,4,esci
B000W8WVUW,6,4,esci
B000X5VP8S,2,2,esci
B000XR7R4W,6,3,esci
B000YJR5DM,6,4,esci
B000YMX9ZW,6,4,esci
B00103XAQC,6,5,esci
B0010ZJFKA,1,1,esci
B001167VIQ,6,4,esci
B001269PWU,2,2,esci
B001285KBS,6,3,esci
B00129ACWO,2,2,esci
B0012OC57Y,6,4,esci
B0012PXB0I,2,2,esci
B0013BG2GG,6,5,esci
B0013G0J9W,2,2,esci
B0013G5YAG,6,6,esci
B001445EHU,6,4,esci
B00147FGJ8,2,2,esci
B0014XVMUE,1,1,esci
B0014ZADVQ,6,4,esci
B00167S5GC,6,4,esci
B00167S5GM,2,2,esci
B0016KZ1AC,6,4,esci
B0016N7T6S,6,3,esci
B0016SIHVY,6,5,esci
B00178TVXG,6,6,esci
B0017H4U9W,6,5,esci
B0017L4PH0,6,5,esci
B0017SE7BC,6,4,esci
B0018CLX3C,6,3,esci
B0018OREG0,6,4,esci
B0018SW4DY,6,5,esci
B0019J0ISU,2,2,esci
B0019RJP0E,2,2,esci
B001A7CXR0,6,4,esci
B001AIRIHY,2,2,esci
B001AMTA58,6,4,esci
B001CM5V5E,6,6,esci
B001CVGFRI,6,4,esci
B001D48G4O,6,5,esci
B001DDM8SU,2,2,esci
B001E52U76,2,2,esci
B001EM7T34,1,1,esci
B001EQ5SEC,2,2,esci
B001EUL2DO,6,5,esci
B001F51GDY,1,1,esci
B001FA1KPS,2,2,esci
B001FOPU1E,6,5,esci
B001FXVZ8W,3,3,esci
B001H8Q576,6,4,esci
B001HAM78U,6,5,esci
B001HL022W,6,5,esci
B001HTL5E8,2,2,esci
B001I3YTNC,2,2,esci
B001I45MJQ,6,4,esci
B001J2U3LE,6,6,esci
B001KMRN0M,6,4,esci
B001KV88CK,1,1,esci
B001LO34MK,2,2,esci
B001LO511W,2,2,esci
B001LQFLN8,2,2,esci
B001MQ71VM,2,2,esci
B001N1841M,6,4,esci
B001N18444,6,5,esci
B001NTFXHW,6,4,esci
B001O8MMMQ,2,2,esci
B001O8MS0C,6,5,esci
B001PIJJEE,6,4,esci
B001PQOAN6,2,2,esci
B001QOGQMA,1,1,esci
B001QTVT4K,6,5,esci
B001RIGNZK,2,2,esci
B001RJ8PGO,2,2,esci
B001TOIF2G,6,3,esci
B001V5VCNM,6,4,esci
B001YHTWFC,6,4,esci
B0020L875M,6,5,esci
B00247RC1W,6,4,esci
B0026RHI0U,6,4,esci
B0026SWS3G,6,5,esci
B00274V05Q,6,4,esci
B00278FSXW,2,2,esci
B00280M14S,2,2,esci
B002878DNO,6,4,esci
B0029JZMT4,2,2,esci
B0029UCPXE,6,4,esci
B002ACCC52,6,5,esci
B002BI8LT6,1,1,esci
B002F58M12,6,5,esci
B002FXC6UM,2,2,esci
B002FYAOKK,2,2,esci
B002FYAONW,6,6,esci
B002G2YAVU,2,2,esci
B002GCAUAA,6,3,esci
B002HQD37W,2,2,esci
B002KDQPWM,6,4,esci
B002KG28PW,6,3,esci
B002MHOCYY,1,1,esci
B002MMQEFY,6,4,esci
B002MZMDX8,6,5,esci
B002N4KRFE,2,2,esci
B002NKYWO0,6,4,esci
B002PK40PE,6,4,esci
B002Q0X0FO,6,4,esci
B002Q41UFC,6,5,esci
B002SSTM0G,6,5,esci
B002SXMRXA,6,4,esci
B002U60CUK,6,3,esci
B002USUJV0,6,4,esci
B002XQ1SXW,6,5,esci
B002Y04TK6,2,2,esci
B002Y08J3E,6,4,esci
B002YY4OU2,2,2,esci
B00309H6SC,6,4,esci
B0030F5W5K,1,1,esci
B0030HN0ES,2,2,esci
B0030QMHBG,6,4,esci
B00316DAAC,2,2,esci
B00322FNPK,2,2,esci
B0035ERKYW,6,5,esci
B0036S4BN0,1,1,esci
B00374IBCK,1,1,esci
B0038GQKOS,6,5,esci
B0038JDEOO,6,5,esci
B003A84EGU,6,5,esci
B003AM93BW,6,6,esci
B003AU5YPI,6,4,esci
B003D2Z80E,6,5,esci
B003EGVIEE,2,2,esci
B003FKTEZE,6,4,esci
B003FZEJ22,6,3,esci
B003FZGQFK,2,2,esci
B003GX5SSC,6,4,esci
B003JFJHTS,1,1,esci
B003KIQIW8,6,5,esci
B003KQ696A,6,5,esci
B003L0OOS0,6,5,esci
B003LC9TBK,6,5,esci
B003M5W2J2,6,5,esci
B003M8M8XO,6,4,esci
B003OGBCMC,6,4,esci
B003POTKZE,6,4,esci
B003PWNGK6,6,5,esci
B003RBSKA6,2,2,esci
B003RC54QI,6,5,esci
B003T614KC,2,2,esci
B003TWP2IG,6,4,esci
B003TWZG4G,6,5,esci
B003TX2BD4,6,4,esci
B003TYEYK6,6,5,esci
B003V5HVN0,1,1,esci
B003VWL6TI,6,4,esci
B003XDCZTU,1,1,esci
B003YP3MUS,6,4,esci
B003Z3MYKS,1,1,esci
B00400B7RQ,2,2,esci
B00405TBYM,6,4,esci
B0041RRPOM,6,5,esci
B0041ZGSS8,6,4,esci
B0042DIZIU,2,2,esci
B0042RVAIS,6,4,esci
B00439I19Q,2,2,esci
B0044BYP02,6,5,esci
B00451HW4M,2,2,esci
B0046CD3IO,2,2,esci
B004955U5W,2,2,esci
B0049UYUXU,6,4,esci
B004AP8O1S,6,4,esci
B004BFVMWU,6,4,esci
B004BUU488,6,4,esci
B004BYY8D6,6,4,esci
B004C43GFG,1,1,esci
B004CA8TXE,6,6,esci
B004DCNN64,6,5,esci
B004DGWM30,6,4,esci
B004E4AVY8,6,4,esci
B004FJHGEA,6,4,esci
B004FJL8UI,6,4,esci
B004FJN5A4,6,4,esci
B004GK0KXW,2,2,esci
B004HJ58PM,2,2,esci
B004HL01PW,2,2,esci
B004HPJLFY,2,2,esci
B004HYZYB0,2,2,esci
B004I6EYYK,2,2,esci
B004IUCZJ2,6,5,esci
B004JRXZKM,2,2,esci
B004K80YEA,6,4,esci
B004KRWG5G,6,4,esci
B004LE0XBC,2,2,esci
B004NBZAYS,6,4,esci
B004O0TJFY,6,6,esci
B004O24Q8W,6,4,esci
B004OVUM40,6,4,esci
B004PLXQYC,2,2,esci
B004Q04OEI,6,4,esci
B004SKKCLU,6,5,esci
B004T6J9QC,6,4,esci
B004TBD58K,2,2,esci
B004UA4PYS,6,3,esci
B004UO38YM,2,2,esci
B004UULTJC,6,5,esci
B004VYYA2K,6,4,esci
B004WTHEWW,2,2,esci
B004X7BTPG,2,2,esci
B004Y8TF96,6,6,esci
B004YJ2NXU,6,4,esci
B004YL3YJK,6,5,esci
B004YT28GC,2,2,esci
B004ZZNL8Y,6,4,esci
B00502C0VK,6,4,esci
B00502C0Z6,6,5,esci
B00505BFF4,6,4,esci
B0050ECQMQ,6,5,esci
B0050ZOJRK,1,1,esci
B005234J98,6,4,esci
B0053B7TUU,6,5,esci
B005BP5UCM,6,5,esci
B005BTT7N6,1,1,esci
B005CQT9JA,6,3,esci
B005D5AK5M,6,5,esci
B005DO7VDM,6,5,esci
B005E0YJN0,6,5,esci
B005EHQGCU,2,2,esci
B005FQCS04,1,1,esci
B005FTMGYO,6,5,esci
B005FWQVYW,1,1,esci
B005GS7YWS,6,4,esci
B005GS7ZH2,2,2,esci
B005GS7ZMC,2,2,esci
B005GZ1TR2,6,5,esci
B005IHT8KI,2,2,esci
B005IQ1VXQ,2,2,esci
B005IUYSIW,6,5,esci
B005KRWGJ6,2,2,esci
B005LC0RLE,1,1,esci
B005LELORS,1,1,esci
B005M8YXEY,6,4,esci
B005MI8K34,6,6,esci
B005O0MTDW,6,3,esci
B005OMVK94,2,2,esci
B005P89KKI,6,5,esci
B005PO9T44,6,5,esci
B005PUTH2M,6,3,esci
B005SKE75G,6,4,esci
B005UA0NWK,6,6,esci
B005UGIMNQ,2,2,esci
B005UOF4VQ,1,1,esci
B005VAGTTA,1,1,esci
B005WBGPJC,1,1,esci
B005YVU6FY,6,5,esci
B005ZD6GTQ,2,2,esci
B005ZKNDBI,2,2,esci
B0060RP59I,6,6,esci
B0061EER58,2,2,esci
B0062CISKO,1,1,esci
B00639DXSI,6,4,esci
B0063R3L46,6,6,esci
B0064BCF84,6,4,esci
B00655BQMU,6,6,esci
B0065EJTZC,1,1,esci
B0066WMVPS,2,2,esci
B00688EDJC,2,2,esci
B0069EJVYC,6,4,esci
B006B1BXCQ,2,2,esci
B006FCHTZQ,6,6,esci
B006GK53LY,6,5,esci
B006HN8SFI,2,2,esci
B006JCVZD4,2,2,esci
B006L8M2NI,6,3,esci
B006M7A8JI,1,1,esci
B006MGR644,6,5,esci
B006MIUM20,6,3,esci
B006MIXFY2,6,4,esci
B006OQ48CA,2,2,esci
B006ST7YS8,6,4,esci
B006V7TQ3I,6,4,esci
B006X3WMRW,2,2,esci
B006Y8B9Y8,2,2,esci
B0070Z8QD6,6,4,esci
B007152I9S,2,2,esci
B0071HZ5EQ,6,6,esci
B00734061Y,2,2,esci
B0076I30V0,2,2,esci
B00773CW72,6,4,esci
B00777SH7C,6,5,esci
B0078J6NVQ,2,2,esci
B007978NPG,1,1,esci
B0079KT81G,1,1,esci
B0079OPFO6,2,2,esci
B007A3TH1S,6,4,esci
B007B5PGA6,6,4,esci
B007B5QPJW,6,5,esci
B007B60SCG,2,2,esci
B007BEHSDU,6,5,esci
B007BLNNPU,6,3,esci
B007E7XDXS,6,6,esci
B007G0PMAA,6,6,esci
B007G83Z6K,6,5,esci
B007HJ8UAO,1,1,esci
B007JLUL1G,2,2,esci
B007K68C5M,2,2,esci
B007MGXSN6,6,4,esci
B007OQ7DFS,2,2,esci
B007QT0VPW,6,4,esci
B007QTD9ZG,6,3,esci
B007RDWUD8,6,4,esci
B007RVS106,6,4,esci
B007U1TPVM,6,4,esci
B007URFTYI,2,2,esci
B007V2DOSA,6,5,esci
B007W9YPQW,1,1,esci
B007X4DRFQ,6,5,esci
B007Z9OSPW,2,2,esci
B00809BS54,6,4,esci
B0081SBAPW,6,4,esci
B0084002LK,6,3,esci
B0084175J6,6,5,esci
B0084HBHEO,2,2,esci
B0085TY1C6,2,2,esci
B0085YG30Y,2,2,esci
B00860VYYC,2,2,esci
B00874DXKA,1,1,esci
B0088V4S06,6,5,esci
B008CO812U,6,4,esci
B008FD8ETS,6,4,esci
B008G08TTK,6,5,esci
B008G60RQ2,6,4,esci
B008J2GP9G,6,5,esci
B008LO9VK2,1,1,esci
B008MPV98W,6,3,esci
B008N7RNAM,6,4,esci
B008PZZKW0,1,1,esci
B008Q39XT2,6,5,esci
B008R6LOBS,6,5,esci
B008RJV1JK,6,4,esci
B008WWV9M6,6,4,esci
B008X3JGSI,6,4,esci
B008XA7JOO,2,2,esci
B008Y717U8,1,1,esci
B008Y7DPJY,1,1,esci
B0091JKY0M,2,2,esci
B0091QSNEE,2,2,esci
B0091RKH24,6,5,esci
B0093702DG,6,4,esci
B0094B9BHE,6,5,esci
B0094G36TS,6,5,esci
B0096MEKZ4,6,5,esci
B0097GKTO0,6,5,esci
B0098QPV3I,6,5,esci
B009AYMEEC,6,6,esci
B009F7OQY0,2,2,esci
B009HLHVP0,2,2,esci
B009KB6ZU4,6,4,esci
B009MU64Y0,2,2,esci
B009Q8SF90,6,3,esci
B009V5C5QC,6,5,esci
B009V5C616,6,4,esci
B009WD2702,2,2,esci
B009WU7WRI,2,2,esci
B009ZL125W,2,2,esci
B00A018D5I,6,3,esci
B00A01BBCA,6,4,esci
B00A473X3A,2,2,esci
B00A7WIXOQ,6,4,esci
B00A83H2XC,2,2,esci
B00A83I8G2,6,5,esci
B00A8OQTGM,2,2,esci
B00A9I3HNK,2,2,esci
B00AD7XSE0,6,4,esci
B00AEXIYEC,6,4,esci
B00AI9BMHS,1,1,esci
B00AINMFAC,2,2,esci
B00AJS4OIM,6,5,esci
B00AKGT5V4,6,3,esci
B00APT3GKC,6,5,esci
B00AQ63SHA,6,6,esci
B00AQ7CPF0,6,4,esci
B00AQB146W,6,5,esci
B00AQNT36S,6,4,esci
B00ARUE55Y,6,4,esci
B00AU6H58O,2,2,esci
B00AY1U7M6,2,2,esci
B00B04DRWI,2,2,esci
B00B406WDY,6,4,esci
B00B5N6KXM,2,2,esci
B00B5OOF1A,6,4,esci
B00B78K2UW,1,1,esci
B00B7KL42K,1,1,esci
B00B7VAOU2,1,1,esci
B00B8IUGN4,6,5,esci
B00B9060X6,6,3,esci
B00BD916A0,2,2,esci
B00BEGS5NI,6,6,esci
B00BG6IJA0,6,5,esci
B00BGRWS5G,6,3,esci
B00BGYNGGO,1,1,esci
B00BKRODLY,1,1,esci
B00BP36S7U,2,2,esci
B00BS96GLE,6,3,esci
B00BS96HRM,2,2,esci
B00BSV6B7G,2,2,esci
B00BSYM7WQ,6,5,esci
B00BSZBEAG,6,6,esci
B00BUV68IQ,6,3,esci
B00BXT2O7E,2,2,esci
B00C1WEJ0C,2,2,esci
B00C2F3170,2,2,esci
B00C4401UO,6,5,esci
B00CD9WWUC,2,2,esci
B00CF5CF4M,2,2,esci
B00CJJA7R6,6,4,esci
B00COQQNLS,2,2,esci
B00CPBPSPO,6,4,esci
B00CPHX76U,6,5,esci
B00CQGH7W0,6,5,esci
B00CS4AAW4,1,1,esci
B00CT31122,2,2,esci
B00CTHUXDG,6,4,esci
B00CUKYAXQ,2,2,esci
B00CX7TM9S,6,3,esci
B00CXK66OE,6,3,esci
B00CXY9F2A,6,4,esci
B00D58PEE6,6,3,esci
B00D8Y1YIM,6,5,esci
B00D93AT74,6,6,esci
B00D9GY2BU,1,1,esci
B00DC40CRM,2,2,esci
B00DCJAMCW,1,1,esci
B00DEF0058,6,5,esci
B00DOSU8DY,6,4,esci
B00DQT7B2C,6,5,esci
B00DQUSXBE,6,5,esci
B00DQYWMTO,6,5,esci
B00DRA2OGI,1,1,esci
B00DUQBTS8,2,2,esci
B00DUQBTW4,6,4,esci
B00DWH8UFA,2,2,esci
B00DX7DGQ2,2,2,esci
B00DY7IC5G,6,5,esci
B00DZFUUTS,6,4,esci
B00E0CHS90,1,1,esci
B00E2BLE9Y,6,4,esci
B00E4G2ZDG,6,4,esci
B00E95KE1M,6,2,esci
B00E9G03NA,2,2,esci
B00EA89DK6,6,4,esci
B00EEBS9O0,6,4,esci
B00EECJ1OQ,6,5,esci
B00EINBSJ2,6,5,esci
B00ENF1B42,6,3,esci
B00EP9E3EG,6,3,esci
B00EQA35XE,6,4,esci
B00EQWBCSC,6,6,esci
B00ES8L3V0,6,6,esci
B00EWCAA8E,6,4,esci
B00EWCAAC0,6,4,esci
B00EWCAADO,6,3,esci
B00EXIVVTE,6,4,esci
B00EXW3J9U,1,1,esci
B00EZMPD4W,6,5,esci
B00EZWSWKO,2,2,esci
B00F14IKVG,2,2,esci
B00F5UY9XE,2,2,esci
B00F839ECE,6,5,esci
B00FB6MHHW,6,2,esci
B00FB6N9GA,6,5,esci
B00FB6NADW,6,4,esci
B00FDQMA68,1,1,esci
B00FFBPB6M,1,1,esci
B00FFFT15A,2,2,esci
B00FFJ2GRG,2,2,esci
B00FFZQ11M,6,4,esci
B00FFZQ12G,6,5,esci
B00FGOC38C,6,5,esci
B00FH692PQ,6,5,esci
B00FJX7YCU,6,3,esci
B00FM4E3SE,6,5,esci
B00FN6HK9U,2,2,esci
B00FNKDAV8,6,5,esci
B00FRMSMRE,6,5,esci
B00FSBYIYA,2,2,esci
B00FVW50XO,6,5,esci
B00FX9GC5K,2,2,esci
B00FYUN8CS,1,1,esci
B00G2XNCNQ,2,2,esci
B00GBSCS5K,6,5,esci
B00GBSE8B2,6,5,esci
B00GCHGF9K,6,5,esci
B00GGN4NXA,6,5,esci
B00GIIHD4O,6,4,esci
B00GJP1BVW,2,2,esci
B00GJX0L8S,2,2,esci
B00GK4U208,6,5,esci
B00GSOIQU8,6,3,esci
B00GUN43AY,6,4,esci
B00GV28VBQ,6,3,esci
B00GV2IXQE,2,2,esci
B00GV2OCLE,2,2,esci
B00GW97Y5M,6,4,esci
B00GXFS6U2,2,2,esci
B00GYXB2W2,2,2,esci
B00H28YG1C,2,2,esci
B00H8Z4TG6,6,4,esci
B00HDEIK4O,6,4,esci
B00HHCZYTQ,6,3,esci
B00HHJAIK4,2,2,esci
B00HHNDR94,2,2,esci
B00HQ15XKI,6,5,esci
B00HRJNNSS,2,2,esci
B00HWM35WY,2,2,esci
B00HXDVL1E,6,5,esci
B00HXDVLL4,6,4,esci
B00HXDVM90,6,5,esci
B00HYW4FQ2,6,5,esci
B00HZNSITK,2,2,esci
B00I3QS1XQ,1,1,esci
B00I5TH074,6,4,esci
B00I6AVDS4,6,5,esci
B00I8J0EJ2,2,2,esci
B00I9IFJRY,6,5,esci
B00I9JXOBG,6,4,esci
B00IA15LVY,6,4,esci
B00IAE6S1I,2,2,esci
B00ICYLCSU,1,1,esci
B00IDHA5I4,6,4,esci
B00IFOYMVQ,6,5,esci
B00IK1CJZU,6,5,esci
B00ILBUEVK,2,2,esci
B00IMU1ZT0,2,2,esci
B00INJ7TWW,6,4,esci
B00IP27DFA,2,2,esci
B00IQBSXN6,6,5,esci
B00IRJ7NL0,6,4,esci
B00ISDMQ8U,6,4,esci
B00IU22K0I,2,2,esci
B00IV39B6W,6,5,esci
B00IXZ825Y,2,2,esci
B00J0K1L36,6,6,esci
B00J3MPS4E,2,2,esci
B00J40VLI2,6,4,esci
B00J4RYYSY,6,5,esci
B00JAXNMQ2,2,2,esci
B00JBS3CG6,1,1,esci
B00JDP5TZO,2,2,esci
B00JHMG9OI,6,3,esci
B00JHV28ZS,6,5,esci
B00JJ6R2IO,6,5,esci
B00JJLFS5S,6,4,esci
B00JK964TS,6,4,esci
B00JKRVI4Q,6,5,esci
B00JNA0YBS,2,2,esci
B00JQSZVZQ,6,4,esci
B00JRGEVCG,2,2,esci
B00JS8HX50,6,5,esci
B00JSW7IH4,1,1,esci
B00JUHDYSO,6,4,esci
B00JV9NY54,6,5,esci
B00JXQ06X8,6,4,esci
B00JXZKUDK,2,2,esci
B00JYHNNYK,6,6,esci
B00K1IP420,6,5,esci
B00K3I0A2C,1,1,esci
B00K4W1X8C,6,4,esci
B00K4W1Y6I,2,2,esci
B00K5TC5JA,6,5,esci
B00KA5BHUW,2,2,esci
B00KFD0SMC,6,4,esci
B00KMW585I,6,4,esci
B00KMW5A56,2,2,esci
B00KMW5APQ,6,5,esci
B00KQRWB5O,6,6,esci
B00KQUWJVW,6,3,esci
B00KRFL5SO,2,2,esci
B00KV8LBOK,6,4,esci
B00KXXV1JI,2,2,esci
B00KZ1J2JY,2,2,esci
B00L5RI1X0,1,1,esci
B00L5YLVGM,6,5,esci
B00LB3SBZG,2,2,esci
B00LBK38A2,6,4,esci
B00LEWGJ62,6,3,esci
B00LEWM75Y,6,5,esci
B00LG2JRQ4,6,6,esci
B00LHFVAZ6,6,5,esci
B00LI4NKUE,6,4,esci
B00LM2Y2U4,6,6,esci
B00LN3TWTI,6,5,esci
B00LOVRR7S,2,2,esci
B00LOVV2M4,2,2,esci
B00LPBM7CM,6,5,esci
B00LT5LYWI,6,5,esci
B00LX0IVGG,6,4,esci
B00LZY8804,6,4,esci
B00M47PJ62,6,4,esci
B00M9JH8W8,2,2,esci
B00MA6END2,6,3,esci
B00MCZ1EKQ,2,2,esci
B00MF5GRFK,2,2,esci
B00MFQRHKS,6,5,esci
B00MHX9CF2,2,2,esci
B00MIXFBL0,6,5,esci
B00MNVQFLC,2,2,esci
B00MOR7FYQ,6,5,esci
B00MOUBYDQ,6,5,esci
B00MPVR50A,6,4,esci
B00MSRYPKE,6,4,esci
B00MXENX8W,2,2,esci
B00MYJZT60,6,5,esci
B00N02BAV8,6,6,esci
B00N0IO86G,2,2,esci
B00N0IO9A6,2,2,esci
B00N2SGBT6,6,4,esci
B00N442TTE,2,2,esci
B00N6JC7GW,2,2,esci
B00NAUKJTY,6,4,esci
B00NEFCB8W,1,1,esci
B00NMNA2S2,6,4,esci
B00NN3YZ48,6,4,esci
B00NNOV1US,2,2,esci
B00NNR38JC,6,5,esci
B00NOI80XE,6,5,esci
B00NOU4RQQ,6,6,esci
B00NPND2MM,1,1,esci
B00NQQTXNK,6,5,esci
B00NR1413G,2,2,esci
B00NWG9IRU,6,5,esci
B00NWTWRTI,6,5,esci
B00O14ZX6W,2,2,esci
B00O62MT7A,2,2,esci
B00OAX0UL2,6,5,esci
B00OCGLKX4,6,5,esci
B00OGIB5E2,6,4,esci
