Method,Reference,Split,Mode,Metric,Delta_pp,CI_low_pp,CI_high_pp,Queries,Draws,Seed,multiplicity_correction
S_T0_s43,Canonical,dev,catalog,Never@100,-1.3471255829697617,-5.633794694348328,3.9215686274509802,17,10000,20260963,none
S_T0_s43,Set-Mean,dev,catalog,Recall@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
S_T0_s43,Set-Mean,dev,catalog,Robust@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
S_T0_s43,Set-Mean,dev,catalog,Never@100,0.23068050749711666,0.0,0.69204152249135,17,10000,20260963,none
S_T0_s43,Set-Attention,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
S_T0_s43,Set-Attention,dev,catalog,Robust@100,0.0,0.0,0.0,17,10000,20260963,none
S_T0_s43,Set-Attention,dev,catalog,Never@100,0.0,0.0,0.0,17,10000,20260963,none
S_T0_s43,Phase-VI Set Transformer,dev,catalog,Recall@100,12.031341747929119,0.003619701557092749,26.486285486788276,17,10000,20260963,none
S_T0_s43,Phase-VI Set Transformer,dev,catalog,Robust@100,12.031341747929119,0.003619701557092749,26.486285486788276,17,10000,20260963,none
S_T0_s43,Phase-VI Set Transformer,dev,catalog,Never@100,-12.031341747929119,-26.48628548678829,-0.003619701557094676,17,10000,20260963,none
S_T0_s44,Original,dev,catalog,Recall@100,1.7629266751401342,-1.6237636569354241,4.996739450637996,17,10000,20260963,none
S_T0_s44,Original,dev,catalog,Robust@100,8.300918841447373,3.4604457140499965,13.721351887215011,17,10000,20260963,none
S_T0_s44,Original,dev,catalog,Never@100,3.922183592256982,0.25659824046920854,8.852485031769303,17,10000,20260963,none
S_T0_s44,Canonical,dev,catalog,Recall@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
S_T0_s44,Canonical,dev,catalog,Robust@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
S_T0_s44,Canonical,dev,catalog,Never@100,-1.3471255829697617,-5.633794694348328,3.9215686274509802,17,10000,20260963,none
S_T0_s44,Set-Mean,dev,catalog,Recall@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
S_T0_s44,Set-Mean,dev,catalog,Robust@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
S_T0_s44,Set-Mean,dev,catalog,Never@100,0.23068050749711666,0.0,0.69204152249135,17,10000,20260963,none
S_T0_s44,Set-Attention,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
S_T0_s44,Set-Attention,dev,catalog,Robust@100,0.0,0.0,0.0,17,10000,20260963,none
S_T0_s44,Set-Attention,dev,catalog,Never@100,0.0,0.0,0.0,17,10000,20260963,none
S_T0_s44,Phase-VI Set Transformer,dev,catalog,Recall@100,12.031341747929119,0.003619701557092749,26.486285486788276,17,10000,20260963,none
S_T0_s44,Phase-VI Set Transformer,dev,catalog,Robust@100,12.031341747929119,0.003619701557092749,26.486285486788276,17,10000,20260963,none
S_T0_s44,Phase-VI Set Transformer,dev,catalog,Never@100,-12.031341747929119,-26.48628548678829,-0.003619701557094676,17,10000,20260963,none
D_T1_s42,D_T0_s42,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
D_T2_s42,D_T1_s42,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
D_T2_f0.5_s42,D_T2_f0.25_s42,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
D_T2_s42,D_T2_f0.5_s42,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
S_T1_s42,S_T0_s42,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
S_T2_s42,S_T1_s42,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
S_T2_f0.5_s42,S_T2_f0.25_s42,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
S_T2_s42,S_T2_f0.5_s42,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
D_primary_seed_mean,Original,dev,catalog,Recall@100,1.7629266751401342,-1.6237636569354241,4.996739450637996,17,10000,20260963,none
D_primary_seed_mean,Original,dev,catalog,Robust@100,8.300918841447373,3.4604457140499965,13.721351887215011,17,10000,20260963,none
D_primary_seed_mean,Original,dev,catalog,Never@100,3.922183592256982,0.25659824046920854,8.852485031769303,17,10000,20260963,none
D_primary_seed_mean,Canonical,dev,catalog,Recall@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
D_primary_seed_mean,Canonical,dev,catalog,Robust@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
D_primary_seed_mean,Canonical,dev,catalog,Never@100,-1.3471255829697617,-5.633794694348328,3.9215686274509802,17,10000,20260963,none
D_primary_seed_mean,Set-Mean,dev,catalog,Recall@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
D_primary_seed_mean,Set-Mean,dev,catalog,Robust@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
D_primary_seed_mean,Set-Mean,dev,catalog,Never@100,0.23068050749711666,0.0,0.69204152249135,17,10000,20260963,none
D_primary_seed_mean,Set-Attention,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
D_primary_seed_mean,Set-Attention,dev,catalog,Robust@100,0.0,0.0,0.0,17,10000,20260963,none
D_primary_seed_mean,Set-Attention,dev,catalog,Never@100,0.0,0.0,0.0,17,10000,20260963,none
D_primary_seed_mean,Phase-VI DeepSets,dev,catalog,Recall@100,1.522471932780882,-4.408187690159577,7.104101987225951,17,10000,20260963,none
D_primary_seed_mean,Phase-VI DeepSets,dev,catalog,Robust@100,1.522471932780882,-4.408187690159577,7.104101987225951,17,10000,20260963,none
D_primary_seed_mean,Phase-VI DeepSets,dev,catalog,Never@100,-1.5224719327808829,-7.104101987225954,4.4081876901595765,17,10000,20260963,none
S_primary_seed_mean,Original,dev,catalog,Recall@100,1.7629266751401342,-1.6237636569354241,4.996739450637996,17,10000,20260963,none
S_primary_seed_mean,Original,dev,catalog,Robust@100,8.300918841447373,3.4604457140499965,13.721351887215011,17,10000,20260963,none
S_primary_seed_mean,Original,dev,catalog,Never@100,3.922183592256982,0.25659824046920854,8.852485031769303,17,10000,20260963,none
S_primary_seed_mean,Canonical,dev,catalog,Recall@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
S_primary_seed_mean,Canonical,dev,catalog,Robust@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
S_primary_seed_mean,Canonical,dev,catalog,Never@100,-1.3471255829697617,-5.633794694348328,3.9215686274509802,17,10000,20260963,none
S_primary_seed_mean,Set-Mean,dev,catalog,Recall@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
S_primary_seed_mean,Set-Mean,dev,catalog,Robust@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
S_primary_seed_mean,Set-Mean,dev,catalog,Never@100,0.23068050749711666,0.0,0.69204152249135,17,10000,20260963,none
S_primary_seed_mean,Set-Attention,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
S_primary_seed_mean,Set-Attention,dev,catalog,Robust@100,0.0,0.0,0.0,17,10000,20260963,none
S_primary_seed_mean,Set-Attention,dev,catalog,Never@100,0.0,0.0,0.0,17,10000,20260963,none
S_primary_seed_mean,Phase-VI Set Transformer,dev,catalog,Recall@100,12.031341747929119,0.003619701557092749,26.486285486788276,17,10000,20260963,none
S_primary_seed_mean,Phase-VI Set Transformer,dev,catalog,Robust@100,12.031341747929119,0.003619701557092749,26.486285486788276,17,10000,20260963,none
S_primary_seed_mean,Phase-VI Set Transformer,dev,catalog,Never@100,-12.031341747929119,-26.48628548678829,-0.003619701557094676,17,10000,20260963,none
D_T0_s42,Original,test,catalog,Recall@100,-1.4473415021746368,-3.0141462993199837,0.13688921977444246,308,10000,20260963,none
D_T0_s42,Original,test,catalog,Robust@100,4.992640757329585,3.2901973595069656,6.842728976235471,308,10000,20260963,none
D_T0_s42,Original,test,catalog,Never@100,7.312234048097762,5.6705477049942745,9.072449987906115,308,10000,20260963,none
D_T0_s42,Canonical,test,catalog,Recall@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
D_T0_s42,Canonical,test,catalog,Robust@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
D_T0_s42,Canonical,test,catalog,Never@100,1.0639660446114805,-0.5765223733090254,2.6426330834504634,308,10000,20260963,none
D_T0_s42,Set-Mean,test,catalog,Recall@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
D_T0_s42,Set-Mean,test,catalog,Robust@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
D_T0_s42,Set-Mean,test,catalog,Never@100,-0.3528766152936526,-0.7788468453818276,-0.06584890837822657,308,10000,20260963,none
D_T0_s42,Set-Attention,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
D_T0_s42,Set-Attention,test,catalog,Robust@100,0.0,0.0,0.0,308,10000,20260963,none
D_T0_s42,Set-Attention,test,catalog,Never@100,0.0,0.0,0.0,308,10000,20260963,none
D_T0_s42,Phase-VI DeepSets,test,catalog,Recall@100,1.3782156348120267,0.18508222431478777,2.552615165479002,308,10000,20260963,none
D_T0_s42,Phase-VI DeepSets,test,catalog,Robust@100,1.3782156348120267,0.18508222431478777,2.552615165479002,308,10000,20260963,none
D_T0_s42,Phase-VI DeepSets,test,catalog,Never@100,-1.3782156348120265,-2.552615165479002,-0.18508222431478863,308,10000,20260963,none
S_T0_s42,Original,test,catalog,Recall@100,-1.4473415021746368,-3.0141462993199837,0.13688921977444246,308,10000,20260963,none
S_T0_s42,Original,test,catalog,Robust@100,4.992640757329585,3.2901973595069656,6.842728976235471,308,10000,20260963,none
S_T0_s42,Original,test,catalog,Never@100,7.312234048097762,5.6705477049942745,9.072449987906115,308,10000,20260963,none
S_T0_s42,Canonical,test,catalog,Recall@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
S_T0_s42,Canonical,test,catalog,Robust@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
S_T0_s42,Canonical,test,catalog,Never@100,1.0639660446114805,-0.5765223733090254,2.6426330834504634,308,10000,20260963,none
S_T0_s42,Set-Mean,test,catalog,Recall@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
S_T0_s42,Set-Mean,test,catalog,Robust@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
S_T0_s42,Set-Mean,test,catalog,Never@100,-0.3528766152936526,-0.7788468453818276,-0.06584890837822657,308,10000,20260963,none
S_T0_s42,Set-Attention,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
S_T0_s42,Set-Attention,test,catalog,Robust@100,0.0,0.0,0.0,308,10000,20260963,none
S_T0_s42,Set-Attention,test,catalog,Never@100,0.0,0.0,0.0,308,10000,20260963,none
S_T0_s42,Phase-VI Set Transformer,test,catalog,Recall@100,7.075502225075063,5.376365132860327,8.816404695023255,308,10000,20260963,none
S_T0_s42,Phase-VI Set Transformer,test,catalog,Robust@100,7.075502225075063,5.376365132860327,8.816404695023255,308,10000,20260963,none
S_T0_s42,Phase-VI Set Transformer,test,catalog,Never@100,-7.075502225075063,-8.816404695023259,-5.376365132860327,308,10000,20260963,none
D_T0_s43,Original,test,catalog,Recall@100,-1.4473415021746368,-3.0141462993199837,0.13688921977444246,308,10000,20260963,none
D_T0_s43,Original,test,catalog,Robust@100,4.992640757329585,3.2901973595069656,6.842728976235471,308,10000,20260963,none
D_T0_s43,Original,test,catalog,Never@100,7.312234048097762,5.6705477049942745,9.072449987906115,308,10000,20260963,none
D_T0_s43,Canonical,test,catalog,Recall@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
D_T0_s43,Canonical,test,catalog,Robust@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
D_T0_s43,Canonical,test,catalog,Never@100,1.0639660446114805,-0.5765223733090254,2.6426330834504634,308,10000,20260963,none
D_T0_s43,Set-Mean,test,catalog,Recall@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
D_T0_s43,Set-Mean,test,catalog,Robust@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
D_T0_s43,Set-Mean,test,catalog,Never@100,-0.3528766152936526,-0.7788468453818276,-0.06584890837822657,308,10000,20260963,none
D_T0_s43,Set-Attention,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
D_T0_s43,Set-Attention,test,catalog,Robust@100,0.0,0.0,0.0,308,10000,20260963,none
D_T0_s43,Set-Attention,test,catalog,Never@100,0.0,0.0,0.0,308,10000,20260963,none
D_T0_s43,Phase-VI DeepSets,test,catalog,Recall@100,1.3782156348120267,0.18508222431478777,2.552615165479002,308,10000,20260963,none
D_T0_s43,Phase-VI DeepSets,test,catalog,Robust@100,1.3782156348120267,0.18508222431478777,2.552615165479002,308,10000,20260963,none
D_T0_s43,Phase-VI DeepSets,test,catalog,Never@100,-1.3782156348120265,-2.552615165479002,-0.18508222431478863,308,10000,20260963,none
D_T0_s44,Original,test,catalog,Recall@100,-1.4473415021746368,-3.0141462993199837,0.13688921977444246,308,10000,20260963,none
D_T0_s44,Original,test,catalog,Robust@100,4.992640757329585,3.2901973595069656,6.842728976235471,308,10000,20260963,none
D_T0_s44,Original,test,catalog,Never@100,7.312234048097762,5.6705477049942745,9.072449987906115,308,10000,20260963,none
D_T0_s44,Canonical,test,catalog,Recall@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
D_T0_s44,Canonical,test,catalog,Robust@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
D_T0_s44,Canonical,test,catalog,Never@100,1.0639660446114805,-0.5765223733090254,2.6426330834504634,308,10000,20260963,none
D_T0_s44,Set-Mean,test,catalog,Recall@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
D_T0_s44,Set-Mean,test,catalog,Robust@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
D_T0_s44,Set-Mean,test,catalog,Never@100,-0.3528766152936526,-0.7788468453818276,-0.06584890837822657,308,10000,20260963,none
D_T0_s44,Set-Attention,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
D_T0_s44,Set-Attention,test,catalog,Robust@100,0.0,0.0,0.0,308,10000,20260963,none
D_T0_s44,Set-Attention,test,catalog,Never@100,0.0,0.0,0.0,308,10000,20260963,none
D_T0_s44,Phase-VI DeepSets,test,catalog,Recall@100,1.3782156348120267,0.18508222431478777,2.552615165479002,308,10000,20260963,none
D_T0_s44,Phase-VI DeepSets,test,catalog,Robust@100,1.3782156348120267,0.18508222431478777,2.552615165479002,308,10000,20260963,none
D_T0_s44,Phase-VI DeepSets,test,catalog,Never@100,-1.3782156348120265,-2.552615165479002,-0.18508222431478863,308,10000,20260963,none
S_T0_s43,Original,test,catalog,Recall@100,-1.4473415021746368,-3.0141462993199837,0.13688921977444246,308,10000,20260963,none
S_T0_s43,Original,test,catalog,Robust@100,4.992640757329585,3.2901973595069656,6.842728976235471,308,10000,20260963,none
S_T0_s43,Original,test,catalog,Never@100,7.312234048097762,5.6705477049942745,9.072449987906115,308,10000,20260963,none
S_T0_s43,Canonical,test,catalog,Recall@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
S_T0_s43,Canonical,test,catalog,Robust@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
S_T0_s43,Canonical,test,catalog,Never@100,1.0639660446114805,-0.5765223733090254,2.6426330834504634,308,10000,20260963,none
S_T0_s43,Set-Mean,test,catalog,Recall@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
S_T0_s43,Set-Mean,test,catalog,Robust@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
S_T0_s43,Set-Mean,test,catalog,Never@100,-0.3528766152936526,-0.7788468453818276,-0.06584890837822657,308,10000,20260963,none
S_T0_s43,Set-Attention,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
S_T0_s43,Set-Attention,test,catalog,Robust@100,0.0,0.0,0.0,308,10000,20260963,none
S_T0_s43,Set-Attention,test,catalog,Never@100,0.0,0.0,0.0,308,10000,20260963,none
S_T0_s43,Phase-VI Set Transformer,test,catalog,Recall@100,7.075502225075063,5.376365132860327,8.816404695023255,308,10000,20260963,none
S_T0_s43,Phase-VI Set Transformer,test,catalog,Robust@100,7.075502225075063,5.376365132860327,8.816404695023255,308,10000,20260963,none
S_T0_s43,Phase-VI Set Transformer,test,catalog,Never@100,-7.075502225075063,-8.816404695023259,-5.376365132860327,308,10000,20260963,none
S_T0_s44,Original,test,catalog,Recall@100,-1.4473415021746368,-3.0141462993199837,0.13688921977444246,308,10000,20260963,none
S_T0_s44,Original,test,catalog,Robust@100,4.992640757329585,3.2901973595069656,6.842728976235471,308,10000,20260963,none
S_T0_s44,Original,test,catalog,Never@100,7.312234048097762,5.6705477049942745,9.072449987906115,308,10000,20260963,none
S_T0_s44,Canonical,test,catalog,Recall@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
S_T0_s44,Canonical,test,catalog,Robust@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025,308,10000,20260963,none
S_T0_s44,Canonical,test,catalog,Never@100,1.0639660446114805,-0.5765223733090254,2.6426330834504634,308,10000,20260963,none
S_T0_s44,Set-Mean,test,catalog,Recall@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
S_T0_s44,Set-Mean,test,catalog,Robust@100,0.3528766152936528,0.06584890837822666,0.7788468453818276,308,10000,20260963,none
S_T0_s44,Set-Mean,test,catalog,Never@100,-0.3528766152936526,-0.7788468453818276,-0.06584890837822657,308,10000,20260963,none
S_T0_s44,Set-Attention,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
S_T0_s44,Set-Attention,test,catalog,Robust@100,0.0,0.0,0.0,308,10000,20260963,none
S_T0_s44,Set-Attention,test,catalog,Never@100,0.0,0.0,0.0,308,10000,20260963,none
S_T0_s44,Phase-VI Set Transformer,test,catalog,Recall@100,7.075502225075063,5.376365132860327,8.816404695023255,308,10000,20260963,none
S_T0_s44,Phase-VI Set Transformer,test,catalog,Robust@100,7.075502225075063,5.376365132860327,8.816404695023255,308,10000,20260963,none
S_T0_s44,Phase-VI Set Transformer,test,catalog,Never@100,-7.075502225075063,-8.816404695023259,-5.376365132860327,308,10000,20260963,none
D_T1_s42,D_T0_s42,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
D_T2_s42,D_T1_s42,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
D_T2_f0.5_s42,D_T2_f0.25_s42,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
D_T2_s42,D_T2_f0.5_s42,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
S_T1_s42,S_T0_s42,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
S_T2_s42,S_T1_s42,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
S_T2_f0.5_s42,S_T2_f0.25_s42,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
S_T2_s42,S_T2_f0.5_s42,test,catalog,Recall@100,0.0,0.0,0.0,308,10000,20260963,none
